,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW ORLEANS_ACTION,WASHINGTON_SCORE,NEW ORLEANS_SCORE
43,1,7:20.0,,J. Holiday misses 3-pt jump shot from 24 ft,7,12
44,1,7:17.0,Defensive rebound by O. Porter,,7,12
45,1,7:11.0,K. Oubre misses 2-pt layup from 7 ft (block by A. Davis),,7,12
46,1,7:07.0,,Defensive rebound by J. Holiday,7,12
47,1,7:06.0,,Shooting foul by J. Wall (drawn by T. Frazier),7,12
48,1,7:06.0,,T. Frazier makes free throw 1 of 2,7,13
49,1,7:06.0,,T. Frazier makes free throw 2 of 2,7,14
50,1,6:54.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by B. Beal),,10,14
51,1,6:34.0,,J. Holiday makes 2-pt layup from 2 ft (assist by T. Frazier),10,16
52,1,6:20.0,J. Wall misses 3-pt jump shot from 26 ft,,10,16
53,1,6:17.0,,Defensive rebound by A. Davis,10,16
54,1,6:10.0,,N. Mirotić misses 3-pt jump shot from 26 ft,10,16
55,1,6:07.0,Defensive rebound by K. Oubre,,10,16
56,1,5:58.0,B. Beal misses 3-pt jump shot from 25 ft,,10,16
57,1,5:54.0,,Defensive rebound by N. Mirotić,10,16
58,1,5:46.0,,J. Holiday makes 2-pt layup from 2 ft (assist by T. Frazier),10,18
59,1,5:46.0,Washington full timeout,,10,18
60,1,5:46.0,M. Morris enters the game for T. Bryant,,10,18
61,1,5:46.0,,S. Hill enters the game for T. Frazier,10,18
62,1,5:46.0,,D. Miller enters the game for N. Mirotić,10,18
63,1,5:46.0,,J. Randle enters the game for E. Moore,10,18
64,1,5:35.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by B. Beal),,13,18
65,1,5:19.0,,J. Holiday misses 3-pt jump shot from 25 ft,13,18
66,1,5:16.0,,Offensive rebound by Team,13,18
67,1,5:07.0,,D. Miller misses 3-pt jump shot from 24 ft,13,18
68,1,5:04.0,Defensive rebound by B. Beal,,13,18
69,1,4:50.0,J. Wall misses 3-pt jump shot from 25 ft,,13,18
70,1,4:48.0,,Defensive rebound by J. Randle,13,18
71,1,4:44.0,,J. Randle makes 2-pt layup from 2 ft,13,20
72,1,4:35.0,B. Beal misses 3-pt jump shot from 25 ft,,13,20
73,1,4:31.0,,Defensive rebound by D. Miller,13,20
74,1,4:29.0,,J. Holiday makes 3-pt jump shot from 26 ft,13,23
75,1,4:14.0,M. Morris misses 2-pt jump shot from 6 ft,,13,23
76,1,4:09.0,Offensive rebound by K. Oubre,,13,23
77,1,4:09.0,K. Oubre makes 2-pt dunk at rim,,15,23
78,1,3:54.0,,Turnover by D. Miller (bad pass),15,23
79,1,3:54.0,J. Green enters the game for O. Porter,,15,23
80,1,3:43.0,K. Oubre misses 3-pt jump shot from 26 ft,,15,23
81,1,3:38.0,,Defensive rebound by A. Davis,15,23
82,1,3:28.0,,D. Miller misses 3-pt jump shot from 26 ft,15,23
83,1,3:24.0,,Offensive rebound by S. Hill,15,23
84,1,3:19.0,,Shooting foul by M. Morris (drawn by A. Davis),15,23
85,1,3:19.0,,A. Davis makes free throw 1 of 2,15,24
86,1,3:19.0,A. Rivers enters the game for B. Beal,,15,24
87,1,3:19.0,,A. Davis makes free throw 2 of 2,15,25
88,1,2:57.0,Turnover by J. Wall (lost ball; steal by D. Miller),,15,25
89,1,2:51.0,,Turnover by J. Randle (lost ball; steal by K. Oubre),15,25
90,1,2:40.0,J. Wall misses 2-pt layup from 2 ft,,15,25
91,1,2:38.0,,Defensive rebound by A. Davis,15,25
92,1,2:33.0,,New Orleans full timeout,15,25
93,1,2:33.0,T. Satoranský enters the game for J. Wall,,15,25
94,1,2:33.0,,C. Diallo enters the game for A. Davis,15,25
95,1,2:25.0,,J. Randle makes 2-pt jump shot from 7 ft (assist by J. Holiday),15,27
96,1,2:02.0,J. Green misses 2-pt jump shot from 16 ft,,15,27
97,1,1:58.0,,Defensive rebound by S. Hill,15,27
98,1,1:54.0,,Shooting foul by A. Rivers (drawn by C. Diallo),15,27
99,1,1:54.0,,C. Diallo makes free throw 1 of 2,15,28
100,1,1:54.0,,C. Diallo makes free throw 2 of 2,15,29
101,1,1:47.0,Personal foul by J. Holiday (drawn by M. Morris),,15,29
102,1,1:42.0,Shooting foul by D. Miller (drawn by T. Satoranský),,15,29
103,1,1:42.0,T. Satoranský makes free throw 1 of 2,,16,29
104,1,1:42.0,T. Satoranský misses free throw 2 of 2,,16,29
105,1,1:39.0,,Defensive rebound by C. Diallo,16,29
106,1,1:31.0,,Turnover by J. Holiday (bad pass; steal by A. Rivers),16,29
107,1,1:28.0,K. Oubre makes 2-pt layup from 2 ft (assist by A. Rivers),,18,29
108,1,1:28.0,Shooting foul by D. Miller (drawn by K. Oubre),,18,29
109,1,1:28.0,K. Oubre misses free throw 1 of 1,,18,29
110,1,1:25.0,Offensive rebound by M. Morris,,18,29
111,1,1:16.0,A. Rivers misses 2-pt jump shot from 4 ft,,18,29
112,1,1:11.0,Offensive rebound by J. Green,,18,29
113,1,1:11.0,J. Green misses 2-pt layup at rim,,18,29
114,1,1:10.0,,Defensive rebound by C. Diallo,18,29
115,1,1:10.0,,I. Clark enters the game for J. Holiday,18,29
116,1,1:10.0,,E. Moore enters the game for D. Miller,18,29
117,1,1:02.0,,J. Randle makes 2-pt jump shot from 6 ft,18,31
118,1,0:48.0,Shooting foul by S. Hill (drawn by T. Satoranský),,18,31
119,1,0:48.0,T. Satoranský makes free throw 1 of 2,,19,31
120,1,0:48.0,T. Satoranský makes free throw 2 of 2,,20,31
121,1,0:39.0,,Turnover by J. Randle (bad pass; steal by A. Rivers),20,31
122,1,0:37.0,K. Oubre makes 2-pt dunk from 1 ft (assist by A. Rivers),,22,31
123,1,0:27.0,,Shooting foul by A. Rivers (drawn by S. Hill),22,31
124,1,0:27.0,,S. Hill misses free throw 1 of 2,22,31
125,1,0:27.0,,Offensive rebound by Team,22,31
126,1,0:27.0,,S. Hill misses free throw 2 of 2,22,31
127,1,0:23.0,Defensive rebound by K. Oubre,,22,31
128,1,0:07.0,M. Morris misses 3-pt jump shot from 25 ft,,22,31
129,1,0:03.0,Offensive rebound by J. Green,,22,31
130,1,0:02.0,J. Green misses 2-pt jump shot from 8 ft,,22,31
131,1,0:00.0,Offensive rebound by T. Satoranský,,22,31
132,1,0:00.0,T. Satoranský makes 2-pt layup from 2 ft,,24,31
133,2,11:46.0,J. Green makes 2-pt dunk from 1 ft (assist by A. Rivers),,26,31
134,2,11:19.0,,C. Diallo misses 3-pt jump shot from 22 ft,26,31
135,2,11:16.0,Defensive rebound by M. Morris,,26,31
136,2,11:08.0,A. Rivers misses 3-pt jump shot from 26 ft,,26,31
137,2,11:06.0,,Defensive rebound by C. Diallo,26,31
138,2,10:59.0,,T. Frazier misses 3-pt jump shot from 26 ft,26,31
139,2,10:59.0,,Offensive rebound by C. Diallo,26,31
140,2,10:48.0,,Turnover by C. Diallo (bad pass; steal by A. Rivers),26,31
141,2,10:44.0,Turnover by A. Rivers (lost ball; steal by N. Mirotić),,26,31
142,2,10:41.0,,C. Diallo makes 2-pt dunk from 1 ft (assist by N. Mirotić),26,33
143,2,10:27.0,M. Morris makes 2-pt jump shot from 15 ft,,28,33
144,2,10:27.0,Shooting foul by T. Frazier (drawn by M. Morris),,28,33
145,2,10:27.0,,J. Randle enters the game for C. Diallo,28,33
146,2,10:27.0,M. Morris misses free throw 1 of 1,,28,33
147,2,10:25.0,,Defensive rebound by J. Randle,28,33
148,2,10:17.0,,W. Johnson misses 3-pt jump shot from 25 ft,28,33
149,2,10:13.0,Defensive rebound by T. Satoranský,,28,33
150,2,10:08.0,T. Satoranský misses 2-pt jump shot from 2 ft,,28,33
151,2,10:06.0,,Defensive rebound by N. Mirotić,28,33
152,2,10:02.0,,N. Mirotić makes 3-pt jump shot from 29 ft (assist by T. Frazier),28,36
153,2,9:36.0,K. Oubre makes 2-pt layup from 1 ft,,30,36
154,2,9:28.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by T. Frazier),30,38
155,2,9:12.0,Personal foul by N. Mirotić (drawn by K. Oubre),,30,38
156,2,9:12.0,B. Beal enters the game for K. Oubre,,30,38
157,2,9:06.0,M. Morris misses 2-pt layup from 1 ft,,30,38
158,2,9:04.0,,Defensive rebound by J. Randle,30,38
159,2,8:58.0,,Offensive foul by J. Randle (drawn by M. Morris),30,38
160,2,8:58.0,,Turnover by J. Randle (offensive foul),30,38
161,2,8:49.0,A. Rivers misses 3-pt jump shot from 26 ft,,30,38
162,2,8:46.0,,Defensive rebound by N. Mirotić,30,38
163,2,8:38.0,,T. Frazier makes 3-pt jump shot from 25 ft,30,41
164,2,8:19.0,M. Morris makes 3-pt jump shot from 26 ft (assist by B. Beal),,33,41
165,2,8:05.0,,Turnover by N. Mirotić (bad pass; steal by T. Satoranský),33,41
166,2,7:58.0,J. Green makes 3-pt jump shot from 22 ft (assist by A. Rivers),,36,41
167,2,7:48.0,,New Orleans full timeout,36,41
168,2,7:48.0,,A. Davis enters the game for W. Johnson,36,41
169,2,7:48.0,,J. Holiday enters the game for J. Randle,36,41
170,2,7:28.0,,A. Davis misses 2-pt layup from 3 ft,36,41
171,2,7:28.0,,Offensive rebound by N. Mirotić,36,41
172,2,7:28.0,,Shooting foul by B. Beal (drawn by N. Mirotić),36,41
173,2,7:28.0,,N. Mirotić makes free throw 1 of 2,36,42
174,2,7:28.0,,N. Mirotić makes free throw 2 of 2,36,43
175,2,7:13.0,M. Morris makes 2-pt jump shot from 9 ft (assist by B. Beal),,38,43
176,2,7:03.0,,N. Mirotić misses 3-pt jump shot from 28 ft,38,43
177,2,7:03.0,Defensive rebound by A. Rivers,,38,43
178,2,6:49.0,T. Satoranský misses 2-pt jump shot from 4 ft,,38,43
179,2,6:47.0,,Defensive rebound by A. Davis,38,43
180,2,6:42.0,,E. Moore makes 3-pt jump shot from 26 ft (assist by J. Holiday),38,46
181,2,6:26.0,J. Green makes 2-pt layup from 2 ft (assist by B. Beal),,40,46
182,2,6:18.0,,T. Frazier makes 2-pt layup from 2 ft,40,48
183,2,6:18.0,Washington full timeout,,40,48
184,2,6:18.0,K. Oubre enters the game for J. Green,,40,48
185,2,6:18.0,J. Wall enters the game for T. Satoranský,,40,48
186,2,5:59.0,Turnover by B. Beal (lost ball; steal by E. Moore),,40,48
187,2,5:53.0,,E. Moore misses 3-pt jump shot from 26 ft,40,48
188,2,5:53.0,,Offensive rebound by Team,40,48
189,2,5:49.0,,T. Frazier makes 3-pt jump shot from 24 ft (assist by E. Moore),40,51
190,2,5:49.0,,J. Randle enters the game for N. Mirotić,40,51
191,2,5:20.0,M. Morris misses 3-pt jump shot from 27 ft,,40,51
192,2,5:14.0,,Defensive rebound by J. Randle,40,51
193,2,5:05.0,,A. Davis makes 2-pt jump shot from 15 ft,40,53
194,2,4:44.0,M. Morris misses 2-pt jump shot from 3 ft (block by J. Randle),,40,53
195,2,4:40.0,,Defensive rebound by T. Frazier,40,53
196,2,4:40.0,,E. Moore misses 2-pt layup from 3 ft (block by B. Beal),40,53
197,2,4:40.0,,Offensive rebound by Team,40,53
198,2,4:40.0,O. Porter enters the game for A. Rivers,,40,53
199,2,4:32.0,,A. Davis misses 2-pt jump shot from 21 ft,40,53
200,2,4:29.0,,Offensive rebound by J. Holiday,40,53
201,2,4:20.0,,J. Holiday misses 3-pt jump shot from 27 ft,40,53
202,2,4:15.0,Defensive rebound by B. Beal,,40,53
203,2,4:06.0,Turnover by M. Morris (bad pass; steal by T. Frazier),,40,53
204,2,4:02.0,,J. Randle makes 2-pt dunk from 1 ft (assist by T. Frazier),40,55
205,2,4:02.0,Washington full timeout,,40,55
206,2,4:02.0,,D. Miller enters the game for E. Moore,40,55
207,2,3:51.0,K. Oubre misses 3-pt jump shot from 23 ft,,40,55
208,2,3:47.0,,Defensive rebound by A. Davis,40,55
209,2,3:27.0,,J. Randle misses 2-pt layup from 3 ft (block by K. Oubre),40,55
210,2,3:27.0,,Offensive rebound by Team,40,55
211,2,3:27.0,,Away from play foul by M. Morris (drawn by A. Davis),40,55
212,2,3:27.0,,A. Davis makes free throw 1 of 1,40,56
213,2,3:17.0,,T. Frazier misses 3-pt jump shot from 25 ft,40,56
214,2,3:14.0,Defensive rebound by O. Porter,,40,56
215,2,3:09.0,K. Oubre misses 2-pt jump shot from 8 ft,,40,56
216,2,3:07.0,,Defensive rebound by A. Davis,40,56
217,2,2:57.0,,J. Randle misses 2-pt layup from 5 ft,40,56
218,2,2:54.0,Defensive rebound by M. Morris,,40,56
219,2,2:49.0,M. Morris misses 3-pt jump shot from 24 ft,,40,56
220,2,2:45.0,,Defensive rebound by J. Holiday,40,56
221,2,2:30.0,,A. Davis misses 2-pt jump shot from 12 ft,40,56
222,2,2:28.0,,Offensive rebound by J. Randle,40,56
223,2,2:26.0,,J. Randle misses 2-pt layup from 3 ft,40,56
224,2,2:24.0,,Offensive rebound by J. Randle,40,56
225,2,2:23.0,,J. Randle makes 2-pt layup from 2 ft,40,58
226,2,1:58.0,J. Wall makes 3-pt jump shot from 25 ft (assist by B. Beal),,43,58
227,2,1:43.0,,J. Holiday makes 2-pt layup from 2 ft,43,60
228,2,1:32.0,Shooting foul by J. Randle (drawn by J. Wall),,43,60
229,2,1:32.0,J. Wall makes free throw 1 of 2,,44,60
230,2,1:32.0,J. Green enters the game for M. Morris,,44,60
231,2,1:32.0,J. Wall makes free throw 2 of 2,,45,60
232,2,1:19.0,,A. Davis makes 2-pt layup from 1 ft (assist by J. Holiday),45,62
233,2,0:59.0,K. Oubre misses 2-pt layup from 5 ft,,45,62
234,2,0:59.0,Offensive rebound by O. Porter,,45,62
235,2,0:58.0,O. Porter misses 2-pt layup at rim,,45,62
236,2,0:58.0,Offensive rebound by K. Oubre,,45,62
237,2,0:55.0,K. Oubre misses 2-pt layup at rim (block by A. Davis),,45,62
238,2,0:54.0,,Defensive rebound by J. Holiday,45,62
239,2,0:52.0,,J. Randle makes 2-pt layup from 3 ft (assist by T. Frazier),45,64
240,2,0:52.0,,Shooting foul by J. Wall (drawn by J. Randle),45,64
241,2,0:52.0,,J. Randle makes free throw 1 of 1,45,65
242,2,0:40.0,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),,47,65
243,2,0:33.0,,Turnover by T. Frazier (bad pass; steal by B. Beal),47,65
244,2,0:29.0,Turnover by B. Beal (bad pass; steal by T. Frazier),,47,65
245,2,0:26.0,,D. Miller misses 3-pt jump shot from 26 ft,47,65
246,2,0:25.0,,Offensive rebound by J. Randle,47,65
247,2,0:25.0,,J. Randle makes 2-pt layup from 1 ft,47,67
248,2,0:04.0,B. Beal misses 2-pt layup from 1 ft,,47,67
249,2,0:02.0,,Defensive rebound by A. Davis,47,67
250,2,0:00.0,,A. Davis misses 3-pt jump shot from 39 ft,47,67
251,2,0:00.0,,Offensive rebound by Team,47,67
252,3,11:48.0,O. Porter misses 3-pt jump shot from 25 ft,,47,67
253,3,11:43.0,,Defensive rebound by T. Frazier,47,67
254,3,11:41.0,,E. Moore makes 2-pt layup from 3 ft (assist by T. Frazier),47,69
255,3,11:22.0,J. Wall makes 2-pt layup from 2 ft (assist by B. Beal),,49,69
256,3,11:13.0,,Turnover by J. Holiday (bad pass; steal by O. Porter),49,69
257,3,11:03.0,Turnover by J. Wall (bad pass; steal by J. Holiday),,49,69
258,3,10:51.0,,A. Davis makes 2-pt layup from 3 ft (assist by T. Frazier),49,71
259,3,10:35.0,B. Beal makes 2-pt jump shot from 21 ft (assist by J. Wall),,51,71
260,3,10:28.0,,E. Moore misses 2-pt layup from 1 ft,51,71
261,3,10:25.0,Defensive rebound by T. Bryant,,51,71
262,3,10:17.0,K. Oubre makes 2-pt jump shot from 9 ft (assist by J. Wall),,53,71
263,3,10:01.0,,Turnover by J. Holiday (bad pass; steal by B. Beal),53,71
264,3,9:57.0,O. Porter makes 3-pt jump shot from 23 ft (assist by J. Wall),,56,71
265,3,9:55.0,,New Orleans full timeout,56,71
266,3,9:41.0,,Turnover by E. Moore (lost ball; steal by K. Oubre),56,71
267,3,9:37.0,Personal foul by T. Frazier (drawn by T. Bryant),,56,71
268,3,9:24.0,J. Wall makes 2-pt jump shot from 17 ft,,58,71
269,3,9:10.0,,A. Davis misses 3-pt jump shot from 27 ft,58,71
270,3,9:10.0,Defensive rebound by B. Beal,,58,71
271,3,9:02.0,J. Wall makes 2-pt jump shot from 16 ft,,60,71
272,3,8:50.0,,A. Davis makes 2-pt layup from 2 ft,60,73
273,3,8:30.0,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),,62,73
274,3,8:21.0,,E. Moore makes 2-pt jump shot from 13 ft (assist by T. Frazier),62,75
275,3,8:06.0,Offensive foul by T. Bryant (drawn by T. Frazier),,62,75
276,3,8:06.0,Turnover by T. Bryant (offensive foul),,62,75
277,3,7:58.0,,Personal foul by O. Porter (drawn by A. Davis),62,75
278,3,7:57.0,,A. Davis makes 3-pt jump shot from 26 ft (assist by T. Frazier),62,78
279,3,7:43.0,J. Wall makes 2-pt jump shot from 13 ft,,64,78
280,3,7:26.0,,N. Mirotić misses 2-pt jump shot from 23 ft,64,78
281,3,7:24.0,,Offensive rebound by A. Davis,64,78
282,3,7:24.0,,A. Davis makes 2-pt jump shot from 7 ft,64,80
283,3,7:24.0,,Shooting foul by T. Bryant (drawn by A. Davis),64,80
284,3,7:24.0,M. Morris enters the game for T. Bryant,,64,80
285,3,7:24.0,,A. Davis makes free throw 1 of 1,64,81
286,3,7:05.0,B. Beal makes 2-pt layup from 3 ft,,66,81
287,3,6:44.0,,E. Moore makes 2-pt jump shot from 13 ft,66,83
288,3,6:31.0,Offensive foul by J. Wall (drawn by J. Holiday),,66,83
289,3,6:31.0,Turnover by J. Wall (offensive foul),,66,83
290,3,6:25.0,,A. Davis misses 3-pt jump shot from 26 ft,66,83
291,3,6:20.0,Defensive rebound by K. Oubre,,66,83
292,3,6:13.0,Shooting foul by A. Davis (drawn by J. Wall),,66,83
293,3,6:13.0,J. Wall makes free throw 1 of 2,,67,83
294,3,6:13.0,J. Wall misses free throw 2 of 2,,67,83
295,3,6:10.0,,Defensive rebound by T. Frazier,67,83
296,3,6:05.0,,Turnover by A. Davis (out of bounds lost ball),67,83
297,3,5:51.0,K. Oubre misses 3-pt jump shot from 26 ft,,67,83
298,3,5:47.0,,Defensive rebound by J. Holiday,67,83
299,3,5:37.0,,E. Moore misses 2-pt jump shot from 4 ft,67,83
300,3,5:35.0,,Offensive rebound by T. Frazier,67,83
301,3,5:31.0,,A. Davis makes 3-pt jump shot from 26 ft (assist by J. Holiday),67,86
302,3,5:28.0,Washington full timeout,,67,86
303,3,5:28.0,,W. Johnson enters the game for T. Frazier,67,86
304,3,5:28.0,,D. Miller enters the game for N. Mirotić,67,86
305,3,5:28.0,,J. Randle enters the game for E. Moore,67,86
306,3,5:22.0,Personal foul by W. Johnson (drawn by M. Morris),,67,86
307,3,5:08.0,B. Beal makes 2-pt layup from 3 ft,,69,86
308,3,4:45.0,,J. Holiday misses 2-pt layup from 2 ft,69,86
309,3,4:45.0,Defensive rebound by J. Wall,,69,86
310,3,4:40.0,J. Wall misses 2-pt layup from 2 ft,,69,86
311,3,4:37.0,,Defensive rebound by A. Davis,69,86
312,3,4:30.0,,J. Randle misses 2-pt layup from 1 ft,69,86
313,3,4:30.0,,Offensive rebound by A. Davis,69,86
314,3,4:30.0,,Shooting foul by B. Beal (drawn by A. Davis),69,86
315,3,4:30.0,,A. Davis makes free throw 1 of 2,69,87
316,3,4:30.0,,A. Davis makes free throw 2 of 2,69,88
317,3,4:24.0,B. Beal misses 3-pt jump shot from 25 ft,,69,88
318,3,4:22.0,,Defensive rebound by J. Randle,69,88
319,3,4:16.0,,Turnover by A. Davis (bad pass),69,88
320,3,4:05.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by B. Beal),,72,88
321,3,3:53.0,,D. Miller misses 2-pt jump shot from 19 ft,72,88
322,3,3:49.0,Defensive rebound by O. Porter,,72,88
323,3,3:42.0,B. Beal makes 3-pt jump shot from 28 ft (assist by J. Wall),,75,88
324,3,3:24.0,,Personal foul by M. Morris (drawn by A. Davis),75,88
325,3,3:24.0,J. Green enters the game for O. Porter,,75,88
326,3,3:12.0,,J. Randle misses 3-pt jump shot from 23 ft,75,88
327,3,3:09.0,Defensive rebound by K. Oubre,,75,88
328,3,3:05.0,B. Beal misses 3-pt jump shot from 28 ft,,75,88
329,3,2:57.0,,Defensive rebound by D. Miller,75,88
330,3,2:55.0,,A. Davis misses 2-pt jump shot from 12 ft,75,88
331,3,2:53.0,Defensive rebound by M. Morris,,75,88
332,3,2:40.0,J. Wall misses 3-pt jump shot from 26 ft,,75,88
333,3,2:37.0,,Defensive rebound by A. Davis,75,88
334,3,2:35.0,,Turnover by J. Randle (step out of bounds),75,88
335,3,2:24.0,M. Morris misses 3-pt jump shot from 27 ft,,75,88
336,3,2:21.0,,Defensive rebound by J. Randle,75,88
337,3,2:13.0,,J. Holiday makes 2-pt layup from 2 ft,75,90
338,3,2:00.0,Turnover by J. Wall (bad pass; steal by D. Miller),,75,90
339,3,1:55.0,,Shooting foul by J. Wall (drawn by J. Holiday),75,90
340,3,1:55.0,Technical foul by J. Wall,,75,90
341,3,1:55.0,,A. Davis makes technical free throw,75,91
342,3,1:55.0,T. Satoranský enters the game for J. Wall,,75,91
343,3,1:55.0,,N. Mirotić enters the game for A. Davis,75,91
344,3,1:55.0,,J. Holiday misses free throw 1 of 2,75,91
345,3,1:55.0,,Offensive rebound by Team,75,91
346,3,1:55.0,,J. Holiday makes free throw 2 of 2,75,92
347,3,1:46.0,J. Green misses 3-pt jump shot from 23 ft,,75,92
348,3,1:38.0,Offensive rebound by M. Morris,,75,92
349,3,1:38.0,M. Morris makes 2-pt layup from 1 ft,,77,92
350,3,1:38.0,,Offensive foul by J. Randle (drawn by J. Green),77,92
351,3,1:38.0,,Turnover by J. Randle (offensive foul),77,92
352,3,1:38.0,A. Rivers enters the game for K. Oubre,,77,92
353,3,1:29.0,Def 3 sec tech foul by Team,,77,92
354,3,1:29.0,B. Beal makes technical free throw,,78,92
355,3,1:20.0,M. Morris makes 3-pt jump shot from 25 ft (assist by B. Beal),,81,92
356,3,1:11.0,,N. Mirotić misses 2-pt layup from 2 ft,81,92
357,3,1:10.0,Defensive rebound by Team,,81,92
358,3,1:01.0,Personal foul by W. Johnson (drawn by B. Beal),,81,92
359,3,1:01.0,,S. Hill enters the game for W. Johnson,81,92
360,3,0:59.0,T. Satoranský misses 2-pt jump shot from 17 ft,,81,92
361,3,0:56.0,,Defensive rebound by N. Mirotić,81,92
362,3,0:51.0,,J. Holiday makes 2-pt dunk from 4 ft,81,94
363,3,0:43.0,Turnover by T. Satoranský (traveling),,81,94
364,3,0:34.0,,Personal foul by T. Satoranský (drawn by J. Holiday),81,94
365,3,0:34.0,,J. Holiday misses free throw 1 of 2,81,94
366,3,0:34.0,,Offensive rebound by Team,81,94
367,3,0:34.0,,J. Holiday makes free throw 2 of 2,81,95
368,3,0:13.0,J. Green misses 3-pt jump shot from 28 ft,,81,95
369,3,0:08.0,,Defensive rebound by N. Mirotić,81,95
370,3,0:01.0,,N. Mirotić makes 3-pt jump shot from 29 ft (assist by J. Holiday),81,98
371,4,11:45.0,,J. Randle makes 2-pt jump shot from 8 ft,81,100
372,4,11:32.0,B. Beal misses 2-pt jump shot from 20 ft,,81,100
373,4,11:27.0,,Defensive rebound by E. Moore,81,100
374,4,11:19.0,,Shooting foul by T. Satoranský (drawn by E. Moore),81,100
375,4,11:19.0,,E. Moore makes free throw 1 of 2,81,101
376,4,11:19.0,,E. Moore misses free throw 2 of 2,81,101
377,4,11:16.0,Defensive rebound by M. Morris,,81,101
378,4,11:03.0,J. Green misses 2-pt jump shot from 6 ft (block by N. Mirotić),,81,101
379,4,11:00.0,,Defensive rebound by J. Randle,81,101
380,4,10:50.0,,Shooting foul by A. Rivers (drawn by N. Mirotić),81,101
381,4,10:50.0,,N. Mirotić makes free throw 1 of 2,81,102
382,4,10:50.0,,N. Mirotić makes free throw 2 of 2,81,103
383,4,10:34.0,Turnover by A. Rivers (bad pass),,81,103
384,4,10:23.0,,N. Mirotić misses 3-pt jump shot from 27 ft,81,103
385,4,10:21.0,Defensive rebound by M. Morris,,81,103
386,4,10:15.0,M. Morris makes 3-pt jump shot from 27 ft (assist by A. Rivers),,84,103
387,4,10:04.0,,T. Frazier makes 2-pt layup from 2 ft,84,105
