,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW YORK_ACTION,PHOENIX_SCORE,NEW YORK_SCORE
387,4,8:30.0,,Defensive rebound by L. Kornet,109,88
388,4,8:25.0,,K. Knox makes 2-pt layup from 1 ft,109,90
389,4,8:25.0,Phoenix full timeout,,109,90
390,4,8:25.0,M. Bridges enters the game for T. Warren,,109,90
391,4,8:25.0,,E. Mudiay enters the game for F. Ntilikina,109,90
392,4,8:12.0,J. Crawford misses 2-pt jump shot from 10 ft,,109,90
393,4,8:10.0,Offensive rebound by Team,,109,90
394,4,7:58.0,D. Booker misses 2-pt jump shot from 18 ft,,109,90
395,4,7:56.0,,Defensive rebound by M. Hezonja,109,90
396,4,7:48.0,,M. Hezonja misses 2-pt layup from 1 ft,109,90
397,4,7:46.0,Defensive rebound by R. Holmes,,109,90
398,4,7:37.0,Turnover by D. Booker (bad pass; steal by L. Kornet),,109,90
399,4,7:33.0,,M. Hezonja makes 2-pt dunk from 1 ft (assist by T. Burke),109,92
400,4,7:17.0,J. Crawford misses 2-pt jump shot from 17 ft,,109,92
401,4,7:15.0,,Defensive rebound by M. Hezonja,109,92
402,4,7:11.0,,M. Hezonja makes 3-pt jump shot from 25 ft,109,95
403,4,6:45.0,D. Booker makes 2-pt layup from 1 ft,,111,95
404,4,6:34.0,,L. Kornet misses 3-pt jump shot from 25 ft,111,95
405,4,6:32.0,Defensive rebound by R. Holmes,,111,95
406,4,6:19.0,D. Booker misses 2-pt layup from 1 ft,,111,95
407,4,6:18.0,,Defensive rebound by Team,111,95
408,4,6:18.0,D. Ayton enters the game for R. Holmes,,111,95
409,4,6:18.0,T. Warren enters the game for J. Jackson,,111,95
410,4,6:18.0,,E. Freedom enters the game for L. Kornet,111,95
411,4,6:09.0,,M. Hezonja misses 3-pt jump shot from 26 ft,111,95
412,4,6:07.0,Defensive rebound by D. Ayton,,111,95
413,4,5:55.0,D. Booker makes 2-pt jump shot from 16 ft (assist by J. Crawford),,113,95
414,4,5:29.0,,E. Freedom makes 2-pt layup from 1 ft (assist by E. Mudiay),113,97
415,4,5:07.0,Turnover by D. Ayton (bad pass; steal by T. Burke),,113,97
416,4,5:06.0,,M. Hezonja makes 2-pt layup from 1 ft,113,99
417,4,5:06.0,,Shooting foul by D. Booker (drawn by M. Hezonja),113,99
418,4,5:06.0,Phoenix full timeout,,113,99
419,4,5:06.0,,M. Hezonja misses free throw 1 of 1,113,99
420,4,5:04.0,Defensive rebound by M. Bridges,,113,99
421,4,4:50.0,Shooting foul by E. Mudiay (drawn by D. Booker),,113,99
422,4,4:50.0,D. Booker makes free throw 1 of 2,,114,99
423,4,4:50.0,D. Booker makes free throw 2 of 2,,115,99
424,4,4:37.0,,E. Freedom misses 2-pt hook shot from 6 ft,115,99
425,4,4:35.0,Defensive rebound by D. Ayton,,115,99
426,4,4:28.0,D. Booker misses 3-pt jump shot from 25 ft,,115,99
427,4,4:26.0,,Defensive rebound by E. Freedom,115,99
428,4,4:20.0,,Shooting foul by M. Bridges (drawn by E. Mudiay),115,99
429,4,4:20.0,,E. Mudiay makes free throw 1 of 2,115,100
430,4,4:20.0,,F. Ntilikina enters the game for T. Burke,115,100
431,4,4:20.0,,E. Mudiay makes free throw 2 of 2,115,101
432,4,4:07.0,T. Warren makes 2-pt jump shot from 18 ft,,117,101
433,4,3:52.0,,E. Mudiay makes 2-pt layup from 1 ft,117,103
434,4,3:35.0,T. Warren misses 2-pt jump shot from 14 ft,,117,103
435,4,3:33.0,Offensive rebound by D. Ayton,,117,103
436,4,3:19.0,D. Ayton misses 2-pt layup from 5 ft,,117,103
437,4,3:18.0,Offensive rebound by Team,,117,103
438,4,3:10.0,D. Booker misses 2-pt jump shot from 17 ft,,117,103
439,4,3:08.0,,Defensive rebound by E. Mudiay,117,103
440,4,3:03.0,,Shooting foul by M. Bridges (drawn by E. Mudiay),117,103
441,4,3:03.0,,E. Mudiay makes free throw 1 of 2,117,104
442,4,3:03.0,,E. Mudiay makes free throw 2 of 2,117,105
443,4,2:50.0,T. Warren makes 3-pt jump shot from 26 ft (assist by J. Crawford),,120,105
444,4,2:34.0,,K. Knox misses 3-pt jump shot from 23 ft,120,105
445,4,2:33.0,Defensive rebound by D. Booker,,120,105
446,4,2:33.0,Personal foul by M. Hezonja (drawn by D. Booker),,120,105
447,4,2:33.0,D. Melton enters the game for J. Crawford,,120,105
448,4,2:33.0,,T. Burke enters the game for E. Freedom,120,105
449,4,2:33.0,,L. Kornet enters the game for E. Mudiay,120,105
450,4,2:18.0,D. Ayton misses 2-pt jump shot from 17 ft,,120,105
451,4,2:16.0,,Defensive rebound by M. Hezonja,120,105
452,4,2:09.0,,L. Kornet misses 3-pt jump shot from 23 ft,120,105
453,4,2:07.0,Defensive rebound by T. Warren,,120,105
454,4,1:48.0,D. Booker makes 2-pt jump shot from 19 ft,,122,105
455,4,1:48.0,Shooting foul by F. Ntilikina (drawn by D. Booker),,122,105
456,4,1:48.0,D. Bender enters the game for T. Warren,,122,105
457,4,1:48.0,D. Booker makes free throw 1 of 1,,123,105
458,4,1:41.0,,F. Ntilikina misses 3-pt jump shot from 23 ft,123,105
459,4,1:40.0,,Offensive rebound by Team,123,105
460,4,1:40.0,Loose ball foul by M. Bridges (drawn by L. Kornet),,123,105
461,4,1:40.0,,L. Kornet makes free throw 1 of 2,123,106
462,4,1:40.0,,L. Kornet makes free throw 2 of 2,123,107
463,4,1:21.0,D. Melton makes 3-pt jump shot from 26 ft (assist by D. Booker),,126,107
464,4,1:08.0,,Personal foul by D. Booker (drawn by F. Ntilikina),126,107
465,4,1:08.0,,F. Ntilikina misses free throw 1 of 2,126,107
466,4,1:08.0,,Offensive rebound by Team,126,107
467,4,1:08.0,,F. Ntilikina makes free throw 2 of 2,126,108
468,4,0:55.0,D. Booker makes 2-pt layup from 1 ft,,128,108
469,4,0:49.0,,T. Burke misses 2-pt jump shot from 19 ft,128,108
470,4,0:47.0,Defensive rebound by D. Booker,,128,108
471,4,0:41.0,D. Booker misses 2-pt jump shot from 16 ft,,128,108
472,4,0:39.0,,Defensive rebound by K. Knox,128,108
473,4,0:23.0,,M. Hezonja makes 2-pt layup at rim (assist by L. Kornet),128,110
