,QUARTER,TIME_REMAINING,DENVER_ACTION,DETROIT_ACTION,DENVER_SCORE,DETROIT_SCORE
378,4,8:12.0,M. Beasley misses 3-pt jump shot from 26 ft,,90,112
379,4,8:06.0,,Defensive rebound by Z. Pachulia,90,112
380,4,8:02.0,,Personal foul by M. Beasley (drawn by S. Johnson),90,112
381,4,7:48.0,,Z. Pachulia makes 2-pt layup from 2 ft (assist by I. Smith),90,114
382,4,7:36.0,Turnover by M. Plumlee (lost ball; steal by L. Galloway),,90,114
383,4,7:31.0,,L. Galloway misses 3-pt jump shot from 26 ft,90,114
384,4,7:27.0,Defensive rebound by M. Plumlee,,90,114
385,4,7:17.0,Turnover by M. Plumlee (bad pass; steal by S. Johnson),,90,114
386,4,7:14.0,,Shooting foul by M. Morris (drawn by S. Johnson),90,114
387,4,7:14.0,Denver full timeout,,90,114
388,4,7:14.0,W. Barton enters the game for M. Beasley,,90,114
389,4,7:14.0,,S. Johnson makes free throw 1 of 2,90,115
390,4,7:14.0,,S. Johnson makes free throw 2 of 2,90,116
391,4,7:03.0,Shooting foul by I. Smith (drawn by W. Barton),,90,116
392,4,7:03.0,W. Barton misses free throw 1 of 2,,90,116
393,4,7:03.0,Offensive rebound by Team,,90,116
394,4,7:03.0,W. Barton makes free throw 2 of 2,,91,116
395,4,6:47.0,,Z. Pachulia misses 2-pt layup from 3 ft,91,116
396,4,6:44.0,,Offensive rebound by S. Johnson,91,116
397,4,6:42.0,,L. Galloway makes 3-pt jump shot from 27 ft (assist by S. Johnson),91,119
398,4,6:42.0,,Shooting foul by M. Morris (drawn by L. Galloway),91,119
399,4,6:42.0,,L. Galloway makes free throw 1 of 1,91,120
400,4,6:29.0,M. Plumlee misses 2-pt hook shot from 5 ft,,91,120
401,4,6:27.0,,Defensive rebound by I. Smith,91,120
402,4,6:25.0,,Turnover by I. Smith (bad pass; steal by W. Barton),91,120
403,4,6:20.0,J. Hernangómez misses 3-pt jump shot from 26 ft,,91,120
404,4,6:17.0,,Defensive rebound by I. Smith,91,120
405,4,5:59.0,,I. Smith misses 2-pt jump shot from 19 ft,91,120
406,4,5:54.0,Defensive rebound by J. Hernangómez,,91,120
407,4,5:47.0,M. Plumlee makes 2-pt layup from 1 ft (assist by J. Hernangómez),,93,120
408,4,5:32.0,,L. Galloway makes 2-pt layup from 2 ft (assist by Z. Pachulia),93,122
409,4,5:32.0,Denver full timeout,,93,122
410,4,5:32.0,T. Craig enters the game for W. Barton,,93,122
411,4,5:32.0,B. Goodwin enters the game for M. Morris,,93,122
412,4,5:32.0,T. Lydon enters the game for M. Plumlee,,93,122
413,4,5:32.0,,J. Calderón enters the game for I. Smith,93,122
414,4,5:20.0,T. Lyles makes 2-pt jump shot from 11 ft (assist by B. Goodwin),,95,122
415,4,4:53.0,,Turnover by L. Kennard (bad pass; steal by J. Hernangómez),95,122
416,4,4:41.0,B. Goodwin misses 2-pt jump shot from 17 ft,,95,122
417,4,4:38.0,Offensive rebound by T. Lydon,,95,122
418,4,4:37.0,T. Lyles makes 3-pt jump shot from 27 ft (assist by T. Lydon),,98,122
419,4,4:19.0,,L. Galloway misses 3-pt jump shot from 26 ft,98,122
420,4,4:17.0,Defensive rebound by Team,,98,122
421,4,4:01.0,B. Goodwin misses 3-pt jump shot from 28 ft,,98,122
422,4,3:56.0,,Defensive rebound by S. Johnson,98,122
423,4,3:53.0,,L. Kennard makes 3-pt jump shot from 24 ft (assist by J. Calderón),98,125
424,4,3:35.0,T. Lyles misses 3-pt jump shot from 26 ft,,98,125
425,4,3:35.0,,Defensive rebound by S. Johnson,98,125
426,4,3:24.0,,Turnover by Z. Pachulia (bad pass),98,125
427,4,3:24.0,,J. Leuer enters the game for L. Galloway,98,125
428,4,3:24.0,,K. Thomas enters the game for Z. Pachulia,98,125
429,4,3:11.0,J. Hernangómez misses 2-pt jump shot from 6 ft,,98,125
430,4,3:09.0,,Defensive rebound by S. Johnson,98,125
431,4,2:50.0,,S. Johnson makes 2-pt jump shot from 16 ft,98,127
432,4,2:31.0,B. Goodwin misses 2-pt hook shot from 8 ft,,98,127
433,4,2:28.0,,Defensive rebound by S. Johnson,98,127
434,4,2:26.0,,Turnover by L. Kennard (step out of bounds),98,127
435,4,2:09.0,J. Hernangómez makes 3-pt jump shot from 29 ft (assist by B. Goodwin),,101,127
436,4,1:40.0,,L. Kennard makes 2-pt jump shot from 20 ft,101,129
437,4,1:31.0,J. Hernangómez misses 2-pt layup from 5 ft,,101,129
438,4,1:29.0,,Defensive rebound by S. Johnson,101,129
439,4,1:19.0,,Offensive foul by J. Leuer (drawn by B. Goodwin),101,129
440,4,1:19.0,,Turnover by J. Leuer (offensive foul),101,129
441,4,1:19.0,,Technical foul by J. Leuer,101,129
442,4,1:19.0,J. Hernangómez misses technical free throw,,101,129
443,4,1:19.0,Offensive rebound by Team,,101,129
444,4,1:06.0,B. Goodwin makes 2-pt layup from 4 ft (assist by T. Lyles),,103,129
445,4,0:48.0,,K. Thomas misses 2-pt layup from 3 ft,103,129
446,4,0:47.0,Defensive rebound by T. Lydon,,103,129
447,4,0:40.0,T. Craig misses 2-pt jump shot from 7 ft,,103,129
448,4,0:37.0,,Defensive rebound by J. Leuer,103,129
449,4,0:21.0,,L. Kennard misses 3-pt jump shot from 24 ft,103,129
450,4,0:18.0,Defensive rebound by J. Hernangómez,,103,129
451,4,0:10.0,B. Goodwin misses 3-pt jump shot from 27 ft,,103,129
452,4,0:07.0,,Defensive rebound by J. Leuer,103,129
