,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DENVER_ACTION,GOLDEN STATE_SCORE,DENVER_SCORE
103,1,2:39.0,Defensive rebound by Team,,20,13
104,1,2:28.0,Shooting foul by M. Plumlee (drawn by S. Curry),,20,13
105,1,2:28.0,S. Curry makes free throw 1 of 3,,21,13
106,1,2:28.0,S. Curry makes free throw 2 of 3,,22,13
107,1,2:28.0,,G. Harris enters the game for M. Beasley,22,13
108,1,2:28.0,,M. Morris enters the game for J. Murray,22,13
109,1,2:28.0,S. Curry makes free throw 3 of 3,,23,13
110,1,2:10.0,,J. Hernangómez misses 2-pt layup from 5 ft (block by A. Iguodala),23,13
111,1,2:10.0,,Offensive rebound by Team,23,13
112,1,2:10.0,,Personal foul by A. Iguodala (drawn by M. Plumlee),23,13
113,1,2:10.0,,M. Plumlee misses free throw 1 of 2,23,13
114,1,2:10.0,,Offensive rebound by Team,23,13
115,1,2:10.0,,M. Plumlee misses free throw 2 of 2,23,13
116,1,2:06.0,Defensive rebound by K. Looney,,23,13
117,1,2:01.0,S. Curry makes 2-pt layup from 1 ft,,25,13
118,1,2:00.0,,Denver full timeout,25,13
119,1,1:49.0,,M. Plumlee makes 2-pt dunk from 2 ft (assist by G. Harris),25,15
120,1,1:34.0,A. McKinnie misses 2-pt dunk from 1 ft,,25,15
121,1,1:30.0,,Defensive rebound by T. Lyles,25,15
122,1,1:28.0,,M. Morris misses 2-pt jump shot from 15 ft,25,15
123,1,1:27.0,Defensive rebound by Team,,25,15
124,1,1:15.0,Turnover by A. Iguodala (traveling),,25,15
125,1,1:06.0,,Shooting foul by J. Jerebko (drawn by M. Plumlee),25,15
126,1,1:06.0,,M. Plumlee makes free throw 1 of 2,25,16
127,1,1:06.0,,M. Plumlee makes free throw 2 of 2,25,17
128,1,0:52.0,A. McKinnie misses 2-pt jump shot from 21 ft,,25,17
129,1,0:50.0,,Defensive rebound by M. Morris,25,17
130,1,0:32.0,,M. Plumlee misses 2-pt hook shot from 5 ft,25,17
131,1,0:30.0,Defensive rebound by A. Iguodala,,25,17
132,1,0:25.0,S. Curry misses 2-pt layup from 2 ft,,25,17
133,1,0:23.0,,Defensive rebound by M. Plumlee,25,17
134,1,0:03.0,,G. Harris misses 3-pt jump shot from 24 ft,25,17
135,1,0:03.0,Defensive rebound by J. Jerebko,,25,17
136,2,12:00.0,,Violation by Team (delay of game),25,17
137,2,11:41.0,,M. Morris misses 2-pt jump shot from 7 ft,25,17
138,2,11:39.0,,Offensive rebound by Team,25,17
139,2,11:39.0,Loose ball foul by D. Green (drawn by M. Plumlee),,25,17
140,2,11:38.0,,Personal foul by Q. Cook (drawn by M. Morris),25,17
141,2,11:26.0,,T. Lyles makes 2-pt jump shot from 17 ft (assist by M. Morris),25,19
142,2,11:10.0,K. Thompson misses 2-pt jump shot from 19 ft,,25,19
143,2,11:07.0,,Defensive rebound by J. Hernangómez,25,19
144,2,11:01.0,,T. Lyles misses 3-pt jump shot from 26 ft,25,19
145,2,10:59.0,Defensive rebound by Team,,25,19
146,2,10:41.0,Turnover by J. Jerebko (bad pass; steal by G. Harris),,25,19
147,2,10:37.0,,G. Harris makes 2-pt jump shot from 22 ft (assist by T. Lyles),25,21
148,2,10:35.0,Golden State full timeout,,25,21
149,2,10:21.0,J. Jerebko makes 2-pt jump shot from 16 ft (assist by D. Green),,27,21
150,2,10:05.0,,G. Harris misses 2-pt jump shot from 10 ft,27,21
151,2,10:00.0,,Offensive rebound by M. Plumlee,27,21
152,2,10:00.0,,M. Plumlee misses 2-pt layup from 1 ft,27,21
153,2,9:59.0,Defensive rebound by D. Green,,27,21
154,2,9:47.0,Shooting foul by M. Morris (drawn by J. Jerebko),,27,21
155,2,9:47.0,J. Jerebko makes free throw 1 of 3,,28,21
156,2,9:47.0,J. Jerebko makes free throw 2 of 3,,29,21
157,2,9:47.0,J. Jerebko makes free throw 3 of 3,,30,21
158,2,9:30.0,,G. Harris makes 2-pt layup from 1 ft (assist by M. Plumlee),30,23
159,2,9:11.0,K. Thompson misses 2-pt jump shot from 20 ft,,30,23
160,2,9:10.0,,Defensive rebound by Team,30,23
161,2,9:10.0,Loose ball foul by J. Jerebko (drawn by M. Plumlee),,30,23
162,2,9:10.0,K. Durant enters the game for A. Iguodala,,30,23
163,2,9:01.0,,Offensive foul by M. Plumlee (drawn by D. Green),30,23
164,2,9:01.0,,Turnover by M. Plumlee (offensive foul),30,23
165,2,8:52.0,Turnover by K. Durant (bad pass; steal by M. Plumlee),,30,23
166,2,8:48.0,,M. Plumlee makes 2-pt dunk from 1 ft,30,25
167,2,8:28.0,K. Durant misses 3-pt jump shot from 24 ft,,30,25
168,2,8:25.0,Offensive rebound by J. Jerebko,,30,25
169,2,8:22.0,K. Thompson misses 3-pt jump shot from 27 ft,,30,25
170,2,8:19.0,Offensive rebound by D. Green,,30,25
171,2,8:18.0,Q. Cook misses 3-pt jump shot from 23 ft,,30,25
172,2,8:18.0,Offensive rebound by Team,,30,25
173,2,8:16.0,,Loose ball foul by G. Harris (drawn by J. Jerebko),30,25
174,2,8:16.0,K. Looney enters the game for J. Jerebko,,30,25
175,2,8:11.0,K. Thompson misses 3-pt jump shot from 25 ft,,30,25
176,2,8:11.0,Offensive rebound by Team,,30,25
177,2,8:10.0,,Loose ball foul by G. Harris (drawn by D. Green),30,25
178,2,7:59.0,K. Durant makes 2-pt jump shot from 13 ft,,32,25
179,2,7:45.0,,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by T. Lyles),32,28
180,2,7:33.0,Turnover by K. Thompson (step out of bounds),,32,28
181,2,7:22.0,,T. Lyles misses 3-pt jump shot from 25 ft,32,28
182,2,7:18.0,Defensive rebound by K. Thompson,,32,28
183,2,7:13.0,Turnover by K. Thompson (bad pass; steal by T. Lyles),,32,28
184,2,7:06.0,,M. Morris misses 3-pt jump shot from 25 ft,32,28
185,2,7:04.0,,Offensive rebound by T. Lyles,32,28
186,2,7:04.0,,Shooting foul by D. Green (drawn by T. Lyles),32,28
187,2,7:04.0,,T. Lyles misses free throw 1 of 2,32,28
188,2,7:04.0,,Offensive rebound by Team,32,28
189,2,7:04.0,J. Bell enters the game for D. Green,,32,28
190,2,7:04.0,,T. Craig enters the game for G. Harris,32,28
191,2,7:04.0,,T. Lyles misses free throw 2 of 2,32,28
192,2,7:00.0,Defensive rebound by K. Durant,,32,28
193,2,6:56.0,K. Durant makes 2-pt layup from 2 ft,,34,28
194,2,6:46.0,,M. Morris makes 2-pt layup from 3 ft,34,30
195,2,6:21.0,K. Durant makes 2-pt jump shot from 5 ft,,36,30
196,2,6:07.0,,Shooting foul by J. Bell (drawn by T. Lyles),36,30
197,2,6:07.0,,T. Lyles makes free throw 1 of 2,36,31
198,2,6:07.0,S. Curry enters the game for K. Thompson,,36,31
199,2,6:07.0,,N. Jokić enters the game for M. Morris,36,31
200,2,6:07.0,,J. Murray enters the game for M. Plumlee,36,31
201,2,6:07.0,,T. Lyles makes free throw 2 of 2,36,32
202,2,5:49.0,Shooting foul by J. Murray (drawn by K. Looney),,36,32
203,2,5:49.0,K. Looney makes free throw 1 of 2,,37,32
204,2,5:49.0,A. Iguodala enters the game for Q. Cook,,37,32
205,2,5:49.0,,P. Millsap enters the game for T. Lyles,37,32
206,2,5:49.0,K. Looney makes free throw 2 of 2,,38,32
207,2,5:33.0,,J. Hernangómez misses 3-pt jump shot from 23 ft,38,32
208,2,5:32.0,,Offensive rebound by Team,38,32
209,2,5:27.0,,N. Jokić makes 2-pt jump shot from 17 ft (assist by J. Murray),38,34
210,2,5:12.0,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Looney),,41,34
211,2,5:12.0,Shooting foul by J. Murray (drawn by S. Curry),,41,34
212,2,5:12.0,,G. Harris enters the game for J. Hernangómez,41,34
213,2,5:12.0,S. Curry makes free throw 1 of 1,,42,34
214,2,5:01.0,,Personal foul by A. Iguodala (drawn by N. Jokić),42,34
215,2,5:01.0,,N. Jokić makes free throw 1 of 2,42,35
216,2,5:01.0,,N. Jokić makes free throw 2 of 2,42,36
217,2,4:52.0,K. Durant misses 2-pt jump shot from 11 ft,,42,36
218,2,4:49.0,,Defensive rebound by P. Millsap,42,36
219,2,4:45.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by T. Craig),42,39
220,2,4:30.0,S. Curry misses 2-pt layup from 4 ft,,42,39
221,2,4:30.0,Offensive rebound by Team,,42,39
222,2,4:30.0,,Loose ball foul by J. Murray (drawn by J. Bell),42,39
223,2,4:30.0,J. Bell makes free throw 1 of 2,,43,39
224,2,4:30.0,,M. Morris enters the game for J. Murray,43,39
225,2,4:30.0,J. Bell makes free throw 2 of 2,,44,39
226,2,4:10.0,,M. Morris misses 2-pt layup from 2 ft (block by K. Looney),44,39
227,2,4:07.0,,Offensive rebound by P. Millsap,44,39
228,2,4:07.0,,P. Millsap misses 2-pt jump shot from 10 ft (block by K. Looney),44,39
229,2,4:06.0,Defensive rebound by Team,,44,39
230,2,3:59.0,S. Curry misses 3-pt jump shot from 24 ft,,44,39
231,2,3:55.0,Offensive rebound by K. Looney,,44,39
232,2,3:43.0,K. Durant misses 2-pt jump shot from 11 ft,,44,39
233,2,3:40.0,,Defensive rebound by P. Millsap,44,39
234,2,3:35.0,,Shooting foul by K. Looney (drawn by P. Millsap),44,39
235,2,3:35.0,,P. Millsap misses free throw 1 of 2,44,39
236,2,3:35.0,,Offensive rebound by Team,44,39
237,2,3:35.0,K. Thompson enters the game for J. Bell,,44,39
238,2,3:35.0,,P. Millsap misses free throw 2 of 2,44,39
239,2,3:31.0,Defensive rebound by K. Looney,,44,39
240,2,3:25.0,Turnover by S. Curry (bad pass; steal by G. Harris),,44,39
241,2,3:21.0,,G. Harris makes 2-pt dunk from 1 ft,44,41
242,2,3:05.0,S. Curry misses 2-pt layup from 1 ft (block by T. Craig),,44,41
243,2,3:05.0,,Defensive rebound by M. Morris,44,41
244,2,2:55.0,,M. Morris makes 2-pt layup from 2 ft (assist by N. Jokić),44,43
245,2,2:31.0,Shooting foul by T. Craig (drawn by K. Durant),,44,43
246,2,2:31.0,,Denver full timeout,44,43
247,2,2:31.0,K. Durant makes free throw 1 of 2,,45,43
248,2,2:31.0,K. Durant makes free throw 2 of 2,,46,43
249,2,2:18.0,,N. Jokić misses 2-pt jump shot from 19 ft,46,43
250,2,2:14.0,Defensive rebound by S. Curry,,46,43
251,2,1:58.0,K. Thompson misses 3-pt jump shot from 24 ft,,46,43
252,2,1:55.0,,Defensive rebound by M. Morris,46,43
253,2,1:50.0,,G. Harris misses 3-pt jump shot from 24 ft,46,43
254,2,1:46.0,Defensive rebound by A. Iguodala,,46,43
255,2,1:38.0,Turnover by K. Durant (lost ball; steal by P. Millsap),,46,43
256,2,1:29.0,,G. Harris makes 2-pt layup from 2 ft,46,45
257,2,1:10.0,K. Looney makes 2-pt layup from 2 ft (assist by K. Durant),,48,45
258,2,0:51.0,,N. Jokić makes 2-pt layup from 2 ft (assist by M. Morris),48,47
259,2,0:30.0,Shooting foul by T. Craig (drawn by K. Durant),,48,47
260,2,0:30.0,K. Durant makes free throw 1 of 2,,49,47
261,2,0:30.0,A. McKinnie enters the game for A. Iguodala,,49,47
262,2,0:30.0,,J. Hernangómez enters the game for T. Craig,49,47
263,2,0:30.0,K. Durant misses free throw 2 of 2,,49,47
264,2,0:29.0,,Defensive rebound by N. Jokić,49,47
265,2,0:21.0,,Personal foul by S. Curry (drawn by M. Morris),49,47
266,2,0:21.0,,M. Morris misses free throw 1 of 2,49,47
267,2,0:21.0,,Offensive rebound by Team,49,47
268,2,0:21.0,Q. Cook enters the game for K. Looney,,49,47
269,2,0:21.0,J. Jerebko enters the game for A. McKinnie,,49,47
270,2,0:21.0,,M. Beasley enters the game for G. Harris,49,47
271,2,0:21.0,,M. Plumlee enters the game for N. Jokić,49,47
272,2,0:21.0,,M. Morris misses free throw 2 of 2,49,47
273,2,0:19.0,Defensive rebound by Team,,49,47
274,2,0:02.0,K. Durant misses 2-pt layup from 4 ft (block by P. Millsap),,49,47
275,2,0:02.0,,Defensive rebound by M. Morris,49,47
276,3,11:43.0,,N. Jokić misses 2-pt layup from 4 ft (block by D. Jones),49,47
277,3,11:40.0,Defensive rebound by K. Durant,,49,47
278,3,11:19.0,K. Thompson misses 2-pt jump shot from 9 ft,,49,47
279,3,11:18.0,,Defensive rebound by Team,49,47
280,3,11:00.0,,Turnover by P. Millsap (lost ball; steal by K. Thompson),49,47
281,3,10:52.0,Turnover by K. Durant (step out of bounds),,49,47
282,3,10:49.0,,G. Harris misses 3-pt jump shot from 25 ft,49,47
283,3,10:46.0,,Offensive rebound by T. Craig,49,47
284,3,10:43.0,,P. Millsap makes 2-pt jump shot from 4 ft (assist by T. Craig),49,49
285,3,10:27.0,Personal foul by P. Millsap (drawn by K. Durant),,49,49
286,3,10:21.0,S. Curry misses 3-pt jump shot from 25 ft,,49,49
287,3,10:18.0,,Defensive rebound by T. Craig,49,49
288,3,10:14.0,,Personal foul by D. Jones (drawn by N. Jokić),49,49
289,3,9:58.0,,J. Murray misses 3-pt jump shot from 26 ft,49,49
290,3,9:53.0,Defensive rebound by S. Curry,,49,49
291,3,9:49.0,K. Thompson makes 2-pt jump shot from 16 ft,,51,49
292,3,9:26.0,,Shooting foul by K. Durant (drawn by G. Harris),51,49
293,3,9:26.0,,G. Harris makes free throw 1 of 2,51,50
294,3,9:26.0,,G. Harris makes free throw 2 of 2,51,51
295,3,9:11.0,D. Green misses 3-pt jump shot from 25 ft,,51,51
296,3,9:08.0,,Defensive rebound by T. Craig,51,51
297,3,8:54.0,,T. Craig misses 3-pt jump shot from 24 ft,51,51
298,3,8:51.0,Defensive rebound by D. Green,,51,51
299,3,8:44.0,K. Thompson makes 2-pt jump shot from 8 ft (assist by D. Green),,53,51
300,3,8:24.0,,N. Jokić makes 2-pt layup from 3 ft,53,53
301,3,8:16.0,S. Curry makes 2-pt layup from 4 ft,,55,53
302,3,8:10.0,,Personal foul by S. Curry (drawn by N. Jokić),55,53
303,3,8:10.0,,M. Morris enters the game for J. Murray,55,53
304,3,7:51.0,,G. Harris makes 2-pt jump shot from 14 ft,55,55
305,3,7:36.0,S. Curry misses 3-pt jump shot from 25 ft,,55,55
306,3,7:35.0,,Defensive rebound by T. Craig,55,55
307,3,7:30.0,,N. Jokić misses 2-pt layup from 2 ft,55,55
308,3,7:28.0,,Offensive rebound by N. Jokić,55,55
309,3,7:26.0,,P. Millsap misses 3-pt jump shot from 23 ft,55,55
310,3,7:26.0,Defensive rebound by K. Thompson,,55,55
311,3,7:14.0,K. Durant misses 2-pt layup from 7 ft (block by G. Harris),,55,55
312,3,7:14.0,Offensive rebound by Team,,55,55
313,3,7:14.0,Technical foul by K. Durant,,55,55
314,3,7:14.0,,N. Jokić makes technical free throw,55,56
315,3,7:12.0,K. Durant makes 2-pt jump shot from 6 ft (assist by S. Curry),,57,56
316,3,6:55.0,,G. Harris misses 2-pt layup from 4 ft,57,56
317,3,6:54.0,,Offensive rebound by G. Harris,57,56
318,3,6:50.0,,G. Harris makes 2-pt layup from 2 ft,57,58
319,3,6:43.0,K. Durant misses 3-pt jump shot from 25 ft,,57,58
320,3,6:40.0,,Defensive rebound by P. Millsap,57,58
321,3,6:36.0,,T. Craig misses 3-pt jump shot from 24 ft,57,58
322,3,6:33.0,Defensive rebound by K. Thompson,,57,58
323,3,6:25.0,K. Durant makes 2-pt dunk from 2 ft (assist by S. Curry),,59,58
324,3,6:11.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by P. Millsap),59,61
325,3,5:55.0,K. Thompson misses 3-pt jump shot from 25 ft,,59,61
326,3,5:53.0,D. Jones makes 2-pt dunk from 1 ft,,61,61
327,3,5:53.0,Offensive rebound by D. Jones,,61,61
328,3,5:53.0,,Denver full timeout,61,61
329,3,5:53.0,K. Looney enters the game for D. Green,,61,61
330,3,5:53.0,,J. Hernangómez enters the game for T. Craig,61,61
331,3,5:53.0,,T. Lyles enters the game for P. Millsap,61,61
332,3,5:40.0,,G. Harris makes 2-pt jump shot from 6 ft (assist by N. Jokić),61,63
333,3,5:24.0,K. Durant misses 2-pt jump shot from 20 ft,,61,63
334,3,5:21.0,,Defensive rebound by N. Jokić,61,63
335,3,5:18.0,,J. Hernangómez makes 2-pt dunk from 1 ft (assist by N. Jokić),61,65
336,3,5:18.0,A. Iguodala enters the game for D. Jones,,61,65
337,3,5:18.0,,J. Murray enters the game for N. Jokić,61,65
338,3,5:18.0,,M. Plumlee enters the game for M. Morris,61,65
339,3,4:54.0,,Violation by Team (kicked ball),61,65
340,3,4:45.0,K. Looney makes 2-pt layup from 2 ft (assist by A. Iguodala),,63,65
341,3,4:25.0,,T. Lyles makes 2-pt layup from 1 ft (assist by M. Plumlee),63,67
342,3,4:19.0,Personal foul by J. Murray (drawn by S. Curry),,63,67
343,3,4:19.0,Q. Cook enters the game for K. Thompson,,63,67
344,3,4:19.0,,M. Morris enters the game for J. Murray,63,67
345,3,4:15.0,S. Curry misses 3-pt jump shot from 23 ft,,63,67
346,3,4:12.0,,Defensive rebound by M. Morris,63,67
347,3,4:09.0,,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by M. Morris),63,70
348,3,3:55.0,S. Curry makes 2-pt jump shot from 20 ft,,65,70
349,3,3:38.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by T. Lyles),65,73
350,3,3:29.0,Personal foul by G. Harris (drawn by A. Iguodala),,65,73
351,3,3:29.0,D. Green enters the game for K. Durant,,65,73
352,3,3:19.0,D. Green misses 2-pt jump shot from 20 ft,,65,73
353,3,3:15.0,,Defensive rebound by T. Lyles,65,73
354,3,2:57.0,,Turnover by M. Morris (traveling),65,73
355,3,2:57.0,Golden State full timeout,,65,73
356,3,2:57.0,,M. Beasley enters the game for G. Harris,65,73
357,3,2:40.0,Turnover by S. Curry (bad pass; steal by M. Beasley),,65,73
358,3,2:37.0,,Turnover by M. Beasley (bad pass),65,73
359,3,2:32.0,S. Curry misses 3-pt jump shot from 27 ft,,65,73
360,3,2:30.0,,Defensive rebound by T. Lyles,65,73
361,3,2:09.0,,T. Lyles misses 3-pt jump shot from 25 ft,65,73
362,3,2:06.0,,Offensive rebound by M. Beasley,65,73
363,3,2:03.0,,M. Morris misses 3-pt jump shot from 24 ft,65,73
364,3,1:59.0,Defensive rebound by K. Looney,,65,73
365,3,1:52.0,D. Green misses 2-pt jump shot from 6 ft,,65,73
366,3,1:50.0,Offensive rebound by K. Looney,,65,73
367,3,1:49.0,K. Looney makes 2-pt layup from 1 ft,,67,73
368,3,1:29.0,,M. Plumlee makes 2-pt jump shot from 3 ft (assist by M. Morris),67,75
369,3,1:19.0,Personal foul by M. Beasley (drawn by K. Looney),,67,75
370,3,1:15.0,Offensive foul by D. Green (drawn by M. Morris),,67,75
371,3,1:15.0,Turnover by D. Green (offensive foul),,67,75
372,3,1:02.0,,M. Morris misses 2-pt jump shot from 11 ft,67,75
373,3,0:59.0,Defensive rebound by A. Iguodala,,67,75
374,3,0:53.0,S. Curry makes 3-pt jump shot from 22 ft (assist by A. Iguodala),,70,75
375,3,0:37.0,,M. Plumlee makes 2-pt layup from 1 ft,70,77
376,3,0:37.0,,Shooting foul by K. Looney (drawn by M. Plumlee),70,77
377,3,0:37.0,,M. Plumlee makes free throw 1 of 1,70,78
378,3,0:33.0,S. Curry misses 3-pt jump shot from 27 ft,,70,78
379,3,0:29.0,,Defensive rebound by M. Morris,70,78
380,3,0:12.0,,M. Morris makes 2-pt layup from 3 ft,70,80
381,3,0:00.0,Turnover by K. Looney (lost ball; steal by T. Lyles),,70,80
382,4,11:46.0,Personal foul by M. Plumlee (drawn by A. Iguodala),,70,80
383,4,11:37.0,K. Durant misses 3-pt jump shot from 25 ft,,70,80
384,4,11:33.0,,Defensive rebound by J. Hernangómez,70,80
385,4,11:15.0,,Turnover by T. Lyles (lost ball; steal by D. Green),70,80
386,4,11:14.0,Personal take foul by M. Morris (drawn by A. Iguodala),,70,80
387,4,11:06.0,J. Jerebko misses 3-pt jump shot from 25 ft,,70,80
388,4,11:02.0,,Defensive rebound by M. Beasley,70,80
389,4,10:51.0,,Turnover by M. Plumlee (bad pass; steal by A. Iguodala),70,80
390,4,10:45.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by A. Iguodala),,73,80
391,4,10:43.0,,Denver full timeout,73,80
392,4,10:43.0,,N. Jokić enters the game for M. Morris,73,80
393,4,10:43.0,,J. Murray enters the game for M. Plumlee,73,80
