,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW ORLEANS_ACTION,DALLAS_SCORE,NEW ORLEANS_SCORE
393,4,9:37.0,Turnover by J. Barea (bad pass; steal by A. Davis),,94,92
394,4,9:34.0,,F. Jackson makes 2-pt dunk from 1 ft (assist by T. Frazier),94,94
395,4,9:34.0,Dallas full timeout,,94,94
396,4,9:16.0,D. Nowitzki misses 3-pt jump shot from 28 ft,,94,94
397,4,9:11.0,Offensive rebound by D. Powell,,94,94
398,4,9:07.0,D. Nowitzki misses 2-pt jump shot from 23 ft,,94,94
399,4,9:05.0,Offensive rebound by D. Powell,,94,94
400,4,9:03.0,D. Powell makes 2-pt dunk from 2 ft,,96,94
401,4,8:51.0,,Personal foul by J. Barea (drawn by A. Davis),96,94
402,4,8:37.0,,J. Randle makes 2-pt layup from 2 ft (assist by I. Clark),96,96
403,4,8:25.0,J. Barea misses 2-pt jump shot from 12 ft,,96,96
404,4,8:22.0,,Defensive rebound by T. Frazier,96,96
405,4,8:11.0,,Turnover by J. Randle (lost ball; steal by D. Harris),96,96
406,4,8:11.0,Personal foul by J. Randle (drawn by D. Harris),,96,96
407,4,8:11.0,M. Kleber enters the game for D. Nowitzki,,96,96
408,4,8:02.0,D. Powell misses 3-pt jump shot from 25 ft,,96,96
409,4,8:00.0,,Defensive rebound by Team,96,96
410,4,7:46.0,,F. Jackson makes 3-pt jump shot from 24 ft (assist by T. Frazier),96,99
411,4,7:28.0,J. Barea makes 3-pt jump shot from 26 ft,,99,99
412,4,7:07.0,,A. Davis misses 2-pt layup from 3 ft,99,99
413,4,7:04.0,Defensive rebound by D. Powell,,99,99
414,4,6:51.0,J. Barea misses 2-pt layup from 1 ft,,99,99
415,4,6:51.0,,Defensive rebound by Team,99,99
416,4,6:51.0,Loose ball foul by D. Powell (drawn by F. Jackson),,99,99
417,4,6:51.0,H. Barnes enters the game for D. Finney-Smith,,99,99
418,4,6:51.0,L. Dončić enters the game for D. Harris,,99,99
419,4,6:51.0,D. Jordan enters the game for D. Powell,,99,99
420,4,6:51.0,,S. Hill enters the game for I. Clark,99,99
421,4,6:51.0,,J. Holiday enters the game for T. Frazier,99,99
422,4,6:51.0,,E. Moore enters the game for F. Jackson,99,99
423,4,6:37.0,,A. Davis misses 2-pt jump shot from 11 ft,99,99
424,4,6:34.0,Defensive rebound by D. Jordan,,99,99
425,4,6:23.0,H. Barnes misses 2-pt jump shot from 9 ft,,99,99
426,4,6:18.0,Offensive rebound by D. Jordan,,99,99
427,4,6:18.0,D. Jordan makes 2-pt layup from 1 ft,,101,99
428,4,5:58.0,,J. Randle misses 2-pt jump shot from 14 ft,101,99
429,4,5:55.0,,Offensive rebound by Team,101,99
430,4,5:55.0,Loose ball foul by M. Kleber (drawn by A. Davis),,101,99
431,4,5:55.0,D. Smith enters the game for J. Barea,,101,99
432,4,5:45.0,,J. Holiday misses 2-pt layup from 1 ft,101,99
433,4,5:45.0,,Offensive rebound by J. Holiday,101,99
434,4,5:40.0,,A. Davis misses 2-pt layup at rim,101,99
435,4,5:40.0,,Offensive rebound by J. Holiday,101,99
436,4,5:34.0,,J. Holiday misses 2-pt jump shot from 12 ft,101,99
437,4,5:30.0,,Offensive rebound by J. Randle,101,99
438,4,5:27.0,,J. Randle misses 2-pt layup from 2 ft,101,99
439,4,5:24.0,,Offensive rebound by A. Davis,101,99
440,4,5:23.0,,A. Davis makes 2-pt layup from 2 ft,101,101
441,4,5:06.0,Shooting foul by A. Davis (drawn by L. Dončić),,101,101
442,4,5:06.0,L. Dončić misses free throw 1 of 2,,101,101
443,4,5:06.0,Offensive rebound by Team,,101,101
444,4,5:06.0,L. Dončić makes free throw 2 of 2,,102,101
445,4,5:06.0,,New Orleans full timeout,102,101
446,4,4:45.0,,J. Randle makes 2-pt layup from 2 ft (assist by A. Davis),102,103
447,4,4:33.0,L. Dončić makes 3-pt jump shot from 23 ft (assist by D. Smith),,105,103
448,4,4:11.0,,A. Davis misses 2-pt jump shot from 12 ft,105,103
449,4,4:08.0,Defensive rebound by D. Jordan,,105,103
450,4,4:07.0,Turnover by D. Jordan (lost ball; steal by S. Hill),,105,103
451,4,3:59.0,,A. Davis makes 2-pt jump shot from 10 ft,105,105
452,4,3:34.0,H. Barnes makes 2-pt jump shot from 14 ft,,107,105
453,4,3:24.0,,New Orleans full timeout,107,105
454,4,3:15.0,,A. Davis makes 2-pt layup from 3 ft (assist by J. Holiday),107,107
455,4,2:57.0,H. Barnes misses 2-pt jump shot from 14 ft,,107,107
456,4,2:54.0,,Defensive rebound by A. Davis,107,107
457,4,2:44.0,,J. Holiday makes 2-pt jump shot from 12 ft,107,109
458,4,2:28.0,L. Dončić makes 2-pt jump shot from 12 ft,,109,109
459,4,2:12.0,,A. Davis makes 2-pt jump shot from 18 ft (assist by J. Holiday),109,111
460,4,1:52.0,H. Barnes misses 3-pt jump shot from 25 ft,,109,111
461,4,1:49.0,,Defensive rebound by J. Randle,109,111
462,4,1:28.0,,J. Holiday misses 2-pt layup from 3 ft,109,111
463,4,1:26.0,Defensive rebound by D. Jordan,,109,111
464,4,1:26.0,Dallas full timeout,,109,111
465,4,1:18.0,L. Dončić makes 3-pt jump shot from 27 ft,,112,111
466,4,1:01.0,,J. Randle misses 2-pt jump shot from 7 ft,112,111
467,4,0:58.0,,Offensive rebound by A. Davis,112,111
468,4,0:56.0,,Turnover by A. Davis (lost ball; steal by H. Barnes),112,111
469,4,0:53.0,Turnover by L. Dončić (lost ball; steal by E. Moore),,112,111
470,4,0:43.0,,A. Davis makes 2-pt jump shot from 14 ft (assist by J. Holiday),112,113
471,4,0:43.0,,Shooting foul by D. Jordan (drawn by A. Davis),112,113
472,4,0:43.0,,A. Davis makes free throw 1 of 1,112,114
473,4,0:34.0,L. Dončić misses 2-pt layup from 3 ft (block by J. Holiday),,112,114
474,4,0:31.0,Offensive rebound by D. Jordan,,112,114
475,4,0:27.0,D. Smith misses 3-pt jump shot from 27 ft,,112,114
476,4,0:25.0,,Defensive rebound by A. Davis,112,114
477,4,0:14.0,,New Orleans full timeout,112,114
478,4,0:14.0,,New Orleans full timeout,112,114
479,4,0:05.0,,A. Davis misses 3-pt jump shot from 25 ft,112,114
480,4,0:04.0,Defensive rebound by D. Jordan,,112,114
481,4,0:04.0,Dallas full timeout,,112,114
