,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BOSTON_ACTION,CHARLOTTE_SCORE,BOSTON_SCORE
159,2,7:55.0,T. Parker makes free throw 2 of 2,,33,43
160,2,7:44.0,,T. Rozier misses 3-pt jump shot from 25 ft,33,43
161,2,7:41.0,Defensive rebound by Team,,33,43
162,2,7:33.0,T. Parker makes 2-pt layup from 2 ft,,35,43
163,2,7:13.0,,T. Rozier misses 2-pt layup from 3 ft,35,43
164,2,7:11.0,,Offensive rebound by A. Horford,35,43
165,2,7:01.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Horford),35,46
166,2,6:36.0,N. Batum misses 3-pt jump shot from 23 ft,,35,46
167,2,6:35.0,Offensive rebound by W. Hernangómez,,35,46
168,2,6:35.0,J. Lamb enters the game for T. Parker,,35,46
169,2,6:30.0,K. Walker misses 3-pt jump shot from 27 ft,,35,46
170,2,6:28.0,,Defensive rebound by M. Morris,35,46
171,2,6:18.0,,M. Morris makes 2-pt layup from 1 ft (assist by K. Irving),35,48
172,2,5:55.0,N. Batum misses 2-pt jump shot from 19 ft,,35,48
173,2,5:52.0,,Defensive rebound by Team,35,48
174,2,5:52.0,Loose ball foul by N. Batum (drawn by M. Smart),,35,48
175,2,5:41.0,,A. Horford makes 2-pt dunk from 2 ft (assist by T. Rozier),35,50
176,2,5:41.0,Charlotte full timeout,,35,50
177,2,5:41.0,C. Zeller enters the game for W. Hernangómez,,35,50
178,2,5:23.0,M. Williams makes 2-pt jump shot from 4 ft (assist by K. Walker),,37,50
179,2,5:11.0,,Def 3 sec tech foul by Team,37,50
180,2,5:11.0,,G. Hayward enters the game for M. Morris,37,50
181,2,5:11.0,,J. Tatum enters the game for T. Rozier,37,50
182,2,5:11.0,,K. Irving makes technical free throw,37,51
183,2,5:00.0,,Turnover by G. Hayward (traveling),37,51
184,2,4:48.0,C. Zeller makes 2-pt jump shot from 10 ft (assist by J. Lamb),,39,51
185,2,4:39.0,,K. Irving misses 3-pt jump shot from 26 ft,39,51
186,2,4:38.0,,Offensive rebound by G. Hayward,39,51
187,2,4:31.0,,M. Smart makes 3-pt jump shot from 24 ft (assist by K. Irving),39,54
188,2,4:16.0,Personal foul by M. Smart (drawn by C. Zeller),,39,54
189,2,4:16.0,C. Zeller makes free throw 1 of 2,,40,54
190,2,4:16.0,M. Bridges enters the game for N. Batum,,40,54
191,2,4:16.0,C. Zeller misses free throw 2 of 2,,40,54
192,2,4:16.0,,Defensive rebound by A. Horford,40,54
193,2,4:02.0,,J. Tatum makes 3-pt jump shot from 27 ft (assist by M. Smart),40,57
194,2,3:46.0,Personal foul by M. Smart (drawn by M. Williams),,40,57
195,2,3:46.0,M. Williams makes free throw 1 of 2,,41,57
196,2,3:46.0,,D. Theis enters the game for A. Horford,41,57
197,2,3:46.0,M. Williams makes free throw 2 of 2,,42,57
198,2,3:31.0,,K. Irving makes 2-pt layup from 3 ft,42,59
199,2,3:16.0,Turnover by K. Walker (bad pass; steal by M. Smart),,42,59
200,2,3:08.0,,J. Tatum misses 3-pt jump shot from 26 ft,42,59
201,2,3:03.0,,Offensive rebound by D. Theis,42,59
202,2,3:03.0,,D. Theis misses 2-pt layup from 1 ft,42,59
203,2,3:03.0,,Offensive rebound by D. Theis,42,59
204,2,3:00.0,,D. Theis makes 2-pt layup from 1 ft,42,61
205,2,2:47.0,J. Lamb misses 3-pt jump shot from 27 ft,,42,61
206,2,2:46.0,,Defensive rebound by Team,42,61
207,2,2:34.0,,Turnover by D. Theis (bad pass; steal by K. Walker),42,61
208,2,2:28.0,J. Lamb misses 3-pt jump shot from 27 ft,,42,61
209,2,2:25.0,,Defensive rebound by G. Hayward,42,61
210,2,2:14.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by D. Theis),42,64
211,2,1:49.0,C. Zeller makes 2-pt jump shot from 9 ft,,44,64
212,2,1:38.0,,Shooting foul by M. Williams (drawn by D. Theis),44,64
213,2,1:38.0,,D. Theis makes free throw 1 of 2,44,65
214,2,1:38.0,,T. Rozier enters the game for M. Smart,44,65
215,2,1:38.0,,D. Theis misses free throw 2 of 2,44,65
216,2,1:36.0,Defensive rebound by C. Zeller,,44,65
217,2,1:23.0,K. Walker misses 3-pt jump shot from 22 ft,,44,65
218,2,1:18.0,,Defensive rebound by T. Rozier,44,65
219,2,1:14.0,,T. Rozier makes 2-pt jump shot from 8 ft,44,67
220,2,0:54.0,Shooting foul by D. Theis (drawn by J. Lamb),,44,67
221,2,0:54.0,J. Lamb makes free throw 1 of 2,,45,67
222,2,0:54.0,J. Lamb makes free throw 2 of 2,,46,67
223,2,0:33.0,,J. Tatum misses 3-pt jump shot from 25 ft,46,67
224,2,0:30.0,Defensive rebound by K. Walker,,46,67
225,2,0:27.0,Shooting foul by G. Hayward (drawn by J. Lamb),,46,67
226,2,0:27.0,J. Lamb makes free throw 1 of 2,,47,67
227,2,0:27.0,M. Kidd-Gilchrist enters the game for M. Williams,,47,67
228,2,0:27.0,J. Lamb misses free throw 2 of 2,,47,67
229,2,0:25.0,,Defensive rebound by D. Theis,47,67
230,2,0:03.0,,Shooting foul by C. Zeller (drawn by J. Tatum),47,67
231,2,0:03.0,,R. Williams enters the game for D. Theis,47,67
232,2,0:03.0,,J. Tatum misses free throw 1 of 2,47,67
233,2,0:03.0,,Offensive rebound by Team,47,67
234,2,0:03.0,,J. Tatum makes free throw 2 of 2,47,68
235,2,0:00.0,K. Walker misses 3-pt jump shot from 25 ft,,47,68
236,2,0:00.0,Offensive rebound by Team,,47,68
237,3,11:40.0,J. Lamb makes 2-pt jump shot from 4 ft (assist by M. Williams),,49,68
238,3,11:16.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by K. Irving),49,70
239,3,10:59.0,J. Lamb misses 2-pt layup from 4 ft,,49,70
240,3,10:57.0,Offensive rebound by C. Zeller,,49,70
241,3,10:53.0,J. Lamb misses 3-pt jump shot from 23 ft,,49,70
242,3,10:51.0,,Defensive rebound by M. Morris,49,70
243,3,10:44.0,,J. Tatum makes 2-pt layup from 3 ft (assist by M. Smart),49,72
244,3,10:17.0,K. Walker misses 2-pt jump shot from 10 ft (block by A. Horford),,49,72
245,3,10:16.0,Offensive rebound by Team,,49,72
246,3,10:16.0,Turnover by Team (shot clock),,49,72
247,3,9:58.0,,M. Morris misses 2-pt jump shot from 21 ft,49,72
248,3,9:56.0,Defensive rebound by N. Batum,,49,72
249,3,9:41.0,M. Williams misses 2-pt jump shot from 8 ft,,49,72
250,3,9:38.0,,Defensive rebound by J. Tatum,49,72
251,3,9:31.0,,J. Tatum makes 2-pt layup from 3 ft (assist by A. Horford),49,74
252,3,9:08.0,C. Zeller misses 2-pt layup from 4 ft,,49,74
253,3,9:08.0,,Defensive rebound by M. Morris,49,74
254,3,8:58.0,,A. Horford makes 2-pt jump shot from 17 ft (assist by K. Irving),49,76
255,3,8:46.0,Shooting foul by A. Horford (drawn by J. Lamb),,49,76
256,3,8:46.0,J. Lamb makes free throw 1 of 2,,50,76
257,3,8:46.0,J. Lamb misses free throw 2 of 2,,50,76
258,3,8:46.0,,Defensive rebound by A. Horford,50,76
259,3,8:35.0,,M. Morris misses 3-pt jump shot from 26 ft,50,76
260,3,8:34.0,Defensive rebound by J. Lamb,,50,76
261,3,8:15.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by K. Walker),,53,76
262,3,7:49.0,,M. Smart misses 3-pt jump shot from 27 ft,53,76
263,3,7:45.0,,Offensive rebound by A. Horford,53,76
264,3,7:40.0,,J. Tatum misses 3-pt jump shot from 23 ft,53,76
265,3,7:32.0,,Offensive rebound by M. Smart,53,76
266,3,7:32.0,,M. Smart misses 2-pt layup at rim,53,76
267,3,7:31.0,,Offensive rebound by M. Morris,53,76
268,3,7:25.0,,A. Horford makes 2-pt hook shot from 5 ft,53,78
269,3,7:07.0,M. Williams misses 3-pt jump shot from 25 ft,,53,78
270,3,7:04.0,,Defensive rebound by K. Irving,53,78
271,3,6:57.0,,K. Irving makes 2-pt layup from 3 ft,53,80
272,3,6:57.0,,Shooting foul by C. Zeller (drawn by K. Irving),53,80
273,3,6:57.0,,Boston full timeout,53,80
274,3,6:57.0,M. Kidd-Gilchrist enters the game for C. Zeller,,53,80
275,3,6:57.0,,K. Irving misses free throw 1 of 1,53,80
276,3,6:57.0,Defensive rebound by N. Batum,,53,80
277,3,6:33.0,Turnover by Team (shot clock),,53,80
278,3,6:22.0,,Turnover by M. Morris (bad pass; steal by K. Walker),53,80
279,3,6:17.0,K. Walker makes 3-pt jump shot from 26 ft (assist by J. Lamb),,56,80
280,3,5:58.0,,A. Horford makes 2-pt jump shot from 5 ft (assist by M. Smart),56,82
281,3,5:58.0,,Shooting foul by M. Kidd-Gilchrist (drawn by A. Horford),56,82
282,3,5:58.0,,A. Horford makes free throw 1 of 1,56,83
283,3,5:33.0,M. Williams misses 3-pt jump shot from 24 ft,,56,83
284,3,5:29.0,Offensive rebound by M. Kidd-Gilchrist,,56,83
285,3,5:28.0,M. Williams misses 3-pt jump shot from 24 ft,,56,83
286,3,5:25.0,,Defensive rebound by M. Morris,56,83
287,3,5:15.0,,Personal foul by M. Williams (drawn by J. Tatum),56,83
288,3,5:07.0,,J. Tatum makes 3-pt jump shot from 27 ft (assist by A. Horford),56,86
289,3,5:07.0,,Shooting foul by J. Lamb (drawn by J. Tatum),56,86
290,3,5:07.0,,J. Tatum makes free throw 1 of 1,56,87
291,3,4:54.0,M. Williams misses 2-pt jump shot from 7 ft,,56,87
292,3,4:54.0,,Defensive rebound by J. Tatum,56,87
293,3,4:43.0,,Turnover by A. Horford (lost ball; steal by M. Williams),56,87
294,3,4:41.0,M. Kidd-Gilchrist makes 2-pt layup from 3 ft (assist by N. Batum),,58,87
295,3,4:41.0,Shooting foul by M. Smart (drawn by M. Kidd-Gilchrist),,58,87
296,3,4:41.0,M. Bridges enters the game for N. Batum,,58,87
297,3,4:41.0,W. Hernangómez enters the game for M. Williams,,58,87
298,3,4:41.0,,G. Hayward enters the game for A. Horford,58,87
299,3,4:41.0,,R. Williams enters the game for M. Morris,58,87
300,3,4:41.0,M. Kidd-Gilchrist makes free throw 1 of 1,,59,87
301,3,4:29.0,,K. Irving misses 3-pt jump shot from 27 ft,59,87
302,3,4:26.0,Defensive rebound by M. Bridges,,59,87
303,3,4:11.0,M. Kidd-Gilchrist misses 2-pt jump shot from 20 ft,,59,87
304,3,4:07.0,,Defensive rebound by R. Williams,59,87
305,3,3:44.0,,G. Hayward misses 2-pt jump shot from 19 ft (block by M. Bridges),59,87
306,3,3:42.0,Defensive rebound by W. Hernangómez,,59,87
307,3,3:36.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,,59,87
308,3,3:36.0,,Defensive rebound by R. Williams,59,87
309,3,3:27.0,,M. Smart makes 3-pt jump shot from 26 ft (assist by G. Hayward),59,90
310,3,3:06.0,Turnover by J. Lamb (lost ball; steal by M. Smart),,59,90
311,3,3:02.0,,J. Tatum misses 3-pt jump shot from 26 ft,59,90
312,3,3:02.0,,Offensive rebound by Team,59,90
313,3,3:02.0,Charlotte full timeout,,59,90
314,3,3:02.0,M. Monk enters the game for J. Lamb,,59,90
315,3,3:02.0,T. Parker enters the game for K. Walker,,59,90
316,3,3:02.0,,J. Brown enters the game for J. Tatum,59,90
317,3,2:58.0,Personal foul by R. Williams (drawn by W. Hernangómez),,59,90
318,3,2:58.0,,Turnover by R. Williams (turnover),59,90
319,3,2:48.0,M. Kidd-Gilchrist makes 2-pt jump shot from 7 ft,,61,90
320,3,2:31.0,,J. Brown makes 2-pt jump shot from 12 ft,61,92
321,3,2:14.0,Turnover by W. Hernangómez (bad pass; steal by M. Smart),,61,92
322,3,2:09.0,,Personal foul by M. Kidd-Gilchrist (drawn by R. Williams),61,92
323,3,2:09.0,,R. Williams makes free throw 1 of 2,61,93
324,3,2:09.0,,T. Rozier enters the game for K. Irving,61,93
325,3,2:09.0,,R. Williams makes free throw 2 of 2,61,94
326,3,1:54.0,M. Kidd-Gilchrist misses 2-pt jump shot from 13 ft,,61,94
327,3,1:51.0,,Defensive rebound by G. Hayward,61,94
328,3,1:38.0,,Turnover by R. Williams (lost ball; steal by M. Monk),61,94
329,3,1:26.0,W. Hernangómez makes 2-pt hook shot from 4 ft (assist by T. Parker),,63,94
330,3,1:11.0,,Turnover by R. Williams (bad pass; steal by M. Bridges),63,94
331,3,1:05.0,W. Hernangómez makes 2-pt layup from 1 ft (assist by M. Bridges),,65,94
332,3,0:45.0,,Turnover by J. Brown (out of bounds lost ball),65,94
333,3,0:32.0,Turnover by W. Hernangómez (bad pass; steal by T. Rozier),,65,94
334,3,0:28.0,,Boston full timeout,65,94
335,3,0:26.0,,G. Hayward misses 3-pt jump shot from 23 ft,65,94
336,3,0:23.0,Defensive rebound by M. Bridges,,65,94
337,3,0:18.0,M. Bridges misses 2-pt layup from 2 ft (block by R. Williams),,65,94
338,3,0:14.0,Offensive rebound by W. Hernangómez,,65,94
339,3,0:13.0,W. Hernangómez makes 2-pt dunk from 1 ft,,67,94
340,3,0:01.0,,T. Rozier misses 3-pt jump shot from 27 ft,67,94
341,3,0:01.0,,Offensive rebound by Team,67,94
342,4,11:40.0,,D. Theis makes 2-pt jump shot from 17 ft (assist by J. Brown),67,96
343,4,11:17.0,M. Bridges misses 2-pt layup from 2 ft,,67,96
344,4,11:14.0,,Defensive rebound by T. Rozier,67,96
345,4,11:10.0,,S. Ojeleye misses 3-pt jump shot from 23 ft,67,96
346,4,11:08.0,Defensive rebound by D. Graham,,67,96
347,4,11:04.0,D. Graham misses 3-pt jump shot from 24 ft,,67,96
348,4,11:02.0,,Defensive rebound by G. Hayward,67,96
349,4,10:46.0,,T. Rozier makes 2-pt jump shot from 17 ft,67,98
350,4,10:33.0,M. Monk misses 3-pt jump shot from 25 ft,,67,98
351,4,10:31.0,,Defensive rebound by T. Rozier,67,98
352,4,10:18.0,,D. Theis makes 2-pt dunk from 1 ft (assist by T. Rozier),67,100
353,4,10:00.0,W. Hernangómez makes 2-pt layup from 5 ft (assist by M. Bridges),,69,100
354,4,10:00.0,Shooting foul by S. Ojeleye (drawn by W. Hernangómez),,69,100
355,4,10:00.0,W. Hernangómez misses free throw 1 of 1,,69,100
356,4,10:00.0,,Defensive rebound by G. Hayward,69,100
357,4,9:47.0,,T. Rozier misses 3-pt jump shot from 27 ft,69,100
358,4,9:45.0,Defensive rebound by M. Bridges,,69,100
359,4,9:39.0,M. Monk makes 2-pt layup from 4 ft,,71,100
360,4,9:39.0,Shooting foul by D. Theis (drawn by M. Monk),,71,100
361,4,9:39.0,M. Monk makes free throw 1 of 1,,72,100
362,4,9:28.0,,G. Hayward misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),72,100
363,4,9:28.0,,Offensive rebound by Team,72,100
364,4,9:21.0,,D. Theis makes 3-pt jump shot from 27 ft (assist by S. Ojeleye),72,103
365,4,9:01.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by J. Brown),,72,103
366,4,8:59.0,,Shooting foul by M. Monk (drawn by J. Brown),72,103
367,4,8:59.0,,J. Brown makes free throw 1 of 2,72,104
368,4,8:59.0,D. Bacon enters the game for M. Kidd-Gilchrist,,72,104
369,4,8:59.0,,J. Brown makes free throw 2 of 2,72,105
370,4,8:47.0,D. Graham misses 2-pt jump shot from 17 ft,,72,105
371,4,8:45.0,Offensive rebound by Team,,72,105
372,4,8:45.0,,Loose ball foul by S. Ojeleye (drawn by W. Hernangómez),72,105
373,4,8:41.0,M. Monk makes 3-pt jump shot from 25 ft (assist by D. Graham),,75,105
374,4,8:29.0,,Turnover by T. Rozier (bad pass; steal by D. Graham),75,105
375,4,8:18.0,Shooting foul by T. Rozier (drawn by W. Hernangómez),,75,105
376,4,8:18.0,W. Hernangómez misses free throw 1 of 2,,75,105
377,4,8:18.0,Offensive rebound by Team,,75,105
378,4,8:18.0,W. Hernangómez makes free throw 2 of 2,,76,105
379,4,8:00.0,,S. Ojeleye makes 2-pt dunk from 4 ft (assist by T. Rozier),76,107
380,4,7:44.0,W. Hernangómez makes 2-pt layup from 3 ft (assist by M. Monk),,78,107
381,4,7:28.0,,J. Brown makes 2-pt layup from 3 ft (assist by G. Hayward),78,109
382,4,7:10.0,Shooting foul by D. Theis (drawn by W. Hernangómez),,78,109
383,4,7:10.0,W. Hernangómez makes free throw 1 of 2,,79,109
