,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,HOUSTON_ACTION,MILWAUKEE_SCORE,HOUSTON_SCORE
380,4,8:33.0,Defensive rebound by G. Antetokounmpo,,101,86
381,4,8:30.0,Personal foul by J. Harden (drawn by G. Hill),,101,86
382,4,8:30.0,,Houston full timeout,101,86
383,4,8:30.0,B. Lopez enters the game for G. Antetokounmpo,,101,86
384,4,8:30.0,,C. Capela enters the game for D. House,101,86
385,4,8:19.0,G. Hill misses 2-pt hook shot from 4 ft,,101,86
386,4,8:18.0,,Defensive rebound by J. Harden,101,86
387,4,8:11.0,,Shooting foul by E. İlyasova (drawn by J. Harden),101,86
388,4,8:11.0,,J. Harden makes free throw 1 of 2,101,87
389,4,8:11.0,,J. Harden makes free throw 2 of 2,101,88
390,4,7:58.0,K. Middleton misses 2-pt jump shot from 16 ft,,101,88
391,4,7:56.0,,Defensive rebound by J. Harden,101,88
392,4,7:46.0,,C. Capela misses 2-pt layup from 2 ft,101,88
393,4,7:45.0,Defensive rebound by G. Hill,,101,88
394,4,7:35.0,M. Brogdon makes 2-pt layup from 2 ft,,103,88
395,4,7:18.0,,G. Green makes 3-pt jump shot from 26 ft (assist by J. Harden),103,91
396,4,7:07.0,K. Middleton misses 2-pt jump shot from 6 ft,,103,91
397,4,7:06.0,Offensive rebound by E. İlyasova,,103,91
398,4,7:06.0,E. İlyasova misses 2-pt layup from 1 ft,,103,91
399,4,7:05.0,Offensive rebound by E. İlyasova,,103,91
400,4,7:03.0,E. İlyasova misses 2-pt layup at rim (block by C. Capela),,103,91
401,4,7:03.0,,Defensive rebound by J. Harden,103,91
402,4,6:54.0,,A. Rivers misses 3-pt jump shot from 23 ft,103,91
403,4,6:54.0,,Offensive rebound by C. Capela,103,91
404,4,6:48.0,,Personal foul by M. Brogdon (drawn by J. Harden),103,91
405,4,6:48.0,G. Antetokounmpo enters the game for G. Hill,,103,91
406,4,6:48.0,E. Bledsoe enters the game for E. İlyasova,,103,91
407,4,6:46.0,,Shooting foul by K. Middleton (drawn by G. Green),103,91
408,4,6:46.0,,G. Green makes free throw 1 of 3,103,92
409,4,6:46.0,,G. Green makes free throw 2 of 3,103,93
410,4,6:46.0,,G. Green makes free throw 3 of 3,103,94
411,4,6:29.0,M. Brogdon makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,105,94
412,4,6:16.0,,J. Harden misses 3-pt jump shot from 27 ft,105,94
413,4,6:15.0,Defensive rebound by E. Bledsoe,,105,94
414,4,5:56.0,B. Lopez makes 2-pt jump shot from 5 ft,,107,94
415,4,5:42.0,,C. Capela misses 2-pt hook shot from 6 ft,107,94
416,4,5:40.0,,Offensive rebound by C. Capela,107,94
417,4,5:28.0,,Turnover by Team (shot clock),107,94
418,4,5:28.0,S. Brown enters the game for M. Brogdon,,107,94
419,4,5:10.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,107,94
420,4,5:09.0,,Defensive rebound by J. Harden,107,94
421,4,4:59.0,,J. Harden makes 3-pt jump shot from 27 ft,107,97
422,4,4:58.0,Milwaukee full timeout,,107,97
423,4,4:40.0,S. Brown misses 2-pt jump shot from 9 ft,,107,97
424,4,4:39.0,,Defensive rebound by J. Harden,107,97
425,4,4:30.0,Violation by Team (kicked ball),,107,97
426,4,4:24.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by C. Capela),107,100
427,4,3:59.0,B. Lopez misses 2-pt jump shot from 9 ft,,107,100
428,4,3:58.0,,Defensive rebound by C. Capela,107,100
429,4,3:46.0,,A. Rivers makes 2-pt layup from 1 ft (assist by P. Tucker),107,102
430,4,3:46.0,Milwaukee full timeout,,107,102
431,4,3:46.0,M. Brogdon enters the game for K. Middleton,,107,102
432,4,3:26.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,109,102
433,4,3:12.0,,J. Harden misses 3-pt jump shot from 26 ft,109,102
434,4,3:10.0,,Offensive rebound by G. Green,109,102
435,4,3:04.0,,J. Harden makes 2-pt jump shot from 11 ft (assist by G. Green),109,104
436,4,2:52.0,M. Brogdon misses 2-pt layup from 6 ft,,109,104
437,4,2:51.0,,Defensive rebound by P. Tucker,109,104
438,4,2:37.0,,J. Harden makes 2-pt jump shot from 6 ft,109,106
439,4,2:16.0,Offensive foul by M. Brogdon (drawn by A. Rivers),,109,106
440,4,2:16.0,Turnover by M. Brogdon (offensive foul),,109,106
441,4,2:16.0,K. Middleton enters the game for S. Brown,,109,106
442,4,1:59.0,,J. Harden misses 3-pt jump shot from 26 ft,109,106
443,4,1:57.0,,Offensive rebound by J. Harden,109,106
444,4,1:45.0,,J. Harden misses 3-pt jump shot from 28 ft,109,106
445,4,1:44.0,Defensive rebound by M. Brogdon,,109,106
446,4,1:39.0,Shooting foul by A. Rivers (drawn by G. Antetokounmpo),,109,106
447,4,1:39.0,G. Antetokounmpo misses free throw 1 of 2,,109,106
448,4,1:39.0,Offensive rebound by Team,,109,106
449,4,1:39.0,,Houston full timeout,109,106
450,4,1:39.0,G. Antetokounmpo makes free throw 2 of 2,,110,106
451,4,1:24.0,,Turnover by J. Harden (bad pass; steal by B. Lopez),110,106
452,4,1:17.0,Turnover by M. Brogdon (lost ball; steal by J. Harden),,110,106
453,4,1:01.0,,J. Harden misses 3-pt jump shot from 26 ft,110,106
454,4,0:59.0,Defensive rebound by K. Middleton,,110,106
455,4,0:40.0,K. Middleton misses 2-pt jump shot from 10 ft,,110,106
456,4,0:39.0,Offensive rebound by G. Antetokounmpo,,110,106
457,4,0:39.0,G. Antetokounmpo makes 2-pt layup at rim,,112,106
458,4,0:30.0,,J. Harden misses 3-pt jump shot from 27 ft,112,106
459,4,0:27.0,,Offensive rebound by A. Rivers,112,106
460,4,0:26.0,,Personal foul by E. Bledsoe (drawn by A. Rivers),112,106
461,4,0:26.0,S. Brown enters the game for K. Middleton,,112,106
462,4,0:26.0,,Personal take foul by B. Lopez (drawn by C. Capela),112,106
463,4,0:26.0,,C. Capela makes free throw 1 of 2,112,107
464,4,0:26.0,,C. Capela misses free throw 2 of 2,112,107
465,4,0:26.0,Defensive rebound by G. Antetokounmpo,,112,107
466,4,0:25.0,Personal take foul by P. Tucker (drawn by G. Antetokounmpo),,112,107
467,4,0:25.0,G. Antetokounmpo makes free throw 1 of 2,,113,107
468,4,0:25.0,G. Antetokounmpo makes free throw 2 of 2,,114,107
469,4,0:17.0,,Shooting foul by B. Lopez (drawn by C. Capela),114,107
470,4,0:17.0,,C. Capela makes free throw 1 of 2,114,108
471,4,0:17.0,,C. Capela makes free throw 2 of 2,114,109
472,4,0:11.0,Personal take foul by G. Green (drawn by M. Brogdon),,114,109
473,4,0:11.0,M. Brogdon makes free throw 1 of 2,,115,109
474,4,0:11.0,M. Brogdon makes free throw 2 of 2,,116,109
475,4,0:11.0,,Houston full timeout,116,109
476,4,0:11.0,G. Hill enters the game for B. Lopez,,116,109
477,4,0:11.0,,D. House enters the game for C. Capela,116,109
478,4,0:09.0,,G. Green misses 3-pt jump shot from 23 ft,116,109
479,4,0:06.0,,Offensive rebound by P. Tucker,116,109
480,4,0:03.0,,P. Tucker misses 3-pt jump shot from 23 ft,116,109
481,4,0:02.0,Defensive rebound by M. Brogdon,,116,109
