,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MIAMI_ACTION,PORTLAND_SCORE,MIAMI_SCORE
385,4,8:32.0,,J. Winslow misses 3-pt jump shot from 25 ft,85,94
386,4,8:28.0,Defensive rebound by M. Leonard,,85,94
387,4,8:25.0,Personal foul by J. Winslow (drawn by E. Turner),,85,94
388,4,8:16.0,C. McCollum makes 3-pt jump shot from 25 ft,,88,94
389,4,8:09.0,,Miami full timeout,88,94
390,4,8:09.0,,G. Dragić enters the game for B. Adebayo,88,94
391,4,8:09.0,,H. Whiteside enters the game for D. Wade,88,94
392,4,7:57.0,,J. Richardson misses 3-pt jump shot from 25 ft,88,94
393,4,7:55.0,Defensive rebound by E. Turner,,88,94
394,4,7:48.0,C. McCollum misses 3-pt jump shot from 25 ft,,88,94
395,4,7:44.0,,Defensive rebound by J. Winslow,88,94
396,4,7:34.0,,J. Winslow makes 2-pt jump shot from 10 ft (assist by J. Richardson),88,96
397,4,7:18.0,C. McCollum makes 2-pt layup from 1 ft,,90,96
398,4,7:04.0,,T. Johnson misses 2-pt jump shot from 8 ft,90,96
399,4,7:01.0,Defensive rebound by E. Turner,,90,96
400,4,6:53.0,M. Leonard makes 3-pt jump shot from 25 ft (assist by E. Turner),,93,96
401,4,6:33.0,,H. Whiteside misses 2-pt layup from 1 ft (block by Z. Collins),93,96
402,4,6:32.0,,Offensive rebound by H. Whiteside,93,96
403,4,6:31.0,,Shooting foul by Z. Collins (drawn by H. Whiteside),93,96
404,4,6:31.0,,H. Whiteside misses free throw 1 of 2,93,96
405,4,6:31.0,,Offensive rebound by Team,93,96
406,4,6:31.0,D. Lillard enters the game for S. Curry,,93,96
407,4,6:31.0,,R. McGruder enters the game for T. Johnson,93,96
408,4,6:31.0,,H. Whiteside misses free throw 2 of 2,93,96
409,4,6:27.0,Defensive rebound by E. Turner,,93,96
410,4,6:19.0,Z. Collins makes 3-pt jump shot from 25 ft (assist by C. McCollum),,96,96
411,4,6:12.0,,Miami full timeout,96,96
412,4,6:12.0,,K. Olynyk enters the game for J. Winslow,96,96
413,4,5:54.0,,R. McGruder misses 3-pt jump shot from 23 ft,96,96
414,4,5:51.0,Defensive rebound by Z. Collins,,96,96
415,4,5:38.0,D. Lillard makes 3-pt jump shot from 28 ft (assist by E. Turner),,99,96
416,4,5:25.0,,K. Olynyk makes 3-pt jump shot from 27 ft (assist by G. Dragić),99,99
417,4,5:00.0,M. Leonard misses 3-pt jump shot from 26 ft,,99,99
418,4,4:57.0,,Defensive rebound by K. Olynyk,99,99
419,4,4:55.0,,G. Dragić makes 2-pt layup from 1 ft (assist by K. Olynyk),99,101
420,4,4:41.0,D. Lillard makes 3-pt jump shot from 27 ft (assist by E. Turner),,102,101
421,4,4:25.0,,Turnover by H. Whiteside (lost ball; steal by M. Leonard),102,101
422,4,4:21.0,Personal foul by G. Dragić (drawn by E. Turner),,102,101
423,4,4:13.0,D. Lillard misses 3-pt jump shot from 26 ft,,102,101
424,4,4:11.0,,Defensive rebound by R. McGruder,102,101
425,4,3:52.0,,H. Whiteside misses 3-pt jump shot from 23 ft,102,101
426,4,3:52.0,Defensive rebound by Team,,102,101
427,4,3:52.0,,Loose ball foul by K. Olynyk (drawn by Z. Collins),102,101
428,4,3:52.0,Z. Collins makes free throw 1 of 2,,103,101
429,4,3:52.0,Z. Collins makes free throw 2 of 2,,104,101
430,4,3:42.0,,G. Dragić misses 3-pt jump shot from 25 ft (block by E. Turner),104,101
431,4,3:39.0,Defensive rebound by M. Leonard,,104,101
432,4,3:37.0,C. McCollum misses 2-pt layup from 1 ft,,104,101
433,4,3:35.0,,Defensive rebound by J. Richardson,104,101
434,4,3:34.0,,Turnover by R. McGruder (step out of bounds),104,101
435,4,3:34.0,Portland full timeout,,104,101
436,4,3:20.0,D. Lillard misses 2-pt jump shot from 21 ft,,104,101
437,4,3:18.0,,Defensive rebound by G. Dragić,104,101
438,4,3:18.0,,Shooting foul by M. Leonard (drawn by G. Dragić),104,101
439,4,3:18.0,,G. Dragić misses free throw 1 of 3,104,101
440,4,3:18.0,,Offensive rebound by Team,104,101
441,4,3:18.0,,G. Dragić makes free throw 2 of 3,104,102
442,4,3:18.0,,G. Dragić makes free throw 3 of 3,104,103
443,4,3:07.0,D. Lillard makes 2-pt layup from 2 ft,,106,103
444,4,2:48.0,,K. Olynyk makes 2-pt jump shot from 1 ft,106,105
445,4,2:48.0,,Shooting foul by E. Turner (drawn by K. Olynyk),106,105
446,4,2:48.0,,K. Olynyk misses free throw 1 of 1,106,105
447,4,2:48.0,,Offensive rebound by H. Whiteside,106,105
448,4,2:34.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by K. Olynyk),106,108
449,4,2:10.0,C. McCollum misses 3-pt jump shot from 25 ft,,106,108
450,4,2:09.0,Offensive rebound by C. McCollum,,106,108
451,4,2:07.0,C. McCollum misses 2-pt jump shot from 9 ft,,106,108
452,4,2:07.0,,Defensive rebound by R. McGruder,106,108
453,4,2:00.0,,J. Richardson makes 3-pt jump shot from 23 ft (assist by G. Dragić),106,111
454,4,2:00.0,Portland full timeout,,106,111
455,4,1:43.0,D. Lillard misses 2-pt layup from 2 ft,,106,111
456,4,1:40.0,,Defensive rebound by H. Whiteside,106,111
457,4,1:31.0,,Shooting foul by M. Leonard (drawn by K. Olynyk),106,111
458,4,1:31.0,,K. Olynyk makes free throw 1 of 2,106,112
459,4,1:31.0,,K. Olynyk makes free throw 2 of 2,106,113
460,4,1:19.0,Shooting foul by H. Whiteside (drawn by C. McCollum),,106,113
461,4,1:19.0,C. McCollum makes free throw 1 of 2,,107,113
462,4,1:19.0,C. McCollum misses free throw 2 of 2,,107,113
463,4,1:16.0,,Defensive rebound by H. Whiteside,107,113
464,4,0:56.0,,G. Dragić makes 3-pt jump shot from 27 ft,107,116
465,4,0:51.0,D. Lillard makes 2-pt layup from 1 ft,,109,116
466,4,0:36.0,,R. McGruder makes 3-pt jump shot from 24 ft (assist by K. Olynyk),109,119
467,4,0:36.0,Portland full timeout,,109,119
468,4,0:36.0,S. Curry enters the game for E. Turner,,109,119
469,4,0:33.0,M. Leonard misses 3-pt jump shot from 25 ft,,109,119
470,4,0:31.0,,Defensive rebound by H. Whiteside,109,119
471,4,0:31.0,,Personal foul by S. Curry (drawn by H. Whiteside),109,119
472,4,0:31.0,,H. Whiteside misses free throw 1 of 2,109,119
473,4,0:31.0,,Offensive rebound by Team,109,119
474,4,0:31.0,J. Layman enters the game for D. Lillard,,109,119
475,4,0:31.0,N. Stauskas enters the game for C. McCollum,,109,119
476,4,0:31.0,,H. Whiteside makes free throw 2 of 2,109,120
477,4,0:23.0,N. Stauskas makes 2-pt jump shot from 16 ft,,111,120
