,QUARTER,TIME_REMAINING,UTAH_ACTION,MILWAUKEE_ACTION,UTAH_SCORE,MILWAUKEE_SCORE
375,4,8:30.0,Offensive rebound by D. Mitchell,,92,92
376,4,8:29.0,R. Gobert misses 2-pt layup from 2 ft (block by G. Antetokounmpo),,92,92
377,4,8:28.0,,Defensive rebound by B. Lopez,92,92
378,4,8:28.0,D. Favors enters the game for J. Crowder,,92,92
379,4,8:24.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,92,94
380,4,8:24.0,,Shooting foul by R. Gobert (drawn by G. Antetokounmpo),92,94
381,4,8:24.0,,G. Antetokounmpo makes free throw 1 of 1,92,95
382,4,8:02.0,R. Neto misses 2-pt jump shot from 8 ft,,92,95
383,4,7:59.0,,Defensive rebound by B. Lopez,92,95
384,4,7:54.0,,Turnover by E. Bledsoe (bad pass; steal by D. Mitchell),92,95
385,4,7:52.0,Shooting foul by T. Snell (drawn by R. O'Neale),,92,95
386,4,7:52.0,R. O'Neale makes free throw 1 of 2,,93,95
387,4,7:52.0,R. O'Neale makes free throw 2 of 2,,94,95
388,4,7:34.0,,K. Middleton misses 2-pt jump shot from 10 ft,94,95
389,4,7:32.0,Defensive rebound by D. Mitchell,,94,95
390,4,7:27.0,D. Mitchell misses 2-pt jump shot from 15 ft,,94,95
391,4,7:24.0,,Defensive rebound by B. Lopez,94,95
392,4,7:16.0,,Offensive foul by G. Antetokounmpo (drawn by R. Gobert),94,95
393,4,7:16.0,,Turnover by G. Antetokounmpo (offensive foul),94,95
394,4,7:16.0,K. Korver enters the game for R. O'Neale,,94,95
395,4,7:16.0,,T. Maker enters the game for G. Antetokounmpo,94,95
396,4,7:00.0,D. Mitchell misses 2-pt jump shot from 13 ft,,94,95
397,4,6:57.0,,Defensive rebound by E. Bledsoe,94,95
398,4,6:45.0,,E. Bledsoe misses 2-pt jump shot from 15 ft,94,95
399,4,6:43.0,Defensive rebound by R. Neto,,94,95
400,4,6:37.0,R. Neto misses 2-pt layup from 2 ft,,94,95
401,4,6:34.0,,Defensive rebound by T. Maker,94,95
402,4,6:31.0,,T. Snell makes 2-pt layup from 2 ft,94,97
403,4,6:13.0,D. Mitchell misses 2-pt jump shot from 16 ft,,94,97
404,4,6:10.0,,Defensive rebound by K. Middleton,94,97
405,4,6:06.0,,K. Middleton makes 2-pt jump shot from 15 ft,94,99
406,4,6:06.0,,Shooting foul by K. Korver (drawn by K. Middleton),94,99
407,4,6:06.0,J. Crowder enters the game for K. Korver,,94,99
408,4,6:06.0,J. Ingles enters the game for D. Mitchell,,94,99
409,4,6:06.0,,G. Antetokounmpo enters the game for E. Bledsoe,94,99
410,4,6:06.0,,G. Hill enters the game for B. Lopez,94,99
411,4,6:06.0,,K. Middleton makes free throw 1 of 1,94,100
412,4,5:44.0,J. Crowder misses 3-pt jump shot from 27 ft,,94,100
413,4,5:41.0,,Defensive rebound by G. Hill,94,100
414,4,5:36.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,94,100
415,4,5:35.0,,Offensive rebound by Team,94,100
416,4,5:35.0,K. Korver enters the game for D. Favors,,94,100
417,4,5:31.0,,G. Antetokounmpo misses 3-pt jump shot from 22 ft,94,100
418,4,5:27.0,Defensive rebound by R. Neto,,94,100
419,4,5:26.0,Personal foul by G. Hill (drawn by R. Neto),,94,100
420,4,5:11.0,R. Neto makes 3-pt jump shot from 28 ft (assist by J. Ingles),,97,100
421,4,5:01.0,,K. Middleton misses 2-pt jump shot from 8 ft,97,100
422,4,5:01.0,,Offensive rebound by T. Maker,97,100
423,4,4:55.0,,T. Maker makes 2-pt layup at rim,97,102
424,4,4:46.0,Shooting foul by T. Maker (drawn by R. Gobert),,97,102
425,4,4:46.0,R. Gobert makes free throw 1 of 2,,98,102
426,4,4:46.0,D. Mitchell enters the game for K. Korver,,98,102
427,4,4:46.0,,M. Brogdon enters the game for T. Snell,98,102
428,4,4:46.0,R. Gobert makes free throw 2 of 2,,99,102
429,4,4:31.0,,G. Antetokounmpo misses 2-pt hook shot from 9 ft,99,102
430,4,4:31.0,,Offensive rebound by Team,99,102
431,4,4:17.0,,M. Brogdon makes 3-pt jump shot from 24 ft (assist by K. Middleton),99,105
432,4,3:54.0,Turnover by R. Gobert (traveling),,99,105
433,4,3:54.0,,B. Lopez enters the game for T. Maker,99,105
434,4,3:46.0,,K. Middleton misses 2-pt jump shot from 12 ft (block by J. Ingles),99,105
435,4,3:44.0,,Offensive rebound by Team,99,105
436,4,3:41.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by B. Lopez),99,107
437,4,3:30.0,Utah full timeout,,99,107
438,4,3:17.0,R. Neto makes 2-pt jump shot from 6 ft (assist by R. Gobert),,101,107
439,4,3:17.0,K. Korver enters the game for J. Ingles,,101,107
440,4,3:05.0,,Personal foul by J. Crowder (drawn by B. Lopez),101,107
441,4,3:05.0,,B. Lopez makes free throw 1 of 2,101,108
442,4,3:05.0,,B. Lopez makes free throw 2 of 2,101,109
443,4,2:57.0,Personal foul by G. Antetokounmpo (drawn by R. Gobert),,101,109
444,4,2:57.0,R. Gobert misses free throw 1 of 2,,101,109
445,4,2:57.0,Offensive rebound by Team,,101,109
446,4,2:57.0,R. Gobert misses free throw 2 of 2,,101,109
447,4,2:55.0,,Defensive rebound by Team,101,109
448,4,2:45.0,,Turnover by M. Brogdon (out of bounds lost ball),101,109
449,4,2:28.0,Turnover by D. Mitchell (bad pass; steal by K. Middleton),,101,109
450,4,2:20.0,,B. Lopez makes 3-pt jump shot from 30 ft (assist by K. Middleton),101,112
451,4,2:04.0,J. Crowder misses 2-pt jump shot from 23 ft,,101,112
452,4,2:01.0,,Defensive rebound by K. Middleton,101,112
453,4,1:46.0,,G. Antetokounmpo misses 2-pt dunk from 2 ft,101,112
454,4,1:43.0,Defensive rebound by R. Neto,,101,112
455,4,1:41.0,D. Mitchell misses 3-pt jump shot from 27 ft,,101,112
456,4,1:38.0,,Defensive rebound by G. Antetokounmpo,101,112
457,4,1:20.0,,K. Middleton misses 3-pt jump shot from 27 ft,101,112
458,4,1:17.0,Defensive rebound by R. Gobert,,101,112
459,4,1:15.0,Turnover by D. Mitchell (lost ball; steal by G. Hill),,101,112
460,4,0:51.0,,K. Middleton misses 2-pt layup from 4 ft,101,112
461,4,0:51.0,,Offensive rebound by G. Antetokounmpo,101,112
462,4,0:51.0,,G. Antetokounmpo makes 2-pt layup at rim,101,114
463,4,0:42.0,Shooting foul by G. Antetokounmpo (drawn by R. Gobert),,101,114
464,4,0:42.0,G. Niang enters the game for J. Crowder,,101,114
465,4,0:42.0,R. O'Neale enters the game for D. Mitchell,,101,114
466,4,0:42.0,,E. Bledsoe enters the game for G. Antetokounmpo,101,114
467,4,0:42.0,,T. Maker enters the game for B. Lopez,101,114
468,4,0:42.0,,T. Snell enters the game for K. Middleton,101,114
469,4,0:42.0,R. Gobert misses free throw 1 of 2,,101,114
470,4,0:42.0,Offensive rebound by Team,,101,114
471,4,0:42.0,T. Cavanaugh enters the game for K. Korver,,101,114
472,4,0:42.0,N. Mitrou-Long enters the game for R. Neto,,101,114
473,4,0:42.0,,S. Brown enters the game for M. Brogdon,101,114
474,4,0:42.0,R. Gobert makes free throw 2 of 2,,102,114
475,4,0:19.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,102,114
476,4,0:18.0,,Offensive rebound by Team,102,114
477,4,0:18.0,,Turnover by Team (shot clock),102,114
