,QUARTER,TIME_REMAINING,DETROIT_ACTION,DALLAS_ACTION,DETROIT_SCORE,DALLAS_SCORE
49,1,5:43.0,,D. Powell makes 2-pt dunk from 1 ft (assist by L. Dončić),11,8
50,1,5:26.0,R. Jackson makes 3-pt jump shot from 23 ft (assist by R. Bullock),,14,8
51,1,5:10.0,,W. Matthews misses 2-pt jump shot from 4 ft,14,8
52,1,5:08.0,Defensive rebound by A. Drummond,,14,8
53,1,4:58.0,B. Brown makes 3-pt jump shot from 24 ft (assist by R. Jackson),,17,8
54,1,4:42.0,,D. Smith makes 2-pt jump shot from 9 ft,17,10
55,1,4:29.0,A. Drummond misses 2-pt hook shot from 8 ft,,17,10
56,1,4:26.0,,Defensive rebound by D. Powell,17,10
57,1,4:17.0,,L. Dončić makes 3-pt jump shot from 25 ft (assist by D. Smith),17,13
58,1,4:00.0,Shooting foul by W. Matthews (drawn by B. Griffin),,17,13
59,1,4:00.0,B. Griffin misses free throw 1 of 2,,17,13
60,1,4:00.0,Offensive rebound by Team,,17,13
61,1,4:00.0,L. Galloway enters the game for B. Brown,,17,13
62,1,4:00.0,Z. Pachulia enters the game for A. Drummond,,17,13
63,1,4:00.0,,M. Kleber enters the game for L. Dončić,17,13
64,1,4:00.0,B. Griffin makes free throw 2 of 2,,18,13
65,1,3:45.0,,D. Smith makes 3-pt jump shot from 25 ft (assist by D. Powell),18,16
66,1,3:27.0,Turnover by B. Griffin (lost ball; steal by M. Kleber),,18,16
67,1,3:14.0,,H. Barnes misses 2-pt jump shot from 10 ft,18,16
68,1,3:12.0,Defensive rebound by L. Galloway,,18,16
69,1,2:50.0,R. Jackson misses 2-pt jump shot from 23 ft,,18,16
70,1,2:46.0,,Defensive rebound by W. Matthews,18,16
71,1,2:35.0,,W. Matthews misses 3-pt jump shot from 25 ft,18,16
72,1,2:32.0,Defensive rebound by R. Bullock,,18,16
73,1,2:19.0,B. Griffin misses 2-pt layup from 3 ft,,18,16
74,1,2:17.0,Offensive rebound by Z. Pachulia,,18,16
75,1,2:15.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by R. Jackson),,21,16
76,1,1:59.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by D. Smith),21,19
77,1,1:46.0,Personal foul by D. Smith (drawn by B. Griffin),,21,19
78,1,1:46.0,B. Griffin makes free throw 1 of 2,,22,19
79,1,1:46.0,J. Calderón enters the game for R. Bullock,,22,19
80,1,1:46.0,L. Kennard enters the game for R. Jackson,,22,19
81,1,1:46.0,,D. Harris enters the game for H. Barnes,22,19
82,1,1:46.0,,D. Nowitzki enters the game for W. Matthews,22,19
83,1,1:46.0,B. Griffin makes free throw 2 of 2,,23,19
84,1,1:29.0,,D. Harris misses 2-pt jump shot from 20 ft,23,19
85,1,1:25.0,Defensive rebound by L. Galloway,,23,19
86,1,1:21.0,L. Kennard misses 3-pt jump shot from 25 ft,,23,19
87,1,1:19.0,Offensive rebound by B. Griffin,,23,19
88,1,1:16.0,B. Griffin misses 2-pt hook shot from 2 ft,,23,19
89,1,1:15.0,Offensive rebound by B. Griffin,,23,19
90,1,1:14.0,B. Griffin misses 2-pt layup from 2 ft,,23,19
91,1,1:12.0,,Defensive rebound by D. Powell,23,19
92,1,1:06.0,,D. Smith makes 2-pt layup from 1 ft (assist by D. Harris),23,21
93,1,0:53.0,L. Galloway makes 3-pt jump shot from 24 ft (assist by J. Calderón),,26,21
94,1,0:40.0,,D. Smith makes 2-pt layup from 1 ft,26,23
95,1,0:19.0,B. Griffin makes 2-pt layup at rim,,28,23
96,1,0:05.0,,Personal take foul by Z. Pachulia (drawn by D. Smith),28,23
97,1,0:00.0,,Turnover by D. Smith (bad pass; steal by L. Galloway),28,23
98,2,11:38.0,,D. Nowitzki misses 2-pt jump shot from 17 ft,28,23
99,2,11:37.0,,Offensive rebound by Team,28,23
100,2,11:37.0,,Personal foul by L. Kennard (drawn by D. Finney-Smith),28,23
101,2,11:32.0,,L. Dončić makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),28,26
102,2,11:14.0,L. Galloway misses 3-pt jump shot from 26 ft,,28,26
103,2,11:11.0,,Defensive rebound by L. Dončić,28,26
104,2,11:06.0,,L. Dončić makes 3-pt jump shot from 28 ft,28,29
105,2,10:46.0,S. Johnson misses 2-pt jump shot from 7 ft,,28,29
106,2,10:44.0,Offensive rebound by L. Galloway,,28,29
107,2,10:41.0,J. Calderón misses 3-pt jump shot from 25 ft,,28,29
108,2,10:37.0,,Defensive rebound by L. Dončić,28,29
109,2,10:24.0,,D. Powell makes 2-pt hook shot from 3 ft (assist by L. Dončić),28,31
110,2,10:24.0,,Shooting foul by Z. Pachulia (drawn by D. Powell),28,31
111,2,10:24.0,,D. Powell makes free throw 1 of 1,28,32
112,2,10:03.0,Z. Pachulia makes 2-pt jump shot from 3 ft,,30,32
113,2,10:03.0,Shooting foul by D. Powell (drawn by Z. Pachulia),,30,32
114,2,10:03.0,Z. Pachulia makes free throw 1 of 1,,31,32
115,2,9:53.0,,D. Powell makes 2-pt layup from 1 ft (assist by D. Nowitzki),31,34
116,2,9:53.0,,Shooting foul by Z. Pachulia (drawn by D. Powell),31,34
117,2,9:53.0,A. Drummond enters the game for Z. Pachulia,,31,34
118,2,9:53.0,,D. Powell misses free throw 1 of 1,31,34
119,2,9:51.0,Defensive rebound by L. Kennard,,31,34
120,2,9:34.0,,Violation by Team (kicked ball),31,34
121,2,9:25.0,Personal foul by D. Harris (drawn by L. Kennard),,31,34
122,2,9:16.0,J. Calderón misses 2-pt layup from 3 ft (block by L. Dončić),,31,34
123,2,9:14.0,Offensive rebound by Team,,31,34
124,2,9:12.0,S. Johnson misses 3-pt jump shot from 27 ft,,31,34
125,2,9:09.0,,Defensive rebound by D. Powell,31,34
126,2,8:59.0,,D. Nowitzki misses 3-pt jump shot from 23 ft,31,34
127,2,8:55.0,,Offensive rebound by D. Finney-Smith,31,34
128,2,8:54.0,,D. Finney-Smith makes 2-pt dunk from 1 ft,31,36
129,2,8:50.0,Detroit full timeout,,31,36
130,2,8:37.0,L. Kennard misses 2-pt jump shot from 11 ft,,31,36
131,2,8:35.0,,Defensive rebound by D. Powell,31,36
132,2,8:25.0,,Shooting foul by S. Johnson (drawn by L. Dončić),31,36
133,2,8:25.0,,L. Dončić misses free throw 1 of 2,31,36
134,2,8:25.0,,Offensive rebound by Team,31,36
135,2,8:25.0,,L. Dončić makes free throw 2 of 2,31,37
136,2,8:03.0,L. Galloway makes 2-pt jump shot from 7 ft (assist by J. Calderón),,33,37
137,2,7:49.0,,D. Finney-Smith makes 3-pt jump shot from 22 ft (assist by L. Dončić),33,40
138,2,7:40.0,Shooting foul by D. Powell (drawn by A. Drummond),,33,40
139,2,7:40.0,A. Drummond makes free throw 1 of 2,,34,40
140,2,7:40.0,R. Bullock enters the game for L. Galloway,,34,40
141,2,7:40.0,B. Griffin enters the game for L. Kennard,,34,40
142,2,7:40.0,,M. Kleber enters the game for D. Nowitzki,34,40
143,2,7:40.0,A. Drummond makes free throw 2 of 2,,35,40
144,2,7:25.0,,L. Dončić misses 3-pt jump shot from 27 ft,35,40
145,2,7:23.0,,Offensive rebound by M. Kleber,35,40
146,2,7:21.0,,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by M. Kleber),35,43
147,2,7:03.0,B. Griffin misses 3-pt jump shot from 25 ft,,35,43
148,2,7:01.0,,Defensive rebound by D. Finney-Smith,35,43
149,2,6:57.0,,Shooting foul by J. Calderón (drawn by D. Harris),35,43
150,2,6:57.0,,D. Harris misses free throw 1 of 2,35,43
151,2,6:57.0,,Offensive rebound by Team,35,43
152,2,6:57.0,R. Jackson enters the game for J. Calderón,,35,43
153,2,6:57.0,,H. Barnes enters the game for L. Dončić,35,43
154,2,6:57.0,,D. Jordan enters the game for D. Finney-Smith,35,43
155,2,6:57.0,,D. Smith enters the game for D. Powell,35,43
156,2,6:57.0,,D. Harris misses free throw 2 of 2,35,43
157,2,6:55.0,Defensive rebound by B. Griffin,,35,43
158,2,6:43.0,A. Drummond misses 2-pt jump shot from 11 ft,,35,43
159,2,6:40.0,,Defensive rebound by D. Jordan,35,43
160,2,6:37.0,,Shooting foul by S. Johnson (drawn by D. Harris),35,43
161,2,6:37.0,,D. Harris misses free throw 1 of 2,35,43
162,2,6:37.0,,Offensive rebound by Team,35,43
163,2,6:37.0,,D. Harris misses free throw 2 of 2,35,43
164,2,6:34.0,Defensive rebound by A. Drummond,,35,43
165,2,6:23.0,A. Drummond makes 2-pt jump shot from 8 ft (assist by R. Jackson),,37,43
166,2,6:07.0,,M. Kleber makes 3-pt jump shot from 26 ft (assist by D. Harris),37,46
167,2,6:01.0,Turnover by R. Jackson (bad pass),,37,46
168,2,6:01.0,,D. Finney-Smith enters the game for D. Harris,37,46
169,2,5:41.0,,H. Barnes misses 2-pt jump shot from 7 ft,37,46
170,2,5:37.0,,Offensive rebound by D. Jordan,37,46
171,2,5:37.0,,D. Jordan misses 2-pt layup from 1 ft,37,46
172,2,5:37.0,,Offensive rebound by D. Jordan,37,46
173,2,5:37.0,,D. Jordan misses 2-pt layup from 1 ft,37,46
174,2,5:36.0,Defensive rebound by B. Griffin,,37,46
175,2,5:25.0,Personal foul by M. Kleber (drawn by R. Bullock),,37,46
176,2,5:20.0,B. Griffin makes 2-pt layup from 2 ft (assist by S. Johnson),,39,46
177,2,5:04.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by H. Barnes),39,49
178,2,4:50.0,Shooting foul by D. Jordan (drawn by B. Griffin),,39,49
179,2,4:50.0,B. Griffin makes free throw 1 of 2,,40,49
180,2,4:50.0,B. Griffin makes free throw 2 of 2,,41,49
181,2,4:35.0,,H. Barnes misses 2-pt jump shot from 8 ft,41,49
182,2,4:32.0,Defensive rebound by S. Johnson,,41,49
183,2,4:18.0,B. Griffin misses 2-pt layup from 2 ft (block by M. Kleber),,41,49
184,2,4:18.0,Offensive rebound by Team,,41,49
185,2,4:10.0,Turnover by R. Bullock (lost ball; steal by D. Finney-Smith),,41,49
186,2,4:07.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),41,51
187,2,3:58.0,Detroit full timeout,,41,51
188,2,3:58.0,B. Brown enters the game for S. Johnson,,41,51
189,2,3:45.0,R. Jackson misses 3-pt jump shot from 24 ft,,41,51
190,2,3:41.0,,Defensive rebound by M. Kleber,41,51
191,2,3:22.0,,D. Jordan makes 2-pt dunk at rim (assist by H. Barnes),41,53
192,2,2:59.0,B. Griffin makes 2-pt hook shot from 2 ft,,43,53
193,2,2:38.0,,Personal foul by R. Jackson (drawn by D. Jordan),43,53
194,2,2:38.0,,D. Jordan misses free throw 1 of 2,43,53
195,2,2:38.0,,Offensive rebound by Team,43,53
196,2,2:38.0,,L. Dončić enters the game for D. Finney-Smith,43,53
197,2,2:38.0,,D. Jordan makes free throw 2 of 2,43,54
198,2,2:26.0,Turnover by R. Bullock (lost ball; steal by H. Barnes),,43,54
199,2,2:22.0,,D. Smith makes 2-pt layup at rim,43,56
200,2,1:58.0,B. Griffin makes 2-pt hook shot from 7 ft,,45,56
201,2,1:58.0,Shooting foul by M. Kleber (drawn by B. Griffin),,45,56
202,2,1:58.0,,D. Finney-Smith enters the game for M. Kleber,45,56
203,2,1:58.0,B. Griffin makes free throw 1 of 1,,46,56
204,2,1:44.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,46,56
205,2,1:42.0,Defensive rebound by B. Brown,,46,56
206,2,1:37.0,B. Griffin makes 2-pt layup from 1 ft (assist by B. Brown),,48,56
207,2,1:37.0,Shooting foul by D. Finney-Smith (drawn by B. Griffin),,48,56
208,2,1:37.0,K. Thomas enters the game for R. Bullock,,48,56
209,2,1:37.0,B. Griffin makes free throw 1 of 1,,49,56
210,2,1:26.0,,L. Dončić makes 2-pt jump shot from 3 ft,49,58
211,2,1:26.0,,Shooting foul by B. Brown (drawn by L. Dončić),49,58
212,2,1:26.0,,M. Kleber enters the game for D. Finney-Smith,49,58
213,2,1:26.0,,D. Powell enters the game for D. Jordan,49,58
214,2,1:26.0,,L. Dončić makes free throw 1 of 1,49,59
215,2,1:04.0,B. Griffin makes 3-pt jump shot from 23 ft (assist by R. Jackson),,52,59
216,2,0:51.0,,D. Powell makes 2-pt dunk from 1 ft (assist by L. Dončić),52,61
217,2,0:29.0,R. Jackson misses 2-pt jump shot from 20 ft,,52,61
218,2,0:25.0,Offensive rebound by A. Drummond,,52,61
219,2,0:25.0,A. Drummond makes 2-pt layup at rim,,54,61
220,2,0:07.0,,M. Kleber misses 3-pt jump shot from 24 ft,54,61
221,2,0:06.0,,Offensive rebound by Team,54,61
222,2,0:06.0,,Personal foul by K. Thomas (drawn by L. Dončić),54,61
223,2,0:06.0,,L. Dončić misses free throw 1 of 2,54,61
224,2,0:06.0,,Offensive rebound by Team,54,61
225,2,0:06.0,,L. Dončić makes free throw 2 of 2,54,62
226,2,0:01.0,B. Griffin misses 3-pt jump shot from 28 ft,,54,62
227,2,0:01.0,Offensive rebound by Team,,54,62
228,3,11:38.0,,L. Dončić misses 2-pt jump shot from 5 ft,54,62
229,3,11:35.0,Defensive rebound by B. Brown,,54,62
230,3,11:31.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by R. Jackson),,57,62
231,3,11:20.0,,Personal foul by R. Bullock (drawn by W. Matthews),57,62
232,3,11:16.0,,Offensive foul by L. Dončić (drawn by B. Brown),57,62
233,3,11:16.0,,Turnover by L. Dončić (offensive foul),57,62
234,3,11:01.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),,60,62
235,3,10:48.0,,H. Barnes misses 2-pt jump shot from 4 ft,60,62
236,3,10:45.0,Defensive rebound by A. Drummond,,60,62
237,3,10:33.0,Turnover by B. Griffin (lost ball; steal by D. Jordan),,60,62
238,3,10:22.0,,D. Smith misses 2-pt jump shot from 19 ft,60,62
239,3,10:19.0,Defensive rebound by R. Bullock,,60,62
240,3,10:07.0,Turnover by B. Griffin (bad pass),,60,62
241,3,9:56.0,,Shooting foul by B. Brown (drawn by L. Dončić),60,62
242,3,9:56.0,,L. Dončić makes free throw 1 of 2,60,63
243,3,9:56.0,,L. Dončić makes free throw 2 of 2,60,64
244,3,9:42.0,R. Jackson misses 3-pt jump shot from 26 ft,,60,64
245,3,9:39.0,,Defensive rebound by H. Barnes,60,64
246,3,9:30.0,,D. Smith misses 2-pt layup from 2 ft,60,64
247,3,9:27.0,Defensive rebound by A. Drummond,,60,64
248,3,9:15.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by B. Griffin),,63,64
249,3,8:58.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Jordan),63,67
250,3,8:33.0,B. Griffin misses 3-pt jump shot from 27 ft,,63,67
251,3,8:32.0,,Defensive rebound by Team,63,67
252,3,8:15.0,,Turnover by H. Barnes (bad pass; steal by A. Drummond),63,67
253,3,8:11.0,A. Drummond makes 2-pt layup from 1 ft,,65,67
254,3,7:54.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Smith),65,70
255,3,7:45.0,B. Griffin makes 2-pt layup from 1 ft (assist by R. Jackson),,67,70
256,3,7:45.0,Shooting foul by H. Barnes (drawn by B. Griffin),,67,70
257,3,7:45.0,B. Griffin makes free throw 1 of 1,,68,70
258,3,7:32.0,,Turnover by H. Barnes (lost ball; steal by A. Drummond),68,70
259,3,7:28.0,B. Brown makes 2-pt dunk from 1 ft (assist by R. Jackson),,70,70
260,3,7:28.0,,Dallas full timeout,70,70
261,3,7:28.0,,D. Powell enters the game for W. Matthews,70,70
262,3,7:12.0,,Shooting foul by R. Bullock (drawn by H. Barnes),70,70
263,3,7:12.0,,H. Barnes makes free throw 1 of 2,70,71
264,3,7:12.0,,H. Barnes makes free throw 2 of 2,70,72
265,3,6:57.0,B. Griffin misses 3-pt jump shot from 24 ft,,70,72
266,3,6:53.0,,Defensive rebound by D. Smith,70,72
267,3,6:41.0,,D. Jordan makes 2-pt hook shot from 4 ft,70,74
268,3,6:23.0,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Bullock),,72,74
269,3,6:09.0,,Shooting foul by B. Brown (drawn by L. Dončić),72,74
270,3,6:09.0,,L. Dončić makes free throw 1 of 2,72,75
271,3,6:09.0,L. Kennard enters the game for B. Brown,,72,75
272,3,6:09.0,,L. Dončić makes free throw 2 of 2,72,76
273,3,5:46.0,Personal foul by H. Barnes (drawn by B. Griffin),,72,76
274,3,5:36.0,R. Jackson makes 2-pt jump shot from 10 ft,,74,76
275,3,5:36.0,Shooting foul by D. Smith (drawn by R. Jackson),,74,76
276,3,5:36.0,R. Jackson makes free throw 1 of 1,,75,76
277,3,5:15.0,,H. Barnes misses 3-pt jump shot from 25 ft,75,76
278,3,5:12.0,Defensive rebound by A. Drummond,,75,76
279,3,4:51.0,R. Jackson misses 2-pt jump shot from 8 ft,,75,76
280,3,4:48.0,,Defensive rebound by H. Barnes,75,76
281,3,4:44.0,,Personal foul by R. Jackson (drawn by L. Dončić),75,76
282,3,4:44.0,,L. Dončić makes free throw 1 of 2,75,77
283,3,4:44.0,,L. Dončić makes free throw 2 of 2,75,78
284,3,4:38.0,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Jackson),,78,78
285,3,4:18.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),78,80
286,3,4:05.0,B. Griffin misses 3-pt jump shot from 25 ft,,78,80
287,3,4:03.0,,Defensive rebound by D. Powell,78,80
288,3,3:58.0,,Turnover by L. Dončić (bad pass; steal by B. Griffin),78,80
289,3,3:48.0,L. Kennard misses 3-pt jump shot from 25 ft,,78,80
290,3,3:45.0,,Defensive rebound by D. Jordan,78,80
291,3,3:37.0,,H. Barnes misses 2-pt jump shot from 12 ft,78,80
292,3,3:34.0,Defensive rebound by A. Drummond,,78,80
293,3,3:33.0,Personal foul by L. Dončić (drawn by B. Griffin),,78,80
294,3,3:33.0,Detroit full timeout,,78,80
295,3,3:33.0,S. Johnson enters the game for R. Bullock,,78,80
296,3,3:33.0,,D. Harris enters the game for L. Dončić,78,80
297,3,3:33.0,,M. Kleber enters the game for D. Powell,78,80
298,3,3:23.0,R. Jackson misses 2-pt dunk from 3 ft (block by M. Kleber),,78,80
299,3,3:21.0,,Defensive rebound by D. Jordan,78,80
300,3,3:17.0,,Shooting foul by A. Drummond (drawn by D. Smith),78,80
301,3,3:17.0,,D. Smith misses free throw 1 of 2,78,80
302,3,3:17.0,,Offensive rebound by Team,78,80
303,3,3:17.0,,D. Smith misses free throw 2 of 2,78,80
304,3,3:15.0,Defensive rebound by A. Drummond,,78,80
305,3,3:04.0,Shooting foul by M. Kleber (drawn by A. Drummond),,78,80
306,3,3:04.0,A. Drummond misses free throw 1 of 2,,78,80
307,3,3:04.0,Offensive rebound by Team,,78,80
308,3,3:04.0,A. Drummond misses free throw 2 of 2,,78,80
309,3,3:02.0,,Defensive rebound by D. Jordan,78,80
310,3,2:48.0,,D. Jordan misses 2-pt layup from 1 ft,78,80
311,3,2:46.0,,Offensive rebound by D. Jordan,78,80
312,3,2:46.0,,D. Jordan misses 2-pt layup at rim,78,80
313,3,2:46.0,,Offensive rebound by D. Jordan,78,80
314,3,2:43.0,,D. Jordan makes 2-pt dunk at rim,78,82
315,3,2:33.0,B. Griffin makes 2-pt jump shot from 3 ft (assist by R. Jackson),,80,82
316,3,2:11.0,,M. Kleber misses 3-pt jump shot from 25 ft,80,82
317,3,2:08.0,Defensive rebound by L. Kennard,,80,82
318,3,2:04.0,A. Drummond misses 2-pt layup from 2 ft,,80,82
319,3,2:01.0,Offensive rebound by A. Drummond,,80,82
320,3,2:01.0,A. Drummond misses 2-pt layup from 1 ft,,80,82
321,3,1:59.0,Offensive rebound by A. Drummond,,80,82
322,3,1:59.0,A. Drummond makes 2-pt layup from 1 ft,,82,82
323,3,1:38.0,,D. Smith makes 3-pt jump shot from 25 ft (assist by H. Barnes),82,85
324,3,1:20.0,B. Griffin makes 3-pt jump shot from 24 ft,,85,85
325,3,1:04.0,,D. Smith misses 3-pt jump shot from 25 ft,85,85
326,3,1:02.0,Defensive rebound by A. Drummond,,85,85
327,3,0:57.0,Turnover by B. Griffin (lost ball; steal by D. Harris),,85,85
328,3,0:43.0,,D. Smith makes 2-pt layup from 8 ft,85,87
329,3,0:43.0,,Shooting foul by A. Drummond (drawn by D. Smith),85,87
330,3,0:43.0,K. Thomas enters the game for R. Jackson,,85,87
331,3,0:43.0,,D. Smith makes free throw 1 of 1,85,88
332,3,0:31.0,K. Thomas misses 3-pt jump shot from 23 ft,,85,88
333,3,0:28.0,,Defensive rebound by M. Kleber,85,88
334,3,0:09.0,,D. Smith misses 3-pt jump shot from 25 ft,85,88
335,3,0:05.0,Defensive rebound by L. Kennard,,85,88
336,3,0:01.0,S. Johnson misses 3-pt jump shot from 24 ft,,85,88
337,3,0:01.0,Offensive rebound by Team,,85,88
338,4,11:49.0,L. Kennard misses 2-pt jump shot from 19 ft,,85,88
339,4,11:45.0,Offensive rebound by L. Galloway,,85,88
340,4,11:36.0,Offensive foul by Z. Pachulia (drawn by D. Harris),,85,88
341,4,11:36.0,Turnover by Z. Pachulia (offensive foul),,85,88
342,4,11:21.0,,D. Harris misses 3-pt jump shot from 23 ft,85,88
343,4,11:18.0,Defensive rebound by S. Johnson,,85,88
344,4,11:15.0,Shooting foul by D. Powell (drawn by S. Johnson),,85,88
345,4,11:15.0,S. Johnson makes free throw 1 of 2,,86,88
346,4,11:15.0,S. Johnson makes free throw 2 of 2,,87,88
347,4,10:56.0,,D. Powell misses 2-pt dunk at rim,87,88
348,4,10:56.0,Defensive rebound by Team,,87,88
349,4,10:42.0,S. Johnson misses 3-pt jump shot from 25 ft,,87,88
350,4,10:38.0,,Defensive rebound by D. Powell,87,88
351,4,10:30.0,,L. Dončić makes 2-pt layup at rim,87,90
352,4,10:14.0,Personal foul by D. Finney-Smith (drawn by Z. Pachulia),,87,90
353,4,10:08.0,Turnover by L. Kennard (bad pass; steal by L. Dončić),,87,90
354,4,10:02.0,,L. Dončić misses 2-pt jump shot from 5 ft,87,90
355,4,10:00.0,Defensive rebound by L. Kennard,,87,90
356,4,9:58.0,Shooting foul by D. Harris (drawn by Z. Pachulia),,87,90
357,4,9:58.0,Z. Pachulia makes free throw 1 of 2,,88,90
358,4,9:58.0,Z. Pachulia makes free throw 2 of 2,,89,90
359,4,9:36.0,,D. Powell misses 2-pt layup from 3 ft,89,90
360,4,9:34.0,Defensive rebound by S. Johnson,,89,90
361,4,9:30.0,L. Galloway misses 3-pt jump shot from 25 ft,,89,90
362,4,9:28.0,,Defensive rebound by L. Dončić,89,90
363,4,9:20.0,,Turnover by L. Dončić (bad pass),89,90
364,4,9:06.0,S. Johnson misses 3-pt jump shot from 25 ft,,89,90
365,4,9:03.0,,Defensive rebound by D. Finney-Smith,89,90
366,4,8:51.0,,L. Dončić makes 2-pt jump shot from 3 ft,89,92
367,4,8:36.0,L. Galloway misses 3-pt jump shot from 25 ft,,89,92
368,4,8:34.0,Offensive rebound by Z. Pachulia,,89,92
369,4,8:33.0,Z. Pachulia misses 2-pt layup from 1 ft (block by D. Finney-Smith),,89,92
370,4,8:33.0,,Defensive rebound by D. Nowitzki,89,92
371,4,8:24.0,,L. Dončić misses 3-pt jump shot from 24 ft,89,92
372,4,8:20.0,Defensive rebound by L. Kennard,,89,92
373,4,8:14.0,L. Kennard makes 3-pt jump shot from 25 ft (assist by L. Galloway),,92,92
374,4,8:12.0,,Dallas full timeout,92,92
375,4,8:12.0,R. Bullock enters the game for L. Galloway,,92,92
376,4,8:12.0,A. Drummond enters the game for L. Kennard,,92,92
377,4,8:12.0,B. Griffin enters the game for Z. Pachulia,,92,92
378,4,8:12.0,,M. Kleber enters the game for D. Nowitzki,92,92
379,4,7:56.0,,L. Dončić misses 3-pt jump shot from 26 ft,92,92
380,4,7:54.0,,Offensive rebound by D. Finney-Smith,92,92
381,4,7:54.0,,Shooting foul by J. Calderón (drawn by D. Finney-Smith),92,92
382,4,7:54.0,,D. Finney-Smith misses free throw 1 of 2,92,92
383,4,7:54.0,,Offensive rebound by Team,92,92
