,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PHILADELPHIA_ACTION,OKLAHOMA CITY_SCORE,PHILADELPHIA_SCORE
66,1,4:48.0,D. Schröder enters the game for T. Ferguson,,25,13
67,1,4:37.0,R. Westbrook makes 2-pt layup from 3 ft,,27,13
68,1,4:28.0,,B. Simmons misses 2-pt layup from 3 ft (block by J. Grant),27,13
69,1,4:28.0,Defensive rebound by Team,,27,13
70,1,4:20.0,R. Westbrook misses 2-pt jump shot from 16 ft,,27,13
71,1,4:17.0,,Defensive rebound by J. Bolden,27,13
72,1,3:56.0,,J. Butler makes 2-pt jump shot from 17 ft (assist by J. Bolden),27,15
73,1,3:56.0,S. Adams enters the game for N. Noel,,27,15
74,1,3:56.0,,J. Embiid enters the game for J. Bolden,27,15
75,1,3:43.0,Oklahoma City full timeout,,27,15
76,1,3:43.0,,W. Chandler enters the game for J. Butler,27,15
77,1,3:43.0,,M. Muscala enters the game for L. Shamet,27,15
78,1,3:43.0,,J. Redick enters the game for B. Simmons,27,15
79,1,3:38.0,Turnover by S. Adams (lost ball; steal by M. Muscala),,27,15
80,1,3:32.0,,J. Embiid misses 3-pt jump shot from 26 ft,27,15
81,1,3:28.0,Defensive rebound by P. George,,27,15
82,1,3:23.0,S. Adams misses 2-pt hook shot from 7 ft,,27,15
83,1,3:19.0,Offensive rebound by R. Westbrook,,27,15
84,1,3:19.0,R. Westbrook misses 2-pt dunk from 1 ft,,27,15
85,1,3:17.0,Offensive rebound by R. Westbrook,,27,15
86,1,3:14.0,Shooting foul by M. Muscala (drawn by J. Grant),,27,15
87,1,3:14.0,J. Grant makes free throw 1 of 2,,28,15
88,1,3:14.0,A. Nader enters the game for R. Westbrook,,28,15
89,1,3:14.0,J. Grant makes free throw 2 of 2,,29,15
90,1,2:56.0,,J. Embiid misses 2-pt layup from 2 ft,29,15
91,1,2:55.0,,Offensive rebound by J. Embiid,29,15
92,1,2:53.0,,J. Embiid misses 2-pt layup from 2 ft (block by J. Grant),29,15
93,1,2:50.0,Defensive rebound by J. Grant,,29,15
94,1,2:46.0,D. Schröder makes 2-pt layup from 2 ft,,31,15
95,1,2:45.0,,Philadelphia full timeout,31,15
96,1,2:45.0,P. Patterson enters the game for J. Grant,,31,15
97,1,2:29.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by J. Embiid),31,17
98,1,2:27.0,Turnover by P. Patterson (bad pass),,31,17
99,1,2:26.0,Loose ball foul by P. George (drawn by W. Chandler),,31,17
100,1,2:26.0,,W. Chandler makes free throw 1 of 2,31,18
101,1,2:26.0,,W. Chandler misses free throw 2 of 2,31,18
102,1,2:23.0,Defensive rebound by A. Nader,,31,18
103,1,2:13.0,D. Schröder misses 2-pt jump shot from 9 ft,,31,18
104,1,2:08.0,,Defensive rebound by J. Embiid,31,18
105,1,2:01.0,,Turnover by T. McConnell (bad pass; steal by P. George),31,18
106,1,1:51.0,Turnover by D. Schröder (out of bounds lost ball),,31,18
107,1,1:29.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by M. Muscala),31,21
108,1,1:09.0,A. Nader misses 2-pt layup from 2 ft,,31,21
109,1,1:07.0,,Defensive rebound by T. McConnell,31,21
110,1,0:56.0,,J. Embiid makes 2-pt jump shot from 4 ft,31,23
111,1,0:37.0,D. Schröder misses 2-pt jump shot from 16 ft,,31,23
112,1,0:35.0,,Defensive rebound by W. Chandler,31,23
113,1,0:29.0,,Shooting foul by A. Nader (drawn by J. Redick),31,23
114,1,0:29.0,,J. Redick makes free throw 1 of 2,31,24
115,1,0:29.0,T. Ferguson enters the game for A. Nader,,31,24
116,1,0:29.0,,J. Redick makes free throw 2 of 2,31,25
117,1,0:12.0,S. Adams makes 2-pt layup from 1 ft (assist by P. George),,33,25
118,1,0:00.0,,J. Embiid misses 3-pt jump shot from 25 ft,33,25
119,1,0:00.0,Defensive rebound by P. Patterson,,33,25
120,2,11:36.0,,M. Muscala misses 2-pt layup from 2 ft (block by P. Patterson),33,25
121,2,11:36.0,,Offensive rebound by Team,33,25
122,2,11:36.0,,Turnover by Team (shot clock),33,25
123,2,11:18.0,S. Adams makes 2-pt layup from 1 ft,,35,25
124,2,10:58.0,,J. Embiid makes 2-pt layup from 3 ft,35,27
125,2,10:47.0,S. Adams makes 2-pt dunk from 1 ft (assist by D. Schröder),,37,27
126,2,10:31.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by T. McConnell),37,30
127,2,10:05.0,S. Adams misses 2-pt hook shot from 10 ft,,37,30
128,2,10:02.0,,Defensive rebound by J. Embiid,37,30
129,2,9:50.0,,M. Muscala misses 3-pt jump shot from 27 ft,37,30
130,2,9:48.0,Defensive rebound by T. Ferguson,,37,30
131,2,9:43.0,T. Ferguson misses 3-pt jump shot from 26 ft,,37,30
132,2,9:40.0,,Defensive rebound by T. McConnell,37,30
133,2,9:34.0,,L. Shamet makes 3-pt jump shot from 22 ft (assist by T. McConnell),37,33
134,2,9:16.0,H. Diallo misses 2-pt jump shot from 15 ft,,37,33
135,2,9:14.0,,Defensive rebound by Team,37,33
136,2,9:14.0,R. Westbrook enters the game for T. Ferguson,,37,33
137,2,9:14.0,,B. Simmons enters the game for T. McConnell,37,33
138,2,8:57.0,,J. Butler misses 2-pt jump shot from 11 ft,37,33
139,2,8:48.0,,Offensive rebound by B. Simmons,37,33
140,2,8:48.0,,B. Simmons makes 2-pt layup at rim,37,35
141,2,8:45.0,D. Schröder makes 3-pt jump shot from 26 ft,,40,35
142,2,8:36.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by B. Simmons),40,38
143,2,8:18.0,Shooting foul by M. Muscala (drawn by D. Schröder),,40,38
144,2,8:18.0,D. Schröder makes free throw 1 of 2,,41,38
145,2,8:18.0,,W. Chandler enters the game for M. Muscala,41,38
146,2,8:18.0,D. Schröder makes free throw 2 of 2,,42,38
147,2,8:13.0,,J. Embiid makes 2-pt jump shot from 11 ft (assist by B. Simmons),42,40
148,2,8:13.0,,Shooting foul by S. Adams (drawn by J. Embiid),42,40
149,2,8:13.0,,J. Embiid makes free throw 1 of 1,42,41
150,2,8:02.0,D. Schröder makes 2-pt jump shot from 14 ft (assist by R. Westbrook),,44,41
151,2,7:48.0,,J. Butler misses 2-pt jump shot from 8 ft (block by S. Adams),44,41
152,2,7:45.0,,Offensive rebound by J. Butler,44,41
153,2,7:40.0,,Shooting foul by H. Diallo (drawn by J. Butler),44,41
154,2,7:40.0,,J. Butler makes free throw 1 of 3,44,42
155,2,7:40.0,,J. Butler makes free throw 2 of 3,44,43
156,2,7:40.0,T. Ferguson enters the game for H. Diallo,,44,43
157,2,7:40.0,,J. Redick enters the game for L. Shamet,44,43
158,2,7:40.0,,J. Butler makes free throw 3 of 3,44,44
159,2,7:29.0,D. Schröder makes 2-pt jump shot from 15 ft,,46,44
160,2,7:17.0,,Offensive foul by W. Chandler (drawn by S. Adams),46,44
161,2,7:17.0,,Turnover by W. Chandler (offensive foul),46,44
162,2,7:17.0,P. George enters the game for S. Adams,,46,44
163,2,7:17.0,J. Grant enters the game for T. Ferguson,,46,44
164,2,7:17.0,N. Noel enters the game for P. Patterson,,46,44
165,2,7:17.0,,J. Bolden enters the game for J. Embiid,46,44
166,2,7:05.0,D. Schröder makes 2-pt jump shot from 7 ft,,48,44
167,2,7:05.0,,Philadelphia full timeout,48,44
168,2,6:52.0,,J. Butler misses 3-pt jump shot from 25 ft,48,44
169,2,6:45.0,Defensive rebound by J. Grant,,48,44
170,2,6:41.0,R. Westbrook misses 2-pt jump shot from 14 ft,,48,44
171,2,6:37.0,,Defensive rebound by J. Butler,48,44
172,2,6:33.0,,J. Bolden misses 3-pt jump shot from 26 ft,48,44
173,2,6:29.0,Defensive rebound by J. Grant,,48,44
174,2,6:15.0,J. Grant misses 3-pt jump shot from 24 ft,,48,44
175,2,6:12.0,,Defensive rebound by Team,48,44
176,2,5:59.0,,J. Bolden makes 3-pt jump shot from 25 ft (assist by J. Redick),48,47
177,2,5:42.0,D. Schröder misses 2-pt jump shot from 7 ft (block by J. Bolden),,48,47
178,2,5:42.0,Offensive rebound by Team,,48,47
179,2,5:42.0,Oklahoma City full timeout,,48,47
180,2,5:38.0,P. George misses 3-pt jump shot from 24 ft,,48,47
181,2,5:32.0,,Defensive rebound by B. Simmons,48,47
182,2,5:18.0,,Turnover by J. Redick (bad pass; steal by N. Noel),48,47
183,2,5:05.0,D. Schröder makes 3-pt jump shot from 23 ft (assist by P. George),,51,47
184,2,4:47.0,,J. Butler misses 2-pt jump shot from 20 ft,51,47
185,2,4:44.0,,Offensive rebound by B. Simmons,51,47
186,2,4:42.0,,J. Butler misses 3-pt jump shot from 27 ft,51,47
187,2,4:38.0,Defensive rebound by D. Schröder,,51,47
188,2,4:28.0,J. Grant misses 2-pt layup from 4 ft (block by J. Butler),,51,47
189,2,4:23.0,,Defensive rebound by W. Chandler,51,47
190,2,4:21.0,,J. Redick misses 3-pt jump shot from 23 ft,51,47
191,2,4:14.0,,Offensive rebound by B. Simmons,51,47
192,2,4:14.0,,B. Simmons misses 2-pt layup at rim,51,47
193,2,4:13.0,,Offensive rebound by J. Bolden,51,47
194,2,4:09.0,,Turnover by B. Simmons (lost ball; steal by N. Noel),51,47
195,2,3:59.0,N. Noel makes 2-pt dunk from 1 ft (assist by D. Schröder),,53,47
196,2,3:37.0,,J. Redick misses 3-pt jump shot from 26 ft,53,47
197,2,3:35.0,Defensive rebound by P. George,,53,47
198,2,3:26.0,P. George misses 2-pt layup from 1 ft,,53,47
199,2,3:25.0,Offensive rebound by N. Noel,,53,47
200,2,3:24.0,R. Westbrook misses 3-pt jump shot from 27 ft,,53,47
201,2,3:21.0,,Defensive rebound by B. Simmons,53,47
202,2,3:18.0,,Turnover by B. Simmons (lost ball; steal by J. Grant),53,47
203,2,3:13.0,P. George makes 2-pt dunk from 1 ft (assist by J. Grant),,55,47
204,2,2:46.0,,J. Butler misses 2-pt layup from 1 ft,55,47
205,2,2:44.0,Defensive rebound by D. Schröder,,55,47
206,2,2:40.0,D. Schröder misses 3-pt jump shot from 26 ft,,55,47
207,2,2:36.0,,Defensive rebound by W. Chandler,55,47
208,2,2:24.0,,J. Redick misses 3-pt jump shot from 26 ft,55,47
209,2,2:20.0,,Offensive rebound by W. Chandler,55,47
210,2,2:11.0,,Shooting foul by J. Grant (drawn by J. Butler),55,47
211,2,2:11.0,,J. Butler makes free throw 1 of 2,55,48
212,2,2:11.0,S. Adams enters the game for N. Noel,,55,48
213,2,2:11.0,T. Ferguson enters the game for D. Schröder,,55,48
214,2,2:11.0,,J. Embiid enters the game for J. Bolden,55,48
215,2,2:11.0,Technical foul by P. George,,55,48
216,2,2:11.0,,J. Redick misses technical free throw,55,48
217,2,2:11.0,,Offensive rebound by Team,55,48
218,2,2:11.0,,J. Butler misses free throw 2 of 2,55,48
219,2,2:09.0,Defensive rebound by R. Westbrook,,55,48
220,2,1:56.0,J. Grant misses 3-pt jump shot from 23 ft,,55,48
221,2,1:52.0,,Defensive rebound by J. Embiid,55,48
222,2,1:43.0,,J. Embiid misses 3-pt jump shot from 26 ft,55,48
223,2,1:36.0,,Offensive rebound by B. Simmons,55,48
224,2,1:36.0,,B. Simmons makes 2-pt dunk at rim,55,50
225,2,1:26.0,P. George makes 2-pt layup from 2 ft,,57,50
226,2,1:17.0,,W. Chandler makes 3-pt jump shot from 27 ft (assist by B. Simmons),57,53
227,2,1:00.0,Shooting foul by J. Embiid (drawn by P. George),,57,53
228,2,1:00.0,P. George makes free throw 1 of 2,,58,53
229,2,1:00.0,,M. Muscala enters the game for J. Butler,58,53
230,2,1:00.0,P. George makes free throw 2 of 2,,59,53
231,2,0:48.0,,J. Redick misses 3-pt jump shot from 26 ft,59,53
232,2,0:44.0,Defensive rebound by S. Adams,,59,53
233,2,0:39.0,Turnover by R. Westbrook (bad pass),,59,53
234,2,0:35.0,,Turnover by M. Muscala (out of bounds lost ball),59,53
235,2,0:31.0,R. Westbrook misses 3-pt jump shot from 26 ft,,59,53
236,2,0:27.0,,Defensive rebound by J. Embiid,59,53
237,2,0:09.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),59,56
238,2,0:00.0,R. Westbrook misses 3-pt jump shot from 25 ft (block by B. Simmons),,59,56
239,2,0:00.0,,Defensive rebound by B. Simmons,59,56
240,3,11:35.0,,J. Butler misses 2-pt jump shot from 22 ft,59,56
241,3,11:32.0,Defensive rebound by J. Grant,,59,56
242,3,11:24.0,P. George misses 3-pt jump shot from 26 ft,,59,56
243,3,11:21.0,,Defensive rebound by B. Simmons,59,56
244,3,11:08.0,,W. Chandler misses 3-pt jump shot from 27 ft,59,56
245,3,11:05.0,Defensive rebound by J. Grant,,59,56
246,3,10:56.0,R. Westbrook makes 3-pt jump shot from 23 ft (assist by T. Ferguson),,62,56
247,3,10:37.0,,Personal foul by T. Ferguson (drawn by B. Simmons),62,56
248,3,10:37.0,Technical foul by T. Ferguson,,62,56
249,3,10:37.0,,J. Redick makes technical free throw,62,57
250,3,10:27.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),62,59
251,3,10:15.0,P. George misses 2-pt jump shot from 5 ft (block by W. Chandler),,62,59
252,3,10:11.0,,Defensive rebound by W. Chandler,62,59
253,3,9:56.0,,J. Embiid misses 2-pt jump shot from 11 ft (block by S. Adams),62,59
254,3,9:54.0,,Offensive rebound by J. Embiid,62,59
255,3,9:54.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Embiid),62,61
256,3,9:54.0,,Shooting foul by R. Westbrook (drawn by B. Simmons),62,61
257,3,9:54.0,,B. Simmons misses free throw 1 of 1,62,61
258,3,9:53.0,Defensive rebound by R. Westbrook,,62,61
259,3,9:45.0,T. Ferguson misses 3-pt jump shot from 24 ft,,62,61
260,3,9:42.0,,Defensive rebound by W. Chandler,62,61
261,3,9:28.0,,Philadelphia full timeout,62,61
262,3,9:26.0,,J. Butler makes 2-pt dunk from 1 ft (assist by B. Simmons),62,63
263,3,9:10.0,P. George misses 3-pt jump shot from 23 ft,,62,63
264,3,9:07.0,,Defensive rebound by Team,62,63
265,3,8:49.0,,Turnover by B. Simmons (bad pass; steal by J. Grant),62,63
266,3,8:42.0,P. George misses 2-pt layup from 1 ft (block by J. Embiid),,62,63
267,3,8:37.0,Offensive rebound by Team,,62,63
268,3,8:32.0,R. Westbrook misses 2-pt jump shot from 15 ft,,62,63
269,3,8:27.0,,Defensive rebound by B. Simmons,62,63
270,3,8:15.0,,Turnover by J. Embiid (lost ball; steal by S. Adams),62,63
271,3,8:04.0,Turnover by R. Westbrook (bad pass; steal by W. Chandler),,62,63
272,3,7:46.0,,J. Butler misses 2-pt jump shot from 10 ft,62,63
273,3,7:44.0,Defensive rebound by J. Grant,,62,63
274,3,7:41.0,T. Ferguson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,65,63
275,3,7:25.0,,Personal foul by T. Ferguson (drawn by J. Redick),65,63
276,3,7:12.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by J. Butler),65,65
277,3,7:04.0,Shooting foul by B. Simmons (drawn by R. Westbrook),,65,65
278,3,7:04.0,R. Westbrook misses free throw 1 of 2,,65,65
279,3,7:04.0,Offensive rebound by Team,,65,65
280,3,7:04.0,N. Noel enters the game for S. Adams,,65,65
281,3,7:04.0,,J. Bolden enters the game for W. Chandler,65,65
282,3,7:04.0,,T. McConnell enters the game for J. Embiid,65,65
283,3,7:04.0,,L. Shamet enters the game for J. Redick,65,65
284,3,7:04.0,R. Westbrook makes free throw 2 of 2,,66,65
285,3,6:41.0,,T. McConnell makes 2-pt jump shot from 15 ft (assist by B. Simmons),66,67
286,3,6:24.0,P. George makes 3-pt jump shot from 27 ft,,69,67
287,3,6:09.0,,Turnover by L. Shamet (traveling),69,67
288,3,5:55.0,R. Westbrook makes 2-pt layup from 3 ft,,71,67
289,3,5:34.0,,T. McConnell misses 2-pt jump shot from 6 ft,71,67
290,3,5:34.0,Defensive rebound by P. George,,71,67
291,3,5:27.0,R. Westbrook makes 2-pt layup from 1 ft,,73,67
292,3,5:27.0,Shooting foul by T. McConnell (drawn by R. Westbrook),,73,67
293,3,5:27.0,D. Schröder enters the game for T. Ferguson,,73,67
294,3,5:27.0,R. Westbrook misses free throw 1 of 1,,73,67
295,3,5:24.0,,Defensive rebound by B. Simmons,73,67
296,3,5:06.0,,J. Butler misses 2-pt jump shot from 4 ft,73,67
297,3,5:05.0,,Offensive rebound by Team,73,67
298,3,5:05.0,Loose ball foul by N. Noel (drawn by B. Simmons),,73,67
299,3,4:50.0,,Turnover by Team (shot clock),73,67
300,3,4:40.0,Shooting foul by J. Bolden (drawn by J. Grant),,73,67
301,3,4:40.0,J. Grant makes free throw 1 of 2,,74,67
302,3,4:40.0,J. Grant makes free throw 2 of 2,,75,67
303,3,4:30.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Butler),75,69
304,3,4:19.0,Shooting foul by J. Bolden (drawn by P. George),,75,69
305,3,4:19.0,P. George makes free throw 1 of 2,,76,69
306,3,4:19.0,P. George makes free throw 2 of 2,,77,69
307,3,4:08.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by T. McConnell),77,71
308,3,3:50.0,D. Schröder misses 2-pt jump shot from 15 ft,,77,71
309,3,3:50.0,,Defensive rebound by J. Bolden,77,71
310,3,3:28.0,,Turnover by J. Butler (bad pass; steal by P. George),77,71
311,3,3:24.0,D. Schröder misses 2-pt layup from 8 ft (block by J. Butler),,77,71
312,3,3:23.0,,Defensive rebound by J. Bolden,77,71
313,3,3:19.0,,J. Butler misses 3-pt jump shot from 26 ft,77,71
314,3,3:17.0,Defensive rebound by J. Grant,,77,71
315,3,3:10.0,N. Noel makes 2-pt layup from 1 ft (assist by P. George),,79,71
316,3,2:45.0,,J. Butler misses 2-pt layup from 4 ft,79,71
317,3,2:45.0,Defensive rebound by D. Schröder,,79,71
318,3,2:37.0,Shooting foul by L. Shamet (drawn by J. Grant),,79,71
319,3,2:37.0,,Philadelphia full timeout,79,71
320,3,2:37.0,S. Adams enters the game for N. Noel,,79,71
321,3,2:37.0,A. Nader enters the game for R. Westbrook,,79,71
322,3,2:37.0,,W. Chandler enters the game for J. Bolden,79,71
323,3,2:37.0,,J. Embiid enters the game for J. Butler,79,71
324,3,2:37.0,,M. Muscala enters the game for L. Shamet,79,71
325,3,2:37.0,,J. Redick enters the game for B. Simmons,79,71
326,3,2:37.0,J. Grant makes free throw 1 of 2,,80,71
327,3,2:37.0,J. Grant makes free throw 2 of 2,,81,71
328,3,2:21.0,,J. Redick misses 3-pt jump shot from 26 ft,81,71
329,3,2:16.0,Defensive rebound by D. Schröder,,81,71
330,3,2:09.0,A. Nader makes 3-pt jump shot from 23 ft (assist by P. George),,84,71
331,3,1:55.0,,J. Redick misses 3-pt jump shot from 27 ft,84,71
332,3,1:50.0,Defensive rebound by J. Grant,,84,71
333,3,1:43.0,P. George misses 2-pt jump shot from 14 ft,,84,71
334,3,1:37.0,Offensive rebound by S. Adams,,84,71
335,3,1:37.0,S. Adams misses 2-pt layup at rim,,84,71
336,3,1:37.0,Offensive rebound by S. Adams,,84,71
337,3,1:35.0,S. Adams misses 2-pt layup at rim,,84,71
338,3,1:35.0,,Defensive rebound by T. McConnell,84,71
339,3,1:21.0,,T. McConnell misses 2-pt jump shot from 13 ft,84,71
340,3,1:21.0,,Offensive rebound by T. McConnell,84,71
341,3,1:21.0,,Shooting foul by A. Nader (drawn by M. Muscala),84,71
342,3,1:21.0,,M. Muscala makes free throw 1 of 2,84,72
343,3,1:21.0,P. Patterson enters the game for J. Grant,,84,72
344,3,1:21.0,,M. Muscala makes free throw 2 of 2,84,73
345,3,1:07.0,S. Adams makes 2-pt dunk from 1 ft,,86,73
346,3,0:47.0,,J. Embiid makes 2-pt jump shot from 10 ft,86,75
347,3,0:35.0,D. Schröder misses 2-pt jump shot from 11 ft,,86,75
348,3,0:33.0,,Defensive rebound by T. McConnell,86,75
349,3,0:28.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by T. McConnell),86,78
350,3,0:10.0,Personal foul by W. Chandler (drawn by P. George),,86,78
351,3,0:10.0,P. George makes free throw 1 of 2,,87,78
352,3,0:10.0,P. George makes free throw 2 of 2,,88,78
353,3,0:04.0,,Shooting foul by S. Adams (drawn by J. Embiid),88,78
354,3,0:04.0,,J. Embiid makes free throw 1 of 2,88,79
355,3,0:04.0,,J. Embiid misses free throw 2 of 2,88,79
356,3,0:03.0,Defensive rebound by S. Adams,,88,79
357,3,0:01.0,Turnover by S. Adams (bad pass; steal by T. McConnell),,88,79
358,4,11:45.0,P. George misses 2-pt layup from 6 ft,,88,79
359,4,11:42.0,,Defensive rebound by Team,88,79
360,4,11:27.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by T. McConnell),88,81
361,4,10:55.0,P. Patterson misses 2-pt hook shot from 5 ft,,88,81
362,4,10:53.0,Offensive rebound by S. Adams,,88,81
363,4,10:52.0,S. Adams makes 2-pt hook shot from 4 ft,,90,81
364,4,10:38.0,,Shooting foul by A. Nader (drawn by J. Embiid),90,81
365,4,10:38.0,,J. Embiid misses free throw 1 of 2,90,81
366,4,10:38.0,,Offensive rebound by Team,90,81
367,4,10:38.0,,J. Embiid misses free throw 2 of 2,90,81
368,4,10:37.0,Defensive rebound by P. George,,90,81
369,4,10:27.0,Personal foul by M. Muscala (drawn by D. Schröder),,90,81
370,4,10:15.0,D. Schröder misses 2-pt jump shot from 17 ft,,90,81
371,4,10:12.0,,Defensive rebound by M. Muscala,90,81
372,4,9:59.0,,J. Embiid misses 2-pt jump shot from 4 ft,90,81
373,4,9:59.0,Defensive rebound by A. Nader,,90,81
374,4,9:43.0,D. Schröder makes 2-pt layup from 1 ft,,92,81
375,4,9:43.0,,Philadelphia full timeout,92,81
376,4,9:43.0,R. Westbrook enters the game for P. George,,92,81
377,4,9:29.0,,Personal foul by R. Westbrook (drawn by J. Embiid),92,81
378,4,9:29.0,T. Ferguson enters the game for A. Nader,,92,81
379,4,9:29.0,,J. Butler enters the game for W. Chandler,92,81
380,4,9:29.0,,B. Simmons enters the game for T. McConnell,92,81
381,4,9:19.0,,M. Muscala misses 3-pt jump shot from 25 ft,92,81
382,4,9:16.0,,Offensive rebound by B. Simmons,92,81
383,4,9:05.0,,M. Muscala makes 2-pt jump shot from 13 ft (assist by J. Embiid),92,83
384,4,8:43.0,D. Schröder misses 2-pt jump shot from 18 ft,,92,83
385,4,8:41.0,,Defensive rebound by B. Simmons,92,83
386,4,8:36.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),92,86
387,4,8:14.0,D. Schröder makes 3-pt jump shot from 26 ft (assist by P. Patterson),,95,86
388,4,7:58.0,,Shooting foul by D. Schröder (drawn by J. Redick),95,86
