,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SACRAMENTO_ACTION,NEW ORLEANS_SCORE,SACRAMENTO_SCORE
378,4,8:11.0,,Turnover by B. Hield (lost ball; steal by I. Clark),111,104
379,4,7:59.0,J. Okafor misses 2-pt layup from 2 ft,,111,104
380,4,7:56.0,,Defensive rebound by B. Bogdanović,111,104
381,4,7:54.0,,Personal foul by C. Diallo (drawn by B. Hield),111,104
382,4,7:54.0,C. Wood enters the game for C. Diallo,,111,104
383,4,7:45.0,,B. Bogdanović makes 2-pt jump shot from 10 ft,111,106
384,4,7:31.0,E. Payton misses 2-pt hook shot from 8 ft,,111,106
385,4,7:27.0,Offensive rebound by C. Wood,,111,106
386,4,7:26.0,C. Wood misses 2-pt layup from 2 ft,,111,106
387,4,7:25.0,Offensive rebound by C. Wood,,111,106
388,4,7:24.0,C. Wood makes 2-pt dunk at rim,,113,106
389,4,7:15.0,,M. Bagley misses 2-pt jump shot from 8 ft,113,106
390,4,7:15.0,Defensive rebound by S. Hill,,113,106
391,4,6:54.0,S. Hill makes 2-pt dunk from 2 ft (assist by J. Okafor),,115,106
392,4,6:40.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),115,109
393,4,6:20.0,S. Hill misses 2-pt jump shot from 16 ft,,115,109
394,4,6:18.0,,Defensive rebound by B. Hield,115,109
395,4,6:14.0,,Y. Ferrell makes 3-pt jump shot from 22 ft (assist by B. Hield),115,112
396,4,6:04.0,New Orleans full timeout,,115,112
397,4,6:04.0,D. Bertāns enters the game for J. Okafor,,115,112
398,4,6:04.0,C. Diallo enters the game for E. Payton,,115,112
399,4,6:04.0,,D. Fox enters the game for Y. Ferrell,115,112
400,4,5:56.0,C. Wood misses 2-pt jump shot from 15 ft,,115,112
401,4,5:52.0,,Defensive rebound by H. Barnes,115,112
402,4,5:43.0,,Personal foul by C. Diallo (drawn by M. Bagley),115,112
403,4,5:35.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Fox),115,115
404,4,5:13.0,S. Hill misses 3-pt jump shot from 25 ft,,115,115
405,4,5:08.0,,Defensive rebound by M. Bagley,115,115
406,4,5:02.0,,D. Fox makes 2-pt layup from 3 ft,115,117
407,4,4:39.0,I. Clark misses 3-pt jump shot from 27 ft (block by H. Barnes),,115,117
408,4,4:33.0,,Defensive rebound by B. Hield,115,117
409,4,4:29.0,,B. Hield misses 2-pt layup from 4 ft,115,117
410,4,4:27.0,Defensive rebound by C. Diallo,,115,117
411,4,4:25.0,New Orleans full timeout,,115,117
412,4,4:25.0,E. Payton enters the game for I. Clark,,115,117
413,4,4:25.0,K. Williams enters the game for S. Hill,,115,117
414,4,4:09.0,C. Wood misses 2-pt jump shot from 8 ft,,115,117
415,4,4:04.0,Offensive rebound by C. Diallo,,115,117
416,4,4:04.0,C. Diallo makes 2-pt layup at rim,,117,117
417,4,3:52.0,,H. Barnes misses 2-pt jump shot from 19 ft,117,117
418,4,3:51.0,,Offensive rebound by M. Bagley,117,117
419,4,3:51.0,,M. Bagley misses 2-pt layup from 3 ft,117,117
420,4,3:50.0,Defensive rebound by E. Payton,,117,117
421,4,3:37.0,E. Payton makes 2-pt jump shot from 6 ft (assist by C. Diallo),,119,117
422,4,3:24.0,,D. Fox misses 2-pt jump shot from 7 ft (block by C. Wood),119,117
423,4,3:24.0,,Offensive rebound by Team,119,117
424,4,3:24.0,J. Okafor enters the game for C. Wood,,119,117
425,4,3:17.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by B. Hield),119,120
426,4,3:06.0,C. Diallo makes 2-pt jump shot from 10 ft (assist by E. Payton),,121,120
427,4,2:52.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Fox),121,123
428,4,2:37.0,E. Payton makes 2-pt jump shot from 10 ft,,123,123
429,4,2:24.0,,B. Hield misses 3-pt jump shot from 23 ft,123,123
430,4,2:21.0,Defensive rebound by C. Diallo,,123,123
431,4,2:07.0,E. Payton makes 3-pt jump shot from 25 ft,,126,123
432,4,1:54.0,,D. Fox misses 2-pt jump shot from 14 ft,126,123
433,4,1:50.0,Defensive rebound by K. Williams,,126,123
434,4,1:29.0,K. Williams makes 2-pt jump shot from 12 ft,,128,123
435,4,1:29.0,,Sacramento full timeout,128,123
436,4,1:29.0,I. Clark enters the game for D. Bertāns,,128,123
437,4,1:29.0,S. Hill enters the game for C. Diallo,,128,123
438,4,1:20.0,,B. Hield misses 3-pt jump shot from 25 ft,128,123
439,4,1:18.0,Defensive rebound by S. Hill,,128,123
440,4,1:18.0,Personal foul by B. Hield (drawn by S. Hill),,128,123
441,4,0:54.0,E. Payton makes 2-pt jump shot from 6 ft,,130,123
442,4,0:46.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,130,123
443,4,0:43.0,,Offensive rebound by B. Hield,130,123
444,4,0:33.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Fox),130,126
445,4,0:26.0,Personal foul by B. Bogdanović (drawn by E. Payton),,130,126
446,4,0:26.0,E. Payton makes free throw 1 of 2,,131,126
447,4,0:26.0,E. Payton makes free throw 2 of 2,,132,126
448,4,0:21.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Fox),132,129
449,4,0:14.0,Turnover by K. Williams (bad pass),,132,129
450,4,0:08.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,132,129
451,4,0:07.0,Defensive rebound by Team,,132,129
452,4,0:07.0,New Orleans full timeout,,132,129
453,4,0:07.0,D. Bertāns enters the game for J. Okafor,,132,129
454,4,0:05.0,Personal foul by H. Barnes (drawn by E. Payton),,132,129
455,4,0:05.0,E. Payton misses free throw 1 of 2,,132,129
456,4,0:05.0,Offensive rebound by Team,,132,129
457,4,0:05.0,E. Payton makes free throw 2 of 2,,133,129
458,4,0:00.0,,B. Hield misses 3-pt jump shot from 25 ft,133,129
459,4,0:00.0,,Offensive rebound by Team,133,129
