,QUARTER,TIME_REMAINING,TORONTO_ACTION,CLEVELAND_ACTION,TORONTO_SCORE,CLEVELAND_SCORE
59,1,4:51.0,,C. Sexton makes 2-pt layup from 2 ft (assist by J. Clarkson),14,18
60,1,4:39.0,M. Gasol misses 3-pt jump shot from 26 ft,,14,18
61,1,4:33.0,,Defensive rebound by C. Osman,14,18
62,1,4:33.0,S. Ibaka enters the game for M. Gasol,,14,18
63,1,4:33.0,J. Lin enters the game for K. Lowry,,14,18
64,1,4:33.0,,D. Nwaba enters the game for K. Love,14,18
65,1,4:24.0,,C. Sexton misses 2-pt jump shot from 10 ft,14,18
66,1,4:20.0,Defensive rebound by K. Leonard,,14,18
67,1,4:02.0,D. Green misses 3-pt jump shot from 27 ft,,14,18
68,1,3:59.0,,Defensive rebound by C. Osman,14,18
69,1,3:50.0,,Shooting foul by J. Lin (drawn by C. Sexton),14,18
70,1,3:50.0,,C. Sexton makes free throw 1 of 2,14,19
71,1,3:50.0,,C. Sexton makes free throw 2 of 2,14,20
72,1,3:39.0,Turnover by K. Leonard (bad pass; steal by C. Osman),,14,20
73,1,3:34.0,,C. Sexton misses 2-pt layup at rim,14,20
74,1,3:31.0,,Offensive rebound by C. Sexton,14,20
75,1,3:28.0,,C. Sexton makes 2-pt layup at rim,14,22
76,1,3:12.0,J. Lin misses 2-pt layup from 2 ft,,14,22
77,1,3:10.0,,Defensive rebound by M. Chriss,14,22
78,1,2:58.0,,C. Osman misses 3-pt jump shot from 24 ft,14,22
79,1,2:55.0,Defensive rebound by S. Ibaka,,14,22
80,1,2:46.0,P. Siakam makes 2-pt jump shot from 9 ft,,16,22
81,1,2:46.0,Shooting foul by D. Nwaba (drawn by P. Siakam),,16,22
82,1,2:46.0,Toronto full timeout,,16,22
83,1,2:46.0,O. Anunoby enters the game for D. Green,,16,22
84,1,2:46.0,N. Powell enters the game for K. Leonard,,16,22
85,1,2:46.0,P. Siakam makes free throw 1 of 1,,17,22
86,1,2:33.0,,Def 3 sec tech foul by Team,17,22
87,1,2:33.0,,J. Clarkson makes technical free throw,17,23
88,1,2:33.0,,N. Stauskas enters the game for C. Osman,17,23
89,1,2:19.0,,N. Stauskas misses 3-pt jump shot from 25 ft,17,23
90,1,2:19.0,,Offensive rebound by Team,17,23
91,1,2:19.0,,Turnover by Team (shot clock),17,23
92,1,2:08.0,P. Siakam makes 2-pt jump shot from 15 ft (assist by J. Lin),,19,23
93,1,1:45.0,,Turnover by D. Nwaba (bad pass; steal by P. Siakam),19,23
94,1,1:38.0,P. Siakam misses 2-pt layup from 2 ft,,19,23
95,1,1:33.0,Offensive rebound by N. Powell,,19,23
96,1,1:33.0,N. Powell misses 2-pt layup at rim,,19,23
97,1,1:29.0,Offensive rebound by O. Anunoby,,19,23
98,1,1:29.0,O. Anunoby makes 2-pt layup at rim,,21,23
99,1,1:28.0,,D. Nwaba misses 2-pt layup at rim,21,23
100,1,1:25.0,Defensive rebound by S. Ibaka,,21,23
101,1,1:12.0,Offensive foul by O. Anunoby (drawn by C. Sexton),,21,23
102,1,1:12.0,Turnover by O. Anunoby (offensive foul),,21,23
103,1,1:12.0,P. McCaw enters the game for P. Siakam,,21,23
104,1,0:59.0,,M. Chriss misses 2-pt layup from 3 ft (block by O. Anunoby),21,23
105,1,0:55.0,Defensive rebound by S. Ibaka,,21,23
106,1,0:54.0,Personal foul by D. Nwaba (drawn by S. Ibaka),,21,23
107,1,0:54.0,,B. Knight enters the game for C. Sexton,21,23
108,1,0:44.0,Turnover by J. Lin (bad pass; steal by N. Stauskas),,21,23
109,1,0:39.0,,D. Nwaba makes 2-pt layup at rim (assist by N. Stauskas),21,25
110,1,0:30.0,S. Ibaka misses 3-pt jump shot from 29 ft,,21,25
111,1,0:26.0,,Defensive rebound by N. Stauskas,21,25
112,1,0:04.0,,B. Knight misses 2-pt jump shot from 6 ft,21,25
113,1,0:04.0,,Offensive rebound by Team,21,25
114,1,0:04.0,,Turnover by Team (shot clock),21,25
115,1,0:01.0,J. Lin makes 3-pt jump shot from 31 ft,,24,25
116,2,11:38.0,,B. Knight misses 3-pt jump shot from 25 ft,24,25
117,2,11:35.0,Defensive rebound by K. Lowry,,24,25
118,2,11:29.0,Shooting foul by M. Chriss (drawn by S. Ibaka),,24,25
119,2,11:29.0,S. Ibaka makes free throw 1 of 2,,25,25
120,2,11:29.0,S. Ibaka misses free throw 2 of 2,,25,25
121,2,11:27.0,,Defensive rebound by M. Chriss,25,25
122,2,11:12.0,,M. Chriss misses 3-pt jump shot from 26 ft,25,25
123,2,11:09.0,Defensive rebound by S. Ibaka,,25,25
124,2,11:00.0,Turnover by N. Powell (bad pass; steal by B. Knight),,25,25
125,2,10:53.0,,Turnover by D. Nwaba (bad pass; steal by O. Anunoby),25,25
126,2,10:51.0,Shooting foul by N. Stauskas (drawn by O. Anunoby),,25,25
127,2,10:51.0,O. Anunoby misses free throw 1 of 2,,25,25
128,2,10:51.0,Offensive rebound by Team,,25,25
129,2,10:51.0,,A. Žižić enters the game for M. Chriss,25,25
130,2,10:51.0,O. Anunoby makes free throw 2 of 2,,26,25
131,2,10:40.0,,J. Clarkson misses 3-pt jump shot from 27 ft,26,25
132,2,10:38.0,,Offensive rebound by Team,26,25
133,2,10:34.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by N. Stauskas),26,28
134,2,10:19.0,Turnover by N. Powell (lost ball; steal by B. Knight),,26,28
135,2,9:59.0,,D. Nwaba makes 3-pt jump shot from 24 ft (assist by J. Clarkson),26,31
136,2,9:50.0,N. Powell makes 2-pt dunk from 1 ft (assist by O. Anunoby),,28,31
137,2,9:35.0,,Shooting foul by J. Lin (drawn by B. Knight),28,31
138,2,9:35.0,,B. Knight makes free throw 1 of 2,28,32
139,2,9:35.0,P. McCaw enters the game for J. Lin,,28,32
140,2,9:35.0,,B. Knight makes free throw 2 of 2,28,33
141,2,9:20.0,S. Ibaka misses 2-pt jump shot from 18 ft,,28,33
142,2,9:16.0,,Defensive rebound by A. Žižić,28,33
143,2,9:13.0,,Personal foul by N. Powell (drawn by B. Knight),28,33
144,2,9:07.0,,A. Žižić makes 2-pt hook shot from 8 ft,28,35
145,2,9:00.0,N. Powell makes 2-pt layup from 1 ft (assist by K. Lowry),,30,35
146,2,8:50.0,,B. Knight makes 2-pt jump shot from 12 ft,30,37
147,2,8:38.0,S. Ibaka makes 2-pt layup from 1 ft (assist by K. Lowry),,32,37
148,2,8:24.0,,B. Knight makes 2-pt jump shot from 11 ft,32,39
149,2,8:09.0,S. Ibaka makes 2-pt jump shot from 9 ft (assist by K. Lowry),,34,39
150,2,7:53.0,,J. Clarkson misses 2-pt jump shot from 11 ft,34,39
151,2,7:51.0,Defensive rebound by S. Ibaka,,34,39
152,2,7:41.0,Toronto full timeout,,34,39
153,2,7:41.0,M. Gasol enters the game for S. Ibaka,,34,39
154,2,7:41.0,,K. Love enters the game for D. Nwaba,34,39
155,2,7:36.0,N. Powell misses 3-pt jump shot from 25 ft,,34,39
156,2,7:32.0,,Defensive rebound by K. Love,34,39
157,2,7:16.0,,J. Clarkson makes 2-pt layup from 1 ft,34,41
158,2,7:01.0,O. Anunoby misses 2-pt jump shot from 10 ft,,34,41
159,2,6:59.0,,Defensive rebound by A. Žižić,34,41
160,2,6:54.0,,B. Knight misses 2-pt layup from 1 ft,34,41
161,2,6:50.0,,Offensive rebound by N. Stauskas,34,41
162,2,6:47.0,,A. Žižić makes 2-pt layup from 1 ft (assist by B. Knight),34,43
163,2,6:47.0,,Shooting foul by M. Gasol (drawn by A. Žižić),34,43
164,2,6:47.0,K. Leonard enters the game for N. Powell,,34,43
165,2,6:47.0,,C. Osman enters the game for B. Knight,34,43
166,2,6:47.0,,C. Sexton enters the game for N. Stauskas,34,43
167,2,6:47.0,,A. Žižić makes free throw 1 of 1,34,44
168,2,6:32.0,M. Gasol misses 2-pt hook shot from 17 ft,,34,44
169,2,6:28.0,,Defensive rebound by K. Love,34,44
170,2,6:24.0,,Personal foul by K. Lowry (drawn by C. Sexton),34,44
171,2,6:13.0,,A. Žižić misses 2-pt jump shot from 18 ft,34,44
172,2,6:09.0,,Offensive rebound by K. Love,34,44
173,2,6:09.0,,K. Love misses 2-pt layup from 1 ft,34,44
174,2,6:08.0,,Offensive rebound by K. Love,34,44
175,2,6:07.0,,Turnover by K. Love (lost ball; steal by K. Leonard),34,44
176,2,6:04.0,M. Gasol makes 2-pt layup from 2 ft (assist by P. McCaw),,36,44
177,2,6:04.0,Shooting foul by J. Clarkson (drawn by M. Gasol),,36,44
178,2,6:04.0,M. Gasol misses free throw 1 of 1,,36,44
179,2,6:02.0,Offensive rebound by O. Anunoby,,36,44
180,2,6:02.0,Offensive foul by O. Anunoby (drawn by K. Love),,36,44
181,2,6:02.0,Turnover by O. Anunoby (offensive foul),,36,44
182,2,5:53.0,,C. Sexton makes 2-pt layup from 1 ft,36,46
183,2,5:46.0,K. Lowry makes 3-pt jump shot from 26 ft,,39,46
184,2,5:34.0,,C. Sexton misses 2-pt jump shot from 8 ft,39,46
185,2,5:32.0,Defensive rebound by M. Gasol,,39,46
186,2,5:27.0,K. Lowry makes 2-pt layup at rim,,41,46
187,2,5:27.0,,Cleveland full timeout,41,46
188,2,5:27.0,P. Siakam enters the game for O. Anunoby,,41,46
189,2,5:15.0,,Personal foul by P. Siakam (drawn by K. Love),41,46
190,2,5:15.0,,K. Love makes free throw 1 of 2,41,47
191,2,5:15.0,,K. Love makes free throw 2 of 2,41,48
192,2,5:07.0,K. Lowry misses 3-pt jump shot from 30 ft,,41,48
193,2,5:07.0,,Defensive rebound by Team,41,48
194,2,4:48.0,,A. Žižić misses 2-pt hook shot from 8 ft,41,48
195,2,4:46.0,Defensive rebound by P. Siakam,,41,48
196,2,4:36.0,K. Leonard makes 2-pt jump shot from 19 ft,,43,48
197,2,4:16.0,,K. Love misses 3-pt jump shot from 25 ft,43,48
198,2,4:14.0,Defensive rebound by M. Gasol,,43,48
199,2,4:12.0,P. Siakam makes 2-pt dunk from 2 ft (assist by M. Gasol),,45,48
200,2,4:02.0,,Personal foul by K. Lowry (drawn by C. Sexton),45,48
201,2,4:02.0,,C. Sexton makes free throw 1 of 2,45,49
202,2,4:02.0,D. Green enters the game for P. McCaw,,45,49
203,2,4:02.0,,M. Chriss enters the game for J. Clarkson,45,49
204,2,4:02.0,,N. Stauskas enters the game for A. Žižić,45,49
205,2,4:02.0,,C. Sexton makes free throw 2 of 2,45,50
206,2,3:45.0,Offensive foul by M. Gasol (drawn by C. Osman),,45,50
207,2,3:45.0,Turnover by M. Gasol (offensive foul),,45,50
208,2,3:45.0,,Violation by Team (delay of game),45,50
209,2,3:45.0,S. Ibaka enters the game for M. Gasol,,45,50
210,2,3:28.0,,C. Osman makes 2-pt hook shot from 10 ft,45,52
211,2,3:22.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Lowry),,48,52
212,2,3:03.0,,C. Sexton makes 3-pt jump shot from 26 ft (assist by C. Osman),48,55
213,2,2:47.0,P. Siakam misses 3-pt jump shot from 27 ft,,48,55
214,2,2:44.0,,Defensive rebound by K. Love,48,55
215,2,2:39.0,,N. Stauskas misses 2-pt jump shot from 20 ft,48,55
216,2,2:37.0,Defensive rebound by P. Siakam,,48,55
217,2,2:32.0,S. Ibaka misses 3-pt jump shot from 28 ft,,48,55
218,2,2:28.0,,Defensive rebound by K. Love,48,55
219,2,2:13.0,,N. Stauskas misses 3-pt jump shot from 23 ft,48,55
220,2,2:10.0,Defensive rebound by S. Ibaka,,48,55
221,2,2:04.0,P. Siakam misses 2-pt layup from 8 ft,,48,55
222,2,2:01.0,,Defensive rebound by C. Osman,48,55
223,2,1:59.0,,C. Osman misses 3-pt jump shot from 25 ft,48,55
224,2,1:59.0,,Offensive rebound by N. Stauskas,48,55
225,2,1:45.0,,C. Osman misses 2-pt layup from 1 ft,48,55
226,2,1:43.0,,Offensive rebound by K. Love,48,55
227,2,1:41.0,,N. Stauskas misses 3-pt jump shot from 26 ft,48,55
228,2,1:39.0,Defensive rebound by K. Lowry,,48,55
229,2,1:37.0,P. Siakam makes 2-pt dunk from 1 ft (assist by K. Lowry),,50,55
230,2,1:14.0,,Shooting foul by P. Siakam (drawn by K. Love),50,55
231,2,1:14.0,,K. Love makes free throw 1 of 2,50,56
232,2,1:14.0,O. Anunoby enters the game for K. Lowry,,50,56
233,2,1:14.0,J. Lin enters the game for P. Siakam,,50,56
234,2,1:14.0,,K. Love misses free throw 2 of 2,50,56
235,2,1:11.0,Defensive rebound by K. Leonard,,50,56
236,2,1:05.0,K. Leonard makes 2-pt jump shot from 20 ft,,52,56
237,2,0:43.0,,N. Stauskas makes 3-pt jump shot from 23 ft (assist by C. Sexton),52,59
238,2,0:33.0,K. Leonard misses 2-pt jump shot from 15 ft,,52,59
239,2,0:31.0,,Defensive rebound by N. Stauskas,52,59
240,2,0:25.0,,C. Osman misses 2-pt jump shot from 1 ft,52,59
241,2,0:24.0,Defensive rebound by J. Lin,,52,59
242,2,0:24.0,D. Green misses 2-pt layup from 3 ft (block by M. Chriss),,52,59
243,2,0:23.0,Offensive rebound by S. Ibaka,,52,59
244,2,0:17.0,S. Ibaka makes 2-pt layup from 1 ft,,54,59
245,2,0:17.0,Shooting foul by N. Stauskas (drawn by S. Ibaka),,54,59
246,2,0:17.0,P. McCaw enters the game for D. Green,,54,59
247,2,0:17.0,S. Ibaka makes free throw 1 of 1,,55,59
248,2,0:01.0,,C. Osman misses 2-pt jump shot from 11 ft,55,59
249,2,0:00.0,Defensive rebound by K. Leonard,,55,59
250,3,11:38.0,,C. Sexton makes 3-pt jump shot from 26 ft (assist by B. Knight),55,62
251,3,11:16.0,M. Gasol misses 2-pt jump shot from 14 ft,,55,62
252,3,11:13.0,,Defensive rebound by K. Love,55,62
253,3,11:01.0,,C. Osman misses 2-pt jump shot from 15 ft,55,62
254,3,10:59.0,Defensive rebound by M. Gasol,,55,62
255,3,10:43.0,K. Leonard misses 3-pt jump shot from 24 ft,,55,62
256,3,10:41.0,,Defensive rebound by C. Osman,55,62
257,3,10:33.0,,C. Sexton makes 2-pt jump shot from 19 ft,55,64
258,3,10:24.0,D. Green misses 3-pt jump shot from 25 ft,,55,64
259,3,10:20.0,,Defensive rebound by K. Love,55,64
260,3,10:10.0,,A. Žižić makes 2-pt jump shot from 17 ft (assist by C. Osman),55,66
261,3,9:56.0,K. Leonard misses 3-pt jump shot from 27 ft,,55,66
262,3,9:53.0,Offensive rebound by P. Siakam,,55,66
263,3,9:52.0,K. Leonard makes 3-pt jump shot from 26 ft (assist by P. Siakam),,58,66
264,3,9:31.0,,C. Sexton makes 3-pt jump shot from 26 ft,58,69
265,3,9:15.0,Offensive foul by K. Lowry (drawn by K. Love),,58,69
266,3,9:15.0,Turnover by K. Lowry (offensive foul),,58,69
267,3,8:55.0,,K. Love misses 2-pt hook shot from 11 ft,58,69
268,3,8:53.0,,Offensive rebound by A. Žižić,58,69
269,3,8:51.0,,Turnover by A. Žižić (lost ball; steal by K. Lowry),58,69
270,3,8:36.0,K. Leonard makes 3-pt jump shot from 24 ft (assist by M. Gasol),,61,69
271,3,8:06.0,,C. Sexton misses 3-pt jump shot from 27 ft,61,69
272,3,8:03.0,Defensive rebound by M. Gasol,,61,69
273,3,7:54.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by P. Siakam),,64,69
274,3,7:54.0,,Cleveland full timeout,64,69
275,3,7:44.0,,Personal foul by K. Lowry (drawn by B. Knight),64,69
276,3,7:36.0,,C. Osman misses 3-pt jump shot from 26 ft,64,69
277,3,7:32.0,Defensive rebound by M. Gasol,,64,69
278,3,7:22.0,Shooting foul by C. Sexton (drawn by K. Leonard),,64,69
279,3,7:22.0,K. Leonard misses free throw 1 of 2,,64,69
280,3,7:22.0,Offensive rebound by Team,,64,69
281,3,7:22.0,J. Lin enters the game for K. Lowry,,64,69
282,3,7:22.0,K. Leonard misses free throw 2 of 2,,64,69
283,3,7:21.0,,Defensive rebound by K. Love,64,69
284,3,7:02.0,,Turnover by A. Žižić (lost ball; steal by M. Gasol),64,69
285,3,6:50.0,P. Siakam misses 3-pt jump shot from 24 ft,,64,69
286,3,6:48.0,,Defensive rebound by C. Osman,64,69
287,3,6:39.0,,B. Knight makes 3-pt jump shot from 29 ft (assist by C. Osman),64,72
288,3,6:22.0,Turnover by M. Gasol (bad pass),,64,72
289,3,6:22.0,,J. Clarkson enters the game for B. Knight,64,72
290,3,6:02.0,,K. Love misses 3-pt jump shot from 23 ft,64,72
291,3,5:58.0,Defensive rebound by K. Leonard,,64,72
292,3,5:51.0,J. Lin misses 3-pt jump shot from 26 ft,,64,72
293,3,5:47.0,,Defensive rebound by C. Sexton,64,72
294,3,5:42.0,,K. Love makes 3-pt jump shot from 25 ft (assist by C. Sexton),64,75
295,3,5:30.0,K. Leonard makes 2-pt jump shot from 20 ft,,66,75
296,3,5:11.0,,K. Love makes 3-pt jump shot from 24 ft (assist by C. Sexton),66,78
297,3,5:11.0,Toronto full timeout,,66,78
298,3,5:11.0,P. McCaw enters the game for D. Green,,66,78
299,3,4:56.0,Shooting foul by K. Love (drawn by P. Siakam),,66,78
300,3,4:56.0,P. Siakam makes free throw 1 of 2,,67,78
301,3,4:56.0,P. Siakam makes free throw 2 of 2,,68,78
302,3,4:52.0,,Personal foul by P. McCaw (drawn by A. Žižić),68,78
303,3,4:52.0,S. Ibaka enters the game for M. Gasol,,68,78
304,3,4:33.0,,K. Love misses 3-pt jump shot from 26 ft,68,78
305,3,4:30.0,,Offensive rebound by K. Love,68,78
306,3,4:27.0,,K. Love makes 2-pt layup from 2 ft,68,80
307,3,4:10.0,K. Leonard misses 2-pt jump shot from 12 ft,,68,80
308,3,4:07.0,,Defensive rebound by K. Love,68,80
309,3,3:50.0,,A. Žižić makes 2-pt layup from 2 ft (assist by C. Osman),68,82
310,3,3:37.0,P. Siakam makes 2-pt jump shot from 9 ft,,70,82
311,3,3:29.0,,Personal foul by P. Siakam (drawn by K. Love),70,82
312,3,3:29.0,,M. Chriss enters the game for K. Love,70,82
313,3,3:29.0,,D. Nwaba enters the game for A. Žižić,70,82
314,3,3:18.0,,D. Nwaba misses 3-pt jump shot from 23 ft,70,82
315,3,3:16.0,Defensive rebound by K. Leonard,,70,82
316,3,3:05.0,Personal foul by C. Sexton (drawn by J. Lin),,70,82
317,3,3:05.0,O. Anunoby enters the game for P. Siakam,,70,82
318,3,2:56.0,O. Anunoby makes 3-pt jump shot from 25 ft (assist by K. Leonard),,73,82
319,3,2:30.0,,D. Nwaba makes 2-pt layup from 1 ft,73,84
320,3,2:20.0,J. Lin makes 2-pt jump shot from 4 ft,,75,84
321,3,2:06.0,,M. Chriss misses 2-pt layup at rim (block by S. Ibaka),75,84
322,3,2:04.0,Defensive rebound by O. Anunoby,,75,84
323,3,2:01.0,J. Lin misses 3-pt jump shot from 26 ft,,75,84
324,3,1:58.0,,Defensive rebound by J. Clarkson,75,84
325,3,1:49.0,,J. Clarkson misses 3-pt jump shot from 25 ft,75,84
326,3,1:47.0,Defensive rebound by K. Leonard,,75,84
327,3,1:38.0,K. Leonard makes 2-pt jump shot from 14 ft,,77,84
328,3,1:19.0,,C. Sexton makes 2-pt layup from 1 ft,77,86
329,3,1:05.0,K. Leonard misses 3-pt jump shot from 25 ft,,77,86
330,3,1:05.0,,Defensive rebound by D. Nwaba,77,86
331,3,0:54.0,,J. Clarkson misses 2-pt jump shot from 22 ft,77,86
332,3,0:52.0,Defensive rebound by K. Leonard,,77,86
333,3,0:52.0,N. Powell enters the game for K. Leonard,,77,86
334,3,0:52.0,,B. Knight enters the game for C. Sexton,77,86
335,3,0:42.0,P. McCaw misses 3-pt jump shot from 24 ft,,77,86
336,3,0:42.0,,Defensive rebound by Team,77,86
337,3,0:29.0,,C. Osman makes 3-pt jump shot from 30 ft (assist by B. Knight),77,89
338,3,0:17.0,J. Lin misses 3-pt jump shot from 26 ft,,77,89
339,3,0:12.0,,Defensive rebound by M. Chriss,77,89
340,3,0:01.0,,Shooting foul by J. Lin (drawn by C. Osman),77,89
341,3,0:01.0,,C. Osman makes free throw 1 of 2,77,90
342,3,0:01.0,,C. Osman makes free throw 2 of 2,77,91
343,3,0:01.0,Turnover by N. Powell (bad pass),,77,91
344,3,0:01.0,K. Lowry enters the game for S. Ibaka,,77,91
345,3,0:01.0,P. Siakam enters the game for J. Lin,,77,91
346,3,0:01.0,,N. Stauskas enters the game for M. Chriss,77,91
347,3,0:01.0,,A. Žižić enters the game for D. Nwaba,77,91
348,3,0:01.0,Technical foul by S. Ibaka,,77,91
349,3,0:01.0,,Technical foul by M. Chriss,77,91
350,3,0:01.0,S. Ibaka ejected from game,,77,91
351,3,0:01.0,,M. Chriss ejected from game,77,91
352,3,0:01.0,M. Gasol enters the game for K. Lowry,,77,91
353,3,0:01.0,J. Lin enters the game for P. Siakam,,77,91
354,3,0:01.0,,D. Nwaba enters the game for N. Stauskas,77,91
355,3,0:00.0,,Turnover by C. Osman (bad pass; steal by P. McCaw),77,91
356,4,11:43.0,,Loose ball foul by D. Nwaba (drawn by K. Lowry),77,91
357,4,11:33.0,Turnover by N. Powell (lost ball; steal by N. Stauskas),,77,91
358,4,11:27.0,,J. Clarkson misses 3-pt jump shot from 22 ft,77,91
359,4,11:24.0,Defensive rebound by N. Powell,,77,91
360,4,11:10.0,N. Powell misses 3-pt jump shot from 25 ft,,77,91
361,4,11:07.0,,Defensive rebound by A. Žižić,77,91
362,4,10:52.0,,B. Knight misses 3-pt jump shot from 29 ft,77,91
363,4,10:49.0,Defensive rebound by M. Gasol,,77,91
364,4,10:41.0,N. Powell makes 2-pt layup at rim,,79,91
365,4,10:27.0,,Personal foul by M. Gasol (drawn by A. Žižić),79,91
366,4,10:14.0,,A. Žižić makes 2-pt hook shot from 10 ft (assist by N. Stauskas),79,93
367,4,10:05.0,M. Gasol misses 3-pt jump shot from 29 ft,,79,93
368,4,10:00.0,,Defensive rebound by J. Clarkson,79,93
369,4,9:49.0,,N. Stauskas makes 3-pt jump shot from 24 ft (assist by B. Knight),79,96
370,4,9:34.0,O. Anunoby makes 2-pt jump shot from 19 ft (assist by P. McCaw),,81,96
371,4,9:22.0,,J. Clarkson makes 2-pt jump shot from 7 ft,81,98
372,4,9:09.0,Turnover by M. Gasol (lost ball; steal by D. Nwaba),,81,98
373,4,9:05.0,,Offensive foul by D. Nwaba (drawn by K. Lowry),81,98
374,4,9:05.0,,Turnover by D. Nwaba (offensive foul),81,98
375,4,9:00.0,Personal foul by D. Nwaba (drawn by O. Anunoby),,81,98
376,4,9:00.0,,C. Osman enters the game for D. Nwaba,81,98
377,4,8:55.0,N. Powell makes 2-pt layup at rim (assist by M. Gasol),,83,98
378,4,8:55.0,,Cleveland full timeout,83,98
379,4,8:55.0,P. Siakam enters the game for M. Gasol,,83,98
380,4,8:30.0,,C. Osman makes 2-pt jump shot from 12 ft (assist by J. Clarkson),83,100
381,4,8:30.0,,Violation by Team (delay of game),83,100
382,4,8:16.0,K. Lowry makes 3-pt jump shot from 30 ft,,86,100
383,4,7:50.0,,C. Osman makes 3-pt jump shot from 27 ft (assist by B. Knight),86,103
384,4,7:41.0,O. Anunoby misses 3-pt jump shot from 25 ft,,86,103
385,4,7:41.0,,Defensive rebound by N. Stauskas,86,103
386,4,7:28.0,,Turnover by B. Knight (bad pass; steal by P. McCaw),86,103
