,QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
63,1,3:59.0,,New York full timeout,19,13
64,1,3:59.0,,D. Dotson enters the game for T. Hardaway,19,13
65,1,3:51.0,,A. Trier misses 2-pt jump shot from 17 ft,19,13
66,1,3:49.0,Defensive rebound by H. Whiteside,,19,13
67,1,3:35.0,Turnover by D. Wade (bad pass; steal by L. Thomas),,19,13
68,1,3:35.0,,Personal foul by H. Whiteside (drawn by L. Thomas),19,13
69,1,3:35.0,,L. Thomas makes free throw 1 of 2,19,14
70,1,3:35.0,B. Adebayo enters the game for H. Whiteside,,19,14
71,1,3:35.0,,M. Robinson enters the game for N. Vonleh,19,14
72,1,3:35.0,,L. Thomas makes free throw 2 of 2,19,15
73,1,3:20.0,D. Wade misses 2-pt jump shot from 21 ft,,19,15
74,1,3:18.0,,Defensive rebound by L. Thomas,19,15
75,1,3:11.0,,A. Trier makes 3-pt jump shot from 27 ft (assist by D. Dotson),19,18
76,1,2:56.0,Shooting foul by L. Thomas (drawn by D. Wade),,19,18
77,1,2:56.0,D. Jones enters the game for J. Johnson,,19,18
78,1,2:56.0,D. Wade makes free throw 1 of 2,,20,18
79,1,2:56.0,D. Wade makes free throw 2 of 2,,21,18
80,1,2:43.0,,D. Dotson makes 2-pt jump shot from 19 ft (assist by M. Robinson),21,20
81,1,2:29.0,J. Winslow misses 2-pt layup from 1 ft,,21,20
82,1,2:28.0,Offensive rebound by J. Winslow,,21,20
83,1,2:27.0,Shooting foul by M. Robinson (drawn by J. Winslow),,21,20
84,1,2:27.0,,M. Hezonja enters the game for L. Thomas,21,20
85,1,2:27.0,J. Winslow misses free throw 1 of 2,,21,20
86,1,2:27.0,Offensive rebound by Team,,21,20
87,1,2:27.0,J. Winslow makes free throw 2 of 2,,22,20
88,1,2:19.0,,F. Ntilikina makes 2-pt jump shot from 19 ft,22,22
89,1,2:08.0,D. Wade misses 2-pt layup from 2 ft,,22,22
90,1,2:06.0,,Defensive rebound by M. Robinson,22,22
91,1,2:00.0,,M. Hezonja makes 2-pt layup from 1 ft (assist by F. Ntilikina),22,24
92,1,2:00.0,,Shooting foul by W. Ellington (drawn by M. Hezonja),22,24
93,1,2:00.0,D. Waiters enters the game for W. Ellington,,22,24
94,1,2:00.0,,M. Hezonja misses free throw 1 of 1,22,24
95,1,1:58.0,Defensive rebound by J. Winslow,,22,24
96,1,1:42.0,D. Waiters misses 3-pt jump shot from 25 ft,,22,24
97,1,1:40.0,,Defensive rebound by M. Hezonja,22,24
98,1,1:31.0,,F. Ntilikina misses 3-pt jump shot from 25 ft,22,24
99,1,1:29.0,Defensive rebound by D. Jones,,22,24
100,1,1:14.0,J. Winslow makes 3-pt jump shot from 27 ft (assist by D. Waiters),,25,24
101,1,0:57.0,,D. Dotson misses 3-pt jump shot from 26 ft,25,24
102,1,0:55.0,Defensive rebound by J. Winslow,,25,24
103,1,0:51.0,J. Winslow misses 2-pt jump shot from 2 ft (block by M. Robinson),,25,24
104,1,0:49.0,Offensive rebound by Team,,25,24
105,1,0:49.0,Miami full timeout,,25,24
106,1,0:49.0,J. Richardson enters the game for J. Winslow,,25,24
107,1,0:46.0,J. Richardson misses 3-pt jump shot from 23 ft,,25,24
108,1,0:44.0,,Defensive rebound by A. Trier,25,24
109,1,0:24.0,,F. Ntilikina makes 2-pt jump shot from 12 ft,25,26
110,1,0:03.0,D. Wade misses 2-pt jump shot from 15 ft (block by M. Robinson),,25,26
111,1,0:02.0,,Defensive rebound by M. Hezonja,25,26
112,1,0:00.0,,M. Hezonja misses 3-pt jump shot from 42 ft,25,26
113,1,0:00.0,,Offensive rebound by Team,25,26
114,2,11:40.0,Turnover by D. Wade (lost ball; steal by M. Robinson),,25,26
115,2,11:35.0,,A. Trier makes 2-pt layup from 1 ft,25,28
116,2,11:15.0,Turnover by B. Adebayo (bad pass; steal by M. Robinson),,25,28
117,2,10:58.0,,Personal foul by D. Jones (drawn by A. Trier),25,28
118,2,10:56.0,,Personal foul by D. Jones (drawn by A. Trier),25,28
119,2,10:48.0,,Turnover by T. Burke (bad pass; steal by B. Adebayo),25,28
120,2,10:45.0,Shooting foul by A. Trier (drawn by D. Jones),,25,28
121,2,10:45.0,Miami full timeout,,25,28
122,2,10:45.0,H. Whiteside enters the game for D. Jones,,25,28
123,2,10:45.0,H. Whiteside misses free throw 1 of 2,,25,28
124,2,10:45.0,Offensive rebound by Team,,25,28
125,2,10:45.0,H. Whiteside makes free throw 2 of 2,,26,28
126,2,10:30.0,,Shooting foul by H. Whiteside (drawn by A. Trier),26,28
127,2,10:30.0,,A. Trier makes free throw 1 of 2,26,29
128,2,10:30.0,K. Olynyk enters the game for H. Whiteside,,26,29
129,2,10:30.0,,A. Trier makes free throw 2 of 2,26,30
130,2,10:10.0,Turnover by D. Waiters (bad pass; steal by M. Robinson),,26,30
131,2,10:07.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by A. Trier),26,33
132,2,9:39.0,B. Adebayo misses 2-pt jump shot from 12 ft,,26,33
133,2,9:37.0,Offensive rebound by K. Olynyk,,26,33
134,2,9:37.0,K. Olynyk makes 2-pt layup at rim,,28,33
135,2,9:15.0,,T. Burke misses 2-pt jump shot from 7 ft,28,33
136,2,9:13.0,,Offensive rebound by M. Robinson,28,33
137,2,9:12.0,,M. Robinson misses 2-pt layup from 1 ft,28,33
138,2,9:10.0,Defensive rebound by B. Adebayo,,28,33
139,2,9:07.0,B. Adebayo makes 2-pt layup from 4 ft,,30,33
140,2,9:07.0,,Violation by Team (def goaltending),30,33
141,2,9:07.0,Shooting foul by M. Hezonja (drawn by B. Adebayo),,30,33
142,2,9:07.0,B. Adebayo makes free throw 1 of 1,,31,33
143,2,8:56.0,,T. Burke makes 3-pt jump shot from 27 ft (assist by D. Dotson),31,36
144,2,8:40.0,Personal foul by T. Burke (drawn by B. Adebayo),,31,36
145,2,8:40.0,,N. Vonleh enters the game for M. Robinson,31,36
146,2,8:27.0,J. Richardson makes 2-pt layup at rim (assist by D. Wade),,33,36
147,2,8:01.0,,A. Trier misses 2-pt layup at rim,33,36
148,2,7:59.0,Defensive rebound by K. Olynyk,,33,36
149,2,7:51.0,D. Wade makes 2-pt jump shot from 18 ft,,35,36
150,2,7:32.0,,T. Burke makes 2-pt layup from 1 ft,35,38
151,2,7:32.0,Violation by Team (def goaltending),,35,38
152,2,7:09.0,D. Waiters misses 3-pt jump shot from 25 ft,,35,38
153,2,7:07.0,Offensive rebound by Team,,35,38
154,2,7:07.0,Turnover by Team (shot clock),,35,38
155,2,7:07.0,,T. Hardaway enters the game for A. Trier,35,38
156,2,6:54.0,,D. Dotson misses 2-pt jump shot from 21 ft,35,38
157,2,6:49.0,Defensive rebound by D. Wade,,35,38
158,2,6:46.0,Turnover by D. Wade (bad pass; steal by T. Hardaway),,35,38
159,2,6:41.0,,T. Burke makes 2-pt jump shot from 16 ft (assist by T. Hardaway),35,40
160,2,6:18.0,K. Olynyk misses 3-pt jump shot from 23 ft,,35,40
161,2,6:16.0,,Defensive rebound by N. Vonleh,35,40
162,2,6:12.0,,D. Dotson makes 2-pt layup from 2 ft (assist by T. Burke),35,42
163,2,6:12.0,Miami full timeout,,35,42
164,2,6:12.0,W. Ellington enters the game for B. Adebayo,,35,42
165,2,6:12.0,J. Johnson enters the game for J. Richardson,,35,42
166,2,6:12.0,J. Winslow enters the game for D. Wade,,35,42
167,2,6:12.0,,K. Knox enters the game for D. Dotson,35,42
168,2,5:52.0,J. Johnson makes 2-pt jump shot from 7 ft,,37,42
169,2,5:37.0,,T. Hardaway misses 3-pt jump shot from 27 ft,37,42
170,2,5:35.0,,Offensive rebound by Team,37,42
171,2,5:27.0,,T. Hardaway makes 2-pt layup from 1 ft (assist by T. Burke),37,44
172,2,5:12.0,K. Olynyk makes 2-pt layup from 1 ft (assist by J. Winslow),,39,44
173,2,4:57.0,,T. Hardaway misses 3-pt jump shot from 25 ft,39,44
174,2,4:55.0,,Offensive rebound by K. Knox,39,44
175,2,4:48.0,,T. Burke misses 2-pt jump shot from 6 ft,39,44
176,2,4:46.0,,Offensive rebound by T. Hardaway,39,44
177,2,4:41.0,,T. Burke makes 2-pt jump shot from 6 ft (assist by T. Hardaway),39,46
178,2,4:41.0,,Shooting foul by J. Winslow (drawn by T. Burke),39,46
179,2,4:41.0,,T. Burke makes free throw 1 of 1,39,47
180,2,4:28.0,W. Ellington misses 3-pt jump shot from 25 ft,,39,47
181,2,4:26.0,Offensive rebound by K. Olynyk,,39,47
182,2,4:15.0,K. Olynyk makes 2-pt layup from 1 ft (assist by D. Waiters),,41,47
183,2,4:15.0,Violation by Team (delay of game),,41,47
184,2,4:04.0,,T. Burke misses 2-pt jump shot from 20 ft,41,47
185,2,4:02.0,Defensive rebound by K. Olynyk,,41,47
186,2,3:54.0,J. Johnson misses 2-pt jump shot from 4 ft,,41,47
187,2,3:52.0,,Defensive rebound by N. Vonleh,41,47
188,2,3:41.0,,Turnover by N. Vonleh (bad pass),41,47
189,2,3:41.0,,F. Ntilikina enters the game for T. Burke,41,47
190,2,3:25.0,Turnover by K. Olynyk (lost ball; steal by F. Ntilikina),,41,47
191,2,3:10.0,,K. Knox makes 2-pt jump shot from 19 ft (assist by T. Hardaway),41,49
192,2,2:54.0,J. Johnson makes 2-pt layup from 1 ft,,43,49
193,2,2:43.0,,M. Hezonja makes 2-pt layup from 1 ft (assist by F. Ntilikina),43,51
194,2,2:43.0,,Shooting foul by J. Johnson (drawn by M. Hezonja),43,51
195,2,2:43.0,J. Richardson enters the game for W. Ellington,,43,51
196,2,2:43.0,D. Wade enters the game for D. Waiters,,43,51
197,2,2:43.0,,M. Hezonja makes free throw 1 of 1,43,52
198,2,2:35.0,Personal foul by N. Vonleh (drawn by K. Olynyk),,43,52
199,2,2:26.0,J. Johnson misses 3-pt jump shot from 23 ft,,43,52
200,2,2:24.0,,Defensive rebound by N. Vonleh,43,52
201,2,2:03.0,,T. Hardaway misses 3-pt jump shot from 27 ft,43,52
202,2,2:02.0,Defensive rebound by J. Richardson,,43,52
203,2,1:53.0,D. Wade makes 2-pt jump shot from 6 ft,,45,52
204,2,1:41.0,,F. Ntilikina misses 2-pt jump shot from 23 ft,45,52
205,2,1:39.0,Defensive rebound by Team,,45,52
206,2,1:18.0,J. Johnson misses 3-pt jump shot from 25 ft,,45,52
207,2,1:16.0,,Defensive rebound by T. Hardaway,45,52
208,2,1:08.0,,T. Hardaway makes 2-pt jump shot from 17 ft,45,54
209,2,0:58.0,K. Olynyk makes 2-pt layup from 1 ft (assist by D. Wade),,47,54
210,2,0:51.0,,Shooting foul by J. Johnson (drawn by T. Hardaway),47,54
211,2,0:51.0,B. Adebayo enters the game for J. Johnson,,47,54
212,2,0:51.0,,T. Burke enters the game for K. Knox,47,54
213,2,0:51.0,,L. Thomas enters the game for F. Ntilikina,47,54
214,2,0:51.0,,T. Hardaway makes free throw 1 of 2,47,55
215,2,0:51.0,,T. Hardaway makes free throw 2 of 2,47,56
216,2,0:36.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by D. Wade),,50,56
217,2,0:32.0,,T. Burke makes 2-pt layup from 1 ft,50,58
218,2,0:32.0,Violation by Team (def goaltending),,50,58
219,2,0:22.0,Personal foul by L. Thomas (drawn by B. Adebayo),,50,58
220,2,0:22.0,B. Adebayo makes free throw 1 of 2,,51,58
221,2,0:22.0,R. McGruder enters the game for J. Richardson,,51,58
222,2,0:22.0,,D. Dotson enters the game for L. Thomas,51,58
223,2,0:22.0,B. Adebayo makes free throw 2 of 2,,52,58
224,2,0:03.0,,T. Burke misses 3-pt jump shot from 26 ft,52,58
225,2,0:01.0,Defensive rebound by K. Olynyk,,52,58
226,3,11:39.0,H. Whiteside misses 2-pt hook shot from 8 ft,,52,58
227,3,11:36.0,,Defensive rebound by L. Thomas,52,58
228,3,11:24.0,,K. Knox misses 3-pt jump shot from 25 ft,52,58
229,3,11:22.0,Defensive rebound by W. Ellington,,52,58
230,3,11:15.0,Offensive foul by J. Richardson (drawn by T. Burke),,52,58
231,3,11:15.0,Turnover by J. Richardson (offensive foul),,52,58
232,3,10:59.0,,T. Hardaway misses 2-pt jump shot from 21 ft,52,58
233,3,10:57.0,Defensive rebound by H. Whiteside,,52,58
234,3,10:42.0,W. Ellington makes 2-pt layup at rim (assist by J. Winslow),,54,58
235,3,10:42.0,,Violation by Team (def goaltending),54,58
236,3,10:26.0,,Offensive foul by N. Vonleh (drawn by J. Winslow),54,58
237,3,10:26.0,,Turnover by N. Vonleh (offensive foul),54,58
238,3,10:14.0,W. Ellington misses 3-pt jump shot from 26 ft,,54,58
239,3,10:12.0,Offensive rebound by Team,,54,58
240,3,10:08.0,J. Winslow makes 2-pt jump shot from 19 ft (assist by J. Johnson),,56,58
241,3,9:54.0,,T. Hardaway misses 2-pt layup from 5 ft (block by H. Whiteside),56,58
242,3,9:52.0,Defensive rebound by Team,,56,58
243,3,9:36.0,W. Ellington misses 3-pt jump shot from 25 ft,,56,58
244,3,9:34.0,,Defensive rebound by N. Vonleh,56,58
245,3,9:23.0,,N. Vonleh misses 2-pt jump shot from 15 ft,56,58
246,3,9:21.0,Defensive rebound by J. Johnson,,56,58
247,3,9:15.0,W. Ellington makes 3-pt jump shot from 26 ft (assist by J. Johnson),,59,58
248,3,9:15.0,,New York full timeout,59,58
249,3,8:52.0,,T. Hardaway makes 2-pt jump shot from 20 ft (assist by N. Vonleh),59,60
250,3,8:35.0,J. Richardson misses 3-pt jump shot from 25 ft,,59,60
251,3,8:33.0,,Defensive rebound by T. Hardaway,59,60
252,3,8:27.0,,T. Hardaway misses 2-pt jump shot from 21 ft,59,60
253,3,8:25.0,Defensive rebound by J. Richardson,,59,60
254,3,8:12.0,Shooting foul by T. Hardaway (drawn by J. Richardson),,59,60
255,3,8:12.0,J. Richardson makes free throw 1 of 2,,60,60
256,3,8:12.0,J. Richardson makes free throw 2 of 2,,61,60
257,3,7:55.0,,N. Vonleh makes 2-pt layup from 3 ft,61,62
258,3,7:33.0,W. Ellington misses 3-pt jump shot from 25 ft,,61,62
259,3,7:31.0,,Defensive rebound by T. Burke,61,62
260,3,7:24.0,,T. Burke makes 2-pt layup from 3 ft,61,64
261,3,7:08.0,H. Whiteside misses 2-pt layup from 2 ft,,61,64
262,3,7:06.0,,Defensive rebound by K. Knox,61,64
263,3,6:59.0,,Offensive foul by T. Burke (drawn by J. Johnson),61,64
264,3,6:59.0,,Turnover by T. Burke (offensive foul),61,64
265,3,6:41.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by J. Winslow),,64,64
266,3,6:18.0,,T. Burke misses 2-pt jump shot from 19 ft,64,64
267,3,6:16.0,Defensive rebound by H. Whiteside,,64,64
268,3,6:03.0,J. Johnson makes 2-pt jump shot from 13 ft,,66,64
269,3,5:43.0,,Personal foul by J. Winslow (drawn by K. Knox),66,64
270,3,5:43.0,D. Wade enters the game for J. Richardson,,66,64
271,3,5:42.0,,Personal foul by J. Winslow (drawn by K. Knox),66,64
272,3,5:34.0,,T. Burke misses 3-pt jump shot from 26 ft,66,64
273,3,5:32.0,Defensive rebound by H. Whiteside,,66,64
274,3,5:14.0,J. Johnson misses 2-pt layup from 1 ft,,66,64
275,3,5:12.0,Offensive rebound by H. Whiteside,,66,64
276,3,5:12.0,H. Whiteside misses 2-pt layup from 1 ft,,66,64
277,3,5:10.0,Offensive rebound by H. Whiteside,,66,64
278,3,5:10.0,H. Whiteside makes 2-pt layup from 1 ft,,68,64
279,3,4:54.0,,T. Burke misses 2-pt layup from 1 ft (block by J. Winslow),68,64
280,3,4:52.0,Defensive rebound by J. Winslow,,68,64
281,3,4:48.0,J. Winslow misses 2-pt layup from 2 ft,,68,64
282,3,4:46.0,,Defensive rebound by N. Vonleh,68,64
283,3,4:43.0,,T. Burke makes 2-pt layup at rim (assist by T. Hardaway),68,66
284,3,4:20.0,J. Johnson misses 3-pt jump shot from 25 ft,,68,66
285,3,4:19.0,,Defensive rebound by N. Vonleh,68,66
286,3,4:09.0,,T. Hardaway misses 3-pt jump shot from 25 ft,68,66
287,3,4:07.0,Defensive rebound by H. Whiteside,,68,66
288,3,3:54.0,Personal foul by N. Vonleh (drawn by H. Whiteside),,68,66
289,3,3:54.0,,D. Dotson enters the game for T. Hardaway,68,66
290,3,3:54.0,,M. Hezonja enters the game for L. Thomas,68,66
291,3,3:54.0,,M. Robinson enters the game for N. Vonleh,68,66
292,3,3:45.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by D. Wade),,70,66
293,3,3:22.0,,M. Hezonja misses 3-pt jump shot from 25 ft,70,66
294,3,3:20.0,Defensive rebound by H. Whiteside,,70,66
295,3,3:07.0,Def 3 sec tech foul by Team,,70,66
296,3,3:07.0,,A. Trier enters the game for T. Burke,70,66
297,3,3:07.0,W. Ellington makes technical free throw,,71,66
298,3,2:56.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by D. Wade),,74,66
299,3,2:55.0,,New York full timeout,74,66
300,3,2:36.0,,Turnover by D. Dotson (bad pass; steal by J. Johnson),74,66
301,3,2:31.0,J. Winslow makes 2-pt layup from 2 ft,,76,66
302,3,2:15.0,,Personal foul by W. Ellington (drawn by D. Dotson),76,66
303,3,2:15.0,D. Waiters enters the game for J. Winslow,,76,66
304,3,2:15.0,,C. Lee enters the game for K. Knox,76,66
305,3,2:09.0,,Shooting foul by H. Whiteside (drawn by M. Robinson),76,66
306,3,2:09.0,,M. Robinson misses free throw 1 of 2,76,66
307,3,2:09.0,,Offensive rebound by Team,76,66
308,3,2:09.0,B. Adebayo enters the game for H. Whiteside,,76,66
309,3,2:09.0,,M. Robinson misses free throw 2 of 2,76,66
310,3,2:07.0,Defensive rebound by D. Wade,,76,66
311,3,1:57.0,D. Wade makes 2-pt layup from 3 ft,,78,66
312,3,1:42.0,Violation by Team (kicked ball),,78,66
313,3,1:30.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by M. Hezonja),78,68
314,3,1:05.0,D. Waiters makes 3-pt jump shot from 24 ft (assist by B. Adebayo),,81,68
315,3,0:45.0,,M. Hezonja misses 2-pt hook shot from 8 ft,81,68
316,3,0:44.0,Defensive rebound by D. Waiters,,81,68
317,3,0:39.0,D. Waiters misses 2-pt layup from 2 ft (block by D. Dotson),,81,68
318,3,0:37.0,,Defensive rebound by M. Robinson,81,68
319,3,0:23.0,,Personal foul by B. Adebayo (drawn by A. Trier),81,68
320,3,0:23.0,,A. Trier makes free throw 1 of 2,81,69
321,3,0:23.0,,A. Trier makes free throw 2 of 2,81,70
322,3,0:05.0,D. Wade misses 3-pt jump shot from 26 ft,,81,70
323,3,0:00.0,,Defensive rebound by A. Trier,81,70
324,4,11:48.0,,Turnover by A. Trier (traveling),81,70
325,4,11:36.0,B. Adebayo makes 2-pt layup from 1 ft (assist by D. Wade),,83,70
326,4,11:20.0,,A. Trier misses 2-pt jump shot from 5 ft,83,70
327,4,11:18.0,,Offensive rebound by M. Robinson,83,70
328,4,11:16.0,,Shooting foul by K. Olynyk (drawn by M. Hezonja),83,70
329,4,11:16.0,,M. Hezonja makes free throw 1 of 2,83,71
330,4,11:16.0,,M. Hezonja makes free throw 2 of 2,83,72
331,4,11:02.0,B. Adebayo makes 2-pt dunk at rim (assist by D. Wade),,85,72
332,4,11:02.0,,New York full timeout,85,72
333,4,10:47.0,,C. Lee misses 3-pt jump shot from 23 ft,85,72
334,4,10:45.0,Defensive rebound by D. Wade,,85,72
335,4,10:36.0,J. Richardson misses 2-pt jump shot from 21 ft,,85,72
336,4,10:34.0,,Defensive rebound by C. Lee,85,72
337,4,10:26.0,,Personal foul by K. Olynyk (drawn by M. Robinson),85,72
338,4,10:20.0,,D. Dotson makes 2-pt layup from 2 ft,85,74
339,4,9:56.0,Turnover by D. Wade (lost ball; steal by M. Hezonja),,85,74
340,4,9:51.0,,A. Trier makes 2-pt layup from 1 ft (assist by C. Lee),85,76
341,4,9:36.0,D. Wade misses 2-pt jump shot from 16 ft,,85,76
342,4,9:34.0,,Defensive rebound by M. Hezonja,85,76
343,4,9:32.0,,Personal foul by D. Wade (drawn by M. Hezonja),85,76
344,4,9:20.0,,Shooting foul by D. Wade (drawn by D. Dotson),85,76
345,4,9:20.0,,D. Dotson makes free throw 1 of 3,85,77
346,4,9:20.0,,D. Dotson misses free throw 2 of 3,85,77
347,4,9:20.0,,Offensive rebound by Team,85,77
348,4,9:20.0,,D. Dotson misses free throw 3 of 3,85,77
349,4,9:18.0,Defensive rebound by B. Adebayo,,85,77
350,4,9:05.0,J. Richardson makes 3-pt jump shot from 24 ft (assist by D. Wade),,88,77
351,4,8:44.0,,D. Dotson makes 3-pt jump shot from 25 ft (assist by C. Lee),88,80
352,4,8:21.0,B. Adebayo misses 3-pt jump shot from 23 ft,,88,80
353,4,8:19.0,,Defensive rebound by M. Hezonja,88,80
354,4,8:06.0,,A. Trier misses 3-pt jump shot from 26 ft,88,80
355,4,8:04.0,Defensive rebound by B. Adebayo,,88,80
356,4,7:48.0,J. Richardson misses 2-pt hook shot from 5 ft,,88,80
357,4,7:46.0,,Defensive rebound by C. Lee,88,80
358,4,7:39.0,,Turnover by C. Lee (bad pass; steal by D. Wade),88,80
359,4,7:35.0,Turnover by D. Wade (lost ball; steal by D. Dotson),,88,80
360,4,7:34.0,,M. Robinson makes 2-pt dunk at rim (assist by D. Dotson),88,82
361,4,7:34.0,Miami full timeout,,88,82
362,4,7:34.0,J. Winslow enters the game for D. Waiters,,88,82
363,4,7:34.0,,T. Burke enters the game for C. Lee,88,82
364,4,7:34.0,,T. Hardaway enters the game for A. Trier,88,82
365,4,7:18.0,D. Wade makes 2-pt jump shot from 20 ft,,90,82
366,4,7:03.0,,D. Dotson misses 3-pt jump shot from 27 ft,90,82
367,4,7:01.0,Defensive rebound by K. Olynyk,,90,82
368,4,6:49.0,Turnover by J. Winslow (bad pass; steal by M. Hezonja),,90,82
369,4,6:45.0,,M. Hezonja makes 2-pt dunk at rim (assist by T. Hardaway),90,84
370,4,6:29.0,J. Winslow misses 3-pt jump shot from 23 ft,,90,84
371,4,6:27.0,,Defensive rebound by M. Hezonja,90,84
372,4,6:15.0,,T. Hardaway makes 2-pt jump shot from 11 ft,90,86
373,4,6:00.0,D. Wade misses 2-pt jump shot from 16 ft,,90,86
374,4,5:58.0,,Defensive rebound by M. Robinson,90,86
375,4,5:46.0,,T. Burke misses 2-pt jump shot from 12 ft (block by J. Richardson),90,86
376,4,5:44.0,Defensive rebound by B. Adebayo,,90,86
377,4,5:34.0,J. Richardson misses 2-pt layup from 1 ft,,90,86
378,4,5:32.0,Offensive rebound by B. Adebayo,,90,86
379,4,5:32.0,B. Adebayo misses 2-pt layup from 1 ft,,90,86
380,4,5:31.0,Offensive rebound by B. Adebayo,,90,86
381,4,5:31.0,B. Adebayo misses 2-pt layup from 1 ft,,90,86
