,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CHICAGO_ACTION,PHOENIX_SCORE,CHICAGO_SCORE
71,1,3:32.0,,C. Payne enters the game for Z. LaVine,21,13
72,1,3:17.0,,Personal foul by D. Booker (drawn by R. Arcidiacono),21,13
73,1,3:02.0,,R. Lopez makes 2-pt hook shot from 6 ft,21,15
74,1,2:47.0,T. Warren misses 2-pt jump shot from 16 ft,,21,15
75,1,2:45.0,,Defensive rebound by C. Payne,21,15
76,1,2:30.0,,A. Blakeney misses 2-pt jump shot from 9 ft,21,15
77,1,2:27.0,Defensive rebound by D. Ayton,,21,15
78,1,2:19.0,D. Booker misses 2-pt layup from 2 ft,,21,15
79,1,2:17.0,,Defensive rebound by C. Payne,21,15
80,1,2:11.0,,R. Lopez misses 3-pt jump shot from 25 ft,21,15
81,1,2:07.0,Defensive rebound by T. Warren,,21,15
82,1,2:03.0,D. Ayton makes 2-pt jump shot from 14 ft (assist by D. Booker),,23,15
83,1,1:48.0,,J. Holiday makes 2-pt jump shot from 15 ft (assist by C. Payne),23,17
84,1,1:29.0,D. Booker misses 3-pt jump shot from 25 ft,,23,17
85,1,1:25.0,Offensive rebound by J. Jackson,,23,17
86,1,1:14.0,J. Jackson misses 2-pt jump shot from 20 ft,,23,17
87,1,1:12.0,Offensive rebound by Team,,23,17
88,1,1:12.0,J. Crawford enters the game for M. Bridges,,23,17
89,1,1:12.0,,J. Parker enters the game for J. Holiday,23,17
90,1,1:03.0,D. Booker misses 2-pt layup from 1 ft (block by R. Lopez),,23,17
91,1,1:00.0,,Defensive rebound by J. Parker,23,17
92,1,0:58.0,,R. Arcidiacono makes 3-pt jump shot from 24 ft (assist by J. Parker),23,20
93,1,0:43.0,J. Jackson makes 2-pt dunk from 1 ft (assist by D. Booker),,25,20
94,1,0:22.0,,R. Arcidiacono makes 2-pt jump shot from 12 ft,25,22
95,1,0:04.0,T. Warren makes 3-pt jump shot from 25 ft (assist by D. Booker),,28,22
96,1,0:00.0,,C. Payne makes 3-pt jump shot from 26 ft,28,25
97,2,11:42.0,T. Ariza misses 2-pt jump shot from 6 ft,,28,25
98,2,11:34.0,Offensive rebound by R. Holmes,,28,25
99,2,11:34.0,R. Holmes misses 2-pt layup from 1 ft,,28,25
100,2,11:34.0,,Defensive rebound by R. Lopez,28,25
101,2,11:31.0,,A. Blakeney makes 3-pt jump shot from 23 ft (assist by S. Harrison),28,28
102,2,11:10.0,J. Crawford makes 3-pt jump shot from 26 ft,,31,28
103,2,10:53.0,,J. Parker makes 2-pt dunk from 1 ft (assist by R. Lopez),31,30
104,2,10:37.0,R. Holmes makes 2-pt dunk from 1 ft (assist by J. Crawford),,33,30
105,2,10:26.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by S. Harrison),33,32
106,2,10:11.0,M. Bridges misses 3-pt jump shot from 25 ft,,33,32
107,2,10:08.0,,Defensive rebound by J. Parker,33,32
108,2,10:01.0,,Turnover by A. Blakeney (lost ball; steal by J. Jackson),33,32
109,2,9:54.0,R. Holmes misses 2-pt jump shot from 8 ft,,33,32
110,2,9:52.0,,Defensive rebound by C. Payne,33,32
111,2,9:49.0,,A. Blakeney makes 3-pt jump shot from 25 ft (assist by S. Harrison),33,35
112,2,9:47.0,Phoenix full timeout,,33,35
113,2,9:32.0,R. Holmes makes 2-pt dunk from 1 ft (assist by T. Ariza),,35,35
114,2,9:15.0,,Turnover by R. Lopez (bad pass; steal by J. Crawford),35,35
115,2,9:10.0,T. Ariza misses 3-pt jump shot from 26 ft,,35,35
116,2,9:06.0,,Defensive rebound by S. Harrison,35,35
117,2,8:59.0,,S. Harrison makes 2-pt layup from 1 ft,35,37
118,2,8:39.0,J. Crawford makes 2-pt jump shot from 13 ft,,37,37
119,2,8:28.0,,S. Harrison misses 3-pt jump shot from 26 ft,37,37
120,2,8:25.0,Defensive rebound by J. Jackson,,37,37
121,2,8:18.0,J. Jackson misses 2-pt layup from 2 ft,,37,37
122,2,8:17.0,,Defensive rebound by C. Payne,37,37
123,2,8:16.0,,Personal foul by M. Bridges (drawn by C. Payne),37,37
124,2,8:16.0,I. Canaan enters the game for J. Jackson,,37,37
125,2,8:16.0,,J. Holiday enters the game for J. Parker,37,37
126,2,8:10.0,,Shooting foul by I. Canaan (drawn by S. Harrison),37,37
127,2,8:10.0,,S. Harrison makes free throw 1 of 2,37,38
128,2,8:10.0,,S. Harrison makes free throw 2 of 2,37,39
129,2,7:54.0,J. Crawford makes 2-pt layup from 1 ft,,39,39
130,2,7:37.0,,R. Lopez misses 2-pt jump shot from 18 ft,39,39
131,2,7:34.0,Defensive rebound by M. Bridges,,39,39
132,2,7:31.0,Offensive foul by R. Holmes (drawn by S. Harrison),,39,39
133,2,7:31.0,Turnover by R. Holmes (offensive foul),,39,39
134,2,7:31.0,D. Ayton enters the game for R. Holmes,,39,39
135,2,7:31.0,,W. Carter enters the game for R. Lopez,39,39
136,2,7:31.0,,Z. LaVine enters the game for C. Payne,39,39
137,2,7:10.0,,W. Carter misses 2-pt jump shot from 14 ft,39,39
138,2,7:07.0,Defensive rebound by J. Crawford,,39,39
139,2,6:56.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Crawford),,42,39
140,2,6:43.0,,Shooting foul by D. Ayton (drawn by Z. LaVine),42,39
141,2,6:43.0,,Z. LaVine makes free throw 1 of 2,42,40
142,2,6:43.0,D. Booker enters the game for M. Bridges,,42,40
143,2,6:43.0,,R. Arcidiacono enters the game for A. Blakeney,42,40
144,2,6:43.0,,J. Parker enters the game for S. Harrison,42,40
145,2,6:43.0,,Z. LaVine makes free throw 2 of 2,42,41
146,2,6:38.0,Personal foul by J. Holiday (drawn by J. Crawford),,42,41
147,2,6:25.0,D. Ayton makes 2-pt hook shot from 4 ft (assist by J. Crawford),,44,41
148,2,6:04.0,,Z. LaVine misses 3-pt jump shot from 25 ft,44,41
149,2,6:01.0,Defensive rebound by D. Booker,,44,41
150,2,5:55.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),,46,41
151,2,5:47.0,,Turnover by J. Parker (bad pass),46,41
152,2,5:32.0,D. Booker misses 2-pt jump shot from 9 ft,,46,41
153,2,5:28.0,,Defensive rebound by J. Holiday,46,41
154,2,5:24.0,,J. Parker makes 2-pt layup from 2 ft (assist by J. Holiday),46,43
155,2,5:24.0,,Shooting foul by D. Ayton (drawn by J. Parker),46,43
156,2,5:24.0,,J. Parker makes free throw 1 of 1,46,44
157,2,5:13.0,Shooting foul by W. Carter (drawn by D. Ayton),,46,44
158,2,5:13.0,D. Ayton makes free throw 1 of 2,,47,44
159,2,5:13.0,D. Ayton makes free throw 2 of 2,,48,44
160,2,5:10.0,,Offensive foul by W. Carter (drawn by J. Crawford),48,44
161,2,5:10.0,,Turnover by W. Carter (offensive foul),48,44
162,2,5:03.0,Personal foul by W. Carter (drawn by D. Ayton),,48,44
163,2,5:03.0,,R. Lopez enters the game for W. Carter,48,44
164,2,4:55.0,D. Booker makes 2-pt jump shot from 17 ft,,50,44
165,2,4:47.0,,J. Holiday makes 3-pt jump shot from 22 ft (assist by Z. LaVine),50,47
166,2,4:26.0,D. Booker makes 2-pt jump shot from 7 ft,,52,47
167,2,4:16.0,,Z. LaVine makes 2-pt layup from 1 ft,52,49
168,2,3:54.0,J. Crawford misses 3-pt jump shot from 28 ft,,52,49
169,2,3:52.0,,Defensive rebound by R. Arcidiacono,52,49
170,2,3:44.0,,R. Lopez misses 2-pt hook shot from 2 ft,52,49
171,2,3:42.0,Defensive rebound by D. Booker,,52,49
172,2,3:37.0,D. Booker makes 2-pt layup from 1 ft,,54,49
173,2,3:36.0,,Chicago full timeout,54,49
174,2,3:36.0,M. Bridges enters the game for I. Canaan,,54,49
175,2,3:36.0,T. Warren enters the game for J. Crawford,,54,49
176,2,3:23.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by R. Lopez),54,51
177,2,3:08.0,D. Booker makes 2-pt jump shot from 10 ft,,56,51
178,2,2:52.0,,R. Lopez makes 2-pt hook shot from 9 ft (assist by Z. LaVine),56,53
179,2,2:43.0,Personal foul by R. Arcidiacono (drawn by D. Booker),,56,53
180,2,2:43.0,R. Holmes enters the game for D. Ayton,,56,53
181,2,2:43.0,,A. Blakeney enters the game for R. Arcidiacono,56,53
182,2,2:43.0,,S. Harrison enters the game for J. Holiday,56,53
183,2,2:31.0,D. Booker makes 2-pt layup from 2 ft (assist by T. Ariza),,58,53
184,2,2:31.0,Shooting foul by R. Lopez (drawn by D. Booker),,58,53
185,2,2:31.0,D. Booker makes free throw 1 of 1,,59,53
186,2,2:22.0,,Personal foul by T. Ariza (drawn by Z. LaVine),59,53
187,2,2:22.0,,Z. LaVine makes free throw 1 of 2,59,54
188,2,2:22.0,,Z. LaVine makes free throw 2 of 2,59,55
189,2,2:09.0,Turnover by D. Booker (lost ball; steal by S. Harrison),,59,55
190,2,2:05.0,,A. Blakeney makes 2-pt dunk from 1 ft,59,57
191,2,2:03.0,Phoenix full timeout,,59,57
192,2,1:47.0,R. Holmes makes 2-pt hook shot from 5 ft (assist by D. Booker),,61,57
193,2,1:35.0,,Def 3 sec tech foul by Team,61,57
194,2,1:35.0,,Z. LaVine makes technical free throw,61,58
195,2,1:35.0,,C. Felício enters the game for R. Lopez,61,58
196,2,1:24.0,,A. Blakeney makes 2-pt jump shot from 19 ft,61,60
197,2,1:04.0,M. Bridges makes 2-pt layup from 1 ft (assist by R. Holmes),,63,60
198,2,1:04.0,Shooting foul by S. Harrison (drawn by M. Bridges),,63,60
199,2,1:04.0,M. Bridges makes free throw 1 of 1,,64,60
200,2,0:50.0,,Personal foul by T. Warren (drawn by J. Parker),64,60
201,2,0:50.0,,J. Parker makes free throw 1 of 2,64,61
202,2,0:50.0,,J. Parker makes free throw 2 of 2,64,62
203,2,0:42.0,T. Warren makes 2-pt layup from 1 ft,,66,62
204,2,0:42.0,Shooting foul by S. Harrison (drawn by T. Warren),,66,62
205,2,0:42.0,T. Warren makes free throw 1 of 1,,67,62
206,2,0:36.0,,Turnover by J. Parker (traveling),67,62
207,2,0:19.0,R. Holmes makes 2-pt jump shot from 6 ft,,69,62
208,2,0:00.0,,Z. LaVine makes 2-pt jump shot from 22 ft,69,64
209,3,11:41.0,D. Ayton misses 2-pt hook shot from 7 ft,,69,64
210,3,11:41.0,Offensive rebound by Team,,69,64
211,3,11:34.0,D. Booker makes 2-pt jump shot from 12 ft,,71,64
212,3,11:17.0,,W. Carter makes 2-pt layup from 1 ft (assist by Z. LaVine),71,66
213,3,11:09.0,I. Canaan makes 3-pt jump shot from 26 ft (assist by D. Ayton),,74,66
214,3,10:48.0,,W. Carter misses 2-pt layup at rim,74,66
215,3,10:45.0,Defensive rebound by D. Ayton,,74,66
216,3,10:31.0,T. Warren misses 3-pt jump shot from 25 ft,,74,66
217,3,10:25.0,,Defensive rebound by W. Carter,74,66
218,3,10:15.0,,Z. LaVine makes 2-pt jump shot from 21 ft,74,68
219,3,9:56.0,I. Canaan misses 3-pt jump shot from 26 ft,,74,68
220,3,9:54.0,,Defensive rebound by J. Parker,74,68
221,3,9:51.0,,Personal foul by D. Booker (drawn by J. Parker),74,68
222,3,9:40.0,,Offensive foul by J. Parker (drawn by T. Ariza),74,68
223,3,9:40.0,,Turnover by J. Parker (offensive foul),74,68
224,3,9:30.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by T. Warren),,77,68
225,3,9:12.0,,Z. LaVine makes 2-pt layup from 1 ft,77,70
226,3,9:06.0,T. Warren makes 2-pt jump shot from 20 ft,,79,70
227,3,8:52.0,,Z. LaVine makes 2-pt dunk at rim (assist by J. Parker),79,72
228,3,8:34.0,D. Ayton misses 2-pt hook shot from 7 ft,,79,72
229,3,8:31.0,,Defensive rebound by J. Parker,79,72
230,3,8:29.0,,J. Parker makes 2-pt dunk at rim,79,74
231,3,8:11.0,D. Booker misses 2-pt jump shot from 11 ft,,79,74
232,3,8:08.0,,Defensive rebound by W. Carter,79,74
233,3,8:03.0,,W. Carter makes 2-pt dunk at rim (assist by R. Arcidiacono),79,76
234,3,8:03.0,Phoenix full timeout,,79,76
235,3,7:49.0,Turnover by D. Booker (traveling),,79,76
236,3,7:34.0,,R. Arcidiacono makes 3-pt jump shot from 26 ft (assist by J. Parker),79,79
237,3,7:08.0,Turnover by I. Canaan (bad pass; steal by R. Arcidiacono),,79,79
238,3,6:56.0,,J. Parker makes 2-pt dunk from 1 ft (assist by W. Carter),79,81
239,3,6:34.0,T. Warren makes 2-pt jump shot from 7 ft (assist by D. Ayton),,81,81
240,3,6:23.0,,Shooting foul by D. Booker (drawn by J. Parker),81,81
241,3,6:23.0,,J. Parker makes free throw 1 of 2,81,82
242,3,6:23.0,M. Bridges enters the game for T. Ariza,,81,82
243,3,6:23.0,,J. Parker makes free throw 2 of 2,81,83
244,3,6:03.0,Shooting foul by W. Carter (drawn by D. Booker),,81,83
245,3,6:03.0,D. Booker makes free throw 1 of 2,,82,83
246,3,6:03.0,,C. Felício enters the game for W. Carter,82,83
247,3,6:03.0,D. Booker makes free throw 2 of 2,,83,83
248,3,5:49.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),83,86
249,3,5:30.0,D. Ayton misses 2-pt layup from 2 ft,,83,86
250,3,5:27.0,,Defensive rebound by J. Parker,83,86
251,3,5:11.0,,R. Arcidiacono makes 3-pt jump shot from 25 ft (assist by C. Felício),83,89
252,3,4:58.0,Turnover by D. Booker (lost ball; steal by R. Arcidiacono),,83,89
253,3,4:55.0,,Turnover by J. Holiday (bad pass; steal by D. Booker),83,89
254,3,4:54.0,D. Ayton makes 2-pt dunk from 1 ft,,85,89
255,3,4:50.0,,C. Felício makes 2-pt layup from 1 ft (assist by J. Parker),85,91
256,3,4:39.0,Personal foul by C. Felício (drawn by I. Canaan),,85,91
257,3,4:39.0,R. Holmes enters the game for D. Ayton,,85,91
258,3,4:39.0,J. Jackson enters the game for D. Booker,,85,91
259,3,4:39.0,,A. Blakeney enters the game for J. Parker,85,91
260,3,4:28.0,J. Jackson misses 2-pt layup from 3 ft,,85,91
261,3,4:27.0,Offensive rebound by J. Jackson,,85,91
262,3,4:27.0,J. Jackson misses 2-pt layup at rim,,85,91
263,3,4:27.0,,Defensive rebound by Team,85,91
264,3,4:16.0,,Z. LaVine misses 2-pt jump shot from 16 ft,85,91
265,3,4:14.0,Defensive rebound by T. Warren,,85,91
266,3,4:06.0,T. Warren misses 2-pt layup from 9 ft,,85,91
267,3,4:01.0,R. Holmes makes 2-pt layup at rim,,87,91
268,3,4:01.0,Offensive rebound by R. Holmes,,87,91
269,3,4:01.0,,Turnover by J. Holiday (bad pass),87,91
270,3,3:52.0,M. Bridges makes 2-pt dunk from 1 ft (assist by I. Canaan),,89,91
271,3,3:52.0,,Chicago full timeout,89,91
272,3,3:40.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by Z. LaVine),89,94
273,3,3:20.0,R. Holmes misses 2-pt hook shot from 3 ft,,89,94
274,3,3:18.0,,Defensive rebound by J. Holiday,89,94
275,3,3:06.0,,J. Holiday misses 3-pt jump shot from 26 ft,89,94
276,3,3:04.0,Defensive rebound by M. Bridges,,89,94
277,3,2:47.0,J. Jackson misses 3-pt jump shot from 25 ft,,89,94
278,3,2:45.0,,Defensive rebound by J. Holiday,89,94
279,3,2:45.0,J. Crawford enters the game for I. Canaan,,89,94
280,3,2:45.0,,S. Harrison enters the game for Z. LaVine,89,94
281,3,2:27.0,,C. Felício misses 2-pt layup from 1 ft,89,94
282,3,2:25.0,Defensive rebound by R. Holmes,,89,94
283,3,2:16.0,J. Crawford misses 3-pt jump shot from 26 ft,,89,94
284,3,2:12.0,,Defensive rebound by C. Felício,89,94
285,3,2:02.0,,Turnover by A. Blakeney (lost ball; steal by M. Bridges),89,94
286,3,1:59.0,M. Bridges misses 2-pt layup from 2 ft,,89,94
287,3,1:56.0,,Defensive rebound by R. Arcidiacono,89,94
288,3,1:49.0,,A. Blakeney misses 2-pt jump shot from 6 ft (block by R. Holmes),89,94
289,3,1:49.0,Defensive rebound by M. Bridges,,89,94
290,3,1:44.0,T. Warren makes 2-pt layup from 2 ft,,91,94
291,3,1:32.0,,Personal foul by R. Holmes (drawn by S. Harrison),91,94
292,3,1:32.0,,J. Parker enters the game for R. Arcidiacono,91,94
293,3,1:21.0,,S. Harrison misses 2-pt layup from 1 ft,91,94
294,3,1:19.0,Defensive rebound by R. Holmes,,91,94
295,3,1:14.0,T. Warren misses 2-pt layup from 2 ft,,91,94
296,3,1:12.0,,Defensive rebound by C. Felício,91,94
297,3,1:09.0,,Turnover by C. Felício (bad pass; steal by M. Bridges),91,94
298,3,1:05.0,R. Holmes makes 2-pt dunk from 1 ft (assist by M. Bridges),,93,94
299,3,0:44.0,,S. Harrison misses 2-pt jump shot from 7 ft,93,94
300,3,0:42.0,Defensive rebound by J. Jackson,,93,94
301,3,0:38.0,J. Crawford misses 3-pt jump shot from 25 ft,,93,94
302,3,0:35.0,,Defensive rebound by Team,93,94
303,3,0:26.0,,Offensive foul by J. Holiday (drawn by J. Jackson),93,94
304,3,0:26.0,,Turnover by J. Holiday (offensive foul),93,94
305,3,0:26.0,D. Booker enters the game for M. Bridges,,93,94
306,3,0:06.0,Personal foul by C. Felício (drawn by J. Crawford),,93,94
307,3,0:04.0,T. Warren misses 2-pt hook shot from 4 ft,,93,94
308,3,0:02.0,Offensive rebound by R. Holmes,,93,94
309,3,0:01.0,R. Holmes misses 2-pt jump shot from 9 ft,,93,94
310,3,0:01.0,Offensive rebound by Team,,93,94
311,3,0:01.0,,R. Lopez enters the game for A. Blakeney,93,94
312,3,0:00.0,D. Booker misses 3-pt jump shot from 23 ft,,93,94
313,3,0:00.0,Offensive rebound by Team,,93,94
314,4,11:43.0,,J. Parker misses 2-pt layup from 2 ft,93,94
315,4,11:41.0,Defensive rebound by R. Holmes,,93,94
316,4,11:31.0,R. Holmes makes 2-pt dunk from 1 ft (assist by D. Booker),,95,94
317,4,11:18.0,,S. Harrison makes 2-pt layup from 2 ft (assist by Z. LaVine),95,96
318,4,11:18.0,,Shooting foul by D. Booker (drawn by S. Harrison),95,96
319,4,11:18.0,,S. Harrison makes free throw 1 of 1,95,97
320,4,10:54.0,J. Crawford makes 2-pt jump shot from 15 ft,,97,97
321,4,10:31.0,,Z. LaVine misses 2-pt jump shot from 21 ft,97,97
322,4,10:28.0,Defensive rebound by T. Ariza,,97,97
323,4,10:16.0,T. Ariza misses 3-pt jump shot from 25 ft,,97,97
324,4,10:13.0,,Defensive rebound by S. Harrison,97,97
325,4,9:58.0,,A. Blakeney misses 2-pt jump shot from 19 ft (block by R. Holmes),97,97
326,4,9:54.0,,Offensive rebound by S. Harrison,97,97
327,4,9:52.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by S. Harrison),97,99
328,4,9:29.0,J. Crawford misses 2-pt jump shot from 21 ft,,97,99
329,4,9:26.0,,Defensive rebound by S. Harrison,97,99
330,4,9:09.0,,S. Harrison makes 2-pt layup from 2 ft (assist by J. Parker),97,101
331,4,8:55.0,Turnover by D. Booker (bad pass; steal by S. Harrison),,97,101
332,4,8:51.0,,A. Blakeney makes 2-pt layup from 1 ft (assist by J. Parker),97,103
333,4,8:51.0,Phoenix full timeout,,97,103
334,4,8:51.0,D. Ayton enters the game for R. Holmes,,97,103
335,4,8:35.0,D. Booker misses 3-pt jump shot from 26 ft (block by S. Harrison),,97,103
336,4,8:35.0,Offensive rebound by Team,,97,103
337,4,8:33.0,J. Crawford misses 3-pt jump shot from 26 ft,,97,103
338,4,8:28.0,,Defensive rebound by A. Blakeney,97,103
339,4,8:19.0,,J. Parker makes 2-pt dunk at rim,97,105
340,4,8:19.0,,Shooting foul by D. Booker (drawn by J. Parker),97,105
341,4,8:19.0,I. Canaan enters the game for D. Booker,,97,105
342,4,8:19.0,,J. Parker misses free throw 1 of 1,97,105
343,4,8:19.0,Defensive rebound by T. Ariza,,97,105
344,4,8:06.0,I. Canaan misses 3-pt jump shot from 26 ft,,97,105
345,4,8:02.0,,Defensive rebound by Z. LaVine,97,105
346,4,8:00.0,,Offensive foul by C. Felício (drawn by I. Canaan),97,105
347,4,8:00.0,,Turnover by C. Felício (offensive foul),97,105
348,4,7:43.0,I. Canaan misses 2-pt layup from 2 ft,,97,105
349,4,7:41.0,,Defensive rebound by C. Felício,97,105
350,4,7:27.0,,A. Blakeney makes 2-pt jump shot from 19 ft,97,107
351,4,7:04.0,D. Ayton makes 2-pt hook shot from 3 ft (assist by J. Crawford),,99,107
352,4,6:40.0,,S. Harrison misses 3-pt jump shot from 26 ft,99,107
353,4,6:34.0,,Offensive rebound by J. Parker,99,107
354,4,6:28.0,,A. Blakeney misses 3-pt jump shot from 25 ft,99,107
355,4,6:25.0,Defensive rebound by D. Ayton,,99,107
356,4,6:16.0,J. Crawford makes 2-pt jump shot from 8 ft,,101,107
357,4,6:05.0,,Z. LaVine makes 2-pt layup from 1 ft,101,109
358,4,5:40.0,J. Crawford makes 3-pt jump shot from 24 ft (assist by D. Ayton),,104,109
359,4,5:24.0,,C. Felício makes 2-pt hook shot from 2 ft (assist by Z. LaVine),104,111
360,4,5:04.0,J. Crawford makes 2-pt jump shot from 13 ft (assist by I. Canaan),,106,111
361,4,4:56.0,,Personal foul by M. Bridges (drawn by Z. LaVine),106,111
362,4,4:56.0,T. Warren enters the game for M. Bridges,,106,111
363,4,4:56.0,,W. Carter enters the game for A. Blakeney,106,111
364,4,4:56.0,,J. Holiday enters the game for C. Felício,106,111
365,4,4:47.0,,Offensive foul by W. Carter (drawn by T. Ariza),106,111
366,4,4:47.0,,Turnover by W. Carter (offensive foul),106,111
367,4,4:35.0,T. Warren makes 2-pt jump shot from 7 ft (assist by I. Canaan),,108,111
368,4,4:34.0,,Chicago full timeout,108,111
369,4,4:34.0,,R. Arcidiacono enters the game for S. Harrison,108,111
370,4,4:22.0,,Shooting foul by T. Ariza (drawn by Z. LaVine),108,111
371,4,4:22.0,,Offensive rebound by Team,108,111
372,4,4:22.0,,Z. LaVine misses free throw 1 of 2,108,111
373,4,4:22.0,,Z. LaVine makes free throw 2 of 2,108,112
374,4,4:08.0,Turnover by I. Canaan (bad pass),,108,112
375,4,4:01.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by W. Carter),108,115
376,4,3:43.0,Turnover by T. Warren (bad pass; steal by J. Parker),,108,115
377,4,3:29.0,,Z. LaVine makes 2-pt jump shot from 13 ft,108,117
