,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,UTAH_ACTION,WASHINGTON_SCORE,UTAH_SCORE
382,4,6:26.0,,R. Gobert makes free throw 1 of 2,102,107
383,4,6:26.0,,R. Gobert makes free throw 2 of 2,102,108
384,4,6:13.0,Personal foul by R. Gobert (drawn by B. Beal),,102,108
385,4,6:13.0,B. Beal misses free throw 1 of 2,,102,108
386,4,6:13.0,Offensive rebound by Team,,102,108
387,4,6:13.0,B. Beal makes free throw 2 of 2,,103,108
388,4,6:01.0,,D. Mitchell misses 2-pt jump shot from 9 ft,103,108
389,4,5:59.0,Defensive rebound by B. Portis,,103,108
390,4,5:54.0,B. Portis makes 3-pt jump shot from 25 ft (assist by B. Beal),,106,108
391,4,5:52.0,,Utah full timeout,106,108
392,4,5:52.0,,J. Ingles enters the game for R. O'Neale,106,108
393,4,5:37.0,,Shooting foul by J. Parker (drawn by J. Crowder),106,108
394,4,5:37.0,,J. Crowder makes free throw 1 of 2,106,109
395,4,5:37.0,,J. Crowder makes free throw 2 of 2,106,110
396,4,5:15.0,J. McRae makes 2-pt jump shot from 21 ft,,108,110
397,4,5:02.0,,D. Mitchell misses 2-pt jump shot from 21 ft,108,110
398,4,4:58.0,Defensive rebound by J. McRae,,108,110
399,4,4:41.0,B. Portis makes 2-pt hook shot from 8 ft,,110,110
400,4,4:24.0,,Shooting foul by B. Beal (drawn by D. Mitchell),110,110
401,4,4:24.0,,D. Mitchell makes free throw 1 of 2,110,111
402,4,4:24.0,,D. Mitchell makes free throw 2 of 2,110,112
403,4,4:13.0,B. Portis misses 3-pt jump shot from 26 ft,,110,112
404,4,4:09.0,,Defensive rebound by D. Mitchell,110,112
405,4,4:05.0,,R. Rubio misses 3-pt jump shot from 24 ft,110,112
406,4,4:01.0,Defensive rebound by J. McRae,,110,112
407,4,3:58.0,T. Brown makes 2-pt layup from 2 ft (assist by J. McRae),,112,112
408,4,3:58.0,Shooting foul by R. Rubio (drawn by T. Brown),,112,112
409,4,3:58.0,T. Brown misses free throw 1 of 1,,112,112
410,4,3:57.0,,Defensive rebound by R. Gobert,112,112
411,4,3:40.0,,D. Mitchell makes 2-pt layup from 2 ft,112,114
412,4,3:25.0,T. Brown makes 2-pt jump shot from 20 ft (assist by B. Beal),,114,114
413,4,3:07.0,,Turnover by D. Mitchell (bad pass; steal by T. Brown),114,114
414,4,3:03.0,B. Beal makes 2-pt dunk from 3 ft (assist by T. Brown),,116,114
415,4,2:40.0,,Turnover by R. Gobert (lost ball; steal by T. Brown),116,114
416,4,2:32.0,Offensive foul by J. Parker (drawn by D. Mitchell),,116,114
417,4,2:32.0,Turnover by J. Parker (offensive foul),,116,114
418,4,2:20.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),116,116
419,4,2:20.0,,Shooting foul by J. McRae (drawn by R. Gobert),116,116
420,4,2:20.0,,R. Gobert makes free throw 1 of 1,116,117
421,4,2:03.0,B. Beal misses 2-pt layup from 4 ft,,116,117
422,4,2:01.0,,Defensive rebound by J. Ingles,116,117
423,4,1:56.0,,R. Rubio makes 3-pt jump shot from 23 ft (assist by D. Mitchell),116,120
424,4,1:42.0,Personal foul by R. Rubio (drawn by J. McRae),,116,120
425,4,1:42.0,J. McRae makes free throw 1 of 2,,117,120
426,4,1:42.0,J. McRae makes free throw 2 of 2,,118,120
427,4,1:32.0,,Offensive foul by R. Gobert (drawn by J. McRae),118,120
428,4,1:32.0,,Turnover by R. Gobert (offensive foul),118,120
429,4,1:21.0,B. Portis misses 3-pt jump shot from 26 ft,,118,120
430,4,1:18.0,,Defensive rebound by D. Mitchell,118,120
431,4,1:04.0,,D. Mitchell makes 2-pt jump shot from 13 ft,118,122
432,4,0:56.0,Offensive foul by B. Portis (drawn by J. Ingles),,118,122
433,4,0:56.0,Turnover by B. Portis (offensive foul),,118,122
434,4,0:43.0,,R. Rubio misses 3-pt jump shot from 23 ft,118,122
435,4,0:40.0,Defensive rebound by B. Portis,,118,122
436,4,0:32.0,B. Beal misses 3-pt jump shot from 25 ft,,118,122
437,4,0:28.0,,Defensive rebound by R. Gobert,118,122
438,4,0:28.0,,Personal take foul by J. Parker (drawn by R. Gobert),118,122
439,4,0:28.0,,R. Gobert makes free throw 1 of 2,118,123
440,4,0:28.0,,R. Gobert makes free throw 2 of 2,118,124
441,4,0:26.0,J. McRae misses 3-pt jump shot from 26 ft,,118,124
442,4,0:21.0,Offensive rebound by B. Beal,,118,124
443,4,0:16.0,T. Brown makes 3-pt jump shot from 25 ft (assist by B. Beal),,121,124
444,4,0:15.0,,Utah full timeout,121,124
445,4,0:15.0,T. Satoranský enters the game for B. Portis,,121,124
446,4,0:12.0,,Personal foul by T. Brown (drawn by R. Rubio),121,124
447,4,0:12.0,,R. Rubio makes free throw 1 of 2,121,125
448,4,0:12.0,B. Portis enters the game for T. Satoranský,,121,125
449,4,0:12.0,,R. Rubio makes free throw 2 of 2,121,126
450,4,0:12.0,Washington full timeout,,121,126
451,4,0:12.0,T. Satoranský enters the game for T. Brown,,121,126
452,4,0:09.0,J. Parker makes 3-pt jump shot from 23 ft (assist by B. Portis),,124,126
453,4,0:08.0,,Personal take foul by J. Parker (drawn by D. Mitchell),124,126
454,4,0:08.0,T. Bryant enters the game for J. Parker,,124,126
455,4,0:08.0,,D. Mitchell makes free throw 1 of 2,124,127
456,4,0:08.0,,D. Mitchell makes free throw 2 of 2,124,128
457,4,0:03.0,J. McRae misses 3-pt jump shot from 25 ft (block by R. Gobert),,124,128
458,4,0:03.0,Offensive rebound by Team,,124,128
459,4,0:01.0,B. Portis misses 3-pt jump shot from 23 ft,,124,128
460,4,0:01.0,,Defensive rebound by D. Mitchell,124,128
