,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DENVER_ACTION,BROOKLYN_SCORE,DENVER_SCORE
109,2,9:05.0,Defensive rebound by S. Dinwiddie,,42,28
110,2,8:55.0,D. Carroll misses 3-pt jump shot from 25 ft,,42,28
111,2,8:54.0,Offensive rebound by S. Dinwiddie,,42,28
112,2,8:51.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,42,28
113,2,8:48.0,,Defensive rebound by M. Plumlee,42,28
114,2,8:34.0,,M. Morris makes 3-pt jump shot from 22 ft (assist by M. Plumlee),42,31
115,2,8:22.0,Personal foul by M. Plumlee (drawn by J. Harris),,42,31
116,2,8:22.0,J. Dudley enters the game for D. Carroll,,42,31
117,2,8:17.0,A. Crabbe misses 3-pt jump shot from 25 ft,,42,31
118,2,8:14.0,,Defensive rebound by T. Lyles,42,31
119,2,8:05.0,,M. Morris misses 2-pt layup from 2 ft,42,31
120,2,8:05.0,Defensive rebound by Team,,42,31
121,2,8:05.0,,Loose ball foul by M. Plumlee (drawn by E. Davis),42,31
122,2,7:47.0,Turnover by J. Dudley (bad pass; steal by M. Morris),,42,31
123,2,7:41.0,,J. Murray misses 2-pt jump shot from 20 ft,42,31
124,2,7:35.0,Defensive rebound by E. Davis,,42,31
125,2,7:31.0,S. Dinwiddie misses 3-pt jump shot from 28 ft,,42,31
126,2,7:28.0,,Defensive rebound by M. Morris,42,31
127,2,7:14.0,,M. Morris misses 3-pt jump shot from 25 ft,42,31
128,2,7:11.0,Defensive rebound by E. Davis,,42,31
129,2,6:54.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,42,31
130,2,6:51.0,,Defensive rebound by M. Morris,42,31
131,2,6:41.0,,T. Lyles makes 2-pt hook shot from 6 ft,42,33
132,2,6:23.0,Shooting foul by M. Plumlee (drawn by J. Dudley),,42,33
133,2,6:23.0,J. Dudley misses free throw 1 of 2,,42,33
134,2,6:23.0,Offensive rebound by Team,,42,33
135,2,6:23.0,J. Allen enters the game for A. Crabbe,,42,33
136,2,6:23.0,C. LeVert enters the game for E. Davis,,42,33
137,2,6:23.0,D. Russell enters the game for S. Dinwiddie,,42,33
138,2,6:23.0,,G. Harris enters the game for T. Lyles,42,33
139,2,6:23.0,,N. Jokić enters the game for J. Murray,42,33
140,2,6:23.0,,P. Millsap enters the game for M. Plumlee,42,33
141,2,6:23.0,J. Dudley makes free throw 2 of 2,,43,33
142,2,6:04.0,,G. Harris misses 2-pt jump shot from 13 ft,43,33
143,2,6:01.0,Defensive rebound by D. Russell,,43,33
144,2,5:51.0,J. Allen makes 2-pt layup from 1 ft (assist by D. Russell),,45,33
145,2,5:41.0,,G. Harris misses 3-pt jump shot from 24 ft,45,33
146,2,5:40.0,,Offensive rebound by P. Millsap,45,33
147,2,5:37.0,,Turnover by P. Millsap (lost ball; steal by J. Allen),45,33
148,2,5:29.0,J. Dudley misses 3-pt jump shot from 24 ft,,45,33
149,2,5:27.0,,Defensive rebound by J. Hernangómez,45,33
150,2,5:16.0,,J. Hernangómez misses 3-pt jump shot from 24 ft,45,33
151,2,5:14.0,,Offensive rebound by P. Millsap,45,33
152,2,5:12.0,,M. Morris misses 2-pt jump shot from 8 ft,45,33
153,2,5:08.0,,Offensive rebound by N. Jokić,45,33
154,2,5:08.0,,N. Jokić makes 2-pt layup at rim,45,35
155,2,4:58.0,Personal foul by J. Hernangómez (drawn by J. Dudley),,45,35
156,2,4:58.0,,M. Beasley enters the game for J. Hernangómez,45,35
157,2,4:52.0,J. Allen misses 2-pt dunk from 3 ft,,45,35
158,2,4:50.0,,Defensive rebound by M. Beasley,45,35
159,2,4:39.0,,P. Millsap makes 2-pt jump shot from 9 ft,45,37
160,2,4:26.0,C. LeVert makes 2-pt layup from 2 ft (assist by D. Russell),,47,37
161,2,4:26.0,Shooting foul by N. Jokić (drawn by C. LeVert),,47,37
162,2,4:26.0,,J. Murray enters the game for M. Morris,47,37
163,2,4:26.0,C. LeVert misses free throw 1 of 1,,47,37
164,2,4:26.0,,Defensive rebound by N. Jokić,47,37
165,2,4:12.0,,N. Jokić misses 2-pt hook shot from 4 ft,47,37
166,2,4:10.0,Defensive rebound by J. Allen,,47,37
167,2,4:09.0,Personal foul by G. Harris (drawn by C. LeVert),,47,37
168,2,4:09.0,,Technical foul by N. Jokić,47,37
169,2,4:09.0,D. Russell makes technical free throw,,48,37
170,2,4:09.0,C. LeVert misses free throw 1 of 2,,48,37
171,2,4:09.0,Offensive rebound by Team,,48,37
172,2,4:09.0,R. Hollis-Jefferson enters the game for J. Dudley,,48,37
173,2,4:09.0,C. LeVert makes free throw 2 of 2,,49,37
174,2,3:55.0,,Shooting foul by J. Allen (drawn by N. Jokić),49,37
175,2,3:55.0,,N. Jokić makes free throw 1 of 2,49,38
176,2,3:55.0,,N. Jokić misses free throw 2 of 2,49,38
177,2,3:53.0,Defensive rebound by J. Harris,,49,38
178,2,3:45.0,Turnover by D. Russell (traveling),,49,38
179,2,3:35.0,,G. Harris misses 2-pt jump shot from 2 ft,49,38
180,2,3:35.0,,Offensive rebound by N. Jokić,49,38
181,2,3:35.0,,N. Jokić makes 2-pt layup from 2 ft,49,40
182,2,3:35.0,Brooklyn full timeout,,49,40
183,2,3:25.0,D. Russell misses 2-pt layup from 4 ft,,49,40
184,2,3:23.0,,Defensive rebound by N. Jokić,49,40
185,2,3:19.0,,P. Millsap misses 2-pt layup from 3 ft (block by J. Allen),49,40
186,2,3:18.0,Defensive rebound by Team,,49,40
187,2,3:18.0,S. Dinwiddie enters the game for J. Harris,,49,40
188,2,2:59.0,J. Allen makes 2-pt dunk at rim (assist by D. Russell),,51,40
189,2,2:38.0,,N. Jokić misses 2-pt layup from 1 ft (block by J. Allen),51,40
190,2,2:33.0,,Offensive rebound by N. Jokić,51,40
191,2,2:33.0,,N. Jokić makes 2-pt layup from 1 ft,51,42
192,2,2:23.0,D. Russell misses 2-pt layup from 2 ft,,51,42
193,2,2:22.0,,Defensive rebound by P. Millsap,51,42
194,2,2:13.0,,G. Harris misses 2-pt layup from 4 ft (block by R. Hollis-Jefferson),51,42
195,2,2:10.0,Defensive rebound by S. Dinwiddie,,51,42
196,2,2:03.0,C. LeVert misses 3-pt jump shot from 23 ft,,51,42
197,2,2:00.0,,Defensive rebound by N. Jokić,51,42
198,2,1:49.0,,J. Murray misses 2-pt layup from 3 ft (block by S. Dinwiddie),51,42
199,2,1:46.0,,Offensive rebound by J. Murray,51,42
200,2,1:39.0,,N. Jokić makes 2-pt hook shot from 2 ft,51,44
201,2,1:16.0,R. Hollis-Jefferson misses 2-pt layup from 4 ft (block by P. Millsap),,51,44
202,2,1:13.0,,Defensive rebound by M. Beasley,51,44
203,2,1:09.0,,G. Harris misses 2-pt layup from 4 ft (block by C. LeVert),51,44
204,2,1:06.0,,Offensive rebound by G. Harris,51,44
205,2,1:03.0,,M. Beasley makes 3-pt jump shot from 24 ft (assist by G. Harris),51,47
206,2,0:44.0,J. Allen makes 2-pt layup from 2 ft (assist by C. LeVert),,53,47
207,2,0:27.0,,J. Murray misses 2-pt layup from 2 ft (block by J. Allen),53,47
208,2,0:24.0,Defensive rebound by D. Russell,,53,47
209,2,0:23.0,Shooting foul by P. Millsap (drawn by D. Russell),,53,47
210,2,0:23.0,D. Russell makes free throw 1 of 2,,54,47
211,2,0:23.0,D. Russell makes free throw 2 of 2,,55,47
212,2,0:02.0,,N. Jokić misses 2-pt layup from 4 ft (block by J. Allen),55,47
213,2,0:02.0,,Offensive rebound by G. Harris,55,47
214,2,0:00.0,,G. Harris misses 3-pt jump shot from 25 ft,55,47
215,2,0:00.0,,Offensive rebound by Team,55,47
216,3,11:41.0,,T. Craig misses 3-pt jump shot from 23 ft,55,47
217,3,11:38.0,Defensive rebound by C. LeVert,,55,47
218,3,11:32.0,D. Russell makes 2-pt layup from 4 ft,,57,47
219,3,11:16.0,,Shooting foul by J. Dudley (drawn by P. Millsap),57,47
220,3,11:16.0,,P. Millsap misses free throw 1 of 2,57,47
221,3,11:16.0,,Offensive rebound by Team,57,47
222,3,11:16.0,,P. Millsap misses free throw 2 of 2,57,47
223,3,11:13.0,Defensive rebound by J. Dudley,,57,47
224,3,11:00.0,C. LeVert misses 2-pt layup from 6 ft (block by N. Jokić),,57,47
225,3,10:57.0,,Defensive rebound by T. Craig,57,47
226,3,10:53.0,,P. Millsap misses 2-pt layup from 3 ft (block by J. Dudley),57,47
227,3,10:49.0,Defensive rebound by J. Harris,,57,47
228,3,10:48.0,D. Russell misses 3-pt jump shot from 24 ft,,57,47
229,3,10:45.0,,Defensive rebound by Team,57,47
230,3,10:22.0,,T. Craig misses 3-pt jump shot from 23 ft,57,47
231,3,10:15.0,Defensive rebound by D. Russell,,57,47
232,3,10:15.0,J. Harris misses 2-pt layup from 2 ft (block by G. Harris),,57,47
233,3,10:15.0,Offensive rebound by Team,,57,47
234,3,10:06.0,Personal foul by T. Craig (drawn by C. LeVert),,57,47
235,3,10:01.0,Turnover by J. Harris (out of bounds lost ball),,57,47
236,3,9:52.0,,N. Jokić misses 2-pt layup from 3 ft (block by J. Allen),57,47
237,3,9:49.0,,Offensive rebound by P. Millsap,57,47
238,3,9:40.0,,N. Jokić makes 2-pt jump shot from 22 ft (assist by G. Harris),57,49
239,3,9:28.0,Shooting foul by T. Craig (drawn by C. LeVert),,57,49
240,3,9:28.0,C. LeVert makes free throw 1 of 2,,58,49
241,3,9:28.0,C. LeVert makes free throw 2 of 2,,59,49
242,3,9:11.0,,T. Craig misses 2-pt layup from 3 ft,59,49
243,3,9:10.0,,Offensive rebound by N. Jokić,59,49
244,3,9:08.0,,P. Millsap misses 3-pt jump shot from 25 ft,59,49
245,3,9:03.0,Defensive rebound by J. Allen,,59,49
246,3,8:56.0,D. Russell misses 2-pt jump shot from 11 ft,,59,49
247,3,8:53.0,Offensive rebound by J. Allen,,59,49
248,3,8:51.0,D. Russell misses 2-pt layup from 2 ft,,59,49
249,3,8:49.0,,Defensive rebound by N. Jokić,59,49
250,3,8:37.0,,P. Millsap makes 2-pt jump shot from 12 ft,59,51
251,3,8:13.0,J. Allen misses 2-pt jump shot from 13 ft,,59,51
252,3,8:11.0,Offensive rebound by J. Dudley,,59,51
253,3,8:11.0,J. Dudley misses 2-pt layup from 4 ft,,59,51
254,3,8:10.0,,Defensive rebound by N. Jokić,59,51
255,3,8:03.0,,G. Harris misses 3-pt jump shot from 24 ft,59,51
256,3,8:02.0,Defensive rebound by D. Russell,,59,51
257,3,8:02.0,,M. Beasley enters the game for T. Craig,59,51
258,3,8:02.0,,Technical foul by K. Atkinson,59,51
259,3,8:02.0,,J. Murray makes technical free throw,59,52
260,3,7:46.0,J. Allen misses 2-pt dunk from 2 ft,,59,52
261,3,7:44.0,,Defensive rebound by P. Millsap,59,52
262,3,7:39.0,,N. Jokić makes 2-pt layup from 2 ft (assist by M. Beasley),59,54
263,3,7:33.0,Brooklyn full timeout,,59,54
264,3,7:27.0,C. LeVert misses 2-pt layup from 2 ft,,59,54
265,3,7:27.0,,Defensive rebound by N. Jokić,59,54
266,3,7:27.0,Technical foul by C. LeVert,,59,54
267,3,7:27.0,,J. Murray makes technical free throw,59,55
268,3,7:07.0,,J. Murray makes 2-pt jump shot from 11 ft (assist by N. Jokić),59,57
269,3,6:52.0,J. Dudley misses 3-pt jump shot from 24 ft,,59,57
270,3,6:51.0,Offensive rebound by Team,,59,57
271,3,6:51.0,,Loose ball foul by N. Jokić (drawn by J. Allen),59,57
272,3,6:51.0,A. Crabbe enters the game for J. Harris,,59,57
273,3,6:45.0,Shooting foul by P. Millsap (drawn by C. LeVert),,59,57
274,3,6:45.0,C. LeVert misses free throw 1 of 2,,59,57
275,3,6:45.0,Offensive rebound by Team,,59,57
276,3,6:45.0,C. LeVert makes free throw 2 of 2,,60,57
277,3,6:24.0,,G. Harris makes 2-pt layup from 3 ft (assist by N. Jokić),60,59
278,3,6:10.0,Shooting foul by J. Murray (drawn by D. Russell),,60,59
279,3,6:10.0,D. Russell makes free throw 1 of 2,,61,59
280,3,6:10.0,D. Russell makes free throw 2 of 2,,62,59
281,3,6:00.0,,N. Jokić makes 2-pt jump shot from 11 ft (assist by J. Murray),62,61
282,3,5:53.0,Personal foul by G. Harris (drawn by J. Allen),,62,61
283,3,5:53.0,J. Allen makes free throw 1 of 2,,63,61
284,3,5:53.0,J. Allen makes free throw 2 of 2,,64,61
285,3,5:37.0,,J. Murray makes 2-pt jump shot from 20 ft,64,63
286,3,5:27.0,Personal foul by G. Harris (drawn by J. Allen),,64,63
287,3,5:27.0,J. Allen makes free throw 1 of 2,,65,63
288,3,5:27.0,S. Dinwiddie enters the game for J. Dudley,,65,63
289,3,5:27.0,R. Hollis-Jefferson enters the game for D. Russell,,65,63
290,3,5:27.0,J. Allen misses free throw 2 of 2,,65,63
291,3,5:25.0,,Defensive rebound by N. Jokić,65,63
292,3,5:15.0,,Shooting foul by S. Dinwiddie (drawn by J. Murray),65,63
293,3,5:15.0,,J. Murray makes free throw 1 of 2,65,64
294,3,5:15.0,E. Davis enters the game for J. Allen,,65,64
295,3,5:15.0,,J. Murray makes free throw 2 of 2,65,65
296,3,5:06.0,C. LeVert misses 3-pt jump shot from 25 ft,,65,65
297,3,5:03.0,,Defensive rebound by P. Millsap,65,65
298,3,4:56.0,,J. Murray misses 3-pt jump shot from 25 ft,65,65
299,3,4:53.0,Defensive rebound by E. Davis,,65,65
300,3,4:33.0,R. Hollis-Jefferson misses 3-pt jump shot from 24 ft,,65,65
301,3,4:30.0,Offensive rebound by R. Hollis-Jefferson,,65,65
302,3,4:28.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft,,67,65
303,3,4:12.0,,Shooting foul by R. Hollis-Jefferson (drawn by P. Millsap),67,65
304,3,4:12.0,,P. Millsap misses free throw 1 of 2,67,65
305,3,4:12.0,,Offensive rebound by Team,67,65
306,3,4:12.0,,M. Morris enters the game for G. Harris,67,65
307,3,4:12.0,,P. Millsap makes free throw 2 of 2,67,66
308,3,3:56.0,S. Dinwiddie misses 2-pt jump shot from 15 ft,,67,66
309,3,3:54.0,Loose ball foul by E. Davis (drawn by N. Jokić),,67,66
310,3,3:54.0,,Defensive rebound by Team,67,66
311,3,3:54.0,,T. Lyles enters the game for P. Millsap,67,66
312,3,3:37.0,,N. Jokić misses 2-pt hook shot from 4 ft,67,66
313,3,3:34.0,,Offensive rebound by N. Jokić,67,66
314,3,3:34.0,,N. Jokić makes 2-pt layup from 1 ft,67,68
315,3,3:26.0,A. Crabbe misses 2-pt jump shot from 21 ft,,67,68
316,3,3:22.0,Offensive rebound by Team,,67,68
317,3,3:22.0,D. Carroll enters the game for C. LeVert,,67,68
318,3,3:14.0,Shooting foul by J. Murray (drawn by D. Carroll),,67,68
319,3,3:14.0,D. Carroll makes free throw 1 of 2,,68,68
320,3,3:14.0,D. Carroll makes free throw 2 of 2,,69,68
321,3,2:58.0,,Personal foul by E. Davis (drawn by N. Jokić),69,68
322,3,2:58.0,,Denver full timeout,69,68
323,3,2:58.0,,N. Jokić makes free throw 1 of 2,69,69
324,3,2:58.0,,N. Jokić makes free throw 2 of 2,69,70
325,3,2:44.0,R. Hollis-Jefferson misses 2-pt layup from 4 ft,,69,70
326,3,2:41.0,Offensive rebound by E. Davis,,69,70
327,3,2:39.0,D. Carroll misses 3-pt jump shot from 23 ft,,69,70
328,3,2:35.0,,Defensive rebound by M. Morris,69,70
329,3,2:27.0,,N. Jokić makes 2-pt dunk at rim (assist by M. Morris),69,72
330,3,2:08.0,S. Dinwiddie makes 2-pt layup from 2 ft,,71,72
331,3,1:46.0,,Personal foul by E. Davis (drawn by N. Jokić),71,72
332,3,1:46.0,,N. Jokić makes free throw 1 of 2,71,73
333,3,1:46.0,,N. Jokić makes free throw 2 of 2,71,74
334,3,1:38.0,Shooting foul by N. Jokić (drawn by S. Dinwiddie),,71,74
335,3,1:38.0,S. Dinwiddie misses free throw 1 of 2,,71,74
336,3,1:38.0,Offensive rebound by Team,,71,74
337,3,1:38.0,,M. Plumlee enters the game for N. Jokić,71,74
338,3,1:38.0,S. Dinwiddie makes free throw 2 of 2,,72,74
339,3,1:13.0,,M. Beasley misses 2-pt layup from 2 ft,72,74
340,3,1:09.0,Defensive rebound by D. Carroll,,72,74
341,3,1:06.0,S. Dinwiddie misses 2-pt jump shot from 12 ft,,72,74
342,3,1:02.0,Offensive rebound by R. Hollis-Jefferson,,72,74
343,3,1:00.0,Shooting foul by M. Plumlee (drawn by R. Hollis-Jefferson),,72,74
344,3,1:00.0,R. Hollis-Jefferson makes free throw 1 of 2,,73,74
345,3,1:00.0,R. Hollis-Jefferson makes free throw 2 of 2,,74,74
346,3,0:49.0,,J. Murray misses 2-pt jump shot from 10 ft,74,74
347,3,0:46.0,Defensive rebound by S. Dinwiddie,,74,74
348,3,0:42.0,D. Carroll makes 3-pt jump shot from 22 ft (assist by S. Dinwiddie),,77,74
349,3,0:30.0,,T. Lyles misses 2-pt layup from 4 ft,77,74
350,3,0:28.0,Defensive rebound by E. Davis,,77,74
351,3,0:10.0,Shooting foul by M. Beasley (drawn by D. Carroll),,77,74
352,3,0:10.0,D. Carroll makes free throw 1 of 2,,78,74
353,3,0:10.0,J. Allen enters the game for E. Davis,,78,74
354,3,0:10.0,D. Carroll makes free throw 2 of 2,,79,74
355,3,0:04.0,,M. Morris makes 2-pt jump shot from 20 ft,79,76
356,3,0:00.0,S. Dinwiddie makes 3-pt jump shot from 48 ft,,82,76
357,4,11:45.0,A. Crabbe misses 3-pt jump shot from 24 ft,,82,76
358,4,11:41.0,,Defensive rebound by M. Morris,82,76
359,4,11:26.0,,M. Morris makes 2-pt jump shot from 18 ft,82,78
360,4,11:02.0,J. Harris misses 2-pt jump shot from 8 ft,,82,78
361,4,11:02.0,,Defensive rebound by Team,82,78
362,4,11:02.0,Loose ball foul by E. Davis (drawn by M. Plumlee),,82,78
363,4,10:49.0,,Shooting foul by E. Davis (drawn by M. Plumlee),82,78
364,4,10:49.0,J. Allen enters the game for E. Davis,,82,78
365,4,10:49.0,,M. Plumlee makes free throw 1 of 2,82,79
366,4,10:49.0,,M. Plumlee misses free throw 2 of 2,82,79
367,4,10:47.0,Defensive rebound by D. Carroll,,82,79
368,4,10:31.0,J. Allen makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),,84,79
369,4,10:16.0,,M. Plumlee misses 2-pt hook shot from 5 ft,84,79
370,4,10:14.0,Defensive rebound by J. Allen,,84,79
371,4,10:07.0,Personal foul by J. Murray (drawn by J. Allen),,84,79
372,4,9:57.0,Turnover by D. Carroll (bad pass; steal by J. Murray),,84,79
373,4,9:52.0,,Shooting foul by J. Harris (drawn by T. Lyles),84,79
374,4,9:52.0,,T. Lyles makes free throw 1 of 2,84,80
375,4,9:52.0,,T. Lyles makes free throw 2 of 2,84,81
376,4,9:42.0,Turnover by J. Harris (out of bounds lost ball),,84,81
377,4,9:28.0,,M. Morris makes 2-pt jump shot from 8 ft (assist by M. Plumlee),84,83
378,4,9:14.0,J. Allen misses 2-pt layup from 3 ft (block by T. Lyles),,84,83
379,4,9:10.0,Offensive rebound by S. Dinwiddie,,84,83
380,4,9:10.0,S. Dinwiddie misses 2-pt layup from 2 ft,,84,83
381,4,9:10.0,,Defensive rebound by T. Lyles,84,83
382,4,9:05.0,,Shooting foul by S. Dinwiddie (drawn by M. Plumlee),84,83
383,4,9:05.0,,M. Plumlee misses free throw 1 of 2,84,83
384,4,9:05.0,,Offensive rebound by Team,84,83
