,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MINNESOTA_ACTION,LA CLIPPERS_SCORE,MINNESOTA_SCORE
377,4,9:06.0,,Defensive rebound by K. Bates-Diop,102,93
378,4,8:57.0,,A. Tolliver misses 3-pt jump shot from 25 ft,102,93
379,4,8:52.0,Defensive rebound by M. Harrell,,102,93
380,4,8:43.0,T. Wallace misses 3-pt jump shot from 25 ft,,102,93
381,4,8:39.0,,Defensive rebound by J. Bayless,102,93
382,4,8:27.0,,J. Bayless misses 3-pt jump shot from 26 ft,102,93
383,4,8:23.0,Defensive rebound by W. Chandler,,102,93
384,4,8:12.0,T. Wallace makes 2-pt dunk from 1 ft (assist by M. Harrell),,104,93
385,4,8:11.0,,Minnesota full timeout,104,93
386,4,8:11.0,S. Gilgeous-Alexander enters the game for W. Chandler,,104,93
387,4,8:11.0,G. Temple enters the game for T. Wallace,,104,93
388,4,7:57.0,,A. Wiggins makes 2-pt layup from 2 ft,104,95
389,4,7:46.0,,Violation by Team (kicked ball),104,95
390,4,7:46.0,,T. Jones enters the game for J. Bayless,104,95
391,4,7:46.0,,K. Towns enters the game for G. Dieng,104,95
392,4,7:34.0,Personal foul by A. Tolliver (drawn by J. Green),,104,95
393,4,7:34.0,D. Gallinari enters the game for J. Green,,104,95
394,4,7:28.0,L. Williams misses 2-pt layup from 3 ft,,104,95
395,4,7:24.0,,Defensive rebound by A. Tolliver,104,95
396,4,7:19.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by T. Jones),104,98
397,4,6:58.0,Turnover by M. Harrell (lost ball; steal by A. Wiggins),,104,98
398,4,6:56.0,,Personal take foul by L. Williams (drawn by A. Wiggins),104,98
399,4,6:50.0,,A. Wiggins misses 2-pt layup from 2 ft,104,98
400,4,6:48.0,,Offensive rebound by K. Towns,104,98
401,4,6:48.0,,K. Towns misses 2-pt layup from 5 ft,104,98
402,4,6:47.0,Defensive rebound by M. Harrell,,104,98
403,4,6:34.0,M. Harrell makes 2-pt dunk at rim (assist by L. Williams),,106,98
404,4,6:05.0,,K. Bates-Diop misses 3-pt jump shot from 22 ft,106,98
405,4,6:03.0,Defensive rebound by D. Gallinari,,106,98
406,4,5:43.0,M. Harrell makes 2-pt layup from 2 ft (assist by D. Gallinari),,108,98
407,4,5:42.0,,Minnesota full timeout,108,98
408,4,5:42.0,,J. Okogie enters the game for K. Bates-Diop,108,98
409,4,5:42.0,,D. Šarić enters the game for A. Tolliver,108,98
410,4,5:27.0,,K. Towns misses 2-pt jump shot from 1 ft,108,98
411,4,5:25.0,Defensive rebound by D. Gallinari,,108,98
412,4,5:09.0,D. Gallinari misses 2-pt layup from 3 ft,,108,98
413,4,5:04.0,,Defensive rebound by A. Wiggins,108,98
414,4,4:56.0,,A. Wiggins misses 2-pt layup from 6 ft (block by M. Harrell),108,98
415,4,4:52.0,Defensive rebound by S. Gilgeous-Alexander,,108,98
416,4,4:50.0,G. Temple makes 3-pt jump shot from 23 ft (assist by S. Gilgeous-Alexander),,111,98
417,4,4:35.0,,K. Towns misses 3-pt jump shot from 26 ft,111,98
418,4,4:35.0,Defensive rebound by S. Gilgeous-Alexander,,111,98
419,4,4:32.0,Personal take foul by K. Towns (drawn by S. Gilgeous-Alexander),,111,98
420,4,4:18.0,M. Harrell makes 2-pt layup from 3 ft (assist by L. Williams),,113,98
421,4,4:02.0,,T. Jones makes 2-pt jump shot from 14 ft,113,100
422,4,3:45.0,D. Gallinari makes 3-pt jump shot from 27 ft (assist by L. Williams),,116,100
423,4,3:29.0,,Turnover by K. Towns (lost ball; steal by G. Temple),116,100
424,4,3:23.0,M. Harrell makes 2-pt layup from 2 ft (assist by G. Temple),,118,100
425,4,3:22.0,,Minnesota full timeout,118,100
426,4,3:12.0,,A. Wiggins makes 2-pt layup from 1 ft,118,102
427,4,3:12.0,,Shooting foul by M. Harrell (drawn by A. Wiggins),118,102
428,4,3:12.0,,A. Wiggins misses free throw 1 of 1,118,102
429,4,3:09.0,,Offensive rebound by D. Šarić,118,102
430,4,3:06.0,,Turnover by K. Towns (off goaltending),118,102
431,4,2:53.0,L. Williams misses 2-pt jump shot from 3 ft,,118,102
432,4,2:50.0,,Defensive rebound by K. Towns,118,102
433,4,2:45.0,,Shooting foul by G. Temple (drawn by J. Okogie),118,102
434,4,2:45.0,,J. Okogie makes free throw 1 of 2,118,103
435,4,2:45.0,,J. Okogie misses free throw 2 of 2,118,103
436,4,2:43.0,Defensive rebound by M. Harrell,,118,103
437,4,2:27.0,M. Harrell makes 2-pt hook shot from 8 ft,,120,103
438,4,2:14.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by T. Jones),120,106
439,4,1:50.0,S. Gilgeous-Alexander makes 2-pt dunk from 1 ft (assist by D. Gallinari),,122,106
440,4,1:37.0,,Shooting foul by S. Gilgeous-Alexander (drawn by K. Towns),122,106
441,4,1:37.0,,K. Towns makes free throw 1 of 2,122,107
442,4,1:37.0,J. Motley enters the game for D. Gallinari,,122,107
443,4,1:37.0,J. Robinson enters the game for M. Harrell,,122,107
444,4,1:37.0,I. Zubac enters the game for L. Williams,,122,107
445,4,1:37.0,,C. Reynolds enters the game for T. Jones,122,107
446,4,1:37.0,,J. Terrell enters the game for J. Okogie,122,107
447,4,1:37.0,,A. Tolliver enters the game for D. Šarić,122,107
448,4,1:37.0,,C. Williams enters the game for A. Wiggins,122,107
449,4,1:37.0,,K. Towns makes free throw 2 of 2,122,108
450,4,1:22.0,J. Robinson misses 3-pt jump shot from 25 ft,,122,108
451,4,1:18.0,,Defensive rebound by A. Tolliver,122,108
452,4,1:07.0,,K. Towns makes 2-pt layup from 1 ft (assist by C. Reynolds),122,110
453,4,1:07.0,Personal take foul by J. Terrell (drawn by S. Gilgeous-Alexander),,122,110
454,4,1:07.0,,K. Bates-Diop enters the game for K. Towns,122,110
455,4,0:54.0,Turnover by J. Robinson (out of bounds lost ball),,122,110
456,4,0:44.0,,Personal foul by J. Motley (drawn by K. Bates-Diop),122,110
457,4,0:44.0,,K. Bates-Diop misses free throw 1 of 2,122,110
458,4,0:44.0,,Offensive rebound by Team,122,110
459,4,0:44.0,S. Thornwell enters the game for S. Gilgeous-Alexander,,122,110
460,4,0:44.0,T. Wallace enters the game for G. Temple,,122,110
461,4,0:44.0,,K. Bates-Diop makes free throw 2 of 2,122,111
462,4,0:37.0,Offensive foul by J. Motley (drawn by A. Tolliver),,122,111
463,4,0:37.0,Turnover by J. Motley (offensive foul),,122,111
464,4,0:27.0,,A. Tolliver misses 2-pt jump shot from 10 ft,122,111
465,4,0:25.0,,Offensive rebound by A. Tolliver,122,111
466,4,0:21.0,,C. Williams misses 3-pt jump shot from 27 ft,122,111
467,4,0:16.0,Defensive rebound by J. Robinson,,122,111
