,QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA CLIPPERS_ACTION,ORLANDO_SCORE,LA CLIPPERS_SCORE
34,1,7:03.0,D. Augustin misses 2-pt layup from 1 ft,,13,8
35,1,7:02.0,,Defensive rebound by M. Gortat,13,8
36,1,6:49.0,,T. Harris misses 2-pt jump shot from 15 ft,13,8
37,1,6:47.0,Defensive rebound by N. Vučević,,13,8
38,1,6:39.0,Offensive foul by A. Gordon (drawn by S. Gilgeous-Alexander),,13,8
39,1,6:39.0,Turnover by A. Gordon (offensive foul),,13,8
40,1,6:39.0,,LA Clippers full timeout,13,8
41,1,6:15.0,,D. Gallinari misses 3-pt jump shot from 26 ft,13,8
42,1,6:15.0,Defensive rebound by Team,,13,8
43,1,6:03.0,E. Fournier makes 2-pt jump shot from 7 ft (assist by N. Vučević),,15,8
44,1,5:47.0,,A. Bradley misses 2-pt jump shot from 6 ft,15,8
45,1,5:45.0,Defensive rebound by N. Vučević,,15,8
46,1,5:30.0,E. Fournier misses 2-pt jump shot from 13 ft,,15,8
47,1,5:28.0,,Defensive rebound by M. Gortat,15,8
48,1,5:21.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by D. Augustin),15,8
49,1,5:17.0,A. Gordon makes 2-pt dunk from 2 ft (assist by D. Augustin),,17,8
50,1,5:10.0,,D. Gallinari misses 3-pt jump shot from 26 ft,17,8
51,1,5:10.0,Defensive rebound by N. Vučević,,17,8
52,1,4:53.0,N. Vučević misses 2-pt jump shot from 15 ft,,17,8
53,1,4:50.0,,Defensive rebound by T. Harris,17,8
54,1,4:40.0,,T. Harris misses 2-pt jump shot from 4 ft,17,8
55,1,4:38.0,Defensive rebound by Team,,17,8
56,1,4:38.0,W. Iwundu enters the game for D. Augustin,,17,8
57,1,4:38.0,J. Simmons enters the game for A. Gordon,,17,8
58,1,4:38.0,,P. Beverley enters the game for A. Bradley,17,8
59,1,4:38.0,,M. Harrell enters the game for S. Gilgeous-Alexander,17,8
60,1,4:38.0,,L. Williams enters the game for M. Gortat,17,8
61,1,4:29.0,E. Fournier misses 2-pt layup from 5 ft (block by P. Beverley),,17,8
62,1,4:25.0,,Defensive rebound by L. Williams,17,8
63,1,4:25.0,,Shooting foul by W. Iwundu (drawn by L. Williams),17,8
64,1,4:25.0,,L. Williams makes free throw 1 of 2,17,9
65,1,4:25.0,,L. Williams makes free throw 2 of 2,17,10
66,1,4:03.0,J. Simmons makes 2-pt jump shot from 3 ft (assist by N. Vučević),,19,10
67,1,3:56.0,,D. Gallinari makes 2-pt layup from 1 ft (assist by L. Williams),19,12
68,1,3:56.0,,Shooting foul by J. Isaac (drawn by D. Gallinari),19,12
69,1,3:56.0,T. Ross enters the game for E. Fournier,,19,12
70,1,3:56.0,,D. Gallinari makes free throw 1 of 1,19,13
71,1,3:37.0,J. Simmons misses 2-pt hook shot from 8 ft,,19,13
72,1,3:33.0,,Defensive rebound by P. Beverley,19,13
73,1,3:16.0,,T. Harris misses 2-pt layup from 4 ft (block by N. Vučević),19,13
74,1,3:13.0,Defensive rebound by W. Iwundu,,19,13
75,1,3:09.0,N. Vučević misses 3-pt jump shot from 25 ft,,19,13
76,1,3:05.0,,Defensive rebound by L. Williams,19,13
77,1,2:56.0,,M. Harrell misses 2-pt hook shot from 6 ft,19,13
78,1,2:54.0,Defensive rebound by N. Vučević,,19,13
79,1,2:49.0,T. Ross makes 3-pt jump shot from 28 ft (assist by J. Simmons),,22,13
80,1,2:37.0,,L. Williams makes 2-pt jump shot from 12 ft,22,15
81,1,2:37.0,,Shooting foul by J. Simmons (drawn by L. Williams),22,15
82,1,2:37.0,Orlando full timeout,,22,15
83,1,2:37.0,M. Bamba enters the game for J. Isaac,,22,15
84,1,2:37.0,A. Gordon enters the game for N. Vučević,,22,15
85,1,2:37.0,,T. Wallace enters the game for T. Harris,22,15
86,1,2:37.0,,L. Williams makes free throw 1 of 1,22,16
87,1,2:23.0,Offensive foul by M. Bamba (drawn by D. Gallinari),,22,16
88,1,2:23.0,Turnover by M. Bamba (offensive foul),,22,16
89,1,2:08.0,,D. Gallinari misses 3-pt jump shot from 26 ft,22,16
90,1,2:04.0,Defensive rebound by M. Bamba,,22,16
91,1,1:53.0,A. Gordon misses 2-pt layup from 3 ft,,22,16
92,1,1:50.0,,Defensive rebound by M. Harrell,22,16
93,1,1:44.0,,Turnover by L. Williams (bad pass; steal by T. Ross),22,16
94,1,1:37.0,W. Iwundu makes 2-pt dunk from 1 ft (assist by T. Ross),,24,16
95,1,1:22.0,,L. Williams misses 2-pt jump shot from 8 ft,24,16
96,1,1:16.0,,Offensive rebound by M. Harrell,24,16
97,1,1:16.0,,M. Harrell makes 2-pt dunk from 1 ft,24,18
98,1,1:02.0,A. Gordon misses 3-pt jump shot from 26 ft,,24,18
99,1,1:00.0,,Defensive rebound by M. Harrell,24,18
100,1,0:48.0,,D. Gallinari misses 2-pt dunk from 3 ft (block by M. Bamba),24,18
101,1,0:45.0,Defensive rebound by W. Iwundu,,24,18
102,1,0:44.0,J. Simmons makes 2-pt dunk from 2 ft (assist by W. Iwundu),,26,18
103,1,0:32.0,,D. Gallinari misses 2-pt jump shot from 16 ft,26,18
104,1,0:28.0,Defensive rebound by T. Ross,,26,18
105,1,0:09.0,J. Simmons misses 2-pt layup from 3 ft,,26,18
106,1,0:09.0,Offensive rebound by M. Bamba,,26,18
107,1,0:09.0,M. Bamba makes 2-pt layup from 2 ft,,28,18
108,1,0:00.0,,L. Williams misses 2-pt layup from 3 ft,28,18
109,1,0:00.0,Defensive rebound by A. Gordon,,28,18
110,2,11:43.0,T. Ross misses 2-pt jump shot from 14 ft,,28,18
111,2,11:40.0,Offensive rebound by M. Bamba,,28,18
112,2,11:38.0,A. Gordon misses 3-pt jump shot from 27 ft,,28,18
113,2,11:38.0,Offensive rebound by Team,,28,18
114,2,11:38.0,,Loose ball foul by M. Scott (drawn by M. Bamba),28,18
115,2,11:31.0,J. Simmons misses 2-pt jump shot from 19 ft,,28,18
116,2,11:27.0,,Defensive rebound by P. Beverley,28,18
117,2,11:17.0,,M. Scott makes 2-pt jump shot from 12 ft (assist by L. Williams),28,20
118,2,11:02.0,M. Bamba misses 2-pt jump shot from 17 ft,,28,20
119,2,10:57.0,,Defensive rebound by L. Williams,28,20
120,2,10:50.0,,L. Williams misses 2-pt jump shot from 17 ft,28,20
121,2,10:48.0,Defensive rebound by M. Bamba,,28,20
122,2,10:43.0,A. Gordon makes 3-pt jump shot from 26 ft (assist by E. Fournier),,31,20
123,2,10:25.0,,M. Harrell misses 2-pt layup from 2 ft,31,20
124,2,10:22.0,Defensive rebound by M. Bamba,,31,20
125,2,10:18.0,M. Bamba makes 2-pt layup from 3 ft (assist by J. Simmons),,33,20
126,2,10:18.0,Shooting foul by T. Wallace (drawn by M. Bamba),,33,20
127,2,10:18.0,,LA Clippers full timeout,33,20
128,2,10:18.0,M. Bamba misses free throw 1 of 1,,33,20
129,2,10:15.0,,Defensive rebound by T. Wallace,33,20
130,2,10:02.0,,T. Wallace misses 2-pt hook shot from 6 ft,33,20
131,2,10:00.0,Defensive rebound by M. Bamba,,33,20
132,2,9:50.0,Turnover by M. Bamba (bad pass; steal by M. Harrell),,33,20
133,2,9:45.0,,Turnover by T. Wallace (bad pass; steal by A. Gordon),33,20
134,2,9:38.0,Shooting foul by L. Williams (drawn by M. Bamba),,33,20
135,2,9:38.0,M. Bamba makes free throw 1 of 2,,34,20
136,2,9:38.0,M. Bamba makes free throw 2 of 2,,35,20
137,2,9:13.0,,P. Beverley makes 3-pt jump shot from 27 ft (assist by T. Wallace),35,23
138,2,8:48.0,J. Simmons misses 3-pt jump shot from 28 ft,,35,23
139,2,8:46.0,,Defensive rebound by P. Beverley,35,23
140,2,8:32.0,,Offensive foul by M. Scott (drawn by J. Simmons),35,23
141,2,8:32.0,,Turnover by M. Scott (offensive foul),35,23
142,2,8:32.0,,T. Harris enters the game for M. Scott,35,23
143,2,8:14.0,E. Fournier misses 2-pt jump shot from 12 ft,,35,23
144,2,8:12.0,Offensive rebound by M. Bamba,,35,23
145,2,8:06.0,Personal foul by T. Harris (drawn by A. Gordon),,35,23
146,2,7:56.0,A. Gordon misses 2-pt layup from 4 ft (block by T. Harris),,35,23
147,2,7:53.0,,Defensive rebound by M. Harrell,35,23
148,2,7:49.0,,L. Williams misses 2-pt layup from 1 ft (block by T. Ross),35,23
149,2,7:49.0,,Offensive rebound by Team,35,23
150,2,7:49.0,W. Iwundu enters the game for E. Fournier,,35,23
151,2,7:42.0,,L. Williams misses 2-pt layup from 4 ft,35,23
152,2,7:38.0,Defensive rebound by M. Bamba,,35,23
153,2,7:28.0,J. Simmons misses 2-pt layup from 4 ft (block by M. Harrell),,35,23
154,2,7:25.0,Offensive rebound by J. Simmons,,35,23
155,2,7:21.0,W. Iwundu misses 3-pt jump shot from 26 ft,,35,23
156,2,7:19.0,,Defensive rebound by M. Harrell,35,23
157,2,7:12.0,,Shooting foul by T. Ross (drawn by T. Harris),35,23
158,2,7:12.0,,T. Harris makes free throw 1 of 2,35,24
159,2,7:12.0,,D. Gallinari enters the game for T. Wallace,35,24
160,2,7:12.0,,T. Harris makes free throw 2 of 2,35,25
161,2,7:02.0,M. Bamba makes 2-pt jump shot from 15 ft (assist by J. Simmons),,37,25
162,2,6:52.0,,T. Harris makes 2-pt layup from 1 ft,37,27
163,2,6:52.0,,M. Gortat enters the game for M. Harrell,37,27
164,2,6:35.0,J. Simmons misses 3-pt jump shot from 26 ft,,37,27
165,2,6:34.0,,Defensive rebound by Team,37,27
166,2,6:20.0,,T. Harris misses 2-pt jump shot from 14 ft,37,27
167,2,6:16.0,Defensive rebound by A. Gordon,,37,27
168,2,6:08.0,T. Ross misses 3-pt jump shot from 26 ft,,37,27
169,2,6:04.0,,Defensive rebound by T. Harris,37,27
170,2,5:58.0,,T. Harris makes 2-pt layup from 2 ft,37,29
171,2,5:51.0,Orlando full timeout,,37,29
172,2,5:51.0,D. Augustin enters the game for M. Bamba,,37,29
173,2,5:51.0,J. Isaac enters the game for A. Gordon,,37,29
174,2,5:51.0,N. Vučević enters the game for J. Simmons,,37,29
175,2,5:51.0,,A. Bradley enters the game for P. Beverley,37,29
176,2,5:51.0,,S. Gilgeous-Alexander enters the game for L. Williams,37,29
177,2,5:40.0,Turnover by N. Vučević (lost ball; steal by T. Harris),,37,29
178,2,5:26.0,,T. Harris makes 2-pt jump shot from 12 ft,37,31
179,2,5:03.0,W. Iwundu makes 2-pt hook shot at rim (assist by N. Vučević),,39,31
180,2,4:45.0,,T. Harris makes 2-pt jump shot from 3 ft,39,33
181,2,4:26.0,N. Vučević misses 2-pt jump shot from 4 ft,,39,33
182,2,4:23.0,,Defensive rebound by T. Harris,39,33
183,2,4:17.0,,T. Harris misses 3-pt jump shot from 26 ft,39,33
184,2,4:12.0,,Offensive rebound by M. Gortat,39,33
185,2,4:11.0,,M. Gortat makes 2-pt hook shot from 3 ft,39,35
186,2,3:46.0,N. Vučević misses 2-pt jump shot from 16 ft,,39,35
187,2,3:43.0,,Defensive rebound by S. Gilgeous-Alexander,39,35
188,2,3:34.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by T. Harris),39,38
189,2,3:34.0,Orlando full timeout,,39,38
190,2,3:34.0,E. Fournier enters the game for W. Iwundu,,39,38
191,2,3:34.0,A. Gordon enters the game for T. Ross,,39,38
192,2,3:22.0,N. Vučević makes 3-pt jump shot from 27 ft (assist by D. Augustin),,42,38
193,2,2:52.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 15 ft,42,38
194,2,2:50.0,Defensive rebound by N. Vučević,,42,38
195,2,2:43.0,Shooting foul by D. Gallinari (drawn by D. Augustin),,42,38
196,2,2:43.0,D. Augustin makes free throw 1 of 2,,43,38
197,2,2:43.0,D. Augustin makes free throw 2 of 2,,44,38
198,2,2:24.0,,A. Bradley makes 2-pt jump shot from 19 ft (assist by T. Harris),44,40
199,2,2:00.0,E. Fournier misses 2-pt jump shot from 7 ft,,44,40
200,2,1:57.0,,Defensive rebound by D. Gallinari,44,40
201,2,1:49.0,,D. Gallinari makes 3-pt jump shot from 26 ft,44,43
202,2,1:28.0,Turnover by N. Vučević (bad pass; steal by S. Gilgeous-Alexander),,44,43
203,2,1:24.0,,A. Bradley misses 2-pt layup from 2 ft (block by N. Vučević),44,43
204,2,1:19.0,Defensive rebound by N. Vučević,,44,43
205,2,1:16.0,A. Gordon misses 3-pt jump shot from 27 ft,,44,43
206,2,1:13.0,Offensive rebound by E. Fournier,,44,43
207,2,1:09.0,A. Gordon makes 2-pt dunk from 3 ft (assist by N. Vučević),,46,43
208,2,0:55.0,,D. Gallinari makes 2-pt jump shot from 14 ft (assist by M. Gortat),46,45
209,2,0:41.0,Shooting foul by M. Gortat (drawn by A. Gordon),,46,45
210,2,0:41.0,A. Gordon misses free throw 1 of 2,,46,45
211,2,0:41.0,Offensive rebound by Team,,46,45
212,2,0:41.0,A. Gordon makes free throw 2 of 2,,47,45
213,2,0:24.0,,A. Bradley misses 2-pt layup from 2 ft,47,45
214,2,0:21.0,Defensive rebound by N. Vučević,,47,45
215,2,0:01.0,Turnover by N. Vučević (bad pass),,47,45
216,3,11:38.0,Shooting foul by S. Gilgeous-Alexander (drawn by D. Augustin),,47,45
217,3,11:38.0,D. Augustin makes free throw 1 of 3,,48,45
218,3,11:38.0,D. Augustin makes free throw 2 of 3,,49,45
219,3,11:38.0,D. Augustin misses free throw 3 of 3,,49,45
220,3,11:35.0,,Defensive rebound by M. Gortat,49,45
221,3,11:16.0,,D. Gallinari misses 3-pt jump shot from 27 ft,49,45
222,3,11:13.0,Defensive rebound by N. Vučević,,49,45
223,3,11:06.0,J. Isaac misses 3-pt jump shot from 24 ft,,49,45
224,3,11:03.0,,Defensive rebound by T. Harris,49,45
225,3,10:56.0,,T. Harris misses 2-pt jump shot from 9 ft,49,45
226,3,10:53.0,,Offensive rebound by M. Gortat,49,45
227,3,10:53.0,,M. Gortat misses 2-pt layup at rim,49,45
228,3,10:52.0,,Offensive rebound by A. Bradley,49,45
229,3,10:49.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 27 ft (assist by M. Gortat),49,48
230,3,10:26.0,D. Augustin misses 3-pt jump shot from 28 ft,,49,48
231,3,10:23.0,,Defensive rebound by D. Gallinari,49,48
232,3,10:12.0,,M. Gortat makes 2-pt hook shot from 1 ft (assist by D. Gallinari),49,50
233,3,10:02.0,J. Isaac misses 3-pt jump shot from 26 ft,,49,50
234,3,9:58.0,,Defensive rebound by Team,49,50
235,3,9:49.0,,M. Gortat makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),49,52
236,3,9:32.0,Personal foul by A. Bradley (drawn by E. Fournier),,49,52
237,3,9:21.0,A. Gordon misses 2-pt hook shot from 11 ft,,49,52
238,3,9:19.0,,Defensive rebound by D. Gallinari,49,52
239,3,9:08.0,,T. Harris misses 2-pt jump shot from 16 ft,49,52
240,3,9:05.0,Defensive rebound by N. Vučević,,49,52
241,3,8:54.0,E. Fournier misses 2-pt jump shot from 3 ft,,49,52
242,3,8:53.0,,Defensive rebound by A. Bradley,49,52
243,3,8:46.0,,A. Bradley makes 3-pt jump shot from 27 ft (assist by S. Gilgeous-Alexander),49,55
244,3,8:44.0,Orlando full timeout,,49,55
245,3,8:28.0,N. Vučević misses 2-pt hook shot from 13 ft,,49,55
246,3,8:28.0,Offensive rebound by Team,,49,55
247,3,8:28.0,,Loose ball foul by D. Gallinari (drawn by J. Isaac),49,55
248,3,8:19.0,Turnover by J. Isaac (traveling),,49,55
249,3,8:10.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 17 ft,49,57
250,3,7:41.0,A. Gordon misses 2-pt jump shot from 15 ft,,49,57
251,3,7:41.0,Offensive rebound by N. Vučević,,49,57
252,3,7:35.0,J. Isaac makes 2-pt jump shot from 14 ft (assist by N. Vučević),,51,57
253,3,7:28.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 16 ft,51,59
254,3,7:09.0,E. Fournier makes 2-pt layup from 2 ft,,53,59
255,3,6:59.0,,Personal foul by E. Fournier (drawn by M. Gortat),53,59
256,3,6:54.0,,T. Harris makes 2-pt jump shot from 15 ft,53,61
257,3,6:41.0,N. Vučević misses 3-pt jump shot from 26 ft,,53,61
258,3,6:39.0,,Defensive rebound by T. Harris,53,61
259,3,6:25.0,,D. Gallinari makes 2-pt layup from 1 ft,53,63
260,3,6:05.0,D. Augustin makes 2-pt jump shot from 15 ft,,55,63
261,3,5:52.0,,A. Bradley misses 3-pt jump shot from 24 ft,55,63
262,3,5:48.0,,Offensive rebound by M. Gortat,55,63
263,3,5:46.0,,Turnover by T. Harris (lost ball; steal by D. Augustin),55,63
264,3,5:45.0,Shooting foul by D. Gallinari (drawn by D. Augustin),,55,63
265,3,5:45.0,D. Augustin makes free throw 1 of 2,,56,63
266,3,5:45.0,,LA Clippers full timeout,56,63
267,3,5:45.0,W. Iwundu enters the game for J. Isaac,,56,63
268,3,5:45.0,D. Augustin makes free throw 2 of 2,,57,63
269,3,5:32.0,,T. Harris makes 2-pt layup from 2 ft,57,65
270,3,5:16.0,Shooting foul by M. Gortat (drawn by A. Gordon),,57,65
271,3,5:16.0,A. Gordon misses free throw 1 of 2,,57,65
272,3,5:16.0,Offensive rebound by Team,,57,65
273,3,5:16.0,A. Gordon makes free throw 2 of 2,,58,65
274,3,4:58.0,,D. Gallinari misses 3-pt jump shot from 28 ft,58,65
275,3,4:55.0,Defensive rebound by A. Gordon,,58,65
276,3,4:55.0,Shooting foul by T. Harris (drawn by A. Gordon),,58,65
277,3,4:55.0,A. Gordon makes free throw 1 of 2,,59,65
278,3,4:55.0,J. Simmons enters the game for D. Augustin,,59,65
279,3,4:55.0,A. Gordon makes free throw 2 of 2,,60,65
280,3,4:45.0,,A. Bradley makes 2-pt layup from 3 ft (assist by M. Gortat),60,67
281,3,4:37.0,Offensive foul by E. Fournier (drawn by A. Bradley),,60,67
282,3,4:37.0,Turnover by E. Fournier (offensive foul),,60,67
283,3,4:22.0,,Shooting foul by W. Iwundu (drawn by T. Harris),60,67
284,3,4:22.0,,T. Harris makes free throw 1 of 2,60,68
285,3,4:22.0,,T. Harris misses free throw 2 of 2,60,68
286,3,4:18.0,Defensive rebound by N. Vučević,,60,68
287,3,4:13.0,Shooting foul by M. Gortat (drawn by W. Iwundu),,60,68
288,3,4:13.0,W. Iwundu misses free throw 1 of 2,,60,68
289,3,4:13.0,Offensive rebound by Team,,60,68
290,3,4:13.0,T. Ross enters the game for E. Fournier,,60,68
291,3,4:13.0,W. Iwundu makes free throw 2 of 2,,61,68
292,3,4:02.0,,D. Gallinari misses 3-pt jump shot from 26 ft,61,68
293,3,3:58.0,Defensive rebound by N. Vučević,,61,68
294,3,3:50.0,Turnover by A. Gordon (traveling),,61,68
295,3,3:50.0,,L. Williams enters the game for D. Gallinari,61,68
296,3,3:34.0,,A. Bradley misses 2-pt jump shot from 14 ft,61,68
297,3,3:31.0,Defensive rebound by N. Vučević,,61,68
298,3,3:20.0,J. Simmons misses 2-pt layup from 2 ft,,61,68
299,3,3:18.0,,Defensive rebound by S. Gilgeous-Alexander,61,68
300,3,3:05.0,,T. Harris misses 2-pt jump shot from 12 ft,61,68
301,3,3:02.0,Defensive rebound by N. Vučević,,61,68
302,3,2:55.0,A. Gordon misses 2-pt layup from 3 ft (block by M. Gortat),,61,68
303,3,2:51.0,Offensive rebound by T. Ross,,61,68
304,3,2:45.0,W. Iwundu misses 2-pt layup from 2 ft,,61,68
305,3,2:42.0,Offensive rebound by N. Vučević,,61,68
306,3,2:42.0,N. Vučević makes 2-pt layup from 1 ft,,63,68
307,3,2:31.0,,M. Gortat misses 2-pt jump shot from 14 ft,63,68
308,3,2:28.0,,Offensive rebound by M. Gortat,63,68
309,3,2:27.0,,M. Gortat misses 2-pt jump shot from 16 ft,63,68
310,3,2:24.0,Defensive rebound by N. Vučević,,63,68
311,3,2:19.0,Shooting foul by S. Gilgeous-Alexander (drawn by A. Gordon),,63,68
312,3,2:19.0,A. Gordon makes free throw 1 of 2,,64,68
313,3,2:19.0,M. Bamba enters the game for N. Vučević,,64,68
314,3,2:19.0,,P. Beverley enters the game for S. Gilgeous-Alexander,64,68
315,3,2:19.0,,M. Harrell enters the game for M. Gortat,64,68
316,3,2:19.0,A. Gordon misses free throw 2 of 2,,64,68
317,3,2:14.0,,Defensive rebound by M. Harrell,64,68
318,3,1:57.0,,L. Williams misses 2-pt jump shot from 20 ft,64,68
319,3,1:55.0,Defensive rebound by M. Bamba,,64,68
320,3,1:48.0,W. Iwundu makes 3-pt jump shot from 25 ft (assist by J. Simmons),,67,68
321,3,1:25.0,,M. Harrell misses 2-pt layup from 3 ft (block by A. Gordon),67,68
322,3,1:21.0,Defensive rebound by T. Ross,,67,68
323,3,1:12.0,T. Ross misses 3-pt jump shot from 25 ft,,67,68
324,3,1:10.0,Offensive rebound by J. Simmons,,67,68
325,3,1:06.0,W. Iwundu misses 3-pt jump shot from 27 ft,,67,68
326,3,1:02.0,,Defensive rebound by T. Harris,67,68
327,3,0:58.0,,T. Harris makes 2-pt layup from 3 ft,67,70
328,3,0:54.0,Turnover by M. Bamba (bad pass; steal by A. Bradley),,67,70
329,3,0:49.0,,P. Beverley misses 3-pt jump shot from 28 ft,67,70
330,3,0:47.0,Defensive rebound by A. Gordon,,67,70
331,3,0:39.0,A. Gordon misses 2-pt jump shot from 18 ft,,67,70
332,3,0:35.0,,Defensive rebound by T. Harris,67,70
333,3,0:29.0,,L. Williams misses 3-pt jump shot from 25 ft,67,70
334,3,0:26.0,Defensive rebound by W. Iwundu,,67,70
335,3,0:08.0,A. Gordon misses 3-pt jump shot from 26 ft,,67,70
336,3,0:04.0,,Defensive rebound by T. Harris,67,70
337,4,11:37.0,,P. Beverley misses 3-pt jump shot from 26 ft,67,70
338,4,11:34.0,Defensive rebound by T. Ross,,67,70
339,4,11:28.0,T. Ross makes 2-pt layup from 2 ft,,69,70
340,4,11:13.0,,T. Wallace misses 2-pt jump shot from 4 ft (block by M. Bamba),69,70
341,4,11:10.0,,Offensive rebound by M. Scott,69,70
342,4,11:07.0,,M. Scott misses 2-pt jump shot from 21 ft,69,70
343,4,11:04.0,Defensive rebound by M. Bamba,,69,70
344,4,10:59.0,J. Simmons misses 2-pt layup from 3 ft (block by M. Harrell),,69,70
345,4,10:56.0,,Defensive rebound by M. Scott,69,70
346,4,10:38.0,,M. Harrell makes 2-pt dunk at rim (assist by L. Williams),69,72
347,4,10:22.0,Shooting foul by T. Wallace (drawn by T. Ross),,69,72
348,4,10:22.0,T. Ross makes free throw 1 of 3,,70,72
349,4,10:22.0,T. Ross makes free throw 2 of 3,,71,72
350,4,10:22.0,T. Ross makes free throw 3 of 3,,72,72
351,4,10:14.0,,Shooting foul by W. Iwundu (drawn by L. Williams),72,72
352,4,10:14.0,,L. Williams makes free throw 1 of 2,72,73
353,4,10:14.0,,L. Williams makes free throw 2 of 2,72,74
354,4,10:05.0,Personal foul by P. Beverley (drawn by J. Simmons),,72,74
355,4,10:02.0,J. Isaac misses 2-pt jump shot from 19 ft,,72,74
356,4,9:58.0,,Defensive rebound by L. Williams,72,74
357,4,9:51.0,,Turnover by M. Harrell (lost ball; steal by J. Isaac),72,74
358,4,9:43.0,T. Ross misses 2-pt jump shot from 14 ft,,72,74
359,4,9:38.0,,Defensive rebound by M. Scott,72,74
360,4,9:34.0,,M. Harrell makes 2-pt dunk from 2 ft (assist by L. Williams),72,76
361,4,9:34.0,,Shooting foul by M. Bamba (drawn by M. Harrell),72,76
362,4,9:34.0,,M. Harrell misses free throw 1 of 1,72,76
363,4,9:33.0,,Offensive rebound by Team,72,76
364,4,9:25.0,,L. Williams makes 3-pt jump shot from 27 ft (assist by M. Harrell),72,79
365,4,9:08.0,Turnover by J. Simmons (lost ball; steal by T. Wallace),,72,79
366,4,9:06.0,,T. Wallace makes 2-pt layup from 1 ft,72,81
367,4,9:06.0,Violation by Team (def goaltending),,72,81
368,4,9:06.0,Orlando full timeout,,72,81
369,4,9:06.0,E. Fournier enters the game for M. Bamba,,72,81
370,4,9:06.0,N. Vučević enters the game for W. Iwundu,,72,81
371,4,8:50.0,N. Vučević misses 2-pt jump shot from 19 ft,,72,81
372,4,8:47.0,,Defensive rebound by T. Wallace,72,81
373,4,8:43.0,,T. Wallace misses 2-pt jump shot from 4 ft (block by J. Isaac),72,81
374,4,8:40.0,,Offensive rebound by T. Wallace,72,81
375,4,8:35.0,,Turnover by P. Beverley (lost ball; steal by J. Simmons),72,81
376,4,8:29.0,T. Ross misses 2-pt layup from 4 ft,,72,81
377,4,8:27.0,,Defensive rebound by M. Scott,72,81
378,4,8:23.0,,L. Williams makes 2-pt jump shot from 14 ft,72,83
379,4,8:10.0,Offensive foul by T. Ross (drawn by M. Harrell),,72,83
380,4,8:10.0,Turnover by T. Ross (offensive foul),,72,83
381,4,7:58.0,,M. Scott misses 3-pt jump shot from 28 ft,72,83
