,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DENVER_ACTION,SACRAMENTO_SCORE,DENVER_SCORE
81,1,2:01.0,,I. Thomas misses 3-pt jump shot from 24 ft,35,24
82,1,1:57.0,Defensive rebound by B. Bogdanović,,35,24
83,1,1:44.0,H. Giles misses 2-pt layup from 3 ft,,35,24
84,1,1:42.0,,Defensive rebound by M. Plumlee,35,24
85,1,1:37.0,,M. Morris misses 2-pt jump shot from 4 ft,35,24
86,1,1:36.0,,Offensive rebound by P. Millsap,35,24
87,1,1:32.0,,M. Plumlee misses 2-pt jump shot from 14 ft,35,24
88,1,1:30.0,,Offensive rebound by P. Millsap,35,24
89,1,1:28.0,,P. Millsap misses 2-pt layup from 3 ft,35,24
90,1,1:28.0,,Offensive rebound by M. Plumlee,35,24
91,1,1:24.0,,M. Plumlee makes 2-pt dunk from 1 ft,35,26
92,1,1:13.0,Y. Ferrell misses 2-pt jump shot from 13 ft,,35,26
93,1,1:12.0,Offensive rebound by Team,,35,26
94,1,1:12.0,,Loose ball foul by P. Millsap (drawn by M. Bagley),35,26
95,1,1:12.0,A. Burks enters the game for B. Hield,,35,26
96,1,1:12.0,,T. Lyles enters the game for P. Millsap,35,26
97,1,0:59.0,Y. Ferrell makes 2-pt jump shot from 15 ft (assist by A. Burks),,37,26
98,1,0:47.0,,T. Lyles makes 2-pt jump shot from 10 ft,37,28
99,1,0:35.0,B. Bogdanović makes 2-pt jump shot from 3 ft (assist by A. Burks),,39,28
100,1,0:30.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by I. Thomas),39,30
101,1,0:20.0,M. Bagley makes 2-pt layup from 2 ft,,41,30
102,1,0:00.0,,Turnover by M. Plumlee (lost ball; steal by Y. Ferrell),41,30
103,2,11:49.0,,T. Craig misses 3-pt jump shot from 25 ft,41,30
104,2,11:47.0,,Offensive rebound by Team,41,30
105,2,11:47.0,Loose ball foul by H. Giles (drawn by M. Plumlee),,41,30
106,2,11:34.0,,M. Morris makes 2-pt jump shot from 8 ft,41,32
107,2,11:15.0,M. Bagley misses 2-pt jump shot from 11 ft,,41,32
108,2,11:08.0,Offensive rebound by B. Bogdanović,,41,32
109,2,11:08.0,B. Bogdanović makes 2-pt layup at rim,,43,32
110,2,10:46.0,,T. Craig misses 2-pt layup from 2 ft,43,32
111,2,10:44.0,Defensive rebound by A. Burks,,43,32
112,2,10:38.0,Shooting foul by T. Lyles (drawn by H. Giles),,43,32
113,2,10:38.0,H. Giles makes free throw 1 of 2,,44,32
114,2,10:38.0,,W. Barton enters the game for T. Craig,44,32
115,2,10:38.0,H. Giles makes free throw 2 of 2,,45,32
116,2,10:32.0,,I. Thomas misses 3-pt jump shot from 25 ft,45,32
117,2,10:28.0,Defensive rebound by Y. Ferrell,,45,32
118,2,10:20.0,Shooting foul by M. Plumlee (drawn by M. Bagley),,45,32
119,2,10:20.0,M. Bagley makes free throw 1 of 2,,46,32
120,2,10:20.0,M. Bagley makes free throw 2 of 2,,47,32
121,2,10:11.0,,T. Lyles misses 2-pt jump shot from 13 ft,47,32
122,2,10:10.0,,Offensive rebound by Team,47,32
123,2,10:10.0,Loose ball foul by H. Giles (drawn by M. Plumlee),,47,32
124,2,10:10.0,H. Barnes enters the game for H. Giles,,47,32
125,2,10:05.0,,Shooting foul by H. Barnes (drawn by T. Lyles),47,32
126,2,10:05.0,,T. Lyles makes free throw 1 of 2,47,33
127,2,10:05.0,,T. Lyles misses free throw 2 of 2,47,33
128,2,10:02.0,Defensive rebound by M. Bagley,,47,33
129,2,9:48.0,Y. Ferrell misses 2-pt jump shot from 18 ft,,47,33
130,2,9:45.0,,Defensive rebound by M. Plumlee,47,33
131,2,9:34.0,,W. Barton misses 2-pt layup from 4 ft (block by B. Bogdanović),47,33
132,2,9:31.0,Defensive rebound by M. Bagley,,47,33
133,2,9:30.0,Shooting foul by M. Plumlee (drawn by B. Bogdanović),,47,33
134,2,9:30.0,B. Bogdanović makes free throw 1 of 3,,48,33
135,2,9:30.0,B. Bogdanović makes free throw 2 of 3,,49,33
136,2,9:30.0,,N. Jokić enters the game for M. Plumlee,49,33
137,2,9:30.0,B. Bogdanović makes free throw 3 of 3,,50,33
138,2,9:17.0,,T. Lyles misses 2-pt layup from 2 ft,50,33
139,2,9:16.0,Defensive rebound by H. Barnes,,50,33
140,2,9:03.0,M. Bagley misses 3-pt jump shot from 23 ft,,50,33
141,2,8:59.0,,Defensive rebound by N. Jokić,50,33
142,2,8:55.0,,M. Morris misses 3-pt jump shot from 25 ft,50,33
143,2,8:51.0,Defensive rebound by A. Burks,,50,33
144,2,8:48.0,Turnover by A. Burks (discontinued dribble),,50,33
145,2,8:34.0,,N. Jokić makes 2-pt layup from 2 ft (assist by M. Morris),50,35
146,2,8:12.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,50,35
147,2,8:11.0,,Defensive rebound by Team,50,35
148,2,8:11.0,,M. Beasley enters the game for I. Thomas,50,35
149,2,7:55.0,,N. Jokić makes 2-pt layup from 2 ft,50,37
150,2,7:35.0,Y. Ferrell makes 2-pt layup from 3 ft (assist by M. Bagley),,52,37
151,2,7:12.0,,M. Beasley misses 2-pt jump shot from 12 ft,52,37
152,2,7:08.0,Defensive rebound by H. Barnes,,52,37
153,2,7:01.0,B. Bogdanović makes 2-pt jump shot from 9 ft (assist by Y. Ferrell),,54,37
154,2,6:41.0,,M. Morris makes 2-pt jump shot from 10 ft,54,39
155,2,6:21.0,B. Bogdanović misses 2-pt jump shot from 23 ft,,54,39
156,2,6:19.0,,Defensive rebound by T. Lyles,54,39
157,2,6:12.0,,Shooting foul by B. Bogdanović (drawn by W. Barton),54,39
158,2,6:12.0,,Denver full timeout,54,39
159,2,6:12.0,N. Bjelica enters the game for M. Bagley,,54,39
160,2,6:12.0,W. Cauley-Stein enters the game for A. Burks,,54,39
161,2,6:12.0,,P. Millsap enters the game for T. Lyles,54,39
162,2,6:12.0,,J. Murray enters the game for M. Morris,54,39
163,2,6:12.0,,W. Barton makes free throw 1 of 2,54,40
164,2,6:12.0,,W. Barton makes free throw 2 of 2,54,41
165,2,5:53.0,B. Bogdanović misses 2-pt jump shot from 13 ft,,54,41
166,2,5:49.0,,Defensive rebound by P. Millsap,54,41
167,2,5:45.0,,W. Barton misses 3-pt jump shot from 26 ft,54,41
168,2,5:42.0,Defensive rebound by W. Cauley-Stein,,54,41
169,2,5:38.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,54,41
170,2,5:36.0,Offensive rebound by N. Bjelica,,54,41
171,2,5:34.0,N. Bjelica makes 2-pt layup at rim,,56,41
172,2,5:17.0,,J. Murray makes 3-pt jump shot from 26 ft (assist by P. Millsap),56,44
173,2,5:01.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,56,44
174,2,4:57.0,,Defensive rebound by N. Jokić,56,44
175,2,4:52.0,,Shooting foul by N. Bjelica (drawn by M. Beasley),56,44
176,2,4:52.0,D. Fox enters the game for B. Bogdanović,,56,44
177,2,4:52.0,B. Hield enters the game for Y. Ferrell,,56,44
178,2,4:52.0,,M. Beasley makes free throw 1 of 2,56,45
179,2,4:52.0,,M. Beasley makes free throw 2 of 2,56,46
180,2,4:44.0,Turnover by D. Fox (bad pass),,56,46
181,2,4:32.0,,Turnover by J. Murray (bad pass),56,46
182,2,4:18.0,Turnover by D. Fox (bad pass; steal by P. Millsap),,56,46
183,2,4:14.0,,P. Millsap makes 2-pt dunk from 1 ft,56,48
184,2,3:59.0,H. Barnes misses 3-pt jump shot from 23 ft,,56,48
185,2,3:56.0,,Defensive rebound by M. Beasley,56,48
186,2,3:50.0,,Shooting foul by N. Bjelica (drawn by P. Millsap),56,48
187,2,3:50.0,,P. Millsap misses free throw 1 of 2,56,48
188,2,3:50.0,,Offensive rebound by Team,56,48
189,2,3:50.0,,P. Millsap makes free throw 2 of 2,56,49
190,2,3:39.0,N. Bjelica misses 3-pt jump shot from 26 ft,,56,49
191,2,3:35.0,Offensive rebound by W. Cauley-Stein,,56,49
192,2,3:34.0,W. Cauley-Stein misses 2-pt hook shot from 2 ft,,56,49
193,2,3:32.0,Offensive rebound by W. Cauley-Stein,,56,49
194,2,3:30.0,Offensive foul by W. Cauley-Stein (drawn by N. Jokić),,56,49
195,2,3:30.0,Turnover by W. Cauley-Stein (offensive foul),,56,49
196,2,3:11.0,,Shooting foul by W. Cauley-Stein (drawn by N. Jokić),56,49
197,2,3:11.0,,N. Jokić makes free throw 1 of 2,56,50
198,2,3:11.0,,N. Jokić makes free throw 2 of 2,56,51
199,2,3:07.0,Sacramento full timeout,,56,51
200,2,3:07.0,M. Bagley enters the game for W. Cauley-Stein,,56,51
201,2,2:57.0,N. Bjelica makes 3-pt jump shot from 24 ft (assist by H. Barnes),,59,51
202,2,2:45.0,Violation by Team (kicked ball),,59,51
203,2,2:34.0,,P. Millsap misses 2-pt jump shot from 13 ft,59,51
204,2,2:30.0,Defensive rebound by D. Fox,,59,51
205,2,2:14.0,B. Hield misses 2-pt jump shot from 22 ft,,59,51
206,2,2:09.0,,Defensive rebound by N. Jokić,59,51
207,2,2:06.0,,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),59,53
208,2,1:58.0,D. Fox misses 2-pt jump shot from 5 ft,,59,53
209,2,1:56.0,,Defensive rebound by N. Jokić,59,53
210,2,1:53.0,,W. Barton misses 2-pt layup from 3 ft,59,53
211,2,1:49.0,Defensive rebound by H. Barnes,,59,53
212,2,1:46.0,B. Hield misses 2-pt layup from 2 ft,,59,53
213,2,1:41.0,Offensive rebound by H. Barnes,,59,53
214,2,1:41.0,H. Barnes makes 2-pt layup at rim,,61,53
215,2,1:38.0,,M. Beasley misses 2-pt layup from 2 ft,61,53
216,2,1:36.0,Defensive rebound by N. Bjelica,,61,53
217,2,1:33.0,Shooting foul by J. Murray (drawn by D. Fox),,61,53
218,2,1:33.0,Technical foul by,,61,53
219,2,1:33.0,Technical foul by,,61,53
220,2,1:33.0,,ejected from game,61,53
221,2,1:33.0,B. Hield makes technical free throw,,62,53
222,2,1:33.0,B. Hield makes technical free throw,,63,53
223,2,1:33.0,D. Fox misses free throw 1 of 2,,63,53
224,2,1:33.0,Offensive rebound by Team,,63,53
225,2,1:33.0,D. Fox makes free throw 2 of 2,,64,53
226,2,1:22.0,,W. Barton misses 2-pt jump shot from 21 ft,64,53
227,2,1:17.0,Defensive rebound by H. Barnes,,64,53
228,2,1:09.0,H. Barnes makes 2-pt layup from 2 ft (assist by D. Fox),,66,53
229,2,0:58.0,,J. Murray makes 3-pt jump shot from 26 ft,66,56
230,2,0:50.0,D. Fox misses 2-pt layup from 2 ft,,66,56
231,2,0:48.0,Offensive rebound by B. Hield,,66,56
232,2,0:42.0,Turnover by B. Hield (bad pass; steal by P. Millsap),,66,56
233,2,0:36.0,,M. Beasley misses 2-pt dunk from 2 ft,66,56
234,2,0:34.0,Defensive rebound by H. Barnes,,66,56
235,2,0:30.0,Turnover by D. Fox (back court),,66,56
236,2,0:21.0,,Shooting foul by D. Fox (drawn by N. Jokić),66,56
237,2,0:21.0,,N. Jokić makes free throw 1 of 2,66,57
238,2,0:21.0,,T. Craig enters the game for P. Millsap,66,57
239,2,0:21.0,,N. Jokić makes free throw 2 of 2,66,58
240,2,0:02.0,M. Bagley makes 3-pt jump shot from 24 ft (assist by D. Fox),,69,58
241,2,0:00.0,,W. Barton misses 3-pt jump shot from 83 ft,69,58
242,2,0:00.0,,Offensive rebound by Team,69,58
243,3,11:49.0,,N. Jokić makes 2-pt jump shot from 4 ft (assist by W. Barton),69,60
244,3,11:27.0,H. Barnes misses 2-pt layup from 4 ft,,69,60
245,3,11:25.0,,Defensive rebound by N. Jokić,69,60
246,3,11:22.0,,W. Barton makes 2-pt layup from 1 ft (assist by N. Jokić),69,62
247,3,11:13.0,Offensive foul by B. Hield (drawn by J. Murray),,69,62
248,3,11:13.0,Turnover by B. Hield (offensive foul),,69,62
249,3,11:00.0,,N. Jokić misses 3-pt jump shot from 25 ft,69,62
250,3,10:57.0,Defensive rebound by B. Hield,,69,62
251,3,10:41.0,N. Bjelica makes 2-pt hook shot from 5 ft (assist by D. Fox),,71,62
252,3,10:41.0,Shooting foul by J. Murray (drawn by N. Bjelica),,71,62
253,3,10:41.0,N. Bjelica misses free throw 1 of 1,,71,62
254,3,10:38.0,,Defensive rebound by P. Millsap,71,62
255,3,10:32.0,,Shooting foul by N. Bjelica (drawn by W. Barton),71,62
256,3,10:32.0,,W. Barton makes free throw 1 of 2,71,63
257,3,10:32.0,,W. Barton makes free throw 2 of 2,71,64
258,3,10:23.0,N. Bjelica misses 3-pt jump shot from 26 ft,,71,64
259,3,10:20.0,,Defensive rebound by N. Jokić,71,64
260,3,10:12.0,,Turnover by J. Murray (lost ball; steal by W. Cauley-Stein),71,64
261,3,10:06.0,H. Barnes makes 2-pt layup from 2 ft (assist by D. Fox),,73,64
262,3,9:55.0,,Turnover by N. Jokić (lost ball; steal by W. Cauley-Stein),73,64
263,3,9:51.0,D. Fox makes 2-pt dunk from 1 ft (assist by B. Hield),,75,64
264,3,9:26.0,,M. Beasley misses 2-pt jump shot from 20 ft,75,64
265,3,9:23.0,Defensive rebound by H. Barnes,,75,64
266,3,9:17.0,Turnover by H. Barnes (lost ball; steal by M. Beasley),,75,64
267,3,9:15.0,,M. Beasley makes 2-pt dunk from 1 ft (assist by J. Murray),75,66
268,3,8:52.0,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),,77,66
269,3,8:43.0,,P. Millsap makes 2-pt hook shot from 5 ft,77,68
270,3,8:21.0,B. Hield misses 2-pt jump shot from 11 ft,,77,68
271,3,8:19.0,,Defensive rebound by P. Millsap,77,68
272,3,8:13.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),77,71
273,3,7:48.0,B. Hield misses 2-pt jump shot from 22 ft,,77,71
274,3,7:45.0,,Defensive rebound by W. Barton,77,71
275,3,7:40.0,,W. Barton makes 2-pt layup from 2 ft,77,73
276,3,7:40.0,Sacramento full timeout,,77,73
277,3,7:21.0,H. Barnes misses 3-pt jump shot from 25 ft,,77,73
278,3,7:18.0,,Defensive rebound by M. Beasley,77,73
279,3,7:00.0,,M. Beasley misses 3-pt jump shot from 24 ft,77,73
280,3,6:57.0,,Offensive rebound by N. Jokić,77,73
281,3,6:55.0,,N. Jokić misses 2-pt jump shot from 16 ft,77,73
282,3,6:55.0,,Offensive rebound by Team,77,73
283,3,6:55.0,,Turnover by Team (shot clock),77,73
284,3,6:36.0,D. Fox misses 2-pt jump shot from 13 ft,,77,73
285,3,6:33.0,,Defensive rebound by M. Beasley,77,73
286,3,6:30.0,,M. Beasley makes 2-pt layup from 4 ft,77,75
287,3,6:30.0,,Shooting foul by W. Cauley-Stein (drawn by M. Beasley),77,75
288,3,6:30.0,,M. Beasley makes free throw 1 of 1,77,76
289,3,6:09.0,B. Hield misses 2-pt jump shot from 11 ft,,77,76
290,3,6:06.0,,Defensive rebound by N. Jokić,77,76
291,3,6:03.0,,P. Millsap misses 3-pt jump shot from 25 ft,77,76
292,3,6:00.0,Defensive rebound by W. Cauley-Stein,,77,76
293,3,5:54.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by N. Bjelica),,79,76
294,3,5:39.0,,N. Jokić misses 2-pt hook shot from 6 ft,79,76
295,3,5:37.0,,Offensive rebound by P. Millsap,79,76
296,3,5:32.0,,Shooting foul by N. Bjelica (drawn by P. Millsap),79,76
297,3,5:32.0,,P. Millsap makes free throw 1 of 2,79,77
298,3,5:32.0,H. Giles enters the game for W. Cauley-Stein,,79,77
299,3,5:32.0,,P. Millsap makes free throw 2 of 2,79,78
300,3,5:17.0,H. Giles makes 2-pt layup from 2 ft (assist by D. Fox),,81,78
301,3,5:17.0,Shooting foul by N. Jokić (drawn by H. Giles),,81,78
302,3,5:17.0,,M. Plumlee enters the game for P. Millsap,81,78
303,3,5:17.0,H. Giles makes free throw 1 of 1,,82,78
304,3,5:04.0,,J. Murray misses 3-pt jump shot from 25 ft,82,78
305,3,5:02.0,Defensive rebound by B. Hield,,82,78
306,3,4:58.0,B. Hield makes 2-pt layup from 2 ft,,84,78
307,3,4:50.0,,Turnover by W. Barton (lost ball; steal by H. Barnes),84,78
308,3,4:44.0,B. Hield misses 3-pt jump shot from 24 ft,,84,78
309,3,4:41.0,,Defensive rebound by W. Barton,84,78
310,3,4:35.0,,W. Barton misses 3-pt jump shot from 24 ft,84,78
311,3,4:32.0,Defensive rebound by Team,,84,78
312,3,4:32.0,M. Bagley enters the game for H. Barnes,,84,78
313,3,4:32.0,B. Bogdanović enters the game for N. Bjelica,,84,78
314,3,4:32.0,,T. Craig enters the game for W. Barton,84,78
315,3,4:32.0,,M. Morris enters the game for J. Murray,84,78
316,3,4:19.0,Shooting foul by M. Morris (drawn by D. Fox),,84,78
317,3,4:19.0,D. Fox makes free throw 1 of 2,,85,78
318,3,4:19.0,D. Fox misses free throw 2 of 2,,85,78
319,3,4:17.0,,Defensive rebound by N. Jokić,85,78
320,3,4:01.0,,M. Beasley misses 3-pt jump shot from 25 ft,85,78
321,3,3:56.0,Defensive rebound by B. Bogdanović,,85,78
322,3,3:52.0,B. Hield misses 3-pt jump shot from 23 ft,,85,78
323,3,3:48.0,,Defensive rebound by N. Jokić,85,78
324,3,3:45.0,,T. Craig makes 2-pt dunk from 1 ft (assist by N. Jokić),85,80
325,3,3:31.0,Turnover by D. Fox (bad pass; steal by M. Morris),,85,80
326,3,3:27.0,,M. Morris misses 3-pt jump shot from 26 ft,85,80
327,3,3:24.0,Defensive rebound by B. Bogdanović,,85,80
328,3,3:15.0,B. Hield misses 3-pt jump shot from 24 ft,,85,80
329,3,3:11.0,,Defensive rebound by N. Jokić,85,80
330,3,3:06.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),85,83
331,3,2:52.0,Personal foul by M. Morris (drawn by D. Fox),,85,83
332,3,2:52.0,,Denver full timeout,85,83
333,3,2:52.0,H. Barnes enters the game for D. Fox,,85,83
334,3,2:52.0,Y. Ferrell enters the game for B. Hield,,85,83
335,3,2:52.0,,P. Millsap enters the game for M. Beasley,85,83
336,3,2:52.0,,I. Thomas enters the game for N. Jokić,85,83
337,3,2:44.0,M. Bagley makes 2-pt hook shot from 6 ft (assist by B. Bogdanović),,87,83
338,3,2:30.0,,Turnover by I. Thomas (bad pass; steal by H. Barnes),87,83
339,3,2:26.0,H. Barnes misses 2-pt layup from 4 ft,,87,83
340,3,2:23.0,Offensive rebound by H. Barnes,,87,83
341,3,2:22.0,H. Barnes misses 2-pt layup from 2 ft,,87,83
342,3,2:21.0,Offensive rebound by H. Barnes,,87,83
343,3,2:21.0,H. Barnes misses 2-pt layup from 3 ft (block by P. Millsap),,87,83
344,3,2:18.0,,Defensive rebound by M. Morris,87,83
345,3,2:16.0,,I. Thomas makes 3-pt jump shot from 24 ft (assist by M. Plumlee),87,86
346,3,2:01.0,Personal foul by I. Thomas (drawn by B. Bogdanović),,87,86
347,3,2:01.0,B. Bogdanović makes free throw 1 of 2,,88,86
348,3,2:01.0,B. Bogdanović makes free throw 2 of 2,,89,86
349,3,1:45.0,,P. Millsap makes 2-pt jump shot from 4 ft,89,88
350,3,1:38.0,Personal foul by M. Plumlee (drawn by M. Bagley),,89,88
351,3,1:38.0,M. Bagley misses free throw 1 of 2,,89,88
352,3,1:38.0,Offensive rebound by Team,,89,88
353,3,1:38.0,M. Bagley misses free throw 2 of 2,,89,88
354,3,1:36.0,,Defensive rebound by T. Craig,89,88
355,3,1:15.0,,P. Millsap misses 2-pt layup from 3 ft,89,88
356,3,1:15.0,Defensive rebound by Y. Ferrell,,89,88
357,3,1:12.0,Turnover by Y. Ferrell (lost ball; steal by M. Plumlee),,89,88
358,3,1:04.0,,I. Thomas makes 3-pt jump shot from 25 ft,89,91
359,3,0:48.0,Personal foul by T. Craig (drawn by H. Barnes),,89,91
360,3,0:48.0,H. Barnes makes free throw 1 of 2,,90,91
361,3,0:48.0,H. Barnes makes free throw 2 of 2,,91,91
362,3,0:31.0,,I. Thomas makes 2-pt jump shot from 11 ft (assist by M. Plumlee),91,93
363,3,0:10.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,91,93
364,3,0:09.0,,Defensive rebound by Team,91,93
365,3,0:09.0,Loose ball foul by H. Giles (drawn by P. Millsap),,91,93
366,3,0:03.0,,Turnover by I. Thomas (lost ball; steal by Y. Ferrell),91,93
367,4,11:51.0,Personal foul by I. Thomas (drawn by B. Bogdanović),,91,93
368,4,11:46.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,94,93
369,4,11:26.0,,P. Millsap misses 2-pt layup from 2 ft,94,93
370,4,11:26.0,Defensive rebound by Team,,94,93
371,4,11:26.0,,Loose ball foul by T. Craig (drawn by M. Bagley),94,93
372,4,11:15.0,M. Bagley misses 2-pt layup from 2 ft,,94,93
373,4,11:11.0,,Defensive rebound by P. Millsap,94,93
374,4,11:08.0,,M. Morris misses 3-pt jump shot from 24 ft,94,93
375,4,11:04.0,,Offensive rebound by M. Plumlee,94,93
376,4,11:03.0,,P. Millsap makes 2-pt dunk from 1 ft (assist by M. Plumlee),94,95
377,4,10:47.0,Personal foul by I. Thomas (drawn by B. Bogdanović),,94,95
378,4,10:47.0,,M. Beasley enters the game for T. Craig,94,95
379,4,10:39.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,94,95
380,4,10:33.0,,Defensive rebound by P. Millsap,94,95
