,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DENVER_ACTION,PHOENIX_SCORE,DENVER_SCORE
84,1,1:56.0,,M. Beasley enters the game for W. Barton,27,35
85,1,1:56.0,K. Oubre makes free throw 2 of 2,,28,35
86,1,1:47.0,,Turnover by J. Hernangómez (bad pass; steal by J. Crawford),28,35
87,1,1:42.0,K. Oubre misses 3-pt jump shot from 24 ft,,28,35
88,1,1:38.0,,Defensive rebound by J. Hernangómez,28,35
89,1,1:24.0,,T. Craig misses 2-pt layup from 2 ft,28,35
90,1,1:21.0,,Offensive rebound by T. Lyles,28,35
91,1,1:21.0,,T. Lyles makes 2-pt layup from 1 ft,28,37
92,1,1:04.0,Personal foul by J. Hernangómez (drawn by D. Booker),,28,37
93,1,1:04.0,D. Booker makes free throw 1 of 2,,29,37
94,1,1:04.0,,M. Morris enters the game for J. Murray,29,37
95,1,1:04.0,D. Booker makes free throw 2 of 2,,30,37
96,1,0:50.0,,T. Lyles misses 2-pt jump shot from 7 ft,30,37
97,1,0:48.0,Defensive rebound by Q. Acy,,30,37
98,1,0:40.0,Shooting foul by M. Beasley (drawn by D. Booker),,30,37
99,1,0:40.0,D. Booker makes free throw 1 of 2,,31,37
100,1,0:40.0,D. Booker makes free throw 2 of 2,,32,37
101,1,0:32.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,32,37
102,1,0:29.0,Defensive rebound by J. Crawford,,32,37
103,1,0:08.0,D. Booker misses 2-pt layup from 2 ft,,32,37
104,1,0:05.0,,Defensive rebound by J. Hernangómez,32,37
105,1,0:03.0,,Personal foul by J. Crawford (drawn by T. Craig),32,37
106,1,0:01.0,,T. Lyles misses 3-pt jump shot from 26 ft,32,37
107,1,0:01.0,,Offensive rebound by Team,32,37
108,2,11:44.0,J. Jackson misses 2-pt jump shot from 18 ft,,32,37
109,2,11:40.0,,Defensive rebound by T. Lyles,32,37
110,2,11:27.0,,Shooting foul by J. Jackson (drawn by M. Beasley),32,37
111,2,11:27.0,,M. Beasley makes free throw 1 of 2,32,38
112,2,11:27.0,,M. Beasley makes free throw 2 of 2,32,39
113,2,11:09.0,K. Oubre misses 2-pt jump shot from 24 ft,,32,39
114,2,11:06.0,,Defensive rebound by T. Craig,32,39
115,2,10:56.0,,J. Hernangómez misses 2-pt layup from 3 ft (block by J. Jackson),32,39
116,2,10:53.0,,Offensive rebound by J. Hernangómez,32,39
117,2,10:48.0,,J. Hernangómez misses 2-pt layup from 2 ft,32,39
118,2,10:46.0,Defensive rebound by Q. Acy,,32,39
119,2,10:40.0,J. Jackson makes 2-pt layup from 2 ft,,34,39
120,2,10:23.0,,T. Lyles misses 2-pt jump shot from 3 ft,34,39
121,2,10:21.0,Defensive rebound by Q. Acy,,34,39
122,2,10:13.0,Personal foul by T. Lyles (drawn by Q. Acy),,34,39
123,2,10:09.0,M. Bridges misses 3-pt jump shot from 25 ft,,34,39
124,2,10:05.0,,Defensive rebound by T. Lyles,34,39
125,2,9:58.0,,M. Morris makes 2-pt jump shot from 20 ft,34,41
126,2,9:38.0,M. Bridges makes 2-pt layup from 2 ft (assist by J. Crawford),,36,41
127,2,9:18.0,,T. Lyles misses 2-pt hook shot from 6 ft,36,41
128,2,9:16.0,Defensive rebound by J. Jackson,,36,41
129,2,9:13.0,K. Oubre makes 2-pt dunk from 1 ft (assist by J. Jackson),,38,41
130,2,9:12.0,,Denver full timeout,38,41
131,2,9:12.0,D. Bender enters the game for Q. Acy,,38,41
132,2,9:12.0,E. Okobo enters the game for M. Bridges,,38,41
133,2,9:12.0,,M. Plumlee enters the game for J. Hernangómez,38,41
134,2,8:58.0,,M. Beasley misses 3-pt jump shot from 25 ft,38,41
135,2,8:54.0,Defensive rebound by J. Jackson,,38,41
136,2,8:41.0,K. Oubre makes 2-pt jump shot from 6 ft (assist by J. Crawford),,40,41
137,2,8:18.0,,M. Plumlee makes 2-pt hook shot from 4 ft,40,43
138,2,8:03.0,D. Bender misses 3-pt jump shot from 24 ft,,40,43
139,2,8:01.0,,Defensive rebound by M. Morris,40,43
140,2,7:58.0,,T. Craig makes 2-pt dunk at rim (assist by M. Morris),40,45
141,2,7:39.0,J. Jackson makes 3-pt jump shot from 25 ft,,43,45
142,2,7:25.0,,M. Plumlee misses 2-pt layup from 2 ft (block by J. Crawford),43,45
143,2,7:22.0,Defensive rebound by D. Bender,,43,45
144,2,7:18.0,Shooting foul by T. Craig (drawn by J. Jackson),,43,45
145,2,7:18.0,J. Jackson makes free throw 1 of 2,,44,45
146,2,7:18.0,,G. Harris enters the game for M. Beasley,44,45
147,2,7:18.0,,P. Millsap enters the game for T. Lyles,44,45
148,2,7:18.0,J. Jackson makes free throw 2 of 2,,45,45
149,2,7:05.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by G. Harris),45,47
150,2,6:54.0,D. Bender makes 2-pt layup from 3 ft (assist by J. Crawford),,47,47
151,2,6:41.0,,Personal foul by K. Oubre (drawn by G. Harris),47,47
152,2,6:41.0,,J. Murray enters the game for M. Morris,47,47
153,2,6:33.0,,Offensive foul by M. Plumlee (drawn by D. Bender),47,47
154,2,6:33.0,,Turnover by M. Plumlee (offensive foul),47,47
155,2,6:15.0,J. Jackson misses 3-pt jump shot from 25 ft,,47,47
156,2,6:12.0,,Defensive rebound by J. Murray,47,47
157,2,6:12.0,,Personal foul by K. Oubre (drawn by T. Craig),47,47
158,2,6:06.0,,Shooting foul by J. Jackson (drawn by M. Plumlee),47,47
159,2,6:06.0,,M. Plumlee makes free throw 1 of 2,47,48
160,2,6:06.0,,M. Plumlee makes free throw 2 of 2,47,49
161,2,6:02.0,Phoenix full timeout,,47,49
162,2,6:02.0,D. Booker enters the game for J. Crawford,,47,49
163,2,6:02.0,M. Bridges enters the game for J. Jackson,,47,49
164,2,5:45.0,K. Oubre misses 2-pt jump shot from 4 ft,,47,49
165,2,5:43.0,,Defensive rebound by P. Millsap,47,49
166,2,5:35.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Murray),47,51
167,2,5:20.0,D. Bender misses 2-pt layup from 1 ft,,47,51
168,2,5:17.0,,Defensive rebound by P. Millsap,47,51
169,2,5:14.0,,G. Harris misses 2-pt jump shot from 23 ft,47,51
170,2,5:10.0,,Offensive rebound by M. Plumlee,47,51
171,2,5:09.0,,G. Harris makes 3-pt jump shot from 27 ft (assist by M. Plumlee),47,54
172,2,5:06.0,Phoenix full timeout,,47,54
173,2,5:06.0,,W. Barton enters the game for T. Craig,47,54
174,2,4:42.0,Turnover by D. Bender (lost ball; steal by P. Millsap),,47,54
175,2,4:38.0,,G. Harris misses 3-pt jump shot from 22 ft,47,54
176,2,4:34.0,,Offensive rebound by W. Barton,47,54
177,2,4:22.0,,J. Murray misses 3-pt jump shot from 25 ft,47,54
178,2,4:18.0,Defensive rebound by D. Booker,,47,54
179,2,4:10.0,M. Bridges misses 3-pt jump shot from 23 ft,,47,54
180,2,4:07.0,,Defensive rebound by G. Harris,47,54
181,2,4:06.0,,Turnover by G. Harris (bad pass),47,54
182,2,4:06.0,J. Crawford enters the game for E. Okobo,,47,54
183,2,4:06.0,J. Jackson enters the game for K. Oubre,,47,54
184,2,3:54.0,D. Bender makes 2-pt layup from 2 ft (assist by J. Crawford),,49,54
185,2,3:35.0,,Turnover by M. Plumlee (3 sec),49,54
186,2,3:25.0,Personal foul by M. Plumlee (drawn by D. Bender),,49,54
187,2,3:18.0,D. Booker makes 2-pt layup from 1 ft,,51,54
188,2,2:51.0,,W. Barton makes 3-pt jump shot from 27 ft (assist by G. Harris),51,57
189,2,2:36.0,J. Jackson misses 3-pt jump shot from 22 ft,,51,57
190,2,2:34.0,,Defensive rebound by W. Barton,51,57
191,2,2:29.0,,W. Barton makes 2-pt jump shot from 15 ft,51,59
192,2,2:14.0,Turnover by J. Crawford (bad pass),,51,59
193,2,2:14.0,,M. Morris enters the game for J. Murray,51,59
194,2,2:05.0,,Turnover by M. Plumlee (bad pass; steal by M. Bridges),51,59
195,2,2:01.0,D. Booker misses 2-pt layup from 3 ft,,51,59
196,2,1:59.0,,Defensive rebound by M. Plumlee,51,59
197,2,1:55.0,,Shooting foul by D. Bender (drawn by P. Millsap),51,59
198,2,1:55.0,,P. Millsap makes free throw 1 of 2,51,60
199,2,1:55.0,,P. Millsap misses free throw 2 of 2,51,60
200,2,1:53.0,Defensive rebound by D. Bender,,51,60
201,2,1:44.0,Shooting foul by P. Millsap (drawn by D. Booker),,51,60
202,2,1:44.0,D. Booker makes free throw 1 of 2,,52,60
203,2,1:44.0,D. Booker makes free throw 2 of 2,,53,60
204,2,1:28.0,,P. Millsap makes 2-pt jump shot from 3 ft,53,62
205,2,1:20.0,D. Booker makes 2-pt layup from 1 ft (assist by J. Crawford),,55,62
206,2,1:06.0,,W. Barton misses 3-pt jump shot from 25 ft,55,62
207,2,1:04.0,,Offensive rebound by M. Morris,55,62
208,2,1:03.0,,M. Morris makes 3-pt jump shot from 25 ft,55,65
209,2,0:46.0,Turnover by J. Crawford (out of bounds lost ball),,55,65
210,2,0:33.0,,P. Millsap makes 2-pt jump shot from 9 ft,55,67
211,2,0:33.0,,Shooting foul by J. Jackson (drawn by P. Millsap),55,67
212,2,0:33.0,K. Oubre enters the game for J. Jackson,,55,67
213,2,0:33.0,,T. Lyles enters the game for M. Plumlee,55,67
214,2,0:33.0,,P. Millsap makes free throw 1 of 1,55,68
215,2,0:13.0,Turnover by J. Crawford (lost ball; steal by T. Lyles),,55,68
216,2,0:10.0,,Shooting foul by D. Bender (drawn by W. Barton),55,68
217,2,0:10.0,,W. Barton makes free throw 1 of 2,55,69
218,2,0:10.0,,M. Beasley enters the game for P. Millsap,55,69
219,2,0:10.0,,W. Barton makes free throw 2 of 2,55,70
220,2,0:00.0,K. Oubre misses 3-pt jump shot from 24 ft,,55,70
221,2,0:00.0,,Defensive rebound by W. Barton,55,70
222,3,11:37.0,Turnover by E. Okobo (traveling),,55,70
223,3,11:21.0,,P. Millsap misses 2-pt hook shot from 5 ft (block by M. Bridges),55,70
224,3,11:17.0,Defensive rebound by D. Booker,,55,70
225,3,11:15.0,Turnover by D. Booker (bad pass),,55,70
226,3,11:01.0,,W. Barton misses 2-pt jump shot from 11 ft (block by M. Bridges),55,70
227,3,10:56.0,Defensive rebound by M. Bridges,,55,70
228,3,10:56.0,D. Booker misses 2-pt layup from 2 ft,,55,70
229,3,10:53.0,Offensive rebound by M. Bridges,,55,70
230,3,10:53.0,M. Bridges makes 2-pt layup from 1 ft,,57,70
231,3,10:30.0,,M. Plumlee misses 2-pt hook shot from 5 ft,57,70
232,3,10:28.0,Defensive rebound by D. Bender,,57,70
233,3,10:10.0,D. Booker makes 2-pt jump shot from 13 ft,,59,70
234,3,9:46.0,,P. Millsap makes 3-pt jump shot from 23 ft (assist by J. Murray),59,73
235,3,9:35.0,Shooting foul by G. Harris (drawn by D. Booker),,59,73
236,3,9:35.0,D. Booker makes free throw 1 of 2,,60,73
237,3,9:35.0,D. Booker makes free throw 2 of 2,,61,73
238,3,9:15.0,,W. Barton misses 3-pt jump shot from 23 ft,61,73
239,3,9:13.0,Defensive rebound by M. Bridges,,61,73
240,3,9:09.0,Personal foul by J. Murray (drawn by D. Booker),,61,73
241,3,9:04.0,D. Booker misses 3-pt jump shot from 27 ft,,61,73
242,3,9:02.0,,Defensive rebound by G. Harris,61,73
243,3,8:54.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by G. Harris),61,75
244,3,8:31.0,D. Booker misses 2-pt jump shot from 17 ft,,61,75
245,3,8:29.0,,Defensive rebound by M. Plumlee,61,75
246,3,8:17.0,,Personal foul by D. Booker (drawn by P. Millsap),61,75
247,3,8:12.0,,G. Harris misses 3-pt jump shot from 24 ft,61,75
248,3,8:09.0,,Offensive rebound by P. Millsap,61,75
249,3,8:07.0,,Shooting foul by M. Bridges (drawn by P. Millsap),61,75
250,3,8:07.0,,P. Millsap makes free throw 1 of 2,61,76
251,3,8:07.0,,P. Millsap makes free throw 2 of 2,61,77
252,3,7:51.0,J. Jackson misses 3-pt jump shot from 25 ft,,61,77
253,3,7:50.0,,Defensive rebound by M. Plumlee,61,77
254,3,7:48.0,,Turnover by M. Plumlee (bad pass; steal by J. Jackson),61,77
255,3,7:40.0,D. Booker misses 2-pt layup from 2 ft (block by W. Barton),,61,77
256,3,7:37.0,,Defensive rebound by M. Plumlee,61,77
257,3,7:35.0,,P. Millsap makes 2-pt dunk from 1 ft (assist by M. Plumlee),61,79
258,3,7:34.0,Phoenix full timeout,,61,79
259,3,7:34.0,J. Crawford enters the game for M. Bridges,,61,79
260,3,7:34.0,K. Oubre enters the game for E. Okobo,,61,79
261,3,7:34.0,,M. Morris enters the game for W. Barton,61,79
262,3,7:23.0,J. Jackson misses 2-pt jump shot from 11 ft,,61,79
263,3,7:20.0,,Defensive rebound by M. Plumlee,61,79
264,3,7:08.0,,G. Harris makes 2-pt layup from 1 ft,61,81
265,3,7:03.0,J. Jackson makes 2-pt dunk from 1 ft,,63,81
266,3,6:40.0,,M. Morris misses 2-pt jump shot from 8 ft,63,81
267,3,6:40.0,,Offensive rebound by P. Millsap,63,81
268,3,6:40.0,,Shooting foul by J. Jackson (drawn by P. Millsap),63,81
269,3,6:40.0,,P. Millsap makes free throw 1 of 2,63,82
270,3,6:40.0,T. Daniels enters the game for J. Jackson,,63,82
271,3,6:40.0,,P. Millsap makes free throw 2 of 2,63,83
272,3,6:26.0,Turnover by D. Bender (lost ball; steal by P. Millsap),,63,83
273,3,6:20.0,,M. Morris makes 2-pt layup from 1 ft (assist by M. Plumlee),63,85
274,3,6:07.0,T. Daniels makes 3-pt jump shot from 23 ft (assist by D. Booker),,66,85
275,3,5:46.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Murray),66,87
276,3,5:30.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by D. Bender),,69,87
277,3,5:10.0,,G. Harris misses 2-pt jump shot from 7 ft,69,87
278,3,5:07.0,,Offensive rebound by J. Murray,69,87
279,3,5:06.0,,G. Harris misses 3-pt jump shot from 24 ft,69,87
280,3,5:03.0,Defensive rebound by K. Oubre,,69,87
281,3,4:51.0,D. Bender misses 3-pt jump shot from 25 ft,,69,87
282,3,4:49.0,,Defensive rebound by P. Millsap,69,87
283,3,4:37.0,,Turnover by P. Millsap (bad pass),69,87
284,3,4:37.0,Q. Acy enters the game for D. Bender,,69,87
285,3,4:37.0,,T. Craig enters the game for G. Harris,69,87
286,3,4:28.0,Shooting foul by T. Craig (drawn by D. Booker),,69,87
287,3,4:28.0,D. Booker misses free throw 1 of 2,,69,87
288,3,4:28.0,Offensive rebound by Team,,69,87
289,3,4:28.0,,T. Lyles enters the game for P. Millsap,69,87
290,3,4:28.0,D. Booker makes free throw 2 of 2,,70,87
291,3,4:13.0,,M. Morris makes 2-pt jump shot from 12 ft (assist by M. Plumlee),70,89
292,3,4:06.0,Shooting foul by M. Morris (drawn by D. Booker),,70,89
293,3,4:06.0,D. Booker makes free throw 1 of 2,,71,89
294,3,4:06.0,,M. Beasley enters the game for J. Murray,71,89
295,3,4:06.0,D. Booker makes free throw 2 of 2,,72,89
296,3,3:48.0,,Personal foul by K. Oubre (drawn by M. Beasley),72,89
297,3,3:44.0,,Personal foul by T. Daniels (drawn by M. Plumlee),72,89
298,3,3:44.0,,M. Plumlee makes free throw 1 of 2,72,90
299,3,3:44.0,,M. Plumlee makes free throw 2 of 2,72,91
300,3,3:31.0,Turnover by Q. Acy (lost ball; steal by M. Plumlee),,72,91
301,3,3:26.0,,T. Craig misses 3-pt jump shot from 24 ft,72,91
302,3,3:22.0,Defensive rebound by D. Booker,,72,91
303,3,3:16.0,D. Booker makes 3-pt jump shot from 25 ft,,75,91
304,3,3:03.0,,M. Morris makes 3-pt jump shot from 24 ft,75,94
305,3,2:50.0,K. Oubre misses 3-pt jump shot from 24 ft,,75,94
306,3,2:46.0,,Defensive rebound by T. Craig,75,94
307,3,2:30.0,,Turnover by T. Lyles (traveling),75,94
308,3,2:30.0,,Denver full timeout,75,94
309,3,2:30.0,,J. Hernangómez enters the game for M. Plumlee,75,94
310,3,2:22.0,Turnover by D. Booker (step out of bounds),,75,94
311,3,2:11.0,,J. Hernangómez misses 3-pt jump shot from 22 ft,75,94
312,3,2:08.0,Defensive rebound by Q. Acy,,75,94
313,3,2:01.0,D. Booker misses 2-pt layup from 3 ft,,75,94
314,3,1:59.0,,Defensive rebound by J. Hernangómez,75,94
315,3,1:56.0,,Shooting foul by Q. Acy (drawn by M. Beasley),75,94
316,3,1:56.0,,M. Beasley makes free throw 1 of 2,75,95
317,3,1:56.0,,M. Beasley makes free throw 2 of 2,75,96
318,3,1:41.0,K. Oubre misses 2-pt layup from 3 ft,,75,96
319,3,1:38.0,,Defensive rebound by T. Lyles,75,96
320,3,1:23.0,,T. Lyles misses 2-pt jump shot from 11 ft,75,96
321,3,1:20.0,Defensive rebound by Q. Acy,,75,96
322,3,1:17.0,Shooting foul by M. Beasley (drawn by D. Booker),,75,96
323,3,1:17.0,D. Booker makes free throw 1 of 2,,76,96
324,3,1:17.0,D. Booker makes free throw 2 of 2,,77,96
325,3,1:04.0,,M. Morris misses 3-pt jump shot from 24 ft,77,96
326,3,1:01.0,Defensive rebound by K. Oubre,,77,96
327,3,0:55.0,Turnover by K. Oubre (lost ball; steal by T. Craig),,77,96
328,3,0:54.0,,Personal take foul by J. Crawford (drawn by T. Craig),77,96
329,3,0:54.0,,T. Craig makes free throw 1 of 2,77,97
330,3,0:54.0,,T. Craig misses free throw 2 of 2,77,97
331,3,0:54.0,,Offensive rebound by T. Craig,77,97
332,3,0:54.0,,Shooting foul by Q. Acy (drawn by T. Craig),77,97
333,3,0:54.0,,T. Craig misses free throw 1 of 2,77,97
334,3,0:54.0,,Offensive rebound by Team,77,97
335,3,0:54.0,,T. Craig makes free throw 2 of 2,77,98
336,3,0:45.0,T. Daniels makes 2-pt jump shot from 20 ft (assist by K. Oubre),,79,98
337,3,0:34.0,,M. Beasley misses 3-pt jump shot from 24 ft,79,98
338,3,0:31.0,Defensive rebound by Q. Acy,,79,98
339,3,0:13.0,D. Booker makes 2-pt layup from 2 ft,,81,98
340,3,0:00.0,,M. Morris misses 3-pt jump shot from 26 ft,81,98
341,3,0:00.0,Defensive rebound by D. Booker,,81,98
342,4,11:40.0,,M. Beasley makes 3-pt jump shot from 23 ft (assist by W. Barton),81,101
343,4,11:23.0,J. Jackson misses 2-pt layup from 3 ft,,81,101
344,4,11:21.0,,Defensive rebound by J. Hernangómez,81,101
345,4,11:18.0,,T. Lyles makes 3-pt jump shot from 24 ft (assist by W. Barton),81,104
346,4,11:15.0,Phoenix full timeout,,81,104
347,4,11:15.0,E. Okobo enters the game for J. Crawford,,81,104
348,4,11:06.0,J. Jackson misses 3-pt jump shot from 25 ft,,81,104
349,4,11:05.0,,Defensive rebound by Team,81,104
350,4,10:50.0,,M. Morris misses 2-pt jump shot from 14 ft,81,104
351,4,10:46.0,,Offensive rebound by T. Lyles,81,104
352,4,10:46.0,,T. Lyles makes 2-pt layup at rim,81,106
353,4,10:34.0,D. Bender makes 2-pt layup from 3 ft (assist by E. Okobo),,83,106
354,4,10:18.0,,W. Barton misses 3-pt jump shot from 24 ft,83,106
355,4,10:16.0,Defensive rebound by J. Jackson,,83,106
356,4,10:13.0,D. Bender makes 2-pt layup from 1 ft (assist by J. Jackson),,85,106
357,4,10:13.0,,Violation by Team (def goaltending),85,106
358,4,10:13.0,,Denver full timeout,85,106
359,4,9:55.0,,M. Beasley misses 2-pt dunk from 2 ft (block by K. Oubre),85,106
360,4,9:53.0,,Offensive rebound by J. Hernangómez,85,106
361,4,9:44.0,,M. Beasley makes 3-pt jump shot from 24 ft (assist by W. Barton),85,109
362,4,9:18.0,J. Jackson misses 2-pt jump shot from 14 ft,,85,109
363,4,9:16.0,,Defensive rebound by J. Hernangómez,85,109
364,4,9:06.0,,T. Lyles misses 2-pt layup from 2 ft,85,109
365,4,9:04.0,Defensive rebound by K. Oubre,,85,109
366,4,8:59.0,K. Oubre makes 2-pt jump shot from 3 ft,,87,109
367,4,8:46.0,,W. Barton makes 2-pt layup from 2 ft,87,111
368,4,8:34.0,K. Oubre misses 3-pt jump shot from 26 ft,,87,111
369,4,8:31.0,,Defensive rebound by M. Beasley,87,111
370,4,8:13.0,,M. Beasley misses 3-pt jump shot from 23 ft,87,111
371,4,8:10.0,Defensive rebound by E. Okobo,,87,111
372,4,7:57.0,D. Bender makes 2-pt hook shot from 7 ft (assist by K. Oubre),,89,111
373,4,7:57.0,Shooting foul by J. Hernangómez (drawn by D. Bender),,89,111
374,4,7:57.0,T. Daniels enters the game for K. Oubre,,89,111
375,4,7:57.0,,T. Craig enters the game for M. Morris,89,111
376,4,7:57.0,D. Bender makes free throw 1 of 1,,90,111
377,4,7:38.0,,M. Beasley misses 3-pt jump shot from 25 ft,90,111
378,4,7:34.0,Defensive rebound by D. Bender,,90,111
379,4,7:23.0,T. Daniels misses 2-pt jump shot from 20 ft,,90,111
380,4,7:20.0,,Defensive rebound by W. Barton,90,111
381,4,7:12.0,,W. Barton misses 2-pt jump shot from 9 ft,90,111
382,4,7:11.0,Defensive rebound by Team,,90,111
383,4,7:11.0,,Loose ball foul by W. Barton (drawn by D. Bender),90,111
384,4,6:59.0,D. Bender misses 3-pt jump shot from 24 ft,,90,111
385,4,6:57.0,,Defensive rebound by J. Hernangómez,90,111
