,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ATLANTA_ACTION,CHARLOTTE_SCORE,ATLANTA_SCORE
384,4,6:36.0,,J. Lin enters the game for T. Young,109,112
385,4,6:36.0,,K. Huerter misses free throw 2 of 2,109,112
386,4,6:34.0,Defensive rebound by N. Batum,,109,112
387,4,6:18.0,K. Walker misses 2-pt jump shot from 19 ft,,109,112
388,4,6:16.0,Offensive rebound by M. Williams,,109,112
389,4,6:14.0,D. Graham misses 3-pt jump shot from 23 ft,,109,112
390,4,6:08.0,Offensive rebound by M. Williams,,109,112
391,4,6:04.0,M. Monk misses 2-pt layup from 2 ft (block by K. Bazemore),,109,112
392,4,5:59.0,,Defensive rebound by K. Bazemore,109,112
393,4,5:52.0,,J. Collins makes 2-pt dunk from 2 ft (assist by K. Bazemore),109,114
394,4,5:52.0,Charlotte full timeout,,109,114
395,4,5:52.0,J. Lamb enters the game for N. Batum,,109,114
396,4,5:52.0,C. Zeller enters the game for D. Graham,,109,114
397,4,5:52.0,,D. Bembry enters the game for K. Bazemore,109,114
398,4,5:52.0,,D. Dedmon enters the game for J. Collins,109,114
399,4,5:33.0,J. Lamb misses 3-pt jump shot from 26 ft,,109,114
400,4,5:30.0,,Defensive rebound by D. Bembry,109,114
401,4,5:15.0,,D. Bembry misses 3-pt jump shot from 25 ft,109,114
402,4,5:13.0,Defensive rebound by M. Williams,,109,114
403,4,4:59.0,M. Williams makes 2-pt layup at rim (assist by C. Zeller),,111,114
404,4,4:37.0,,T. Prince misses 2-pt jump shot from 19 ft,111,114
405,4,4:34.0,,Offensive rebound by K. Huerter,111,114
406,4,4:32.0,,D. Bembry makes 2-pt layup from 1 ft (assist by K. Huerter),111,116
407,4,4:17.0,K. Walker misses 3-pt jump shot from 25 ft,,111,116
408,4,4:15.0,,Defensive rebound by Team,111,116
409,4,3:58.0,,Offensive foul by D. Dedmon (drawn by K. Walker),111,116
410,4,3:58.0,,Turnover by D. Dedmon (offensive foul),111,116
411,4,3:38.0,M. Monk makes 3-pt jump shot from 24 ft (assist by K. Walker),,114,116
412,4,3:26.0,,T. Prince misses 3-pt jump shot from 26 ft,114,116
413,4,3:23.0,Defensive rebound by M. Williams,,114,116
414,4,3:11.0,K. Walker makes 2-pt jump shot from 12 ft,,116,116
415,4,3:10.0,,Atlanta full timeout,116,116
416,4,3:10.0,,K. Bazemore enters the game for D. Bembry,116,116
417,4,3:10.0,,J. Collins enters the game for K. Huerter,116,116
418,4,3:10.0,,T. Young enters the game for J. Lin,116,116
419,4,2:56.0,Violation by Team (kicked ball),,116,116
420,4,2:51.0,,T. Young misses 3-pt jump shot from 25 ft,116,116
421,4,2:46.0,,Offensive rebound by J. Collins,116,116
422,4,2:46.0,,D. Dedmon misses 2-pt layup at rim,116,116
423,4,2:46.0,,Offensive rebound by D. Dedmon,116,116
424,4,2:46.0,,J. Collins makes 2-pt layup from 2 ft,116,118
425,4,2:34.0,K. Walker makes 3-pt jump shot from 26 ft,,119,118
426,4,2:22.0,,T. Young misses 2-pt layup from 9 ft,119,118
427,4,2:19.0,Defensive rebound by M. Monk,,119,118
428,4,2:14.0,Turnover by M. Monk (bad pass; steal by T. Young),,119,118
429,4,2:11.0,,Personal foul by K. Walker (drawn by J. Collins),119,118
430,4,2:04.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by J. Collins),119,120
431,4,1:52.0,K. Walker misses 2-pt layup from 2 ft (block by T. Young),,119,120
432,4,1:52.0,Offensive rebound by K. Walker,,119,120
433,4,1:52.0,Personal foul by K. Bazemore (drawn by K. Walker),,119,120
434,4,1:52.0,,D. Bembry enters the game for D. Dedmon,119,120
435,4,1:43.0,M. Williams misses 3-pt jump shot from 23 ft,,119,120
436,4,1:42.0,Offensive rebound by C. Zeller,,119,120
437,4,1:42.0,C. Zeller misses 2-pt layup from 4 ft,,119,120
438,4,1:39.0,,Defensive rebound by Team,119,120
439,4,1:25.0,,J. Collins makes 2-pt dunk at rim (assist by T. Young),119,122
440,4,1:16.0,Personal foul by J. Collins (drawn by K. Walker),,119,122
441,4,1:16.0,K. Walker makes free throw 1 of 2,,120,122
442,4,1:16.0,M. Bridges enters the game for C. Zeller,,120,122
443,4,1:16.0,K. Walker makes free throw 2 of 2,,121,122
444,4,1:05.0,,T. Young misses 3-pt jump shot from 31 ft,121,122
445,4,1:01.0,Defensive rebound by M. Bridges,,121,122
446,4,0:48.0,K. Walker makes 2-pt jump shot from 20 ft,,123,122
447,4,0:39.0,,T. Young misses 2-pt layup from 1 ft,123,122
448,4,0:37.0,Defensive rebound by M. Williams,,123,122
449,4,0:15.0,Turnover by Team (shot clock),,123,122
450,4,0:15.0,,Atlanta full timeout,123,122
451,4,0:15.0,D. Bacon enters the game for M. Monk,,123,122
452,4,0:10.0,,Personal take foul by K. Walker (drawn by T. Young),123,122
453,4,0:04.0,,K. Bazemore makes 2-pt layup from 2 ft,123,124
454,4,0:04.0,Charlotte full timeout,,123,124
455,4,0:04.0,N. Batum enters the game for D. Bacon,,123,124
456,4,0:04.0,M. Monk enters the game for M. Bridges,,123,124
457,4,0:04.0,C. Zeller enters the game for J. Lamb,,123,124
458,4,0:04.0,,K. Huerter enters the game for T. Young,123,124
459,4,0:01.0,K. Walker misses 2-pt layup from 10 ft (block by J. Collins),,123,124
460,4,0:01.0,,Defensive rebound by K. Huerter,123,124
