,QUARTER,TIME_REMAINING,DALLAS_ACTION,ORLANDO_ACTION,DALLAS_SCORE,ORLANDO_SCORE
76,1,3:54.0,,Defensive rebound by J. Isaac,12,18
77,1,3:46.0,,T. Ross makes 3-pt jump shot from 24 ft (assist by J. Grant),12,21
78,1,3:37.0,Dallas full timeout,,12,21
79,1,3:28.0,T. Hardaway makes 2-pt jump shot from 11 ft (assist by L. Dončić),,14,21
80,1,3:12.0,,Turnover by N. Vučević (traveling),14,21
81,1,2:51.0,L. Dončić makes 2-pt jump shot from 4 ft,,16,21
82,1,2:28.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by J. Grant),16,24
83,1,2:17.0,C. Lee misses 3-pt jump shot from 26 ft,,16,24
84,1,2:14.0,,Defensive rebound by N. Vučević,16,24
85,1,2:09.0,,Offensive foul by N. Vučević (drawn by S. Mejri),16,24
86,1,2:09.0,,Turnover by N. Vučević (offensive foul),16,24
87,1,2:09.0,J. Brunson enters the game for L. Dončić,,16,24
88,1,2:09.0,D. Nowitzki enters the game for T. Hardaway,,16,24
89,1,2:09.0,D. Powell enters the game for S. Mejri,,16,24
90,1,2:09.0,,K. Birch enters the game for J. Isaac,16,24
91,1,2:09.0,,A. Gordon enters the game for N. Vučević,16,24
92,1,1:53.0,J. Brunson misses 2-pt jump shot from 21 ft,,16,24
93,1,1:49.0,,Defensive rebound by W. Iwundu,16,24
94,1,1:42.0,,J. Grant misses 2-pt jump shot from 21 ft,16,24
95,1,1:38.0,Defensive rebound by D. Nowitzki,,16,24
96,1,1:27.0,D. Powell misses 2-pt jump shot from 5 ft (block by A. Gordon),,16,24
97,1,1:21.0,,Defensive rebound by K. Birch,16,24
98,1,1:17.0,,A. Gordon makes 2-pt jump shot from 16 ft,16,26
99,1,1:01.0,Def 3 sec tech foul by Team,,16,26
100,1,1:01.0,Offensive rebound by Team,,16,26
101,1,1:01.0,D. Nowitzki misses technical free throw,,16,26
102,1,0:50.0,J. Brunson misses 3-pt jump shot from 24 ft,,16,26
103,1,0:47.0,,Defensive rebound by T. Ross,16,26
104,1,0:42.0,,J. Grant makes 3-pt jump shot from 28 ft (assist by W. Iwundu),16,29
105,1,0:41.0,Dallas full timeout,,16,29
106,1,0:35.0,Personal foul by J. Grant (drawn by J. Brunson),,16,29
107,1,0:32.0,J. Jackson misses 2-pt jump shot from 23 ft,,16,29
108,1,0:29.0,,Defensive rebound by T. Ross,16,29
109,1,0:08.0,,A. Gordon misses 2-pt jump shot from 19 ft,16,29
110,1,0:06.0,,Offensive rebound by Team,16,29
111,1,0:05.0,,Turnover by Team (shot clock),16,29
112,1,0:00.0,C. Lee makes 3-pt jump shot from 23 ft (assist by J. Brunson),,19,29
113,2,11:46.0,C. Lee misses 3-pt jump shot from 25 ft,,19,29
114,2,11:42.0,,Defensive rebound by J. Grant,19,29
115,2,11:38.0,,T. Ross misses 3-pt jump shot from 23 ft,19,29
116,2,11:34.0,,Offensive rebound by K. Birch,19,29
117,2,11:29.0,,Turnover by J. Grant (bad pass; steal by C. Lee),19,29
118,2,11:29.0,Turnover by C. Lee (step out of bounds),,19,29
119,2,11:23.0,,T. Ross makes 2-pt jump shot from 16 ft (assist by E. Fournier),19,31
120,2,11:09.0,Shooting foul by K. Birch (drawn by D. Powell),,19,31
121,2,11:09.0,D. Powell misses free throw 1 of 2,,19,31
122,2,11:09.0,Offensive rebound by Team,,19,31
123,2,11:09.0,D. Powell makes free throw 2 of 2,,20,31
124,2,10:59.0,,Offensive foul by K. Birch (drawn by J. Brunson),20,31
125,2,10:59.0,,Turnover by K. Birch (offensive foul),20,31
126,2,10:49.0,Shooting foul by K. Birch (drawn by D. Powell),,20,31
127,2,10:49.0,D. Powell makes free throw 1 of 2,,21,31
128,2,10:49.0,D. Powell makes free throw 2 of 2,,22,31
129,2,10:34.0,,A. Gordon makes 2-pt layup from 1 ft (assist by K. Birch),22,33
130,2,10:34.0,,Shooting foul by J. Jackson (drawn by A. Gordon),22,33
131,2,10:34.0,,A. Gordon makes free throw 1 of 1,22,34
132,2,10:18.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,22,34
133,2,10:13.0,,Defensive rebound by A. Gordon,22,34
134,2,10:10.0,,A. Gordon misses 2-pt dunk from 2 ft,22,34
135,2,10:07.0,,K. Birch makes 2-pt dunk at rim,22,36
136,2,10:07.0,,Offensive rebound by K. Birch,22,36
137,2,10:07.0,Dallas full timeout,,22,36
138,2,9:45.0,J. Brunson makes 3-pt jump shot from 26 ft (assist by D. Powell),,25,36
139,2,9:25.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by E. Fournier),25,39
140,2,9:06.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,25,39
141,2,9:02.0,,Defensive rebound by T. Ross,25,39
142,2,8:51.0,,J. Grant misses 3-pt jump shot from 24 ft,25,39
143,2,8:48.0,Defensive rebound by D. Powell,,25,39
144,2,8:36.0,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by J. Jackson),,27,39
145,2,8:18.0,,K. Birch misses 2-pt hook shot from 7 ft,27,39
146,2,8:16.0,Defensive rebound by D. Nowitzki,,27,39
147,2,8:11.0,J. Brunson makes 2-pt layup from 2 ft,,29,39
148,2,8:02.0,,Orlando full timeout,29,39
149,2,8:02.0,,D. Augustin enters the game for K. Birch,29,39
150,2,8:02.0,,N. Vučević enters the game for J. Grant,29,39
151,2,7:56.0,,T. Ross misses 2-pt hook shot from 6 ft,29,39
152,2,7:53.0,Defensive rebound by D. Nowitzki,,29,39
153,2,7:42.0,D. Nowitzki makes 2-pt jump shot from 13 ft (assist by J. Brunson),,31,39
154,2,7:32.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by D. Augustin),31,42
155,2,7:14.0,Personal foul by D. Augustin (drawn by J. Brunson),,31,42
156,2,7:14.0,L. Dončić enters the game for J. Jackson,,31,42
157,2,7:14.0,,J. Isaac enters the game for E. Fournier,31,42
158,2,7:14.0,,W. Iwundu enters the game for A. Gordon,31,42
159,2,7:07.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,31,42
160,2,7:04.0,,Defensive rebound by J. Isaac,31,42
161,2,6:54.0,,J. Isaac makes 2-pt jump shot from 6 ft (assist by W. Iwundu),31,44
162,2,6:40.0,L. Dončić misses 3-pt jump shot from 24 ft,,31,44
163,2,6:36.0,,Defensive rebound by J. Isaac,31,44
164,2,6:31.0,,T. Ross misses 3-pt jump shot from 26 ft,31,44
165,2,6:28.0,Defensive rebound by J. Brunson,,31,44
166,2,6:22.0,D. Powell makes 2-pt layup from 2 ft (assist by J. Brunson),,33,44
167,2,6:01.0,,Shooting foul by D. Powell (drawn by N. Vučević),33,44
168,2,6:01.0,,N. Vučević makes free throw 1 of 2,33,45
169,2,6:01.0,T. Burke enters the game for J. Brunson,,33,45
170,2,6:01.0,D. Finney-Smith enters the game for C. Lee,,33,45
171,2,6:01.0,T. Hardaway enters the game for D. Nowitzki,,33,45
172,2,6:01.0,S. Mejri enters the game for D. Powell,,33,45
173,2,6:01.0,,N. Vučević makes free throw 2 of 2,33,46
174,2,5:52.0,Turnover by L. Dončić (out of bounds lost ball),,33,46
175,2,5:40.0,,N. Vučević misses 2-pt hook shot from 5 ft,33,46
176,2,5:36.0,Defensive rebound by Team,,33,46
177,2,5:22.0,T. Burke misses 3-pt jump shot from 25 ft,,33,46
178,2,5:18.0,,Defensive rebound by W. Iwundu,33,46
179,2,5:10.0,,T. Ross makes 3-pt jump shot from 27 ft (assist by W. Iwundu),33,49
180,2,4:52.0,T. Hardaway makes 2-pt layup from 2 ft,,35,49
181,2,4:34.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by J. Isaac),35,51
182,2,4:21.0,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by T. Burke),,38,51
183,2,4:05.0,,Offensive foul by W. Iwundu (drawn by S. Mejri),38,51
184,2,4:05.0,,Turnover by W. Iwundu (offensive foul),38,51
185,2,4:05.0,,E. Fournier enters the game for W. Iwundu,38,51
186,2,4:05.0,,A. Gordon enters the game for T. Ross,38,51
187,2,3:55.0,T. Hardaway misses 3-pt jump shot from 24 ft,,38,51
188,2,3:50.0,,Defensive rebound by N. Vučević,38,51
189,2,3:44.0,,N. Vučević misses 2-pt layup from 2 ft (block by S. Mejri),38,51
190,2,3:41.0,Defensive rebound by T. Hardaway,,38,51
191,2,3:38.0,T. Hardaway makes 2-pt layup from 2 ft,,40,51
192,2,3:15.0,,D. Augustin misses 2-pt layup from 5 ft,40,51
193,2,3:10.0,,N. Vučević makes 2-pt dunk at rim,40,53
194,2,3:10.0,,Offensive rebound by N. Vučević,40,53
195,2,2:52.0,L. Dončić misses 2-pt jump shot from 9 ft (block by A. Gordon),,40,53
196,2,2:49.0,,Defensive rebound by A. Gordon,40,53
197,2,2:48.0,,D. Augustin makes 2-pt layup from 1 ft (assist by A. Gordon),40,55
198,2,2:47.0,Dallas full timeout,,40,55
199,2,2:47.0,,J. Grant enters the game for D. Augustin,40,55
200,2,2:29.0,S. Mejri misses 2-pt hook shot from 9 ft,,40,55
201,2,2:26.0,Offensive rebound by D. Finney-Smith,,40,55
202,2,2:26.0,Turnover by D. Finney-Smith (step out of bounds),,40,55
203,2,2:12.0,,N. Vučević makes 2-pt jump shot from 9 ft (assist by E. Fournier),40,57
204,2,1:59.0,Personal foul by J. Grant (drawn by S. Mejri),,40,57
205,2,1:59.0,D. Nowitzki enters the game for D. Finney-Smith,,40,57
206,2,1:59.0,D. Powell enters the game for S. Mejri,,40,57
207,2,1:59.0,,T. Ross enters the game for J. Isaac,40,57
208,2,1:56.0,Personal foul by E. Fournier (drawn by D. Nowitzki),,40,57
209,2,1:56.0,D. Nowitzki makes free throw 1 of 2,,41,57
210,2,1:56.0,D. Nowitzki makes free throw 2 of 2,,42,57
211,2,1:43.0,,E. Fournier misses 2-pt jump shot from 20 ft,42,57
212,2,1:39.0,Defensive rebound by D. Nowitzki,,42,57
213,2,1:32.0,T. Hardaway misses 3-pt jump shot from 23 ft,,42,57
214,2,1:28.0,,Defensive rebound by N. Vučević,42,57
215,2,1:16.0,,Turnover by N. Vučević (bad pass),42,57
216,2,1:16.0,C. Lee enters the game for T. Hardaway,,42,57
217,2,1:12.0,Turnover by T. Burke (bad pass; steal by J. Grant),,42,57
218,2,1:04.0,,E. Fournier misses 3-pt jump shot from 23 ft,42,57
219,2,1:01.0,,Offensive rebound by N. Vučević,42,57
220,2,0:54.0,,N. Vučević makes 2-pt dunk from 2 ft (assist by A. Gordon),42,59
221,2,0:35.0,L. Dončić makes 2-pt layup from 6 ft,,44,59
222,2,0:21.0,,A. Gordon makes 2-pt jump shot from 10 ft (assist by N. Vučević),44,61
223,2,0:21.0,,Shooting foul by L. Dončić (drawn by A. Gordon),44,61
224,2,0:21.0,,A. Gordon makes free throw 1 of 1,44,62
225,2,0:02.0,Shooting foul by N. Vučević (drawn by L. Dončić),,44,62
226,2,0:02.0,L. Dončić makes free throw 1 of 3,,45,62
227,2,0:02.0,L. Dončić makes free throw 2 of 3,,46,62
228,2,0:02.0,D. Finney-Smith enters the game for D. Nowitzki,,46,62
229,2,0:02.0,L. Dončić makes free throw 3 of 3,,47,62
230,2,0:01.0,,Turnover by J. Grant (bad pass; steal by L. Dončić),47,62
231,3,11:47.0,J. Brunson makes 2-pt layup from 1 ft,,49,62
232,3,11:35.0,,D. Augustin misses 3-pt jump shot from 26 ft,49,62
233,3,11:33.0,Defensive rebound by L. Dončić,,49,62
234,3,11:23.0,D. Powell makes 2-pt jump shot from 10 ft (assist by J. Brunson),,51,62
235,3,11:04.0,,A. Gordon misses 3-pt jump shot from 25 ft,51,62
236,3,11:02.0,Defensive rebound by T. Hardaway,,51,62
237,3,10:56.0,D. Powell makes 2-pt dunk from 1 ft (assist by J. Brunson),,53,62
238,3,10:28.0,,D. Augustin makes 2-pt jump shot from 17 ft,53,64
239,3,10:14.0,L. Dončić makes 2-pt jump shot from 9 ft,,55,64
240,3,9:52.0,,N. Vučević misses 2-pt hook shot from 7 ft,55,64
241,3,9:49.0,Defensive rebound by J. Brunson,,55,64
242,3,9:44.0,J. Brunson makes 2-pt layup from 3 ft,,57,64
243,3,9:43.0,,Orlando full timeout,57,64
244,3,9:31.0,,N. Vučević misses 2-pt jump shot from 22 ft,57,64
245,3,9:23.0,,A. Gordon misses 2-pt layup from 1 ft,57,64
246,3,9:23.0,,Offensive rebound by A. Gordon,57,64
247,3,9:22.0,Defensive rebound by D. Finney-Smith,,57,64
248,3,9:11.0,T. Hardaway misses 2-pt jump shot from 14 ft,,57,64
249,3,9:10.0,,Defensive rebound by J. Isaac,57,64
250,3,8:57.0,,D. Augustin makes 3-pt jump shot from 23 ft,57,67
251,3,8:37.0,L. Dončić makes 2-pt jump shot from 12 ft,,59,67
252,3,8:20.0,,N. Vučević misses 2-pt hook shot from 8 ft,59,67
253,3,8:16.0,Defensive rebound by L. Dončić,,59,67
254,3,8:03.0,Turnover by L. Dončić (bad pass; steal by D. Augustin),,59,67
255,3,8:03.0,,Personal take foul by D. Finney-Smith (drawn by D. Augustin),59,67
256,3,7:45.0,,Turnover by J. Isaac (bad pass; steal by D. Powell),59,67
257,3,7:41.0,T. Hardaway makes 2-pt layup from 2 ft (assist by J. Brunson),,61,67
258,3,7:28.0,,E. Fournier makes 2-pt jump shot from 14 ft (assist by N. Vučević),61,69
259,3,7:06.0,Offensive foul by J. Brunson (drawn by D. Augustin),,61,69
260,3,7:06.0,Turnover by J. Brunson (offensive foul),,61,69
261,3,6:51.0,,E. Fournier misses 2-pt jump shot from 15 ft,61,69
262,3,6:49.0,Defensive rebound by L. Dončić,,61,69
263,3,6:46.0,L. Dončić makes 2-pt jump shot from 12 ft,,63,69
264,3,6:46.0,Shooting foul by A. Gordon (drawn by L. Dončić),,63,69
265,3,6:46.0,L. Dončić misses free throw 1 of 1,,63,69
266,3,6:44.0,,Defensive rebound by J. Isaac,63,69
267,3,6:33.0,,D. Augustin makes 3-pt jump shot from 27 ft (assist by E. Fournier),63,72
268,3,6:08.0,Turnover by D. Finney-Smith (bad pass; steal by E. Fournier),,63,72
269,3,5:54.0,,D. Augustin makes 2-pt layup from 1 ft,63,74
270,3,5:54.0,Dallas full timeout,,63,74
271,3,5:54.0,,W. Iwundu enters the game for A. Gordon,63,74
272,3,5:42.0,L. Dončić misses 3-pt jump shot from 26 ft,,63,74
273,3,5:37.0,,Defensive rebound by D. Augustin,63,74
274,3,5:29.0,,Turnover by D. Augustin (bad pass),63,74
275,3,5:07.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,63,74
276,3,5:03.0,,Defensive rebound by N. Vučević,63,74
277,3,4:47.0,,W. Iwundu misses 3-pt jump shot from 23 ft,63,74
278,3,4:43.0,Defensive rebound by T. Hardaway,,63,74
279,3,4:40.0,T. Hardaway makes 2-pt layup from 1 ft,,65,74
280,3,4:23.0,,N. Vučević makes 2-pt hook shot from 11 ft (assist by D. Augustin),65,76
281,3,4:08.0,L. Dončić makes 2-pt jump shot from 7 ft,,67,76
282,3,4:08.0,Shooting foul by W. Iwundu (drawn by L. Dončić),,67,76
283,3,4:08.0,C. Lee enters the game for J. Brunson,,67,76
284,3,4:08.0,S. Mejri enters the game for D. Powell,,67,76
285,3,4:08.0,,J. Grant enters the game for D. Augustin,67,76
286,3,4:08.0,,T. Ross enters the game for E. Fournier,67,76
287,3,4:08.0,L. Dončić misses free throw 1 of 1,,67,76
288,3,4:03.0,,Defensive rebound by J. Grant,67,76
289,3,3:45.0,,J. Isaac makes 3-pt jump shot from 26 ft (assist by N. Vučević),67,79
290,3,3:28.0,Turnover by L. Dončić (bad pass; steal by N. Vučević),,67,79
291,3,3:23.0,,N. Vučević makes 3-pt jump shot from 25 ft (assist by J. Grant),67,82
292,3,3:04.0,S. Mejri makes 3-pt jump shot from 24 ft (assist by D. Finney-Smith),,70,82
293,3,2:53.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Grant),70,85
294,3,2:34.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by L. Dončić),,73,85
295,3,2:32.0,,Orlando full timeout,73,85
296,3,2:32.0,J. Jackson enters the game for D. Finney-Smith,,73,85
297,3,2:32.0,,K. Birch enters the game for J. Isaac,73,85
298,3,2:32.0,,A. Gordon enters the game for N. Vučević,73,85
299,3,2:17.0,,A. Gordon makes 2-pt jump shot from 2 ft,73,87
300,3,2:04.0,T. Hardaway misses 3-pt jump shot from 26 ft,,73,87
301,3,1:58.0,Offensive rebound by C. Lee,,73,87
302,3,1:55.0,J. Jackson misses 3-pt jump shot from 23 ft,,73,87
303,3,1:51.0,,Defensive rebound by W. Iwundu,73,87
304,3,1:45.0,,Shooting foul by J. Jackson (drawn by K. Birch),73,87
305,3,1:45.0,,K. Birch makes free throw 1 of 2,73,88
306,3,1:45.0,,K. Birch misses free throw 2 of 2,73,88
307,3,1:43.0,Defensive rebound by S. Mejri,,73,88
308,3,1:28.0,T. Hardaway misses 2-pt layup from 6 ft,,73,88
309,3,1:24.0,S. Mejri misses 2-pt layup at rim,,73,88
310,3,1:24.0,Offensive rebound by S. Mejri,,73,88
311,3,1:23.0,Offensive rebound by S. Mejri,,73,88
312,3,1:21.0,Turnover by S. Mejri (lost ball; steal by J. Grant),,73,88
313,3,1:10.0,,A. Gordon misses 2-pt jump shot from 7 ft,73,88
314,3,1:07.0,,Offensive rebound by K. Birch,73,88
315,3,1:05.0,,J. Grant misses 3-pt jump shot from 26 ft,73,88
316,3,1:02.0,Defensive rebound by J. Jackson,,73,88
317,3,0:56.0,Personal foul by K. Birch (drawn by S. Mejri),,73,88
318,3,0:56.0,J. Brunson enters the game for L. Dončić,,73,88
319,3,0:56.0,D. Nowitzki enters the game for T. Hardaway,,73,88
320,3,0:56.0,D. Powell enters the game for S. Mejri,,73,88
321,3,0:47.0,J. Jackson misses 2-pt jump shot from 14 ft,,73,88
322,3,0:44.0,,Defensive rebound by K. Birch,73,88
323,3,0:36.0,,W. Iwundu makes 2-pt jump shot from 14 ft,73,90
324,3,0:26.0,D. Powell misses 2-pt layup from 2 ft,,73,90
325,3,0:24.0,,Defensive rebound by K. Birch,73,90
326,3,0:03.0,,J. Grant makes 2-pt jump shot from 16 ft,73,92
327,3,0:00.0,J. Brunson misses 3-pt jump shot from 35 ft,,73,92
328,3,0:00.0,Offensive rebound by Team,,73,92
329,4,11:42.0,,A. Gordon misses 2-pt jump shot from 14 ft,73,92
330,4,11:39.0,Defensive rebound by D. Nowitzki,,73,92
331,4,11:27.0,D. Nowitzki makes 2-pt jump shot from 7 ft,,75,92
332,4,11:13.0,,T. Ross misses 3-pt jump shot from 26 ft,75,92
333,4,11:12.0,Defensive rebound by Team,,75,92
334,4,11:03.0,J. Brunson makes 2-pt jump shot from 9 ft,,77,92
335,4,10:44.0,,Shooting foul by D. Powell (drawn by A. Gordon),77,92
336,4,10:44.0,,A. Gordon misses free throw 1 of 2,77,92
337,4,10:44.0,,Offensive rebound by Team,77,92
338,4,10:44.0,,A. Gordon makes free throw 2 of 2,77,93
339,4,10:24.0,J. Brunson makes 2-pt layup from 4 ft,,79,93
340,4,10:17.0,,Shooting foul by J. Brunson (drawn by J. Grant),79,93
341,4,10:17.0,,J. Grant misses free throw 1 of 2,79,93
342,4,10:17.0,,Offensive rebound by Team,79,93
343,4,10:17.0,,J. Grant makes free throw 2 of 2,79,94
344,4,10:00.0,Turnover by C. Lee (bad pass; steal by T. Ross),,79,94
345,4,9:48.0,,Turnover by A. Gordon (bad pass; steal by J. Jackson),79,94
346,4,9:38.0,Shooting foul by A. Gordon (drawn by D. Powell),,79,94
347,4,9:38.0,D. Powell makes free throw 1 of 2,,80,94
348,4,9:38.0,D. Powell makes free throw 2 of 2,,81,94
349,4,9:26.0,,Turnover by A. Gordon (bad pass; steal by C. Lee),81,94
350,4,9:21.0,C. Lee misses 2-pt layup from 1 ft (block by A. Gordon),,81,94
351,4,9:17.0,,Defensive rebound by A. Gordon,81,94
352,4,9:13.0,,T. Ross makes 3-pt jump shot from 26 ft,81,97
353,4,8:53.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,81,97
354,4,8:50.0,,Defensive rebound by A. Gordon,81,97
355,4,8:41.0,,T. Ross makes 2-pt layup from 2 ft (assist by A. Gordon),81,99
356,4,8:41.0,Dallas full timeout,,81,99
357,4,8:32.0,D. Nowitzki makes 2-pt jump shot from 21 ft (assist by D. Powell),,83,99
358,4,8:13.0,,T. Ross misses 3-pt jump shot from 27 ft,83,99
359,4,8:10.0,Defensive rebound by J. Jackson,,83,99
360,4,8:03.0,C. Lee misses 3-pt jump shot from 24 ft,,83,99
361,4,7:59.0,,Defensive rebound by K. Birch,83,99
362,4,7:50.0,,Shooting foul by D. Nowitzki (drawn by K. Birch),83,99
363,4,7:50.0,,K. Birch makes free throw 1 of 2,83,100
364,4,7:50.0,,D. Augustin enters the game for E. Fournier,83,100
365,4,7:50.0,,J. Isaac enters the game for A. Gordon,83,100
366,4,7:50.0,,W. Iwundu enters the game for J. Grant,83,100
367,4,7:50.0,,K. Birch makes free throw 2 of 2,83,101
368,4,7:36.0,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by J. Brunson),,86,101
369,4,7:21.0,,Turnover by D. Augustin (step out of bounds),86,101
370,4,7:21.0,,N. Vučević enters the game for K. Birch,86,101
371,4,7:12.0,J. Brunson makes 2-pt jump shot from 7 ft (assist by D. Nowitzki),,88,101
372,4,6:53.0,,N. Vučević makes 2-pt jump shot from 9 ft (assist by T. Ross),88,103
373,4,6:32.0,C. Lee misses 3-pt jump shot from 24 ft,,88,103
374,4,6:29.0,Offensive rebound by D. Powell,,88,103
375,4,6:27.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,88,103
376,4,6:22.0,,Defensive rebound by W. Iwundu,88,103
377,4,6:13.0,,J. Isaac misses 2-pt jump shot from 11 ft,88,103
378,4,6:10.0,Defensive rebound by D. Powell,,88,103
379,4,6:03.0,Turnover by J. Brunson (lost ball; steal by D. Augustin),,88,103
380,4,6:03.0,,Personal foul by D. Nowitzki (drawn by J. Isaac),88,103
