,QUARTER,TIME_REMAINING,INDIANA_ACTION,DETROIT_ACTION,INDIANA_SCORE,DETROIT_SCORE
79,1,2:35.0,T. Leaf enters the game for W. Matthews,,14,25
80,1,2:35.0,D. McDermott enters the game for M. Turner,,14,25
81,1,2:35.0,,T. Maker enters the game for B. Griffin,14,25
82,1,2:35.0,D. Sabonis misses free throw 2 of 2,,14,25
83,1,2:31.0,,Defensive rebound by T. Maker,14,25
84,1,2:13.0,,L. Kennard makes 3-pt jump shot from 28 ft (assist by B. Brown),14,28
85,1,1:56.0,T. Evans misses 2-pt hook shot from 4 ft,,14,28
86,1,1:54.0,,Defensive rebound by A. Drummond,14,28
87,1,1:49.0,,L. Kennard makes 3-pt jump shot from 27 ft (assist by B. Brown),14,31
88,1,1:33.0,D. Sabonis makes 2-pt jump shot from 18 ft (assist by D. McDermott),,16,31
89,1,1:33.0,Shooting foul by A. Drummond (drawn by D. Sabonis),,16,31
90,1,1:33.0,,L. Galloway enters the game for B. Brown,16,31
91,1,1:33.0,D. Sabonis makes free throw 1 of 1,,17,31
92,1,1:17.0,,A. Drummond makes 2-pt layup from 3 ft (assist by L. Kennard),17,33
93,1,1:03.0,D. McDermott makes 3-pt jump shot from 23 ft (assist by D. Sabonis),,20,33
94,1,0:55.0,,Personal foul by D. Sabonis (drawn by A. Drummond),20,33
95,1,0:45.0,,I. Smith misses 2-pt jump shot from 20 ft,20,33
96,1,0:43.0,Defensive rebound by T. Leaf,,20,33
97,1,0:36.0,T. Leaf misses 2-pt jump shot from 7 ft,,20,33
98,1,0:33.0,,Defensive rebound by A. Drummond,20,33
99,1,0:23.0,,A. Drummond misses 2-pt layup from 2 ft (block by T. Evans),20,33
100,1,0:20.0,,Offensive rebound by A. Drummond,20,33
101,1,0:15.0,,L. Kennard makes 3-pt jump shot from 28 ft,20,36
102,1,0:00.0,T. Evans misses 2-pt layup from 3 ft,,20,36
103,1,0:00.0,Offensive rebound by Team,,20,36
104,2,11:45.0,D. Sabonis makes 2-pt jump shot from 10 ft (assist by D. McDermott),,22,36
105,2,11:22.0,,Personal foul by T. Evans (drawn by L. Galloway),22,36
106,2,11:17.0,,Offensive foul by Z. Pachulia (drawn by D. McDermott),22,36
107,2,11:17.0,,Turnover by Z. Pachulia (offensive foul),22,36
108,2,11:05.0,C. Joseph misses 2-pt jump shot from 17 ft,,22,36
109,2,11:02.0,,Defensive rebound by I. Smith,22,36
110,2,10:58.0,,Turnover by I. Smith (traveling),22,36
111,2,10:41.0,T. Leaf misses 2-pt jump shot from 4 ft,,22,36
112,2,10:37.0,Offensive rebound by T. Leaf,,22,36
113,2,10:37.0,T. Leaf makes 2-pt layup at rim,,24,36
114,2,10:30.0,,Personal foul by D. Sabonis (drawn by Z. Pachulia),24,36
115,2,10:17.0,,L. Galloway misses 3-pt jump shot from 25 ft,24,36
116,2,10:15.0,Defensive rebound by T. Leaf,,24,36
117,2,10:10.0,Shooting foul by L. Kennard (drawn by D. McDermott),,24,36
118,2,10:10.0,D. McDermott makes free throw 1 of 2,,25,36
119,2,10:10.0,D. McDermott makes free throw 2 of 2,,26,36
120,2,9:52.0,,L. Galloway makes 2-pt layup from 2 ft (assist by Z. Pachulia),26,38
121,2,9:37.0,D. Sabonis makes 2-pt layup from 2 ft (assist by T. Evans),,28,38
122,2,9:22.0,,L. Kennard makes 2-pt jump shot from 7 ft (assist by Z. Pachulia),28,40
123,2,9:01.0,D. McDermott misses 3-pt jump shot from 23 ft,,28,40
124,2,8:59.0,,Defensive rebound by I. Smith,28,40
125,2,8:52.0,,L. Kennard misses 3-pt jump shot from 23 ft,28,40
126,2,8:51.0,,Offensive rebound by Team,28,40
127,2,8:46.0,,Shooting foul by T. Leaf (drawn by T. Maker),28,40
128,2,8:46.0,,T. Maker makes free throw 1 of 2,28,41
129,2,8:46.0,,T. Maker makes free throw 2 of 2,28,42
130,2,8:26.0,T. Leaf misses 3-pt jump shot from 22 ft,,28,42
131,2,8:21.0,,Defensive rebound by I. Smith,28,42
132,2,8:20.0,,I. Smith misses 2-pt layup from 2 ft,28,42
133,2,8:18.0,Defensive rebound by D. Sabonis,,28,42
134,2,8:11.0,Personal foul by Z. Pachulia (drawn by D. Sabonis),,28,42
135,2,7:54.0,D. McDermott misses 3-pt jump shot from 24 ft,,28,42
136,2,7:52.0,,Defensive rebound by L. Kennard,28,42
137,2,7:46.0,,L. Kennard misses 3-pt jump shot from 26 ft,28,42
138,2,7:43.0,Defensive rebound by T. Evans,,28,42
139,2,7:41.0,T. Evans misses 2-pt layup from 2 ft,,28,42
140,2,7:41.0,Offensive rebound by D. Sabonis,,28,42
141,2,7:36.0,D. Sabonis misses 2-pt layup at rim,,28,42
142,2,7:36.0,Offensive rebound by T. Evans,,28,42
143,2,7:36.0,T. Evans misses 2-pt layup at rim,,28,42
144,2,7:36.0,Offensive rebound by D. Sabonis,,28,42
145,2,7:35.0,D. Sabonis makes 2-pt layup at rim,,30,42
146,2,7:35.0,,Violation by Team (def goaltending),30,42
147,2,7:16.0,,L. Galloway makes 2-pt jump shot from 15 ft,30,44
148,2,6:59.0,T. Evans misses 3-pt jump shot from 23 ft,,30,44
149,2,6:54.0,,Defensive rebound by L. Galloway,30,44
150,2,6:42.0,,L. Galloway misses 3-pt jump shot from 28 ft,30,44
151,2,6:39.0,Defensive rebound by T. Leaf,,30,44
152,2,6:25.0,D. Sabonis makes 2-pt jump shot from 16 ft (assist by T. Evans),,32,44
153,2,6:17.0,,Detroit full timeout,32,44
154,2,6:17.0,B. Bogdanović enters the game for T. Leaf,,32,44
155,2,6:17.0,T. Young enters the game for D. McDermott,,32,44
156,2,6:17.0,,A. Drummond enters the game for T. Maker,32,44
157,2,6:17.0,,B. Griffin enters the game for Z. Pachulia,32,44
158,2,6:17.0,,R. Jackson enters the game for I. Smith,32,44
159,2,6:06.0,,Turnover by A. Drummond (lost ball; steal by T. Young),32,44
160,2,5:51.0,T. Young misses 2-pt layup from 3 ft,,32,44
161,2,5:45.0,Offensive rebound by D. Sabonis,,32,44
162,2,5:45.0,D. Sabonis makes 2-pt layup at rim,,34,44
163,2,5:31.0,,B. Griffin misses 2-pt layup from 3 ft,34,44
164,2,5:29.0,Defensive rebound by T. Evans,,34,44
165,2,5:24.0,D. Sabonis makes 2-pt layup from 4 ft,,36,44
166,2,5:09.0,,Personal foul by B. Bogdanović (drawn by L. Kennard),36,44
167,2,5:09.0,W. Matthews enters the game for T. Evans,,36,44
168,2,5:09.0,M. Turner enters the game for D. Sabonis,,36,44
169,2,5:06.0,,Personal foul by T. Young (drawn by B. Griffin),36,44
170,2,5:06.0,,B. Griffin misses free throw 1 of 2,36,44
171,2,5:06.0,,Offensive rebound by Team,36,44
172,2,5:06.0,,B. Griffin misses free throw 2 of 2,36,44
173,2,5:03.0,Defensive rebound by T. Young,,36,44
174,2,4:43.0,M. Turner makes 2-pt jump shot from 9 ft (assist by C. Joseph),,38,44
175,2,4:33.0,,Turnover by R. Jackson (bad pass; steal by T. Young),38,44
176,2,4:29.0,Turnover by T. Young (bad pass; steal by L. Kennard),,38,44
177,2,4:24.0,,L. Galloway misses 3-pt jump shot from 28 ft,38,44
178,2,4:21.0,Defensive rebound by C. Joseph,,38,44
179,2,4:18.0,Turnover by T. Young (bad pass; steal by L. Galloway),,38,44
180,2,3:57.0,,L. Kennard makes 3-pt jump shot from 25 ft (assist by L. Galloway),38,47
181,2,3:51.0,B. Bogdanović makes 2-pt jump shot from 13 ft (assist by C. Joseph),,40,47
182,2,3:36.0,,B. Griffin misses 3-pt jump shot from 27 ft,40,47
183,2,3:33.0,Defensive rebound by M. Turner,,40,47
184,2,3:26.0,W. Matthews misses 3-pt jump shot from 26 ft,,40,47
185,2,3:21.0,,Defensive rebound by B. Griffin,40,47
186,2,3:13.0,,B. Griffin makes 2-pt layup from 4 ft,40,49
187,2,3:12.0,Indiana full timeout,,40,49
188,2,3:12.0,D. Collison enters the game for C. Joseph,,40,49
189,2,3:12.0,,B. Brown enters the game for L. Galloway,40,49
190,2,3:12.0,,W. Ellington enters the game for L. Kennard,40,49
191,2,2:55.0,M. Turner misses 2-pt jump shot from 19 ft,,40,49
192,2,2:52.0,,Defensive rebound by B. Brown,40,49
193,2,2:40.0,,R. Jackson makes 3-pt jump shot from 24 ft (assist by B. Griffin),40,52
194,2,2:21.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,43,52
195,2,1:57.0,,B. Griffin makes 3-pt jump shot from 23 ft (assist by A. Drummond),43,55
196,2,1:38.0,B. Bogdanović makes 2-pt layup from 3 ft,,45,55
197,2,1:24.0,,W. Ellington misses 3-pt jump shot from 28 ft,45,55
198,2,1:19.0,Defensive rebound by W. Matthews,,45,55
199,2,1:15.0,M. Turner misses 3-pt jump shot from 26 ft,,45,55
200,2,1:12.0,Offensive rebound by T. Young,,45,55
201,2,1:09.0,T. Young makes 2-pt hook shot from 6 ft,,47,55
202,2,0:58.0,,Turnover by R. Jackson (step out of bounds),47,55
203,2,0:47.0,Shooting foul by B. Brown (drawn by D. Collison),,47,55
204,2,0:47.0,D. Collison makes free throw 1 of 2,,48,55
205,2,0:47.0,D. Collison makes free throw 2 of 2,,49,55
206,2,0:28.0,,R. Jackson misses 3-pt jump shot from 30 ft,49,55
207,2,0:21.0,,Offensive rebound by B. Griffin,49,55
208,2,0:21.0,,B. Griffin misses 2-pt layup from 1 ft,49,55
209,2,0:21.0,Defensive rebound by T. Young,,49,55
210,2,0:09.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,49,55
211,2,0:07.0,Offensive rebound by T. Young,,49,55
212,2,0:07.0,T. Young makes 2-pt hook shot from 7 ft,,51,55
213,2,0:00.0,,W. Ellington misses 3-pt jump shot from 27 ft,51,55
214,2,0:00.0,,Offensive rebound by Team,51,55
215,3,11:43.0,Turnover by M. Turner (lost ball; steal by R. Jackson),,51,55
216,3,11:40.0,,Shooting foul by D. Collison (drawn by R. Jackson),51,55
217,3,11:40.0,,R. Jackson makes free throw 1 of 2,51,56
218,3,11:40.0,,R. Jackson makes free throw 2 of 2,51,57
219,3,11:18.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,51,57
220,3,11:14.0,,Defensive rebound by A. Drummond,51,57
221,3,11:08.0,Violation by Team (kicked ball),,51,57
222,3,11:01.0,,Turnover by B. Griffin (bad pass; steal by M. Turner),51,57
223,3,10:55.0,D. Collison makes 2-pt layup from 3 ft,,53,57
224,3,10:30.0,,Shooting foul by M. Turner (drawn by A. Drummond),53,57
225,3,10:30.0,,A. Drummond makes free throw 1 of 2,53,58
226,3,10:30.0,,A. Drummond makes free throw 2 of 2,53,59
227,3,10:13.0,B. Bogdanović makes 2-pt jump shot from 7 ft,,55,59
228,3,10:13.0,Shooting foul by W. Ellington (drawn by B. Bogdanović),,55,59
229,3,10:13.0,B. Bogdanović makes free throw 1 of 1,,56,59
230,3,10:00.0,,R. Jackson misses 2-pt layup from 2 ft (block by M. Turner),56,59
231,3,9:55.0,,Offensive rebound by A. Drummond,56,59
232,3,9:54.0,,A. Drummond makes 2-pt dunk from 1 ft,56,61
233,3,9:41.0,M. Turner makes 2-pt dunk from 3 ft (assist by D. Collison),,58,61
234,3,9:19.0,,B. Griffin makes 3-pt jump shot from 23 ft,58,64
235,3,9:01.0,M. Turner misses 2-pt jump shot from 16 ft,,58,64
236,3,8:59.0,,Defensive rebound by B. Griffin,58,64
237,3,8:53.0,,A. Drummond misses 2-pt jump shot from 5 ft,58,64
238,3,8:50.0,Defensive rebound by T. Young,,58,64
239,3,8:48.0,Turnover by T. Young (out of bounds lost ball),,58,64
240,3,8:27.0,,R. Jackson misses 2-pt layup from 2 ft,58,64
241,3,8:26.0,,Offensive rebound by A. Drummond,58,64
242,3,8:23.0,,A. Drummond misses 2-pt jump shot from 4 ft,58,64
243,3,8:20.0,Defensive rebound by B. Bogdanović,,58,64
244,3,8:17.0,D. Collison misses 2-pt jump shot from 18 ft,,58,64
245,3,8:13.0,Offensive rebound by T. Young,,58,64
246,3,8:11.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by T. Young),,61,64
247,3,8:11.0,,Detroit full timeout,61,64
248,3,8:11.0,D. Sabonis enters the game for M. Turner,,61,64
249,3,8:02.0,,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Jackson),61,67
250,3,7:40.0,D. Sabonis misses 2-pt jump shot from 16 ft,,61,67
251,3,7:38.0,Offensive rebound by D. Sabonis,,61,67
252,3,7:37.0,Shooting foul by R. Jackson (drawn by D. Sabonis),,61,67
253,3,7:37.0,D. Sabonis makes free throw 1 of 2,,62,67
254,3,7:37.0,D. Sabonis makes free throw 2 of 2,,63,67
255,3,7:27.0,,W. Ellington makes 3-pt jump shot from 26 ft (assist by B. Griffin),63,70
256,3,7:20.0,B. Bogdanović misses 3-pt jump shot from 22 ft,,63,70
257,3,7:17.0,Offensive rebound by T. Young,,63,70
258,3,7:15.0,Personal foul by W. Ellington (drawn by W. Matthews),,63,70
259,3,7:06.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,63,70
260,3,7:04.0,,Defensive rebound by B. Griffin,63,70
261,3,7:04.0,Loose ball foul by D. Sabonis (drawn by B. Griffin),,63,70
262,3,6:54.0,,B. Griffin misses 3-pt jump shot from 27 ft,63,70
263,3,6:53.0,,Offensive rebound by A. Drummond,63,70
264,3,6:48.0,,R. Jackson misses 3-pt jump shot from 24 ft,63,70
265,3,6:47.0,Defensive rebound by Team,,63,70
266,3,6:32.0,T. Young misses 2-pt jump shot from 4 ft,,63,70
267,3,6:29.0,Offensive rebound by T. Young,,63,70
268,3,6:26.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by T. Young),,66,70
269,3,6:06.0,,A. Drummond misses 2-pt layup from 2 ft,66,70
270,3,6:03.0,,Offensive rebound by A. Drummond,66,70
271,3,6:03.0,,A. Drummond makes 2-pt layup at rim,66,72
272,3,5:55.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),,68,72
273,3,5:39.0,,Turnover by R. Jackson (bad pass; steal by T. Young),68,72
274,3,5:32.0,D. Collison makes 3-pt jump shot from 28 ft (assist by T. Young),,71,72
275,3,5:09.0,,W. Ellington misses 3-pt jump shot from 23 ft,71,72
276,3,5:04.0,,Offensive rebound by A. Drummond,71,72
277,3,5:04.0,,A. Drummond misses 2-pt layup at rim,71,72
278,3,5:03.0,Defensive rebound by B. Bogdanović,,71,72
279,3,4:59.0,T. Young misses 3-pt jump shot from 30 ft,,71,72
280,3,4:56.0,,Defensive rebound by B. Griffin,71,72
281,3,4:50.0,,Personal foul by W. Matthews (drawn by B. Griffin),71,72
282,3,4:50.0,,I. Smith enters the game for R. Jackson,71,72
283,3,4:40.0,,W. Ellington misses 3-pt jump shot from 27 ft,71,72
284,3,4:38.0,,Offensive rebound by A. Drummond,71,72
285,3,4:28.0,,B. Griffin misses 3-pt jump shot from 26 ft (block by W. Matthews),71,72
286,3,4:27.0,,Offensive rebound by B. Griffin,71,72
287,3,4:26.0,,B. Griffin misses 2-pt jump shot from 23 ft,71,72
288,3,4:23.0,Defensive rebound by T. Young,,71,72
289,3,4:11.0,D. Collison misses 2-pt jump shot from 6 ft,,71,72
290,3,4:11.0,,Defensive rebound by Team,71,72
291,3,3:54.0,,Personal foul by D. Sabonis (drawn by B. Griffin),71,72
292,3,3:54.0,,Technical foul by N. McMillan,71,72
293,3,3:54.0,,W. Ellington makes technical free throw,71,73
294,3,3:54.0,,B. Griffin makes free throw 1 of 2,71,74
295,3,3:54.0,M. Turner enters the game for T. Young,,71,74
296,3,3:54.0,,B. Griffin makes free throw 2 of 2,71,75
297,3,3:40.0,D. Sabonis makes 2-pt layup from 4 ft (assist by D. Collison),,73,75
298,3,3:21.0,,B. Griffin misses 2-pt layup from 1 ft,73,75
299,3,3:19.0,Defensive rebound by M. Turner,,73,75
300,3,3:16.0,D. Collison makes 2-pt layup from 2 ft,,75,75
301,3,3:16.0,,Violation by Team (def goaltending),75,75
302,3,3:01.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by I. Smith),75,78
303,3,2:46.0,W. Matthews misses 2-pt layup from 2 ft,,75,78
304,3,2:44.0,,Defensive rebound by B. Griffin,75,78
305,3,2:30.0,,A. Drummond makes 2-pt layup from 2 ft (assist by I. Smith),75,80
306,3,2:11.0,W. Matthews misses 3-pt jump shot from 27 ft,,75,80
307,3,2:09.0,,Defensive rebound by B. Brown,75,80
308,3,1:55.0,,A. Drummond makes 2-pt layup from 2 ft (assist by I. Smith),75,82
309,3,1:55.0,Indiana full timeout,,75,82
310,3,1:55.0,T. Evans enters the game for B. Bogdanović,,75,82
311,3,1:55.0,C. Joseph enters the game for D. Collison,,75,82
312,3,1:55.0,D. McDermott enters the game for W. Matthews,,75,82
313,3,1:55.0,,L. Kennard enters the game for W. Ellington,75,82
314,3,1:55.0,,T. Maker enters the game for B. Griffin,75,82
315,3,1:41.0,Turnover by M. Turner (lost ball; steal by I. Smith),,75,82
316,3,1:36.0,,B. Brown misses 2-pt layup from 2 ft,75,82
317,3,1:32.0,,T. Maker misses 2-pt layup at rim,75,82
318,3,1:32.0,,Offensive rebound by T. Maker,75,82
319,3,1:31.0,Defensive rebound by D. McDermott,,75,82
320,3,1:25.0,D. Sabonis misses 2-pt jump shot from 13 ft (block by A. Drummond),,75,82
321,3,1:21.0,,Defensive rebound by A. Drummond,75,82
322,3,1:05.0,,A. Drummond makes 2-pt layup from 1 ft,75,84
323,3,0:47.0,C. Joseph makes 2-pt jump shot from 12 ft,,77,84
324,3,0:27.0,,B. Brown misses 3-pt jump shot from 27 ft,77,84
325,3,0:25.0,,Offensive rebound by A. Drummond,77,84
326,3,0:25.0,,A. Drummond misses 2-pt layup from 2 ft,77,84
327,3,0:22.0,Defensive rebound by C. Joseph,,77,84
328,3,0:16.0,Personal take foul by L. Kennard (drawn by T. Evans),,77,84
329,3,0:02.0,D. Sabonis misses 2-pt hook shot from 6 ft (block by A. Drummond),,77,84
330,3,0:02.0,Offensive rebound by Team,,77,84
331,4,11:38.0,,T. Maker misses 3-pt jump shot from 26 ft,77,84
332,4,11:37.0,Defensive rebound by Team,,77,84
333,4,11:27.0,C. Joseph misses 3-pt jump shot from 27 ft,,77,84
334,4,11:23.0,,Defensive rebound by T. Maker,77,84
335,4,11:11.0,,I. Smith misses 2-pt jump shot from 8 ft (block by D. Sabonis),77,84
336,4,11:09.0,,Offensive rebound by I. Smith,77,84
337,4,11:08.0,,Turnover by I. Smith (bad pass; steal by D. McDermott),77,84
338,4,10:59.0,D. Sabonis makes 2-pt jump shot from 9 ft (assist by C. Joseph),,79,84
339,4,10:34.0,,L. Galloway makes 3-pt jump shot from 26 ft (assist by I. Smith),79,87
340,4,10:16.0,M. Turner makes 3-pt jump shot from 27 ft (assist by C. Joseph),,82,87
341,4,10:00.0,,Turnover by L. Kennard (bad pass),82,87
342,4,10:00.0,B. Bogdanović enters the game for M. Turner,,82,87
343,4,9:37.0,B. Bogdanović makes 2-pt jump shot from 9 ft (assist by D. McDermott),,84,87
344,4,9:37.0,,Detroit full timeout,84,87
345,4,9:37.0,,B. Griffin enters the game for T. Maker,84,87
346,4,9:20.0,,L. Kennard makes 2-pt jump shot from 7 ft (assist by B. Griffin),84,89
347,4,9:07.0,Personal foul by L. Galloway (drawn by T. Evans),,84,89
348,4,9:00.0,B. Bogdanović misses 2-pt jump shot from 14 ft (block by L. Kennard),,84,89
349,4,8:58.0,,Defensive rebound by L. Kennard,84,89
350,4,8:41.0,,L. Galloway makes 2-pt jump shot from 9 ft (assist by B. Griffin),84,91
351,4,8:41.0,,Shooting foul by D. Sabonis (drawn by L. Galloway),84,91
352,4,8:41.0,M. Turner enters the game for D. Sabonis,,84,91
353,4,8:41.0,,L. Galloway makes free throw 1 of 1,84,92
354,4,8:29.0,B. Bogdanović misses 3-pt jump shot from 30 ft,,84,92
355,4,8:24.0,,Defensive rebound by Z. Pachulia,84,92
356,4,8:09.0,,B. Griffin makes 3-pt jump shot from 29 ft (assist by L. Kennard),84,95
357,4,8:09.0,Indiana full timeout,,84,95
358,4,8:09.0,D. Collison enters the game for T. Evans,,84,95
359,4,8:09.0,T. Young enters the game for D. McDermott,,84,95
360,4,8:09.0,,A. Drummond enters the game for Z. Pachulia,84,95
361,4,7:53.0,M. Turner misses 3-pt jump shot from 28 ft,,84,95
362,4,7:48.0,,Defensive rebound by B. Griffin,84,95
363,4,7:40.0,,A. Drummond makes 2-pt layup from 3 ft (assist by I. Smith),84,97
364,4,7:22.0,D. Collison misses 3-pt jump shot from 29 ft,,84,97
365,4,7:19.0,,Defensive rebound by Team,84,97
366,4,6:59.0,,B. Griffin misses 2-pt jump shot from 7 ft,84,97
367,4,6:57.0,,Offensive rebound by L. Galloway,84,97
368,4,6:53.0,,Turnover by B. Griffin (bad pass; steal by D. Collison),84,97
369,4,6:44.0,Personal foul by L. Galloway (drawn by M. Turner),,84,97
370,4,6:32.0,D. Collison makes 2-pt layup from 2 ft,,86,97
371,4,6:07.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by B. Griffin),86,100
372,4,5:39.0,M. Turner misses 2-pt jump shot from 11 ft,,86,100
373,4,5:37.0,,Defensive rebound by L. Kennard,86,100
374,4,5:16.0,,I. Smith misses 3-pt jump shot from 27 ft,86,100
375,4,5:13.0,Defensive rebound by M. Turner,,86,100
376,4,5:12.0,Shooting foul by L. Kennard (drawn by B. Bogdanović),,86,100
377,4,5:12.0,B. Bogdanović makes free throw 1 of 2,,87,100
378,4,5:12.0,W. Matthews enters the game for C. Joseph,,87,100
379,4,5:12.0,B. Bogdanović makes free throw 2 of 2,,88,100
380,4,5:00.0,,L. Kennard misses 3-pt jump shot from 26 ft,88,100
381,4,4:57.0,Defensive rebound by D. Collison,,88,100
382,4,4:50.0,M. Turner misses 2-pt hook shot from 7 ft (block by A. Drummond),,88,100
