,QUARTER,TIME_REMAINING,PORTLAND_ACTION,SACRAMENTO_ACTION,PORTLAND_SCORE,SACRAMENTO_SCORE
78,1,3:36.0,D. Lillard makes 2-pt layup from 2 ft,,20,16
79,1,3:19.0,,H. Giles makes 2-pt hook shot from 6 ft (assist by D. Fox),20,18
80,1,3:04.0,D. Lillard misses 3-pt jump shot from 25 ft,,20,18
81,1,2:59.0,,Defensive rebound by B. Hield,20,18
82,1,2:49.0,,B. Hield misses 3-pt jump shot from 25 ft,20,18
83,1,2:46.0,Defensive rebound by D. Lillard,,20,18
84,1,2:40.0,,Violation by Team (kicked ball),20,18
85,1,2:40.0,M. Leonard enters the game for J. Nurkić,,20,18
86,1,2:40.0,,Y. Ferrell enters the game for D. Fox,20,18
87,1,2:27.0,M. Leonard makes 3-pt jump shot from 25 ft,,23,18
88,1,2:06.0,,H. Giles makes 2-pt jump shot from 14 ft (assist by Y. Ferrell),23,20
89,1,1:54.0,S. Curry makes 2-pt jump shot from 16 ft (assist by D. Lillard),,25,20
90,1,1:42.0,,B. Hield makes 2-pt jump shot from 20 ft (assist by M. Bagley),25,22
91,1,1:20.0,S. Curry misses 2-pt jump shot from 15 ft,,25,22
92,1,1:20.0,Offensive rebound by M. Leonard,,25,22
93,1,1:14.0,Z. Collins misses 3-pt jump shot from 26 ft,,25,22
94,1,1:06.0,,Defensive rebound by Y. Ferrell,25,22
95,1,1:03.0,,Y. Ferrell makes 2-pt layup from 7 ft,25,24
96,1,0:50.0,Turnover by M. Leonard (out of bounds lost ball),,25,24
97,1,0:50.0,,J. Jackson enters the game for B. Hield,25,24
98,1,0:33.0,,J. Jackson misses 2-pt jump shot from 13 ft,25,24
99,1,0:29.0,Defensive rebound by D. Lillard,,25,24
100,1,0:25.0,D. Lillard misses 2-pt layup from 2 ft (block by H. Giles),,25,24
101,1,0:22.0,,Defensive rebound by Y. Ferrell,25,24
102,1,0:18.0,,Y. Ferrell misses 2-pt layup from 2 ft (block by Z. Collins),25,24
103,1,0:16.0,Defensive rebound by M. Leonard,,25,24
104,1,0:02.0,E. Turner makes 2-pt jump shot from 16 ft,,27,24
105,1,0:00.0,,Personal foul by S. Curry (drawn by Y. Ferrell),27,24
106,1,0:00.0,,J. Jackson misses 3-pt jump shot from 50 ft,27,24
107,1,0:00.0,,Offensive rebound by Team,27,24
108,2,11:38.0,,Personal foul by Z. Collins (drawn by M. Bagley),27,24
109,2,11:32.0,,H. Giles makes 2-pt dunk from 1 ft (assist by B. Bogdanović),27,26
110,2,11:15.0,E. Turner misses 2-pt jump shot from 15 ft,,27,26
111,2,11:11.0,,Defensive rebound by M. Bagley,27,26
112,2,11:07.0,,M. Bagley misses 3-pt jump shot from 25 ft,27,26
113,2,11:04.0,Defensive rebound by S. Curry,,27,26
114,2,10:55.0,N. Stauskas makes 2-pt layup from 1 ft (assist by M. Leonard),,29,26
115,2,10:44.0,,H. Giles makes 2-pt jump shot from 16 ft (assist by Y. Ferrell),29,28
116,2,10:29.0,Turnover by E. Turner (bad pass),,29,28
117,2,10:20.0,,B. Bogdanović makes 2-pt jump shot from 13 ft,29,30
118,2,10:06.0,E. Turner misses 2-pt jump shot from 11 ft,,29,30
119,2,10:03.0,Offensive rebound by Z. Collins,,29,30
120,2,10:03.0,Shooting foul by M. Bagley (drawn by Z. Collins),,29,30
121,2,10:03.0,Z. Collins makes free throw 1 of 2,,30,30
122,2,10:03.0,Z. Collins misses free throw 2 of 2,,30,30
123,2,10:01.0,,Defensive rebound by M. Bagley,30,30
124,2,9:49.0,,J. Jackson misses 3-pt jump shot from 27 ft,30,30
125,2,9:45.0,Defensive rebound by N. Stauskas,,30,30
126,2,9:45.0,,Personal foul by Z. Collins (drawn by M. Bagley),30,30
127,2,9:45.0,Personal foul by M. Bagley (drawn by Z. Collins),,30,30
128,2,9:31.0,E. Turner misses 3-pt jump shot from 25 ft,,30,30
129,2,9:28.0,,Defensive rebound by H. Giles,30,30
130,2,9:25.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by H. Giles),30,33
131,2,8:58.0,N. Stauskas misses 3-pt jump shot from 25 ft,,30,33
132,2,8:55.0,,Defensive rebound by H. Giles,30,33
133,2,8:42.0,,M. Bagley misses 2-pt jump shot from 8 ft,30,33
134,2,8:40.0,Defensive rebound by M. Leonard,,30,33
135,2,8:29.0,E. Turner misses 2-pt jump shot from 11 ft,,30,33
136,2,8:27.0,,Defensive rebound by M. Bagley,30,33
137,2,8:19.0,,Y. Ferrell makes 2-pt jump shot from 17 ft,30,35
138,2,8:17.0,Portland full timeout,,30,35
139,2,8:17.0,C. McCollum enters the game for E. Turner,,30,35
140,2,8:17.0,,N. Bjelica enters the game for M. Bagley,30,35
141,2,8:01.0,C. McCollum misses 2-pt jump shot from 13 ft (block by J. Jackson),,30,35
142,2,7:57.0,,Defensive rebound by N. Bjelica,30,35
143,2,7:43.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,30,35
144,2,7:40.0,Defensive rebound by C. McCollum,,30,35
145,2,7:25.0,N. Stauskas misses 3-pt jump shot from 25 ft,,30,35
146,2,7:22.0,,Defensive rebound by J. Jackson,30,35
147,2,7:20.0,,Personal foul by Z. Collins (drawn by N. Bjelica),30,35
148,2,7:07.0,,H. Giles misses 2-pt jump shot from 12 ft,30,35
149,2,7:05.0,Defensive rebound by M. Leonard,,30,35
150,2,6:54.0,C. McCollum makes 2-pt layup from 3 ft,,32,35
151,2,6:47.0,,J. Jackson makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),32,38
152,2,6:33.0,Personal foul by H. Giles (drawn by M. Leonard),,32,38
153,2,6:33.0,,W. Cauley-Stein enters the game for H. Giles,32,38
154,2,6:28.0,N. Stauskas misses 3-pt jump shot from 25 ft,,32,38
155,2,6:24.0,,Defensive rebound by W. Cauley-Stein,32,38
156,2,6:14.0,,Turnover by W. Cauley-Stein (3 sec),32,38
157,2,6:00.0,M. Leonard makes 3-pt jump shot from 25 ft (assist by S. Curry),,35,38
158,2,5:43.0,,B. Bogdanović makes 2-pt jump shot from 9 ft (assist by N. Bjelica),35,40
159,2,5:30.0,C. McCollum misses 2-pt jump shot from 5 ft,,35,40
160,2,5:28.0,,Defensive rebound by J. Jackson,35,40
161,2,5:25.0,,Personal foul by N. Stauskas (drawn by J. Jackson),35,40
162,2,5:25.0,A. Aminu enters the game for Z. Collins,,35,40
163,2,5:25.0,J. Nurkić enters the game for M. Leonard,,35,40
164,2,5:25.0,,D. Fox enters the game for Y. Ferrell,35,40
165,2,5:10.0,,B. Bogdanović makes 2-pt layup from 2 ft,35,42
166,2,4:59.0,C. McCollum misses 2-pt layup from 2 ft,,35,42
167,2,4:53.0,,Defensive rebound by D. Fox,35,42
168,2,4:51.0,,Shooting foul by J. Nurkić (drawn by W. Cauley-Stein),35,42
169,2,4:51.0,,W. Cauley-Stein makes free throw 1 of 2,35,43
170,2,4:51.0,J. Layman enters the game for S. Curry,,35,43
171,2,4:51.0,D. Lillard enters the game for N. Stauskas,,35,43
172,2,4:51.0,,W. Cauley-Stein makes free throw 2 of 2,35,44
173,2,4:38.0,Personal foul by D. Fox (drawn by D. Lillard),,35,44
174,2,4:38.0,,I. Shumpert enters the game for J. Jackson,35,44
175,2,4:33.0,Turnover by C. McCollum (lost ball; steal by D. Fox),,35,44
176,2,4:27.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by D. Fox),35,46
177,2,4:10.0,,Violation by Team (kicked ball),35,46
178,2,4:07.0,D. Lillard makes 3-pt jump shot from 27 ft (assist by J. Nurkić),,38,46
179,2,3:44.0,,B. Bogdanović misses 2-pt layup from 2 ft,38,46
180,2,3:42.0,,Offensive rebound by W. Cauley-Stein,38,46
181,2,3:34.0,,N. Bjelica misses 3-pt jump shot from 23 ft,38,46
182,2,3:32.0,,Offensive rebound by W. Cauley-Stein,38,46
183,2,3:30.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),38,48
184,2,3:15.0,D. Lillard misses 2-pt layup from 2 ft (block by B. Bogdanović),,38,48
185,2,3:11.0,,Defensive rebound by N. Bjelica,38,48
186,2,3:08.0,,Turnover by B. Bogdanović (bad pass; steal by A. Aminu),38,48
187,2,3:06.0,Shooting foul by N. Bjelica (drawn by A. Aminu),,38,48
188,2,3:06.0,A. Aminu misses free throw 1 of 2,,38,48
189,2,3:06.0,Offensive rebound by Team,,38,48
190,2,3:06.0,A. Aminu makes free throw 2 of 2,,39,48
191,2,2:53.0,,N. Bjelica misses 2-pt layup from 2 ft,39,48
192,2,2:50.0,Defensive rebound by J. Nurkić,,39,48
193,2,2:38.0,A. Aminu misses 2-pt layup from 2 ft,,39,48
194,2,2:35.0,Offensive rebound by A. Aminu,,39,48
195,2,2:29.0,A. Aminu misses 2-pt hook shot from 5 ft,,39,48
196,2,2:29.0,,Defensive rebound by I. Shumpert,39,48
197,2,2:29.0,,Sacramento full timeout,39,48
198,2,2:29.0,,B. Hield enters the game for B. Bogdanović,39,48
199,2,2:12.0,,D. Fox misses 2-pt jump shot from 23 ft,39,48
200,2,2:10.0,,Offensive rebound by B. Hield,39,48
201,2,2:07.0,,Turnover by I. Shumpert (bad pass),39,48
202,2,1:51.0,Def 3 sec tech foul by Team,,39,48
203,2,1:51.0,D. Lillard makes technical free throw,,40,48
204,2,1:45.0,J. Nurkić misses 2-pt hook shot from 8 ft,,40,48
205,2,1:41.0,Offensive rebound by A. Aminu,,40,48
206,2,1:35.0,Turnover by C. McCollum (bad pass; steal by W. Cauley-Stein),,40,48
207,2,1:25.0,,Shooting foul by C. McCollum (drawn by B. Hield),40,48
208,2,1:25.0,,B. Hield makes free throw 1 of 2,40,49
209,2,1:25.0,,B. Hield makes free throw 2 of 2,40,50
210,2,1:11.0,D. Lillard makes 2-pt layup from 2 ft,,42,50
211,2,1:06.0,,Shooting foul by C. McCollum (drawn by D. Fox),42,50
212,2,1:06.0,,D. Fox makes free throw 1 of 2,42,51
213,2,1:06.0,,D. Fox makes free throw 2 of 2,42,52
214,2,0:46.0,J. Layman makes 2-pt layup from 2 ft (assist by A. Aminu),,44,52
215,2,0:31.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,44,52
216,2,0:28.0,,Offensive rebound by I. Shumpert,44,52
217,2,0:25.0,,N. Bjelica misses 3-pt jump shot from 24 ft,44,52
218,2,0:22.0,Defensive rebound by C. McCollum,,44,52
219,2,0:14.0,A. Aminu misses 2-pt jump shot from 5 ft,,44,52
220,2,0:12.0,,Defensive rebound by I. Shumpert,44,52
221,2,0:01.0,,B. Hield makes 2-pt jump shot from 21 ft,44,54
222,3,11:43.0,,I. Shumpert misses 2-pt jump shot from 18 ft,44,54
223,3,11:39.0,Defensive rebound by A. Aminu,,44,54
224,3,11:23.0,J. Nurkić makes 2-pt jump shot from 21 ft (assist by A. Aminu),,46,54
225,3,11:16.0,,I. Shumpert misses 3-pt jump shot from 26 ft,46,54
226,3,11:13.0,Defensive rebound by A. Aminu,,46,54
227,3,10:58.0,D. Lillard makes 2-pt jump shot from 19 ft,,48,54
228,3,10:46.0,,D. Fox makes 2-pt jump shot from 9 ft,48,56
229,3,10:29.0,D. Lillard misses 3-pt jump shot from 25 ft,,48,56
230,3,10:26.0,,Defensive rebound by W. Cauley-Stein,48,56
231,3,10:23.0,,Personal foul by J. Layman (drawn by I. Shumpert),48,56
232,3,10:23.0,,Technical foul by I. Shumpert,48,56
233,3,10:23.0,D. Lillard makes technical free throw,,49,56
234,3,10:12.0,,B. Hield makes 2-pt jump shot from 18 ft,49,58
235,3,9:59.0,Personal foul by B. Hield (drawn by J. Layman),,49,58
236,3,9:53.0,C. McCollum misses 2-pt jump shot from 8 ft (block by N. Bjelica),,49,58
237,3,9:49.0,Offensive rebound by J. Nurkić,,49,58
238,3,9:47.0,A. Aminu makes 3-pt jump shot from 26 ft (assist by J. Nurkić),,52,58
239,3,9:38.0,,Shooting foul by J. Nurkić (drawn by D. Fox),52,58
240,3,9:38.0,,D. Fox makes free throw 1 of 2,52,59
241,3,9:38.0,,D. Fox makes free throw 2 of 2,52,60
242,3,9:28.0,D. Lillard misses 2-pt layup from 2 ft,,52,60
243,3,9:26.0,,Defensive rebound by N. Bjelica,52,60
244,3,9:13.0,,D. Fox misses 2-pt jump shot from 23 ft,52,60
245,3,9:10.0,Defensive rebound by J. Nurkić,,52,60
246,3,9:02.0,C. McCollum misses 2-pt jump shot from 21 ft,,52,60
247,3,8:58.0,Offensive rebound by J. Nurkić,,52,60
248,3,8:47.0,Personal foul by I. Shumpert (drawn by D. Lillard),,52,60
249,3,8:34.0,C. McCollum misses 2-pt layup from 2 ft,,52,60
250,3,8:34.0,Offensive rebound by A. Aminu,,52,60
251,3,8:34.0,Shooting foul by W. Cauley-Stein (drawn by A. Aminu),,52,60
252,3,8:34.0,,Technical foul by T. Stotts,52,60
253,3,8:34.0,,B. Hield makes technical free throw,52,61
254,3,8:34.0,A. Aminu makes free throw 1 of 2,,53,61
255,3,8:34.0,A. Aminu makes free throw 2 of 2,,54,61
256,3,8:15.0,,I. Shumpert misses 3-pt jump shot from 25 ft,54,61
257,3,8:11.0,,Offensive rebound by N. Bjelica,54,61
258,3,8:09.0,,N. Bjelica makes 2-pt layup from 2 ft,54,63
259,3,8:00.0,D. Lillard makes 2-pt layup from 2 ft,,56,63
260,3,7:47.0,,D. Fox misses 2-pt layup from 3 ft,56,63
261,3,7:44.0,Defensive rebound by J. Nurkić,,56,63
262,3,7:43.0,Turnover by J. Nurkić (bad pass; steal by I. Shumpert),,56,63
263,3,7:39.0,,I. Shumpert misses 2-pt layup from 4 ft,56,63
264,3,7:36.0,Defensive rebound by C. McCollum,,56,63
265,3,7:28.0,J. Layman makes 2-pt layup from 2 ft (assist by J. Nurkić),,58,63
266,3,7:28.0,Shooting foul by D. Fox (drawn by J. Layman),,58,63
267,3,7:28.0,J. Layman makes free throw 1 of 1,,59,63
268,3,7:28.0,,Sacramento full timeout,59,63
269,3,7:13.0,,D. Fox makes 2-pt jump shot from 2 ft (assist by N. Bjelica),59,65
270,3,7:02.0,Offensive foul by J. Layman (drawn by D. Fox),,59,65
271,3,7:02.0,Turnover by J. Layman (offensive foul),,59,65
272,3,6:50.0,,Shooting foul by J. Nurkić (drawn by D. Fox),59,65
273,3,6:50.0,,D. Fox makes free throw 1 of 2,59,66
274,3,6:50.0,,D. Fox makes free throw 2 of 2,59,67
275,3,6:37.0,D. Lillard misses 3-pt jump shot from 25 ft,,59,67
276,3,6:35.0,Offensive rebound by C. McCollum,,59,67
277,3,6:33.0,C. McCollum misses 2-pt jump shot from 11 ft,,59,67
278,3,6:31.0,,Defensive rebound by B. Hield,59,67
279,3,6:17.0,,I. Shumpert makes 3-pt jump shot from 24 ft (assist by W. Cauley-Stein),59,70
280,3,5:56.0,C. McCollum misses 2-pt jump shot from 9 ft,,59,70
281,3,5:54.0,,Defensive rebound by N. Bjelica,59,70
282,3,5:48.0,,W. Cauley-Stein makes 2-pt layup from 3 ft (assist by D. Fox),59,72
283,3,5:48.0,Portland full timeout,,59,72
284,3,5:48.0,S. Curry enters the game for J. Layman,,59,72
285,3,5:48.0,E. Turner enters the game for C. McCollum,,59,72
286,3,5:35.0,D. Lillard makes 3-pt jump shot from 27 ft,,62,72
287,3,5:18.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),62,74
288,3,5:04.0,A. Aminu misses 3-pt jump shot from 25 ft,,62,74
289,3,5:04.0,,Defensive rebound by Team,62,74
290,3,5:04.0,,M. Bagley enters the game for N. Bjelica,62,74
291,3,5:04.0,,B. Bogdanović enters the game for I. Shumpert,62,74
292,3,4:47.0,,B. Bogdanović makes 2-pt jump shot from 11 ft,62,76
293,3,4:30.0,J. Nurkić misses 2-pt jump shot from 22 ft,,62,76
294,3,4:28.0,,Defensive rebound by Team,62,76
295,3,4:18.0,,M. Bagley makes 2-pt layup from 2 ft,62,78
296,3,3:59.0,E. Turner makes 2-pt layup from 3 ft (assist by D. Lillard),,64,78
297,3,3:59.0,Shooting foul by B. Bogdanović (drawn by E. Turner),,64,78
298,3,3:59.0,Z. Collins enters the game for A. Aminu,,64,78
299,3,3:59.0,M. Leonard enters the game for J. Nurkić,,64,78
300,3,3:59.0,E. Turner makes free throw 1 of 1,,65,78
301,3,3:48.0,,B. Hield misses 2-pt jump shot from 21 ft,65,78
302,3,3:45.0,Defensive rebound by M. Leonard,,65,78
303,3,3:40.0,D. Lillard misses 3-pt jump shot from 26 ft,,65,78
304,3,3:35.0,,Defensive rebound by M. Bagley,65,78
305,3,3:17.0,,D. Fox misses 3-pt jump shot from 25 ft,65,78
306,3,3:12.0,Defensive rebound by E. Turner,,65,78
307,3,3:06.0,S. Curry misses 2-pt jump shot from 11 ft,,65,78
308,3,3:01.0,Offensive rebound by E. Turner,,65,78
309,3,2:58.0,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Lillard),,68,78
310,3,2:43.0,,Offensive foul by M. Bagley (drawn by S. Curry),68,78
311,3,2:43.0,,Turnover by M. Bagley (offensive foul),68,78
312,3,2:43.0,,Y. Ferrell enters the game for W. Cauley-Stein,68,78
313,3,2:43.0,,H. Giles enters the game for D. Fox,68,78
314,3,2:25.0,D. Lillard misses 3-pt jump shot from 25 ft,,68,78
315,3,2:21.0,,Defensive rebound by M. Bagley,68,78
316,3,2:11.0,,M. Bagley misses 2-pt jump shot from 14 ft,68,78
317,3,2:08.0,,Offensive rebound by B. Hield,68,78
318,3,2:06.0,,B. Hield makes 3-pt jump shot from 23 ft,68,81
319,3,1:45.0,D. Lillard makes 2-pt layup from 3 ft (assist by E. Turner),,70,81
320,3,1:38.0,,M. Bagley misses 2-pt layup from 3 ft (block by Z. Collins),70,81
321,3,1:38.0,Defensive rebound by Z. Collins,,70,81
322,3,1:32.0,M. Leonard makes 2-pt dunk from 1 ft (assist by E. Turner),,72,81
323,3,1:15.0,,Turnover by B. Bogdanović (bad pass; steal by E. Turner),72,81
324,3,1:11.0,Shooting foul by Y. Ferrell (drawn by D. Lillard),,72,81
325,3,1:11.0,D. Lillard makes free throw 1 of 2,,73,81
326,3,1:11.0,,J. Jackson enters the game for B. Hield,73,81
327,3,1:11.0,D. Lillard makes free throw 2 of 2,,74,81
328,3,0:51.0,,M. Bagley misses 2-pt jump shot from 5 ft,74,81
329,3,0:50.0,,Offensive rebound by M. Bagley,74,81
330,3,0:50.0,,M. Bagley makes 2-pt dunk from 1 ft,74,83
331,3,0:32.0,M. Leonard misses 3-pt jump shot from 25 ft,,74,83
332,3,0:29.0,,Defensive rebound by M. Bagley,74,83
333,3,0:11.0,,Y. Ferrell misses 2-pt jump shot from 14 ft,74,83
334,3,0:05.0,Defensive rebound by M. Leonard,,74,83
335,3,0:01.0,Shooting foul by H. Giles (drawn by Z. Collins),,74,83
336,3,0:01.0,Z. Collins makes free throw 1 of 2,,75,83
337,3,0:01.0,J. Layman enters the game for D. Lillard,,75,83
338,3,0:01.0,Z. Collins misses free throw 2 of 2,,75,83
339,3,0:01.0,,Defensive rebound by H. Giles,75,83
340,4,11:49.0,S. Curry misses 3-pt jump shot from 26 ft,,75,83
341,4,11:43.0,,Defensive rebound by B. Bogdanović,75,83
342,4,11:38.0,,J. Jackson misses 3-pt jump shot from 22 ft,75,83
343,4,11:38.0,,Offensive rebound by Team,75,83
344,4,11:38.0,Loose ball foul by J. Layman (drawn by H. Giles),,75,83
345,4,11:25.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by H. Giles),75,86
346,4,11:05.0,M. Leonard makes 3-pt jump shot from 26 ft (assist by S. Curry),,78,86
347,4,10:54.0,,Turnover by B. Bogdanović (bad pass; steal by M. Leonard),78,86
348,4,10:48.0,S. Curry misses 3-pt jump shot from 25 ft,,78,86
349,4,10:45.0,Offensive rebound by J. Layman,,78,86
350,4,10:45.0,J. Layman makes 2-pt layup from 3 ft,,80,86
351,4,10:22.0,,H. Giles makes 2-pt layup from 2 ft,80,88
352,4,10:08.0,Personal foul by B. Bogdanović (drawn by E. Turner),,80,88
353,4,10:03.0,J. Layman misses 3-pt jump shot from 25 ft,,80,88
354,4,10:00.0,,Defensive rebound by M. Bagley,80,88
355,4,9:40.0,,Turnover by B. Bogdanović (traveling),80,88
356,4,9:25.0,J. Layman makes 2-pt layup from 2 ft (assist by E. Turner),,82,88
357,4,9:24.0,,Sacramento full timeout,82,88
358,4,9:06.0,,M. Bagley makes 2-pt jump shot from 14 ft,82,90
359,4,9:06.0,,Shooting foul by Z. Collins (drawn by M. Bagley),82,90
360,4,9:06.0,,M. Bagley misses free throw 1 of 1,82,90
361,4,9:03.0,Defensive rebound by Z. Collins,,82,90
362,4,8:54.0,J. Layman misses 2-pt dunk from 3 ft,,82,90
363,4,8:52.0,,Defensive rebound by H. Giles,82,90
364,4,8:47.0,,J. Jackson makes 3-pt jump shot from 23 ft (assist by Y. Ferrell),82,93
365,4,8:21.0,J. Layman misses 3-pt jump shot from 25 ft,,82,93
366,4,8:18.0,Offensive rebound by M. Leonard,,82,93
367,4,8:15.0,E. Turner makes 3-pt jump shot from 26 ft (assist by M. Leonard),,85,93
368,4,8:04.0,,Shooting foul by S. Curry (drawn by Y. Ferrell),85,93
369,4,8:04.0,,Y. Ferrell makes free throw 1 of 2,85,94
370,4,8:04.0,D. Lillard enters the game for S. Curry,,85,94
371,4,8:04.0,,Y. Ferrell makes free throw 2 of 2,85,95
372,4,7:57.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by E. Turner),,88,95
373,4,7:48.0,,Personal foul by E. Turner (drawn by H. Giles),88,95
374,4,7:39.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),88,98
375,4,7:36.0,Portland full timeout,,88,98
376,4,7:36.0,C. McCollum enters the game for J. Layman,,88,98
377,4,7:36.0,,D. Fox enters the game for Y. Ferrell,88,98
