,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DENVER_ACTION,HOUSTON_SCORE,DENVER_SCORE
68,1,2:20.0,C. Paul makes 2-pt jump shot from 15 ft,,22,22
69,1,2:04.0,,M. Morris misses 3-pt jump shot from 23 ft,22,22
70,1,2:00.0,,Offensive rebound by M. Plumlee,22,22
71,1,1:55.0,,G. Harris makes 2-pt layup from 1 ft (assist by J. Hernangómez),22,24
72,1,1:39.0,E. Gordon misses 3-pt jump shot from 26 ft,,22,24
73,1,1:36.0,,Defensive rebound by J. Hernangómez,22,24
74,1,1:25.0,,T. Lyles makes 2-pt layup from 4 ft,22,26
75,1,1:17.0,Shooting foul by M. Plumlee (drawn by E. Gordon),,22,26
76,1,1:17.0,E. Gordon makes free throw 1 of 2,,23,26
77,1,1:17.0,,M. Beasley enters the game for G. Harris,23,26
78,1,1:17.0,,J. Murray enters the game for J. Hernangómez,23,26
79,1,1:17.0,E. Gordon misses free throw 2 of 2,,23,26
80,1,1:14.0,,Defensive rebound by T. Lyles,23,26
81,1,1:03.0,,Shooting foul by P. Tucker (drawn by M. Plumlee),23,26
82,1,1:03.0,,M. Plumlee makes free throw 1 of 2,23,27
83,1,1:03.0,,M. Plumlee makes free throw 2 of 2,23,28
84,1,0:55.0,Shooting foul by M. Plumlee (drawn by I. Hartenstein),,23,28
85,1,0:55.0,I. Hartenstein misses free throw 1 of 2,,23,28
86,1,0:55.0,Offensive rebound by Team,,23,28
87,1,0:55.0,I. Hartenstein makes free throw 2 of 2,,24,28
88,1,0:37.0,,Turnover by M. Morris (traveling),24,28
89,1,0:31.0,Turnover by C. Paul (bad pass; steal by T. Lyles),,24,28
90,1,0:28.0,,M. Morris makes 2-pt layup from 2 ft (assist by M. Beasley),24,30
91,1,0:05.0,C. Paul makes 3-pt jump shot from 24 ft,,27,30
92,1,0:00.0,,J. Murray misses 3-pt jump shot from 31 ft,27,30
93,1,0:00.0,,Offensive rebound by Team,27,30
94,2,11:39.0,,Offensive foul by T. Lyles (drawn by J. Ennis),27,30
95,2,11:39.0,,Turnover by T. Lyles (offensive foul),27,30
96,2,11:26.0,C. Capela misses 2-pt dunk from 3 ft (block by M. Beasley),,27,30
97,2,11:23.0,,Defensive rebound by M. Beasley,27,30
98,2,11:21.0,,T. Lyles makes 2-pt dunk from 2 ft (assist by M. Morris),27,32
99,2,11:07.0,E. Gordon makes 3-pt jump shot from 24 ft (assist by C. Paul),,30,32
100,2,10:47.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by M. Plumlee),30,35
101,2,10:28.0,C. Paul makes 2-pt layup from 3 ft,,32,35
102,2,10:28.0,Shooting foul by M. Plumlee (drawn by C. Paul),,32,35
103,2,10:28.0,C. Paul makes free throw 1 of 1,,33,35
104,2,10:18.0,,T. Lyles makes 3-pt jump shot from 26 ft (assist by M. Plumlee),33,38
105,2,9:52.0,C. Paul misses 3-pt jump shot from 25 ft,,33,38
106,2,9:50.0,,Defensive rebound by M. Morris,33,38
107,2,9:41.0,,M. Plumlee makes 2-pt dunk from 2 ft (assist by J. Murray),33,40
108,2,9:22.0,C. Capela makes 2-pt dunk from 2 ft (assist by E. Gordon),,35,40
109,2,9:04.0,,Shooting foul by J. Ennis (drawn by T. Lyles),35,40
110,2,9:04.0,,T. Lyles misses free throw 1 of 2,35,40
111,2,9:04.0,,Offensive rebound by Team,35,40
112,2,9:04.0,,N. Jokić enters the game for M. Plumlee,35,40
113,2,9:04.0,,T. Lyles makes free throw 2 of 2,35,41
114,2,8:43.0,P. Tucker misses 2-pt hook shot from 6 ft,,35,41
115,2,8:42.0,Offensive rebound by Team,,35,41
116,2,8:34.0,C. Paul makes 2-pt jump shot from 5 ft,,37,41
117,2,8:22.0,,M. Morris misses 2-pt layup from 1 ft,37,41
118,2,8:22.0,,Offensive rebound by Team,37,41
119,2,8:22.0,,Turnover by M. Morris (traveling),37,41
120,2,8:22.0,,Denver full timeout,37,41
121,2,8:14.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Paul),,40,41
122,2,7:58.0,,J. Murray misses 3-pt jump shot from 25 ft,40,41
123,2,7:54.0,Defensive rebound by C. Capela,,40,41
124,2,7:43.0,C. Capela misses 2-pt jump shot from 4 ft,,40,41
125,2,7:43.0,Offensive rebound by C. Capela,,40,41
126,2,7:43.0,C. Capela misses 2-pt layup at rim,,40,41
127,2,7:43.0,,Defensive rebound by Team,40,41
128,2,7:43.0,Loose ball foul by C. Capela (drawn by T. Lyles),,40,41
129,2,7:43.0,J. Harden enters the game for C. Paul,,40,41
130,2,7:43.0,,G. Harris enters the game for J. Murray,40,41
131,2,7:32.0,,Personal foul by C. Capela (drawn by N. Jokić),40,41
132,2,7:20.0,,G. Harris misses 3-pt jump shot from 29 ft,40,41
133,2,7:16.0,Defensive rebound by P. Tucker,,40,41
134,2,7:10.0,J. Ennis makes 2-pt layup from 3 ft (assist by J. Harden),,42,41
135,2,7:04.0,,M. Beasley misses 3-pt jump shot from 23 ft,42,41
136,2,7:00.0,Defensive rebound by C. Capela,,42,41
137,2,6:49.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,44,41
138,2,6:48.0,,Denver full timeout,44,41
139,2,6:48.0,,J. Hernangómez enters the game for M. Beasley,44,41
140,2,6:48.0,,P. Millsap enters the game for T. Lyles,44,41
141,2,6:29.0,,N. Jokić misses 2-pt jump shot from 10 ft,44,41
142,2,6:25.0,Defensive rebound by P. Tucker,,44,41
143,2,6:24.0,Turnover by E. Gordon (lost ball; steal by P. Millsap),,44,41
144,2,6:21.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by P. Millsap),44,44
145,2,6:01.0,E. Gordon misses 3-pt jump shot from 26 ft,,44,44
146,2,5:59.0,,Defensive rebound by J. Hernangómez,44,44
147,2,5:50.0,,P. Millsap misses 2-pt layup from 4 ft,44,44
148,2,5:49.0,Defensive rebound by Team,,44,44
149,2,5:35.0,J. Ennis misses 3-pt jump shot from 23 ft,,44,44
150,2,5:31.0,,Defensive rebound by G. Harris,44,44
151,2,5:26.0,,G. Harris misses 2-pt layup from 3 ft (block by C. Capela),44,44
152,2,5:24.0,Defensive rebound by P. Tucker,,44,44
153,2,5:22.0,J. Harden makes 2-pt layup at rim (assist by P. Tucker),,46,44
154,2,5:06.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by N. Jokić),46,47
155,2,4:45.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by C. Capela),,49,47
156,2,4:19.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by M. Morris),49,49
157,2,4:03.0,E. Gordon misses 3-pt jump shot from 26 ft,,49,49
158,2,4:01.0,,Defensive rebound by J. Hernangómez,49,49
159,2,3:44.0,,P. Millsap makes 2-pt jump shot from 11 ft,49,51
160,2,3:42.0,Houston full timeout,,49,51
161,2,3:42.0,G. Clark enters the game for J. Ennis,,49,51
162,2,3:42.0,C. Paul enters the game for E. Gordon,,49,51
163,2,3:42.0,,J. Murray enters the game for M. Morris,49,51
164,2,3:28.0,P. Tucker misses 3-pt jump shot from 25 ft,,49,51
165,2,3:26.0,Offensive rebound by C. Capela,,49,51
166,2,3:14.0,Shooting foul by P. Millsap (drawn by J. Harden),,49,51
167,2,3:14.0,J. Harden makes free throw 1 of 2,,50,51
168,2,3:14.0,J. Harden misses free throw 2 of 2,,50,51
169,2,3:12.0,,Defensive rebound by N. Jokić,50,51
170,2,2:58.0,,Personal foul by J. Harden (drawn by N. Jokić),50,51
171,2,2:45.0,,P. Millsap misses 3-pt jump shot from 26 ft,50,51
172,2,2:42.0,,Offensive rebound by N. Jokić,50,51
173,2,2:42.0,,Turnover by N. Jokić (bad pass; steal by C. Paul),50,51
174,2,2:40.0,Turnover by C. Paul (bad pass; steal by P. Millsap),,50,51
175,2,2:29.0,,J. Murray misses 2-pt jump shot from 6 ft,50,51
176,2,2:26.0,,Offensive rebound by J. Hernangómez,50,51
177,2,2:24.0,,J. Hernangómez misses 2-pt layup from 2 ft,50,51
178,2,2:24.0,Defensive rebound by J. Harden,,50,51
179,2,2:20.0,J. Harden misses 2-pt layup from 3 ft,,50,51
180,2,2:20.0,C. Capela makes 2-pt dunk at rim,,52,51
181,2,2:20.0,Offensive rebound by C. Capela,,52,51
182,2,2:05.0,,Turnover by N. Jokić (bad pass; steal by C. Paul),52,51
183,2,1:38.0,C. Capela misses 2-pt layup from 3 ft,,52,51
184,2,1:33.0,Offensive rebound by J. Harden,,52,51
185,2,1:20.0,J. Harden misses 3-pt jump shot from 24 ft,,52,51
186,2,1:16.0,,Defensive rebound by J. Hernangómez,52,51
187,2,1:06.0,,Turnover by J. Murray (lost ball; steal by P. Tucker),52,51
188,2,1:06.0,Personal foul by P. Millsap (drawn by P. Tucker),,52,51
189,2,1:06.0,J. Ennis enters the game for C. Capela,,52,51
190,2,1:06.0,I. Hartenstein enters the game for P. Tucker,,52,51
191,2,0:59.0,Personal foul by J. Murray (drawn by C. Paul),,52,51
192,2,0:59.0,C. Paul makes free throw 1 of 2,,53,51
193,2,0:59.0,C. Paul makes free throw 2 of 2,,54,51
194,2,0:48.0,Violation by Team (kicked ball),,54,51
195,2,0:41.0,,J. Murray makes 2-pt layup from 3 ft (assist by N. Jokić),54,53
196,2,0:41.0,,Violation by Team (delay of game),54,53
197,2,0:30.0,J. Harden misses 3-pt jump shot from 24 ft,,54,53
198,2,0:28.0,,Defensive rebound by Team,54,53
199,2,0:08.0,,J. Murray makes 2-pt jump shot from 15 ft,54,55
200,2,0:00.0,C. Paul misses 3-pt jump shot from 25 ft,,54,55
201,2,0:00.0,Offensive rebound by Team,,54,55
202,3,11:52.0,,N. Jokić misses 2-pt jump shot from 14 ft,54,55
203,3,11:49.0,Defensive rebound by C. Capela,,54,55
204,3,11:37.0,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),,56,55
205,3,11:37.0,Shooting foul by P. Millsap (drawn by C. Capela),,56,55
206,3,11:37.0,C. Capela makes free throw 1 of 1,,57,55
207,3,11:14.0,,J. Murray makes 2-pt layup from 5 ft (assist by N. Jokić),57,57
208,3,10:50.0,Turnover by C. Paul (bad pass; steal by N. Jokić),,57,57
209,3,10:45.0,,J. Hernangómez makes 3-pt jump shot from 22 ft (assist by J. Murray),57,60
210,3,10:31.0,Shooting foul by G. Harris (drawn by J. Ennis),,57,60
211,3,10:31.0,J. Ennis makes free throw 1 of 2,,58,60
212,3,10:31.0,J. Ennis makes free throw 2 of 2,,59,60
213,3,10:19.0,,Turnover by J. Murray (bad pass; steal by J. Ennis),59,60
214,3,10:15.0,J. Ennis makes 2-pt layup from 3 ft,,61,60
215,3,10:02.0,,P. Millsap makes 2-pt jump shot from 5 ft (assist by G. Harris),61,62
216,3,9:39.0,C. Paul misses 3-pt jump shot from 23 ft,,61,62
217,3,9:36.0,,Defensive rebound by N. Jokić,61,62
218,3,9:22.0,,P. Millsap misses 2-pt hook shot from 7 ft,61,62
219,3,9:20.0,Defensive rebound by J. Ennis,,61,62
220,3,8:59.0,C. Paul makes 3-pt jump shot from 23 ft (assist by J. Ennis),,64,62
221,3,8:48.0,,Turnover by G. Harris (out of bounds lost ball),64,62
222,3,8:48.0,Houston full timeout,,64,62
223,3,8:48.0,E. Gordon enters the game for J. Ennis,,64,62
224,3,8:28.0,J. Harden misses 3-pt jump shot from 23 ft,,64,62
225,3,8:27.0,,Defensive rebound by N. Jokić,64,62
226,3,8:16.0,,P. Millsap makes 2-pt jump shot from 14 ft (assist by J. Murray),64,64
227,3,7:49.0,C. Paul misses 2-pt layup from 4 ft,,64,64
228,3,7:47.0,,Defensive rebound by N. Jokić,64,64
229,3,7:42.0,,J. Hernangómez misses 3-pt jump shot from 22 ft,64,64
230,3,7:37.0,Defensive rebound by C. Paul,,64,64
231,3,7:31.0,J. Harden makes 2-pt dunk from 1 ft,,66,64
232,3,7:15.0,,Shooting foul by E. Gordon (drawn by N. Jokić),66,64
233,3,7:15.0,,N. Jokić makes free throw 1 of 2,66,65
234,3,7:15.0,,N. Jokić makes free throw 2 of 2,66,66
235,3,7:00.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,68,66
236,3,6:42.0,,G. Harris misses 2-pt layup from 2 ft,68,66
237,3,6:42.0,,Offensive rebound by Team,68,66
238,3,6:42.0,,Turnover by G. Harris (traveling),68,66
239,3,6:42.0,G. Clark enters the game for C. Paul,,68,66
240,3,6:26.0,J. Harden misses 3-pt jump shot from 25 ft,,68,66
241,3,6:22.0,Offensive rebound by G. Clark,,68,66
242,3,6:19.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Harden),,71,66
243,3,6:18.0,,Denver full timeout,71,66
244,3,6:03.0,,Turnover by P. Millsap (lost ball; steal by J. Harden),71,66
245,3,6:01.0,Turnover by P. Tucker (bad pass; steal by G. Harris),,71,66
246,3,5:58.0,,G. Harris makes 2-pt layup from 2 ft,71,68
247,3,5:32.0,E. Gordon misses 3-pt jump shot from 24 ft,,71,68
248,3,5:32.0,Offensive rebound by Team,,71,68
249,3,5:32.0,Turnover by Team (shot clock),,71,68
250,3,5:15.0,,N. Jokić misses 2-pt jump shot from 3 ft,71,68
251,3,5:13.0,,Offensive rebound by N. Jokić,71,68
252,3,5:13.0,,N. Jokić misses 2-pt layup from 2 ft (block by E. Gordon),71,68
253,3,5:13.0,,Offensive rebound by N. Jokić,71,68
254,3,5:13.0,,N. Jokić makes 2-pt layup from 2 ft,71,70
255,3,5:13.0,,Shooting foul by G. Clark (drawn by N. Jokić),71,70
256,3,5:13.0,,M. Morris enters the game for J. Murray,71,70
257,3,5:13.0,,N. Jokić misses free throw 1 of 1,71,70
258,3,5:11.0,Defensive rebound by C. Capela,,71,70
259,3,4:59.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,73,70
260,3,4:59.0,Shooting foul by N. Jokić (drawn by C. Capela),,73,70
261,3,4:59.0,C. Capela makes free throw 1 of 1,,74,70
262,3,4:39.0,,Shooting foul by G. Clark (drawn by P. Millsap),74,70
263,3,4:39.0,,P. Millsap makes free throw 1 of 2,74,71
264,3,4:39.0,J. Ennis enters the game for P. Tucker,,74,71
265,3,4:39.0,,P. Millsap makes free throw 2 of 2,74,72
266,3,4:20.0,Shooting foul by P. Millsap (drawn by J. Harden),,74,72
267,3,4:20.0,J. Harden makes free throw 1 of 2,,75,72
268,3,4:20.0,P. Tucker enters the game for G. Clark,,75,72
269,3,4:20.0,,T. Lyles enters the game for P. Millsap,75,72
270,3,4:20.0,J. Harden makes free throw 2 of 2,,76,72
271,3,4:03.0,,N. Jokić makes 2-pt hook shot from 4 ft,76,74
272,3,3:40.0,J. Harden makes 3-pt jump shot from 25 ft,,79,74
273,3,3:18.0,,G. Harris misses 3-pt jump shot from 22 ft,79,74
274,3,3:14.0,Defensive rebound by J. Ennis,,79,74
275,3,3:05.0,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),,81,74
276,3,2:54.0,,N. Jokić misses 3-pt jump shot from 25 ft,81,74
277,3,2:50.0,Defensive rebound by P. Tucker,,81,74
278,3,2:41.0,Personal foul by J. Hernangómez (drawn by J. Harden),,81,74
279,3,2:41.0,J. Harden makes free throw 1 of 2,,82,74
280,3,2:41.0,I. Hartenstein enters the game for C. Capela,,82,74
281,3,2:41.0,,M. Plumlee enters the game for N. Jokić,82,74
282,3,2:41.0,J. Harden misses free throw 2 of 2,,82,74
283,3,2:39.0,,Defensive rebound by J. Hernangómez,82,74
284,3,2:19.0,,M. Morris makes 2-pt jump shot from 20 ft,82,76
285,3,1:54.0,Turnover by J. Harden (bad pass; steal by G. Harris),,82,76
286,3,1:45.0,,G. Harris misses 2-pt layup from 5 ft (block by J. Ennis),82,76
287,3,1:41.0,Defensive rebound by J. Harden,,82,76
288,3,1:40.0,J. Ennis makes 2-pt layup from 2 ft (assist by J. Harden),,84,76
289,3,1:14.0,,T. Lyles misses 2-pt layup from 2 ft,84,76
290,3,1:14.0,,Offensive rebound by Team,84,76
291,3,1:14.0,Loose ball foul by I. Hartenstein (drawn by M. Plumlee),,84,76
292,3,1:14.0,C. Paul enters the game for J. Harden,,84,76
293,3,1:05.0,,G. Harris misses 2-pt dunk from 3 ft (block by P. Tucker),84,76
294,3,1:05.0,,Offensive rebound by Team,84,76
295,3,1:00.0,,M. Plumlee misses 2-pt hook shot from 4 ft,84,76
296,3,0:57.0,Defensive rebound by C. Paul,,84,76
297,3,0:39.0,E. Gordon makes 2-pt layup from 2 ft,,86,76
298,3,0:20.0,,Shooting foul by J. Ennis (drawn by M. Plumlee),86,76
299,3,0:20.0,,M. Plumlee misses free throw 1 of 2,86,76
300,3,0:20.0,,Offensive rebound by Team,86,76
301,3,0:20.0,,T. Craig enters the game for T. Lyles,86,76
302,3,0:20.0,,M. Plumlee misses free throw 2 of 2,86,76
303,3,0:18.0,Defensive rebound by J. Ennis,,86,76
304,4,11:46.0,G. Clark misses 3-pt jump shot from 26 ft,,86,76
305,4,11:45.0,Offensive rebound by Team,,86,76
306,4,11:45.0,,Loose ball foul by T. Craig (drawn by J. Ennis),86,76
307,4,11:35.0,Offensive foul by I. Hartenstein (drawn by T. Craig),,86,76
308,4,11:35.0,Turnover by I. Hartenstein (offensive foul),,86,76
309,4,11:23.0,,T. Craig makes 2-pt dunk from 1 ft (assist by M. Plumlee),86,78
310,4,11:00.0,E. Gordon misses 2-pt layup from 5 ft (block by T. Craig),,86,78
311,4,11:00.0,,Defensive rebound by J. Hernangómez,86,78
312,4,10:43.0,,M. Morris makes 2-pt jump shot from 6 ft,86,80
313,4,10:17.0,C. Paul makes 3-pt jump shot from 24 ft,,89,80
314,4,9:59.0,,J. Hernangómez misses 2-pt jump shot from 5 ft,89,80
315,4,9:55.0,Defensive rebound by G. Clark,,89,80
316,4,9:44.0,Turnover by J. Ennis (lost ball; steal by M. Plumlee),,89,80
317,4,9:44.0,C. Capela enters the game for I. Hartenstein,,89,80
318,4,9:26.0,,T. Craig makes 3-pt jump shot from 25 ft (assist by J. Hernangómez),89,83
319,4,9:02.0,C. Paul misses 3-pt jump shot from 29 ft,,89,83
320,4,8:59.0,,Defensive rebound by T. Craig,89,83
321,4,8:49.0,,J. Murray makes 2-pt layup from 3 ft (assist by M. Morris),89,85
322,4,8:49.0,Houston full timeout,,89,85
323,4,8:49.0,J. Harden enters the game for G. Clark,,89,85
324,4,8:49.0,P. Tucker enters the game for E. Gordon,,89,85
325,4,8:36.0,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),,91,85
326,4,8:17.0,,M. Morris makes 2-pt layup from 1 ft (assist by M. Plumlee),91,87
327,4,7:51.0,J. Ennis makes 2-pt dunk from 1 ft (assist by C. Paul),,93,87
328,4,7:27.0,,J. Murray makes 2-pt jump shot from 16 ft,93,89
329,4,7:03.0,J. Harden misses 3-pt jump shot from 25 ft,,93,89
330,4,7:00.0,,Defensive rebound by J. Murray,93,89
331,4,6:47.0,,M. Plumlee misses 2-pt hook shot from 3 ft,93,89
332,4,6:46.0,,Offensive rebound by M. Plumlee,93,89
333,4,6:44.0,,Turnover by T. Craig (step out of bounds),93,89
334,4,6:44.0,E. Gordon enters the game for C. Paul,,93,89
335,4,6:22.0,Shooting foul by M. Plumlee (drawn by J. Harden),,93,89
336,4,6:22.0,J. Harden makes free throw 1 of 2,,94,89
337,4,6:22.0,J. Harden makes free throw 2 of 2,,95,89
338,4,6:06.0,,M. Plumlee misses 2-pt hook shot from 6 ft,95,89
339,4,6:03.0,Defensive rebound by C. Capela,,95,89
340,4,5:55.0,J. Harden makes 2-pt layup from 2 ft,,97,89
341,4,5:55.0,,Denver full timeout,97,89
342,4,5:55.0,,G. Harris enters the game for T. Craig,97,89
343,4,5:55.0,,N. Jokić enters the game for J. Hernangómez,97,89
344,4,5:55.0,,P. Millsap enters the game for M. Plumlee,97,89
345,4,5:42.0,,Offensive foul by P. Millsap (drawn by J. Harden),97,89
346,4,5:42.0,,Turnover by P. Millsap (offensive foul),97,89
347,4,5:20.0,J. Harden makes 2-pt layup from 2 ft,,99,89
348,4,5:09.0,,G. Harris makes 2-pt jump shot from 9 ft (assist by N. Jokić),99,91
349,4,4:50.0,J. Harden makes 3-pt jump shot from 25 ft,,102,91
350,4,4:49.0,,Denver full timeout,102,91
351,4,4:31.0,,N. Jokić misses 2-pt layup from 3 ft (block by J. Harden),102,91
352,4,4:28.0,Defensive rebound by J. Harden,,102,91
353,4,4:26.0,J. Harden misses 3-pt jump shot from 25 ft,,102,91
354,4,4:22.0,,Defensive rebound by N. Jokić,102,91
355,4,4:09.0,,P. Millsap misses 2-pt layup from 5 ft (block by J. Ennis),102,91
356,4,4:09.0,Defensive rebound by Team,,102,91
357,4,4:09.0,C. Paul enters the game for J. Ennis,,102,91
358,4,3:48.0,J. Harden makes 2-pt layup from 2 ft,,104,91
359,4,3:33.0,,M. Morris misses 3-pt jump shot from 25 ft,104,91
360,4,3:30.0,Defensive rebound by C. Paul,,104,91
361,4,3:26.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,106,91
362,4,3:13.0,,Personal foul by P. Tucker (drawn by N. Jokić),106,91
363,4,3:13.0,,J. Hernangómez enters the game for P. Millsap,106,91
364,4,3:10.0,,Personal foul by C. Capela (drawn by N. Jokić),106,91
365,4,3:10.0,Houston full timeout,,106,91
366,4,3:04.0,,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by J. Murray),106,94
367,4,2:40.0,Shooting foul by N. Jokić (drawn by C. Capela),,106,94
368,4,2:40.0,C. Capela misses free throw 1 of 2,,106,94
369,4,2:40.0,Offensive rebound by Team,,106,94
370,4,2:40.0,C. Capela misses free throw 2 of 2,,106,94
371,4,2:38.0,,Defensive rebound by J. Hernangómez,106,94
372,4,2:26.0,,Personal foul by C. Capela (drawn by J. Murray),106,94
373,4,2:26.0,Technical foul by C. Paul,,106,94
374,4,2:26.0,,J. Murray makes technical free throw,106,95
375,4,2:16.0,,J. Murray makes 2-pt jump shot from 13 ft (assist by M. Morris),106,97
376,4,2:07.0,Personal take foul by M. Morris (drawn by C. Capela),,106,97
377,4,2:07.0,J. Ennis enters the game for C. Capela,,106,97
378,4,2:04.0,Personal foul by N. Jokić (drawn by C. Paul),,106,97
379,4,2:04.0,C. Paul makes free throw 1 of 2,,107,97
380,4,2:04.0,C. Capela enters the game for J. Ennis,,107,97
381,4,2:04.0,C. Paul misses free throw 2 of 2,,107,97
382,4,2:02.0,,Defensive rebound by N. Jokić,107,97
383,4,1:52.0,,J. Murray misses 3-pt jump shot from 24 ft,107,97
384,4,1:50.0,,Offensive rebound by N. Jokić,107,97
385,4,1:48.0,,M. Morris misses 3-pt jump shot from 24 ft,107,97
