,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DALLAS_ACTION,BROOKLYN_SCORE,DALLAS_SCORE
379,4,8:15.0,,D. Harris makes 2-pt jump shot from 8 ft (assist by S. Mejri),87,95
380,4,7:58.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by J. Harris),,90,95
381,4,7:29.0,,M. Kleber misses 3-pt jump shot from 27 ft,90,95
382,4,7:27.0,,Offensive rebound by Team,90,95
383,4,7:27.0,,H. Barnes enters the game for D. Harris,90,95
384,4,7:13.0,,J. Barea makes 2-pt jump shot from 17 ft,90,97
385,4,7:13.0,S. Dinwiddie enters the game for D. Russell,,90,97
386,4,6:47.0,J. Harris misses 2-pt layup from 3 ft (block by S. Mejri),,90,97
387,4,6:44.0,,Defensive rebound by L. Dončić,90,97
388,4,6:35.0,,H. Barnes makes 2-pt layup from 1 ft (assist by M. Kleber),90,99
389,4,6:27.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,93,99
390,4,6:06.0,,Shooting foul by S. Dinwiddie (drawn by M. Kleber),93,99
391,4,6:06.0,,M. Kleber makes free throw 1 of 2,93,100
392,4,6:06.0,R. Hollis-Jefferson enters the game for J. Dudley,,93,100
393,4,6:06.0,,D. Jordan enters the game for J. Barea,93,100
394,4,6:06.0,,D. Smith enters the game for S. Mejri,93,100
395,4,6:06.0,,M. Kleber makes free throw 2 of 2,93,101
396,4,5:51.0,Turnover by R. Hollis-Jefferson (out of bounds lost ball),,93,101
397,4,5:38.0,,Turnover by D. Jordan (lost ball; steal by A. Crabbe),93,101
398,4,5:37.0,Personal foul by D. Smith (drawn by A. Crabbe),,93,101
399,4,5:26.0,J. Allen misses 3-pt jump shot from 23 ft,,93,101
400,4,5:22.0,,Defensive rebound by H. Barnes,93,101
401,4,5:16.0,,Personal foul by J. Harris (drawn by L. Dončić),93,101
402,4,5:16.0,,L. Dončić makes free throw 1 of 2,93,102
403,4,5:16.0,,L. Dončić makes free throw 2 of 2,93,103
404,4,5:05.0,A. Crabbe makes 3-pt jump shot from 27 ft (assist by J. Allen),,96,103
405,4,4:42.0,,Turnover by L. Dončić (lost ball; steal by A. Crabbe),96,103
406,4,4:38.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,99,103
407,4,4:36.0,,Dallas full timeout,99,103
408,4,4:36.0,,J. Barea enters the game for M. Kleber,99,103
409,4,4:36.0,,D. Finney-Smith enters the game for D. Smith,99,103
410,4,4:23.0,,D. Finney-Smith misses 3-pt jump shot from 24 ft,99,103
411,4,4:21.0,,Offensive rebound by Team,99,103
412,4,4:20.0,,Turnover by D. Finney-Smith (out of bounds lost ball),99,103
413,4,4:03.0,J. Allen makes 2-pt dunk from 1 ft (assist by A. Crabbe),,101,103
414,4,3:48.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by J. Barea),101,106
415,4,3:39.0,Shooting foul by D. Finney-Smith (drawn by S. Dinwiddie),,101,106
416,4,3:39.0,S. Dinwiddie misses free throw 1 of 2,,101,106
417,4,3:39.0,Offensive rebound by Team,,101,106
418,4,3:39.0,S. Dinwiddie makes free throw 2 of 2,,102,106
419,4,3:20.0,,H. Barnes makes 2-pt jump shot from 9 ft,102,108
420,4,3:18.0,Brooklyn full timeout,,102,108
421,4,2:59.0,S. Dinwiddie misses 3-pt jump shot from 28 ft,,102,108
422,4,2:57.0,,Defensive rebound by Team,102,108
423,4,2:57.0,Loose ball foul by R. Hollis-Jefferson (drawn by L. Dončić),,102,108
424,4,2:57.0,,L. Dončić makes free throw 1 of 2,102,109
425,4,2:57.0,,L. Dončić makes free throw 2 of 2,102,110
426,4,2:41.0,S. Dinwiddie makes 2-pt jump shot from 15 ft,,104,110
427,4,2:22.0,,H. Barnes misses 2-pt jump shot from 12 ft,104,110
428,4,2:20.0,Defensive rebound by J. Allen,,104,110
429,4,2:08.0,J. Allen misses 3-pt jump shot from 23 ft,,104,110
430,4,2:04.0,,Defensive rebound by L. Dončić,104,110
431,4,1:47.0,,L. Dončić misses 2-pt jump shot from 22 ft,104,110
432,4,1:45.0,,Offensive rebound by D. Finney-Smith,104,110
433,4,1:44.0,,Personal foul by J. Harris (drawn by D. Finney-Smith),104,110
434,4,1:44.0,,D. Finney-Smith misses free throw 1 of 2,104,110
435,4,1:44.0,,Offensive rebound by Team,104,110
436,4,1:44.0,D. Russell enters the game for J. Allen,,104,110
437,4,1:44.0,,M. Kleber enters the game for D. Jordan,104,110
438,4,1:44.0,,D. Finney-Smith makes free throw 2 of 2,104,111
439,4,1:30.0,J. Harris misses 3-pt jump shot from 25 ft,,104,111
440,4,1:28.0,,Defensive rebound by H. Barnes,104,111
441,4,1:06.0,,H. Barnes misses 2-pt jump shot from 18 ft,104,111
442,4,1:03.0,,Offensive rebound by H. Barnes,104,111
443,4,0:51.0,,J. Barea misses 2-pt jump shot from 9 ft,104,111
444,4,0:50.0,,Offensive rebound by M. Kleber,104,111
445,4,0:49.0,,M. Kleber makes 2-pt layup from 1 ft,104,113
446,4,0:49.0,Brooklyn full timeout,,104,113
447,4,0:48.0,A. Crabbe misses 3-pt jump shot from 25 ft,,104,113
448,4,0:44.0,,Defensive rebound by L. Dončić,104,113
449,4,0:44.0,,Personal foul by J. Harris (drawn by L. Dončić),104,113
450,4,0:44.0,,L. Dončić misses free throw 1 of 2,104,113
451,4,0:44.0,,Offensive rebound by Team,104,113
452,4,0:44.0,,L. Dončić makes free throw 2 of 2,104,114
453,4,0:37.0,D. Russell makes 3-pt jump shot from 22 ft (assist by J. Harris),,107,114
454,4,0:35.0,,Personal foul by R. Hollis-Jefferson (drawn by J. Barea),107,114
455,4,0:35.0,,J. Barea misses free throw 1 of 2,107,114
456,4,0:35.0,,Offensive rebound by Team,107,114
457,4,0:35.0,,J. Barea makes free throw 2 of 2,107,115
458,4,0:35.0,Brooklyn full timeout,,107,115
459,4,0:27.0,R. Hollis-Jefferson makes 2-pt layup from 3 ft,,109,115
460,4,0:27.0,Shooting foul by L. Dončić (drawn by R. Hollis-Jefferson),,109,115
461,4,0:27.0,R. Hollis-Jefferson makes free throw 1 of 1,,110,115
462,4,0:26.0,,Personal foul by D. Russell (drawn by L. Dončić),110,115
463,4,0:26.0,,L. Dončić makes free throw 1 of 2,110,116
464,4,0:26.0,,L. Dončić makes free throw 2 of 2,110,117
465,4,0:17.0,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Harris),,113,117
466,4,0:16.0,,Away from play foul by D. Russell (drawn by D. Finney-Smith),113,117
467,4,0:16.0,,L. Dončić misses free throw 1 of 1,113,117
468,4,0:16.0,,Offensive rebound by Team,113,117
469,4,0:12.0,,Personal take foul by J. Harris (drawn by D. Finney-Smith),113,117
470,4,0:12.0,S. Napier enters the game for J. Harris,,113,117
471,4,0:12.0,,D. Finney-Smith makes free throw 1 of 2,113,118
472,4,0:12.0,,D. Finney-Smith makes free throw 2 of 2,113,119
473,4,0:06.0,D. Russell misses 3-pt jump shot from 24 ft,,113,119
474,4,0:01.0,Offensive rebound by S. Napier,,113,119
475,4,0:00.0,A. Crabbe misses 3-pt jump shot from 26 ft,,113,119
476,4,0:00.0,,Defensive rebound by L. Dončić,113,119
