,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,INDIANA_ACTION,SACRAMENTO_SCORE,INDIANA_SCORE
379,4,7:12.0,Sacramento full timeout,,83,89
380,4,7:12.0,D. Fox enters the game for F. Mason,,83,89
381,4,6:59.0,Turnover by B. Bogdanović (lost ball; steal by A. Holiday),,83,89
382,4,6:54.0,,T. Young misses 2-pt layup from 6 ft (block by D. Fox),83,89
383,4,6:51.0,,Offensive rebound by C. Joseph,83,89
384,4,6:44.0,,T. Young misses 2-pt jump shot from 2 ft,83,89
385,4,6:41.0,Defensive rebound by W. Cauley-Stein,,83,89
386,4,6:31.0,Turnover by M. Bagley (bad pass; steal by A. Holiday),,83,89
387,4,6:10.0,,C. Joseph makes 2-pt jump shot from 11 ft,83,91
388,4,5:51.0,D. Fox misses 2-pt layup from 2 ft,,83,91
389,4,5:47.0,Offensive rebound by W. Cauley-Stein,,83,91
390,4,5:47.0,W. Cauley-Stein makes 2-pt layup from 1 ft,,85,91
391,4,5:28.0,,D. McDermott misses 2-pt layup from 3 ft,85,91
392,4,5:26.0,,Offensive rebound by D. Sabonis,85,91
393,4,5:18.0,,T. Young makes 2-pt layup from 1 ft (assist by C. Joseph),85,93
394,4,5:18.0,,Shooting foul by M. Bagley (drawn by T. Young),85,93
395,4,5:18.0,N. Bjelica enters the game for M. Bagley,,85,93
396,4,5:18.0,B. Hield enters the game for B. Bogdanović,,85,93
397,4,5:18.0,,B. Bogdanović enters the game for D. McDermott,85,93
398,4,5:18.0,,T. Young makes free throw 1 of 1,85,94
399,4,5:11.0,Turnover by D. Fox (bad pass; steal by A. Holiday),,85,94
400,4,5:05.0,,T. Young makes 2-pt layup from 1 ft (assist by B. Bogdanović),85,96
401,4,5:05.0,,Shooting foul by B. Hield (drawn by T. Young),85,96
402,4,5:05.0,,T. Young makes free throw 1 of 1,85,97
403,4,4:46.0,N. Bjelica misses 2-pt jump shot from 21 ft (block by C. Joseph),,85,97
404,4,4:44.0,,Defensive rebound by C. Joseph,85,97
405,4,4:43.0,,B. Bogdanović makes 2-pt dunk from 2 ft (assist by C. Joseph),85,99
406,4,4:43.0,Sacramento full timeout,,85,99
407,4,4:31.0,B. Hield misses 3-pt jump shot from 27 ft,,85,99
408,4,4:30.0,Offensive rebound by Team,,85,99
409,4,4:30.0,,Loose ball foul by D. Sabonis (drawn by N. Bjelica),85,99
410,4,4:21.0,D. Fox misses 3-pt jump shot from 28 ft,,85,99
411,4,4:18.0,,Defensive rebound by D. Sabonis,85,99
412,4,4:14.0,,Flagrant foul type 1 by W. Cauley-Stein (drawn by T. Young),85,99
413,4,4:14.0,,T. Young misses flagrant free throw 1 of 2,85,99
414,4,4:14.0,,Offensive rebound by Team,85,99
415,4,4:14.0,,T. Young makes flagrant free throw 2 of 2,85,100
416,4,4:02.0,,A. Holiday misses 2-pt layup from 2 ft (block by W. Cauley-Stein),85,100
417,4,4:01.0,,Offensive rebound by Team,85,100
418,4,3:57.0,,Turnover by C. Joseph (traveling),85,100
419,4,3:53.0,Personal foul by A. Holiday (drawn by D. Fox),,85,100
420,4,3:44.0,B. Hield makes 3-pt jump shot from 27 ft (assist by D. Fox),,88,100
421,4,3:26.0,,B. Bogdanović misses 2-pt jump shot from 10 ft,88,100
422,4,3:23.0,Defensive rebound by B. Hield,,88,100
423,4,3:17.0,Shooting foul by D. Sabonis (drawn by D. Fox),,88,100
424,4,3:17.0,D. Fox makes free throw 1 of 2,,89,100
425,4,3:17.0,D. Fox makes free throw 2 of 2,,90,100
426,4,3:17.0,,Indiana full timeout,90,100
427,4,3:17.0,B. Bogdanović enters the game for N. Bjelica,,90,100
428,4,3:17.0,,D. Collison enters the game for A. Holiday,90,100
429,4,3:17.0,,M. Turner enters the game for D. Sabonis,90,100
430,4,3:05.0,,Personal foul by B. Bogdanović (drawn by B. Bogdanović),90,100
431,4,3:05.0,,B. Bogdanović makes free throw 1 of 2,90,101
432,4,3:05.0,,B. Bogdanović makes free throw 2 of 2,90,102
433,4,3:00.0,D. Fox makes 2-pt jump shot from 21 ft,,92,102
434,4,2:42.0,,Personal foul by D. Fox (drawn by C. Joseph),92,102
435,4,2:42.0,,C. Joseph misses free throw 1 of 2,92,102
436,4,2:42.0,,Offensive rebound by Team,92,102
437,4,2:42.0,,C. Joseph makes free throw 2 of 2,92,103
438,4,2:42.0,B. Hield misses 3-pt jump shot from 27 ft,,92,103
439,4,2:27.0,,Defensive rebound by T. Young,92,103
440,4,2:13.0,,C. Joseph makes 2-pt layup from 2 ft,92,105
441,4,2:01.0,B. Hield misses 2-pt layup from 3 ft (block by M. Turner),,92,105
442,4,1:57.0,Offensive rebound by W. Cauley-Stein,,92,105
443,4,1:57.0,D. Fox misses 3-pt jump shot from 25 ft,,92,105
444,4,1:55.0,,Defensive rebound by T. Young,92,105
445,4,1:35.0,,M. Turner makes 2-pt jump shot from 14 ft (assist by B. Bogdanović),92,107
446,4,1:27.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),,94,107
447,4,1:12.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,94,107
448,4,1:09.0,Defensive rebound by Team,,94,107
449,4,1:09.0,Y. Ferrell enters the game for B. Bogdanović,,94,107
450,4,1:09.0,H. Giles enters the game for W. Cauley-Stein,,94,107
451,4,1:09.0,F. Mason enters the game for D. Fox,,94,107
452,4,1:09.0,B. McLemore enters the game for B. Hield,,94,107
453,4,1:09.0,T. Williams enters the game for J. Jackson,,94,107
454,4,0:58.0,T. Williams misses 2-pt jump shot from 18 ft,,94,107
455,4,0:56.0,,Defensive rebound by B. Bogdanović,94,107
456,4,0:37.0,,D. Collison misses 2-pt jump shot from 17 ft,94,107
457,4,0:34.0,Defensive rebound by B. McLemore,,94,107
458,4,0:25.0,Y. Ferrell makes 3-pt jump shot from 26 ft (assist by H. Giles),,97,107
459,4,0:00.0,,Turnover by (turnover),97,107
