,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHILADELPHIA_ACTION,MIAMI_SCORE,PHILADELPHIA_SCORE
387,4,7:29.0,Offensive rebound by K. Olynyk,,86,86
388,4,7:29.0,K. Olynyk makes 2-pt layup at rim,,88,86
389,4,7:15.0,,J. Butler misses 2-pt layup from 2 ft (block by D. Wade),88,86
390,4,7:13.0,Defensive rebound by D. Wade,,88,86
391,4,7:11.0,Turnover by D. Wade (lost ball; steal by T. McConnell),,88,86
392,4,7:05.0,,T. Harris makes 2-pt layup from 2 ft (assist by J. Redick),88,88
393,4,6:49.0,K. Olynyk makes 2-pt layup from 1 ft (assist by J. Richardson),,90,88
394,4,6:29.0,,J. Butler misses 2-pt layup from 1 ft,90,88
395,4,6:23.0,Defensive rebound by R. McGruder,,90,88
396,4,6:07.0,K. Olynyk misses 2-pt jump shot from 19 ft,,90,88
397,4,6:05.0,,Defensive rebound by T. McConnell,90,88
398,4,6:02.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by T. McConnell),90,91
399,4,5:40.0,D. Wade misses 2-pt jump shot from 8 ft,,90,91
400,4,5:38.0,,Defensive rebound by T. Harris,90,91
401,4,5:23.0,,T. Harris makes 3-pt jump shot from 26 ft,90,94
402,4,5:04.0,Turnover by J. Richardson (bad pass; steal by T. McConnell),,90,94
403,4,5:01.0,,B. Simmons makes 2-pt layup from 1 ft (assist by T. McConnell),90,96
404,4,5:01.0,Miami full timeout,,90,96
405,4,5:01.0,B. Adebayo enters the game for D. Jones,,90,96
406,4,5:01.0,D. Waiters enters the game for K. Olynyk,,90,96
407,4,5:01.0,J. Winslow enters the game for D. Wade,,90,96
408,4,4:46.0,D. Waiters makes 2-pt layup at rim,,92,96
409,4,4:21.0,,J. Butler misses 3-pt jump shot from 25 ft,92,96
410,4,4:18.0,,Offensive rebound by B. Simmons,92,96
411,4,4:15.0,,J. Redick misses 3-pt jump shot from 25 ft,92,96
412,4,4:11.0,Defensive rebound by J. Winslow,,92,96
413,4,4:09.0,Turnover by J. Winslow (lost ball; steal by J. Butler),,92,96
414,4,4:06.0,,Turnover by B. Simmons (bad pass; steal by D. Waiters),92,96
415,4,3:52.0,Personal foul by T. McConnell (drawn by J. Richardson),,92,96
416,4,3:40.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by J. Winslow),,95,96
417,4,3:39.0,,Philadelphia full timeout,95,96
418,4,3:39.0,,B. Marjanović enters the game for T. McConnell,95,96
419,4,3:15.0,,B. Simmons misses 2-pt jump shot from 13 ft,95,96
420,4,3:11.0,,Offensive rebound by J. Butler,95,96
421,4,3:10.0,,Turnover by J. Butler (bad pass; steal by R. McGruder),95,96
422,4,3:01.0,D. Waiters misses 2-pt layup from 4 ft (block by J. Redick),,95,96
423,4,3:01.0,Offensive rebound by Team,,95,96
424,4,3:01.0,D. Wade enters the game for R. McGruder,,95,96
425,4,2:53.0,D. Wade makes 2-pt jump shot from 19 ft,,97,96
426,4,2:33.0,,B. Simmons makes 2-pt hook shot from 3 ft (assist by J. Butler),97,98
427,4,2:17.0,J. Richardson misses 3-pt jump shot from 25 ft,,97,98
428,4,2:14.0,,Defensive rebound by J. Butler,97,98
429,4,2:04.0,,Turnover by J. Butler (lost ball; steal by B. Adebayo),97,98
430,4,1:56.0,D. Wade makes 2-pt jump shot from 6 ft,,99,98
431,4,1:36.0,,Shooting foul by J. Winslow (drawn by B. Marjanović),99,98
432,4,1:36.0,,B. Marjanović makes free throw 1 of 2,99,99
433,4,1:36.0,,B. Marjanović makes free throw 2 of 2,99,100
434,4,1:23.0,D. Wade misses 2-pt jump shot from 19 ft,,99,100
435,4,1:20.0,,Defensive rebound by B. Simmons,99,100
436,4,1:04.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Butler),99,103
437,4,0:54.0,D. Waiters misses 3-pt jump shot from 29 ft,,99,103
438,4,0:52.0,,Defensive rebound by J. Redick,99,103
439,4,0:38.0,,Shooting foul by J. Winslow (drawn by B. Marjanović),99,103
440,4,0:38.0,,B. Marjanović makes free throw 1 of 2,99,104
441,4,0:38.0,K. Olynyk enters the game for B. Adebayo,,99,104
442,4,0:38.0,,J. Simmons enters the game for J. Redick,99,104
443,4,0:38.0,,B. Marjanović misses free throw 2 of 2,99,104
444,4,0:36.0,Defensive rebound by K. Olynyk,,99,104
445,4,0:32.0,Personal foul by T. Harris (drawn by J. Richardson),,99,104
446,4,0:32.0,,M. Scott enters the game for B. Marjanović,99,104
447,4,0:26.0,K. Olynyk misses 3-pt jump shot from 27 ft,,99,104
448,4,0:23.0,,Defensive rebound by T. Harris,99,104
449,4,0:10.0,,Personal take foul by D. Waiters (drawn by J. Simmons),99,104
450,4,0:10.0,,J. Simmons misses free throw 1 of 2,99,104
451,4,0:10.0,,Offensive rebound by Team,99,104
452,4,0:10.0,B. Adebayo enters the game for J. Winslow,,99,104
453,4,0:10.0,,J. Simmons makes free throw 2 of 2,99,105
454,4,0:10.0,Miami full timeout,,99,105
455,4,0:10.0,J. Winslow enters the game for B. Adebayo,,99,105
456,4,0:07.0,D. Waiters makes 3-pt jump shot from 30 ft (assist by J. Winslow),,102,105
457,4,0:05.0,,Personal take foul by J. Winslow (drawn by T. Harris),102,105
458,4,0:05.0,R. McGruder enters the game for J. Winslow,,102,105
459,4,0:05.0,,T. Harris misses free throw 1 of 2,102,105
460,4,0:05.0,,Offensive rebound by Team,102,105
461,4,0:05.0,,T. Harris makes free throw 2 of 2,102,106
462,4,0:01.0,D. Waiters misses 2-pt jump shot from 19 ft,,102,106
463,4,0:00.0,Offensive rebound by Team,,102,106
