,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW ORLEANS_ACTION,CHARLOTTE_SCORE,NEW ORLEANS_SCORE
380,4,7:05.0,,Defensive rebound by C. Wood,88,91
381,4,6:57.0,,J. Randle misses 2-pt jump shot from 7 ft,88,91
382,4,6:54.0,Defensive rebound by F. Kaminsky,,88,91
383,4,6:43.0,M. Bridges misses 3-pt jump shot from 23 ft,,88,91
384,4,6:40.0,,Defensive rebound by J. Randle,88,91
385,4,6:33.0,,C. Wood makes 2-pt dunk from 1 ft (assist by D. Bertāns),88,93
386,4,6:18.0,K. Walker makes 3-pt jump shot from 26 ft,,91,93
387,4,6:03.0,,Personal foul by D. Bacon (drawn by S. Johnson),91,93
388,4,6:03.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,91,93
389,4,5:50.0,,J. Randle misses 2-pt jump shot from 11 ft,91,93
390,4,5:48.0,,Offensive rebound by J. Randle,91,93
391,4,5:48.0,,J. Randle makes 2-pt layup from 2 ft,91,95
392,4,5:48.0,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Randle),91,95
393,4,5:48.0,,J. Randle misses free throw 1 of 1,91,95
394,4,5:45.0,Defensive rebound by M. Bridges,,91,95
395,4,5:33.0,K. Walker makes 2-pt layup from 2 ft,,93,95
396,4,5:22.0,,S. Hill misses 3-pt jump shot from 27 ft,93,95
397,4,5:19.0,Defensive rebound by M. Monk,,93,95
398,4,5:09.0,M. Bridges misses 3-pt jump shot from 26 ft,,93,95
399,4,5:05.0,,Defensive rebound by J. Randle,93,95
400,4,4:53.0,,Turnover by J. Randle (bad pass; steal by M. Bridges),93,95
401,4,4:50.0,Shooting foul by S. Hill (drawn by K. Walker),,93,95
402,4,4:50.0,K. Walker misses free throw 1 of 2,,93,95
403,4,4:50.0,Offensive rebound by Team,,93,95
404,4,4:50.0,F. Kaminsky enters the game for D. Bacon,,93,95
405,4,4:50.0,J. Lamb enters the game for M. Bridges,,93,95
406,4,4:50.0,,I. Clark enters the game for S. Johnson,93,95
407,4,4:50.0,,E. Payton enters the game for C. Wood,93,95
408,4,4:50.0,K. Walker makes free throw 2 of 2,,94,95
409,4,4:33.0,,J. Randle makes 2-pt layup from 2 ft,94,97
410,4,4:16.0,K. Walker makes 2-pt layup from 1 ft,,96,97
411,4,4:10.0,,New Orleans full timeout,96,97
412,4,4:03.0,,Shooting foul by F. Kaminsky (drawn by J. Randle),96,97
413,4,4:03.0,,J. Randle makes free throw 1 of 2,96,98
414,4,4:03.0,,J. Randle makes free throw 2 of 2,96,99
415,4,3:52.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by K. Walker),,99,99
416,4,3:26.0,,I. Clark misses 3-pt jump shot from 27 ft,99,99
417,4,3:23.0,Defensive rebound by F. Kaminsky,,99,99
418,4,3:16.0,K. Walker makes 3-pt jump shot from 26 ft,,102,99
419,4,3:12.0,,New Orleans full timeout,102,99
420,4,3:12.0,B. Biyombo enters the game for M. Kidd-Gilchrist,,102,99
421,4,3:12.0,,S. Johnson enters the game for D. Bertāns,102,99
422,4,2:58.0,,S. Johnson makes 2-pt layup from 3 ft,102,101
423,4,2:43.0,K. Walker makes 2-pt layup from 2 ft,,104,101
424,4,2:27.0,,Turnover by S. Johnson (bad pass; steal by J. Lamb),104,101
425,4,2:16.0,K. Walker misses 3-pt jump shot from 27 ft,,104,101
426,4,2:12.0,Offensive rebound by B. Biyombo,,104,101
427,4,2:07.0,J. Lamb misses 3-pt jump shot from 26 ft,,104,101
428,4,2:03.0,Offensive rebound by M. Monk,,104,101
429,4,1:53.0,K. Walker makes 2-pt jump shot from 22 ft,,106,101
430,4,1:44.0,,S. Hill misses 3-pt jump shot from 24 ft,106,101
431,4,1:41.0,Defensive rebound by B. Biyombo,,106,101
432,4,1:25.0,Shooting foul by J. Randle (drawn by K. Walker),,106,101
433,4,1:25.0,K. Walker makes free throw 1 of 2,,107,101
434,4,1:25.0,M. Bridges enters the game for M. Monk,,107,101
435,4,1:25.0,K. Walker makes free throw 2 of 2,,108,101
436,4,1:15.0,,S. Johnson misses 3-pt jump shot from 27 ft,108,101
437,4,1:12.0,Defensive rebound by B. Biyombo,,108,101
438,4,0:56.0,J. Lamb misses 2-pt layup from 2 ft,,108,101
439,4,0:54.0,,Defensive rebound by I. Clark,108,101
440,4,0:48.0,,I. Clark misses 3-pt jump shot from 24 ft,108,101
441,4,0:44.0,Defensive rebound by F. Kaminsky,,108,101
442,4,0:36.0,Personal take foul by E. Payton (drawn by F. Kaminsky),,108,101
443,4,0:36.0,F. Kaminsky makes free throw 1 of 2,,109,101
444,4,0:36.0,F. Kaminsky makes free throw 2 of 2,,110,101
445,4,0:36.0,,New Orleans full timeout,110,101
446,4,0:36.0,D. Bacon enters the game for F. Kaminsky,,110,101
447,4,0:27.0,,I. Clark makes 2-pt jump shot from 8 ft (assist by E. Payton),110,103
448,4,0:24.0,Personal take foul by J. Randle (drawn by J. Lamb),,110,103
449,4,0:24.0,J. Lamb makes free throw 1 of 2,,111,103
450,4,0:24.0,J. Lamb makes free throw 2 of 2,,112,103
451,4,0:24.0,,New Orleans full timeout,112,103
452,4,0:21.0,,J. Randle makes 3-pt jump shot from 26 ft (assist by S. Johnson),112,106
453,4,0:19.0,Personal take foul by S. Hill (drawn by K. Walker),,112,106
454,4,0:19.0,K. Walker makes free throw 1 of 2,,113,106
455,4,0:19.0,K. Walker makes free throw 2 of 2,,114,106
456,4,0:14.0,,J. Randle makes 3-pt jump shot from 26 ft (assist by E. Payton),114,109
457,4,0:11.0,Personal take foul by E. Payton (drawn by J. Lamb),,114,109
458,4,0:11.0,J. Lamb misses free throw 1 of 2,,114,109
459,4,0:11.0,Offensive rebound by Team,,114,109
460,4,0:11.0,J. Lamb makes free throw 2 of 2,,115,109
461,4,0:06.0,,I. Clark misses 3-pt jump shot from 27 ft (block by M. Bridges),115,109
462,4,0:01.0,Defensive rebound by J. Lamb,,115,109
